ED,POLL NO.,URBAN,ASHE,CARVALHO,DICKSON,THAVARAJASOORIER,WILLERT,,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
AJAX--PICKERING,,,,,,,,,,,,,,,,,,,,,,,
001,1,,93,4,54,10,20,,,,,,,,,,,0,0,1,182,324,Claremont Community Centre Claremont
001,2,,100,2,76,6,51,,,,,,,,,,,1,0,0,236,443,Claremont Community Centre Claremont
001,3,,46,7,37,9,15,,,,,,,,,,,0,0,0,114,267,Claremont Community Centre Claremont
001,4,,110,0,54,4,26,,,,,,,,,,,0,0,0,194,373,Claremont Community Centre Claremont
001,5,,76,3,54,15,31,,,,,,,,,,,0,0,0,179,343,Valley View Public School Pickering
001,6,---------- NO POLL TAKEN / AUCUN VOTE INSCRIT ----------,---------- NO POLL TAKEN / AUCUN VOTE INSCRIT ----------,,,,,,,,,,,,,,,0,0,0,0,0, Claremont
001,7,,51,2,35,10,33,,,,,,,,,,,0,0,0,131,302,Claremont Community Centre Claremont
001,8,,53,0,25,4,17,,,,,,,,,,,0,0,0,99,198,Valley View Public School Pickering
001,9,,110,4,82,4,14,,,,,,,,,,,0,0,0,214,430,Valley View Public School Pickering
001,10,---------- NO POLL TAKEN / AUCUN VOTE INSCRIT ----------,---------- NO POLL TAKEN / AUCUN VOTE INSCRIT ----------,,,,,,,,,,,,,,,0,0,0,0,0, Ajax
001,11,,61,1,95,18,10,,,,,,,,,,,0,0,0,185,489,Notre Dame Catholic Secondary School Ajax
001,12,,36,0,40,4,9,,,,,,,,,,,0,0,0,89,233,Notre Dame Catholic Secondary School Ajax
001,13,---------- NO POLL TAKEN / AUCUN VOTE INSCRIT ----------,---------- NO POLL TAKEN / AUCUN VOTE INSCRIT ----------,,,,,,,,,,,,,,,0,0,0,0,0, Ajax
001,14,,41,0,114,11,10,,,,,,,,,,,1,0,0,177,500,J. Clarke Richardson Collegiate Ajax
001,15,,61,0,104,15,9,,,,,,,,,,,0,0,0,189,558,J. Clarke Richardson Collegiate Ajax
001,16,,34,0,54,9,5,,,,,,,,,,,2,0,0,104,292,J. Clarke Richardson Collegiate Ajax
001,017A,,29,1,69,10,6,,,,,,,,,,,0,0,0,115,329,Notre Dame Catholic Secondary School Ajax
001,017B,,27,0,75,12,5,,,,,,,,,,,0,0,0,119,344,Notre Dame Catholic Secondary School Ajax
001,018A,,56,1,75,14,6,,,,,,,,,,,0,0,0,152,357,Notre Dame Catholic Secondary School Ajax
001,018B,,41,0,74,7,8,,,,,,,,,,,0,0,0,130,347,Notre Dame Catholic Secondary School Ajax
001,018C,,42,5,125,13,3,,,,,,,,,,,0,0,0,188,426,Notre Dame Catholic Secondary School Ajax
001,19,,50,1,99,16,9,,,,,,,,,,,0,0,0,175,413,Notre Dame Catholic Secondary School Ajax
001,20,,57,0,108,16,6,,,,,,,,,,,0,0,0,187,463,J. Clarke Richardson Collegiate Ajax
001,21,,52,1,100,10,15,,,,,,,,,,,1,0,0,179,394,J. Clarke Richardson Collegiate Ajax
001,22,,28,1,67,6,10,,,,,,,,,,,0,0,0,112,344,J. Clarke Richardson Collegiate Ajax
001,023A,,22,0,50,14,3,,,,,,,,,,,0,0,0,89,291,J. Clarke Richardson Collegiate Ajax
001,023B,,31,1,70,17,1,,,,,,,,,,,1,1,0,122,287,J. Clarke Richardson Collegiate Ajax
001,24,,21,2,26,4,32,,,,,,,,,,,0,0,0,85,178,Herongate Barn Theatre Locust Hill
001,25,,21,1,22,4,15,,,,,,,,,,,0,0,0,63,173,St. Wilfrid Catholic School Pickering
001,26,,45,2,88,18,5,,,,,,,,,,,2,1,0,161,440,Alexander Graham Bell Public School Ajax
001,27,,31,1,35,6,7,,,,,,,,,,,0,0,0,80,242,Alexander Graham Bell Public School Ajax
001,28,,51,6,96,13,8,,,,,,,,,,,0,0,0,174,477,Notre Dame Catholic Secondary School Ajax
001,29,,62,1,86,11,8,,,,,,,,,,,0,0,0,168,470,Alexander Graham Bell Public School Ajax
001,30,,33,0,78,14,7,,,,,,,,,,,0,0,0,132,404,Notre Dame Catholic Secondary School Ajax
001,31,,36,2,82,17,2,,,,,,,,,,,0,0,0,139,395,Notre Dame Catholic Secondary School Ajax
001,32,,75,0,97,12,15,,,,,,,,,,,0,1,0,200,431,Lester B. Pearson Public School Ajax
001,33,,44,0,96,6,5,,,,,,,,,,,0,0,1,152,374,Notre Dame Catholic Secondary School Ajax
001,034s,,9,2,16,4,0,,,,,,,,,,,1,2,0,34,101,Winbourne Park Long Term Care Centre Ajax
001,35,,64,4,96,19,15,,,,,,,,,,,0,1,0,199,429,Lester B. Pearson Public School Ajax
001,36,,44,3,77,8,4,,,,,,,,,,,0,0,0,136,366,Notre Dame Catholic Secondary School Ajax
001,37,,31,2,78,14,11,,,,,,,,,,,0,0,0,136,379,Lester B. Pearson Public School Ajax
001,38,,62,0,99,4,5,,,,,,,,,,,0,0,0,170,397,J. Clarke Richardson Collegiate Ajax
001,39,,28,0,69,8,16,,,,,,,,,,,5,0,0,126,393,Lester B. Pearson Public School Ajax
001,40,,59,0,101,14,2,,,,,,,,,,,0,0,0,176,424,J. Clarke Richardson Collegiate Ajax
001,41,,71,0,98,8,10,,,,,,,,,,,0,0,0,187,446,Mother Teresa Catholic School Ajax
001,42,,66,4,109,20,18,,,,,,,,,,,0,0,0,217,495,Dr. Roberta Bondar Public School Ajax
001,43,,34,0,83,8,4,,,,,,,,,,,1,0,1,131,329,J. Clarke Richardson Collegiate Ajax
001,44,,40,1,73,15,9,,,,,,,,,,,1,0,0,139,346,Mother Teresa Catholic School Ajax
001,45,,43,2,70,17,13,,,,,,,,,,,0,0,2,147,329,Mother Teresa Catholic School Ajax
001,46,,58,0,68,5,13,,,,,,,,,,,0,0,0,144,384,Dr. Roberta Bondar Public School Ajax
001,47,,51,3,82,17,9,,,,,,,,,,,0,0,0,162,379,Mother Teresa Catholic School Ajax
001,48,,42,2,36,13,1,,,,,,,,,,,0,0,0,94,289,Cadarackque Public School Ajax
001,49,,63,0,112,6,6,,,,,,,,,,,1,0,0,188,476,Cadarackque Public School Ajax
001,50,,104,1,93,18,12,,,,,,,,,,,0,0,2,230,446,St. Wilfrid Catholic School Pickering
001,51,,86,3,113,19,13,,,,,,,,,,,1,1,0,236,505,Eagle Ridge Public School Ajax
001,52,,54,1,116,8,6,,,,,,,,,,,0,0,0,185,429,St. Patrick Catholic School Ajax
001,53,,65,2,97,7,10,,,,,,,,,,,1,0,0,182,440,St. Patrick Catholic School Ajax
001,54,,76,2,96,12,9,,,,,,,,,,,0,0,0,195,406,Eagle Ridge Public School Ajax
001,55,,67,5,101,21,13,,,,,,,,,,,0,0,0,207,459,St. Patrick Catholic School Ajax
001,56,,38,2,120,24,7,,,,,,,,,,,0,1,0,192,428,St. Patrick Catholic School Ajax
001,57,,70,2,90,16,6,,,,,,,,,,,0,0,0,184,418,St. Patrick Catholic School Ajax
001,58,,58,3,152,15,9,,,,,,,,,,,0,1,0,238,500,Alexander Graham Bell Public School Ajax
001,59,,78,0,127,13,18,,,,,,,,,,,0,1,0,237,490,St. Patrick Catholic School Ajax
001,60,,57,1,128,6,14,,,,,,,,,,,1,0,0,207,469,Lincoln Alexander Public School Ajax
001,61,,83,2,133,14,12,,,,,,,,,,,1,0,0,245,529,St. Patrick Catholic School Ajax
001,62,,51,2,77,12,5,,,,,,,,,,,0,1,0,148,368,Alexander Graham Bell Public School Ajax
001,63,,62,0,92,13,7,,,,,,,,,,,0,0,0,174,408,Lester B. Pearson Public School Ajax
001,64,,49,1,78,13,15,,,,,,,,,,,0,0,1,157,394,Lincoln Alexander Public School Ajax
001,65,,59,2,93,11,11,,,,,,,,,,,0,0,0,176,407,Westney Heights Public School Ajax
001,66,,58,1,82,25,13,,,,,,,,,,,0,0,0,179,379,Westney Heights Public School Ajax
001,67,,69,1,105,21,21,,,,,,,,,,,0,0,0,217,441,Lester B. Pearson Public School Ajax
001,68,,61,2,84,23,17,,,,,,,,,,,0,0,0,187,401,Westney Heights Public School Ajax
001,69,,58,0,66,12,14,,,,,,,,,,,0,0,0,150,426,Westney Heights Public School Ajax
001,70,,83,1,74,13,8,,,,,,,,,,,1,0,0,180,385,Westney Heights Public School Ajax
001,71,,52,3,82,16,19,,,,,,,,,,,1,2,1,176,489,Dr. Roberta Bondar Public School Ajax
001,72,,45,1,91,14,6,,,,,,,,,,,1,1,0,159,374,Applecroft Public School Ajax
001,73,,79,3,96,17,6,,,,,,,,,,,0,1,0,202,490,Applecroft Public School Ajax
001,74,,53,1,130,16,10,,,,,,,,,,,0,0,0,210,452,Dr. Roberta Bondar Public School Ajax
001,075A,,33,1,75,13,8,,,,,,,,,,,0,1,0,131,334,Applecroft Public School Ajax
001,075B,,75,10,113,12,13,,,,,,,,,,,2,2,0,227,362,Applecroft Public School Ajax
001,76,,33,0,59,11,11,,,,,,,,,,,0,0,0,114,515,Applecroft Public School Ajax
001,77,,38,1,82,9,12,,,,,,,,,,,0,0,0,142,382,Dr. Roberta Bondar Public School Ajax
001,78,,50,0,78,15,3,,,,,,,,,,,0,1,0,147,404,Applecroft Public School Ajax
001,79,,49,1,102,16,9,,,,,,,,,,,0,0,0,177,467,Archbishop Denis O'Connor Catholic High School Ajax
001,80,,49,2,81,20,6,,,,,,,,,,,0,0,0,158,340,Cadarackque Public School Ajax
001,81,,53,3,60,18,19,,,,,,,,,,,1,0,0,154,337,Cadarackque Public School Ajax
001,82,,88,2,123,17,12,,,,,,,,,,,0,0,1,243,524,Pine Ridge Secondary School Pickering
001,83,,75,0,84,4,6,,,,,,,,,,,0,1,0,170,313,Pine Ridge Secondary School Pickering
001,84,,73,0,140,25,12,,,,,,,,,,,1,0,0,251,537,Valley Farm Public School Pickering
001,085A,,35,2,67,10,5,,,,,,,,,,,0,0,0,119,263,Valley Farm Public School Pickering
001,085B,,27,0,96,9,7,,,,,,,,,,,0,1,0,140,289,Valley Farm Public School Pickering
001,86,,48,0,127,20,17,,,,,,,,,,,1,0,0,213,528,Valley Farm Public School Pickering
001,87,,66,0,102,19,21,,,,,,,,,,,1,1,0,210,526,Valley Farm Public School Pickering
001,88,,47,1,103,12,3,,,,,,,,,,,1,0,0,167,430,Valley Farm Public School Pickering
001,89,,57,2,90,14,15,,,,,,,,,,,0,0,0,178,427,St. Wilfrid Catholic School Pickering
001,90,,39,3,90,15,11,,,,,,,,,,,0,1,0,159,485,St. Anthony Daniel Catholic School Pickering
001,91,,51,3,103,6,13,,,,,,,,,,,0,1,0,177,492,Valley Farm Public School Pickering
001,092A,,31,1,65,14,3,,,,,,,,,,,0,1,0,115,283,St. Anthony Daniel Catholic School Pickering
001,092B,,25,2,53,15,4,,,,,,,,,,,0,0,2,101,269,St. Anthony Daniel Catholic School Pickering
001,93,,108,1,122,16,20,,,,,,,,,,,0,1,0,268,546,Eagle Ridge Public School Ajax
001,94,,88,0,123,11,6,,,,,,,,,,,0,0,0,228,428,Eagle Ridge Public School Ajax
001,95,,70,2,104,9,13,,,,,,,,,,,0,0,0,198,432,Pickering High School Ajax
001,96,,---------- NO POLL TAKEN / AUCUN VOTE INSCRIT ----------,,,,,,,,,,,,,,,0,0,0,0,0, Ajax
001,096-1s,,11,4,20,10,5,,,,,,,,,,,0,0,0,50,105,Unity Village Ajax
001,97,,94,0,85,22,15,,,,,,,,,,,0,0,0,216,471,Pickering High School Ajax
001,98,,51,2,77,12,14,,,,,,,,,,,0,0,0,156,382,Pickering High School Ajax
001,99,,67,2,87,19,20,,,,,,,,,,,1,0,1,197,426,Lincoln Alexander Public School Ajax
001,100,,85,0,100,23,16,,,,,,,,,,,0,0,0,224,481,Lincoln Alexander Public School Ajax
001,101,,69,5,88,12,21,,,,,,,,,,,0,2,1,198,362,Lincoln Alexander Public School Ajax
001,102,,111,0,114,23,26,,,,,,,,,,,1,1,0,276,485,Lincoln Avenue Public School Ajax
001,103,,69,0,75,22,22,,,,,,,,,,,1,0,0,189,462,Lincoln Alexander Public School Ajax
001,104,,69,2,85,24,17,,,,,,,,,,,0,0,0,197,424,Roland Michener Public School Ajax
001,105,,76,4,65,13,9,,,,,,,,,,,1,0,0,168,381,Westney Heights Public School Ajax
001,106,,103,3,95,12,14,,,,,,,,,,,0,0,0,227,467,Roland Michener Public School Ajax
001,107,,72,1,108,9,13,,,,,,,,,,,3,2,1,209,427,Roland Michener Public School Ajax
001,108,,62,1,83,21,9,,,,,,,,,,,0,0,0,176,438,Roland Michener Public School Ajax
001,109,,45,1,113,20,10,,,,,,,,,,,0,0,0,189,446,Roland Michener Public School Ajax
001,110,,47,0,101,23,22,,,,,,,,,,,0,0,0,193,478,Roland Michener Public School Ajax
001,111,,31,0,90,19,14,,,,,,,,,,,0,0,0,154,408,Lord Elgin Public School Ajax
001,112,,43,1,52,10,21,,,,,,,,,,,0,0,0,127,263,Lord Elgin Public School Ajax
001,113,,39,0,61,21,21,,,,,,,,,,,0,0,0,142,358,Lord Elgin Public School Ajax
001,114,,38,1,86,16,6,,,,,,,,,,,1,1,0,149,422,Lord Elgin Public School Ajax
001,115,,44,1,88,22,23,,,,,,,,,,,0,0,0,178,378,Lord Elgin Public School Ajax
001,116s,,21,1,30,5,2,,,,,,,,,,,0,0,1,60,131,Ballycliffe Retirement Home Ajax
001,117,,77,1,96,24,17,,,,,,,,,,,0,0,0,215,484,Archbishop Denis O'Connor Catholic High School Ajax
001,118,,40,0,70,15,16,,,,,,,,,,,1,0,0,142,346,Archbishop Denis O'Connor Catholic High School Ajax
001,119,,91,2,87,17,23,,,,,,,,,,,0,0,0,220,468,Archbishop Denis O'Connor Catholic High School Ajax
