ED,POLL NO.,URBAN,BROWN,DENLEY,SCOTT,SWAIN,YURICK,,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
ALGOMA--MANITOULIN,,,,,,,,,,,,,,,,,,,,,,,
002,1, ,7,23,0,3,1,,,,,,,,,,,1,1,0,36,155,Hornepayne Recreation Complex Hornepayne
002,2, ,13,4,1,1,1,,,,,,,,,,,0,0,0,20,86,Manitouwadge Recreation Centre Manitouwadge
002,3, ,51,52,0,9,4,,,,,,,,,,,0,0,0,116,263,Manitouwadge Recreation Centre Manitouwadge
002,4, ,31,52,1,7,2,,,,,,,,,,,0,0,0,93,260,Manitouwadge Recreation Centre Manitouwadge
002,5, ,34,46,0,7,4,,,,,,,,,,,0,0,0,91,255,Manitouwadge Recreation Centre Manitouwadge
002,6, ,22,18,0,5,1,,,,,,,,,,,0,0,0,46,145,Manitouwadge Recreation Centre Manitouwadge
002,007s, ,2,2,0,0,0,,,,,,,,,,,0,0,0,4,4,Manitouwadge General Hospital Manitouwadge
002,8, ,18,27,1,3,4,,,,,,,,,,,0,0,0,53,159,Manitouwadge Recreation Centre Manitouwadge
002,9, ,29,36,1,1,3,,,,,,,,,,,0,0,0,70,220,Hornepayne Recreation Complex Hornepayne
002,10, ,25,37,1,6,2,,,,,,,,,,,0,0,0,71,290,Hornepayne Recreation Complex Hornepayne
002,011s, ,0,0,0,0,0,,,,,,,,,,,0,0,0,0,1,Hornepayne Community Hospital Hornepayne
002,12, ,35,42,1,13,1,,,,,,,,,,,0,0,0,92,238,Manitouwadge Recreation Centre Manitouwadge
002,13, ,20,33,0,6,2,,,,,,,,,,,1,0,0,62,172,Manitouwadge Recreation Centre Manitouwadge
002,14, ,18,21,1,3,4,,,,,,,,,,,0,0,0,47,154,Hornepayne Recreation Complex Hornepayne
002,15, ,2,4,0,0,0,,,,,,,,,,,0,0,0,6,21,Oba - Blanchette Residence Oba
002,16, ,---------- COMBINED WITH POLL / COMBINÉ AVEC LE BUREAU DE VOTE 017 ----------,,,,,,,,,,,,,,,,,,,,Pic Mobert Recreation Complex Pic Mobert South
002,17, ,42,75,1,0,6,,,,,,,,,,,1,0,0,125,224,White River Amenity Space White River
002,18, ,18,61,0,5,0,,,,,,,,,,,0,0,0,84,203,White River Amenity Space White River
002,19, ,19,61,1,4,2,,,,,,,,,,,0,0,0,87,198,White River Amenity Space White River
002,21, ,36,48,1,2,2,,,,,,,,,,,3,0,0,92,273,Dubreuilville Social and Cultural Centre Dubreuilville
002,22, ,8,8,0,1,0,,,,,,,,,,,0,1,0,18,34,Missarenda Public School Missanabie
002,23, ,34,30,1,1,2,,,,,,,,,,,0,0,0,68,258,Dubreuilville Social and Cultural Centre Dubreuilville
002,25, ,21,32,1,9,13,,,,,,,,,,,1,0,0,77,219,Michipicoten Memorial Community Centre Wawa
002,26, ,24,18,2,9,2,,,,,,,,,,,0,0,0,55,112,Chapleau High School Chapleau
002,27, ,4,6,0,0,1,,,,,,,,,,,0,0,0,11,54,Michipicoten Memorial Community Centre Wawa
002,28, ,62,60,0,15,10,,,,,,,,,,,0,0,0,147,318,Michipicoten Memorial Community Centre Wawa
002,29, ,44,35,0,20,7,,,,,,,,,,,1,0,0,107,266,Michipicoten Memorial Community Centre Wawa
002,30, ,43,49,2,7,5,,,,,,,,,,,0,0,0,106,254,Michipicoten Memorial Community Centre Wawa
002,31, ,8,26,2,3,0,,,,,,,,,,,0,0,0,39,173,Michipicoten Memorial Community Centre Wawa
002,32, ,28,70,0,10,4,,,,,,,,,,,0,0,0,112,290,Michipicoten Memorial Community Centre Wawa
002,033s, ,2,4,0,0,0,,,,,,,,,,,0,0,0,6,18,Lady Dunn Health Centre Wawa
002,34, ,25,31,0,6,7,,,,,,,,,,,0,0,0,69,220,Michipicoten Memorial Community Centre Wawa
002,35, ,23,41,3,10,6,,,,,,,,,,,0,0,0,83,240,Michipicoten Memorial Community Centre Wawa
002,36, ,19,72,0,9,1,,,,,,,,,,,0,0,0,101,193,Hawk Junction Community Hall Hawk Junction
002,37, ,55,84,1,23,6,,,,,,,,,,,0,0,0,169,470,Michipicoten Memorial Community Centre Wawa
002,38, ,46,34,2,10,2,,,,,,,,,,,0,0,0,94,341,Chapleau High School Chapleau
002,039s, ,3,2,0,1,0,,,,,,,,,,,0,0,0,6,11,Chapleau Bignucolo Residence Chapleau
002,40, ,53,24,2,6,9,,,,,,,,,,,0,0,0,94,290,Chapleau High School Chapleau
002,42, ,12,11,2,4,3,,,,,,,,,,,0,0,0,32,73,Fox Lake Cree Band Office Chapleau
002,43, ,46,27,3,10,10,,,,,,,,,,,0,0,0,96,415,Chapleau High School Chapleau
002,44, ,3,2,0,0,0,,,,,,,,,,,0,0,0,5,17,Chapleau Ojibway Band Office Chapleau
002,45, ,40,26,1,5,9,,,,,,,,,,,0,0,0,81,362,Chapleau High School Chapleau
002,46, ,32,19,3,7,3,,,,,,,,,,,1,0,0,65,349,Chapleau High School Chapleau
002,47, ,---------- NO POLL TAKEN / AUCUN VOTE INSCRIT ----------,,,,,,,,,,,,,,,0,0,0,0,0, Chapleau
002,48, ,8,12,1,3,1,,,,,,,,,,,0,1,0,26,40,Sultan - Ted Castilloux Residence Sultan
002,49, ,0,3,0,0,3,,,,,,,,,,,0,0,0,6,7,Montreal River Northgate Service Centre Montreal River
002,51, ,43,45,0,19,7,,,,,,,,,,,0,1,0,115,179,C.O. Somes Community Centre Batchawana Bay
002,52, ,75,64,1,16,9,,,,,,,,,,,2,0,0,167,309,Goulais River Mccauley's Motel Goulais River
002,53, ,50,45,4,10,15,,,,,,,,,,,1,0,0,125,211,Searchmont Community Centre Searchmont
