ED,POLL NO.,URBAN,BUTSON,CORRIGAN,ENOS,JANUCZKOWSKI,MALDONADO,MCMEEKIN,ZASLAVSKY,ZULINIAK,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
ANCASTER--DUNDAS--FLAMBOROUGH-WESTDALE,,,,,,,,,,,,,,,,,,,,,,,
003,1, ,1,94,2,22,11,82,1,3,,,,,,,,0,1,0,217,486,Marian Hall-Freelton
003,2, ,0,24,1,13,6,46,0,0,,,,,,,,0,0,0,90,175,Marian Hall-Freelton
003,3, ,1,66,2,21,16,90,0,1,,,,,,,,2,0,0,199,401,Marian Hall-Freelton
003,4, ,0,105,1,16,4,108,0,0,,,,,,,,0,0,0,234,444,Balaclava Public School-Carlisle
003,5, ,0,98,5,20,26,72,0,0,,,,,,,,1,0,0,222,407,Marian Hall-Freelton
003,006s, ,0,8,1,2,3,8,0,0,,,,,,,,0,0,0,22,28,Freelton Lions Villa-Freelton
003,7, ,0,98,4,11,19,65,0,1,,,,,,,,1,1,0,200,390,Marian Hall-Freelton
003,8, ,1,86,0,20,17,79,0,1,,,,,,,,0,0,0,204,398,Balaclava Public School-Carlisle
003,9, ,0,85,1,14,7,78,0,0,,,,,,,,1,0,0,186,340,Balaclava Public School-Carlisle
003,10, ,74,9,7,0,0,72,0,0,,,,,,,,0,0,0,162,309,Carlisle United Church-Carlisle
003,11, ,2,133,0,21,18,103,0,0,,,,,,,,0,0,0,277,458,Carlisle United Church-Carlisle
003,12, ,1,81,3,24,21,65,1,0,,,,,,,,0,0,0,196,333,Valens Community Centre-Flamborough
003,13, ,0,71,2,15,16,58,0,1,,,,,,,,0,1,0,164,278,Balaclava Public School-Carlisle
003,014s, ,0,0,0,1,2,3,0,1,,,,,,,,0,0,0,7,28,Carlisle United Church-Carlisle
003,15, ,0,84,0,16,16,79,0,2,,,,,,,,0,0,0,197,369,Marian Hall-Freelton
003,16, ,0,115,0,22,13,76,0,3,,,,,,,,0,0,0,229,448,Balaclava Public School-Carlisle
003,17, ,0,88,3,12,17,58,0,0,,,,,,,,0,0,0,178,329,Flamborough Centre Public School-Flamborough
003,18, ,0,67,6,19,10,39,0,1,,,,,,,,0,1,0,143,250,Valens Community Centre-Flamborough
003,19, ,0,40,0,14,29,33,0,0,,,,,,,,1,0,0,117,211,Valens Community Centre-Flamborough
