ED,POLL NO.,URBAN,CARROLL,FABRIZIO,JACOBY-HAWKINS,PREDIE,ROSKAM,SALES,TASCONA,TAYLOR,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
BARRIE,,,,,,,,,,,,,,,,,,,,,,,
004,1,,113,0,17,0,0,1,79,19,,,,,,,,1,0,0,230,414,Sister Catherine Donnelly School-Barrie
004,2,,65,0,16,1,1,1,54,11,,,,,,,,0,0,0,149,360,Sister Catherine Donnelly School-Barrie
004,003A,,60,0,9,0,0,0,63,8,,,,,,,,0,0,0,140,266,Sister Catherine Donnelly School-Barrie
004,003B,,54,0,11,0,0,0,53,10,,,,,,,,0,0,0,128,248,Sister Catherine Donnelly School-Barrie
004,4,,57,18,0,1,0,2,60,13,,,,,,,,2,0,0,153,372,École élémentaire catholique Frère-André-Barrie
004,5,,73,0,16,1,0,0,39,10,,,,,,,,0,0,0,139,342,Terry Fox Public School-Barrie
004,6,,52,0,17,1,1,2,51,12,,,,,,,,0,0,0,136,390,Terry Fox Public School-Barrie
004,7,,91,0,21,1,0,0,79,13,,,,,,,,0,1,0,206,413,Terry Fox Public School-Barrie
004,8,,65,2,18,0,0,1,59,15,,,,,,,,1,0,0,161,365,Terry Fox Public School-Barrie
004,9,,67,1,13,0,0,0,85,20,,,,,,,,0,0,0,186,415,Terry Fox Public School-Barrie
004,10,,81,0,20,0,0,1,79,20,,,,,,,,0,1,1,203,441,Monsignor Clair Catholic School-Barrie
004,11,,74,0,20,0,0,0,67,9,,,,,,,,0,0,0,170,389,Sister Catherine Donnelly School-Barrie
004,12,,83,0,18,1,0,0,61,22,,,,,,,,0,0,0,185,432,Monsignor Clair Catholic School-Barrie
004,13,,50,0,5,0,0,0,47,8,,,,,,,,0,0,0,110,193,École élémentaire catholique Frère-André-Barrie
004,14,,79,0,13,2,0,1,62,9,,,,,,,,1,1,1,169,396,École élémentaire catholique Frère-André-Barrie
004,15,,22,1,17,0,1,0,10,10,,,,,,,,0,0,0,61,115,Georgian College Student Residence-Barrie
004,016s,,---------- COMBINED WITH POLL / COMBINÉ AVEC LE BUREAU DE VOTE 015 ----------,,,,,,,,,,,,,,,,,,,,The Royal Victoria Hospital-Barrie
004,17,,66,3,26,0,0,1,61,5,,,,,,,,0,0,0,162,416,Grace United Church-Barrie
004,18,,58,0,19,0,0,1,48,13,,,,,,,,1,0,1,141,363,Westminster Presbyterian Church-Barrie
004,19,,56,0,13,0,0,0,44,8,,,,,,,,0,0,0,121,313,First Baptist Church-Barrie
004,20,,50,0,17,0,0,0,38,16,,,,,,,,0,0,1,122,355,First Baptist Church-Barrie
004,21,,88,1,18,0,1,0,83,17,,,,,,,,0,0,0,208,407,West Bayfield Public School-Barrie
004,22,,93,1,17,0,1,1,65,11,,,,,,,,1,0,0,190,402,West Bayfield Public School-Barrie
004,23,,93,1,19,0,0,0,87,14,,,,,,,,1,1,0,216,435,St. Marguerite D'Youville School-Barrie
004,24,,38,1,9,0,0,0,32,14,,,,,,,,0,0,1,95,262,St. Marguerite D'Youville School-Barrie
004,25,,66,0,16,0,0,1,80,21,,,,,,,,0,0,1,185,411,Cundles Heights Public School-Barrie
004,26,,64,0,31,1,1,0,67,14,,,,,,,,1,0,0,179,417,Cundles Heights Public School-Barrie
004,27,,88,0,20,0,1,0,62,10,,,,,,,,0,1,0,182,427,Monsignor Clair Catholic School-Barrie
004,28,,67,0,22,0,1,0,56,12,,,,,,,,0,0,0,158,376,Cundles Heights Public School-Barrie
004,29,,71,1,14,0,0,0,66,12,,,,,,,,0,0,0,164,382,Monsignor Clair Catholic School-Barrie
004,30,,32,0,7,0,0,0,19,11,,,,,,,,2,0,0,71,269,Maple Grove Public School-Barrie
004,31,,68,1,22,1,0,0,73,12,,,,,,,,1,0,0,178,376,Maple Grove Public School-Barrie
004,32,,79,1,17,0,0,1,56,12,,,,,,,,0,0,0,166,316,Maple Grove Public School-Barrie
004,33,,51,0,19,0,1,0,40,17,,,,,,,,0,0,0,128,287,Steele Street Public School-Barrie
004,34,,56,0,16,0,1,1,50,15,,,,,,,,0,0,0,139,335,Steele Street Public School-Barrie
004,035s,,25,0,4,1,0,0,36,1,,,,,,,,0,0,0,67,145,Grove Park Home for Senior Citizens-Barrie
004,36,,87,0,21,0,0,1,54,13,,,,,,,,0,0,1,177,381,St. Monica's Elementary School-Barrie
004,37,,57,0,11,0,0,0,50,14,,,,,,,,0,0,0,132,352,St. Monica's Elementary School-Barrie
004,38,,73,1,27,0,0,0,31,20,,,,,,,,0,0,0,152,401,Westminster Presbyterian Church-Barrie
004,39,,69,2,16,0,0,0,49,22,,,,,,,,0,0,0,158,355,Grace United Church-Barrie
004,40,,56,0,21,0,0,0,50,14,,,,,,,,0,0,0,141,366,First Baptist Church-Barrie
004,41,,96,1,17,0,0,0,84,11,,,,,,,,0,0,0,209,469,First Baptist Church-Barrie
