ED,POLL NO.,URBAN,DUVALL,KIDD,LAW,PATFIELD,PRUE,TEAHEN ,WHITAKER,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
BEACHES--EAST YORK,,,,,,,,,,,,,,,,,
005,001, ,18,0,2,6,33,64,0,,,1,0,0,124,331,"Toronto,O'Connor Public School"
005,002, ,4,2,6,1,16,31,2,,,0,0,0,62,173,"Toronto,O'Connor Public School"
005,003, ,31,2,4,3,46,41,1,,,0,0,0,128,350,"Toronto,O'Connor Public School"
005,004, ,44,0,14,2,93,44,0,,,0,0,0,197,416,"Toronto,O'Connor Public School"
005,005, ,62,0,22,3,91,65,1,,,1,3,0,248,445,"Toronto,Victoria Park Public School"
005,006, ,18,2,18,1,48,38,0,,,1,0,0,126,291,"Toronto,O'Connor Public School"
005,007, ,25,1,12,2,84,44,2,,,0,1,1,172,380,"Toronto,Victoria Park Public School"
005,008, ,50,0,7,2,96,48,1,,,0,0,0,204,355,"Toronto,Presteign Heights Elementary Public School"
005,009, ,19,1,13,0,43,34,0,,,0,0,0,110,238,"Toronto,Presteign Heights Elementary Public School"
005,010, ,29,1,17,2,88,34,2,,,0,0,1,174,359,"Toronto,Gordon A. Brown Middle School"
005,011, ,13,2,4,2,32,31,0,,,0,0,0,84,193,"Toronto,Gordon A. Brown Middle School"
005,012, ,36,2,9,0,132,40,0,,,0,0,0,219,343,"Toronto,Gordon A. Brown Middle School"
005,013, ,40,0,19,0,87,27,1,,,0,0,2,176,335,"Toronto,Gordon A. Brown Middle School"
005,014, ,15,2,6,0,32,16,0,,,1,1,0,73,249,"Toronto,Victoria Park Public School"
005,015, ,2,1,6,1,48,35,1,,,0,0,0,94,273,"Toronto,Gower Park Place"
005,016, ,7,0,4,2,18,15,2,,,0,2,0,50,156,"Toronto,Gower Park Place"
005,017, ,57,1,16,2,98,48,1,,,3,1,0,227,349,"Toronto,Presteign Heights Elementary Public School"
005,018, ,49,0,20,2,91,52,1,,,0,0,0,215,361,"Toronto,Presteign Heights Elementary Public School"
005,019s, ,---------- COMBINED WITH POLL / COMBINÉ AVEC LE BUREAU DE VOTE 404 ----------,,,,,,,,,,,,,,"Toronto,St. Clair O'Connor Community"
005,020, ,30,1,19,3,96,34,0,,,0,0,0,183,374,"Toronto,Gordon A. Brown Middle School"
005,021, ,31,0,22,0,58,38,0,,,0,0,0,149,322,"Toronto,Gordon A. Brown Middle School"
005,022, ,56,0,16,4,68,37,1,,,0,1,4,187,344,"Toronto,George Webster Public School"
005,023, ,31,0,7,2,62,27,1,,,0,1,0,131,281,"Toronto,George Webster Public School"
005,024, ,21,1,12,1,47,44,0,,,0,0,0,126,290,"Toronto,George Webster Public School"
005,025, ,10,0,2,3,41,22,1,,,0,0,0,79,246,"Toronto,George Webster Public School"
005,026, ,11,1,3,2,46,25,0,,,1,0,0,89,249,"Toronto,George Webster Public School"
005,027, ,57,4,18,4,132,44,0,,,2,1,0,262,449,"Toronto,Presteign Heights Elementary Public School"
005,028, ,37,1,13,0,75,47,2,,,2,0,0,177,358,"Toronto,Presteign Heights Elementary Public School"
005,029, ,31,0,16,1,84,48,0,,,1,0,0,181,320,"Toronto,Gordon A. Brown Middle School"
005,030, ,41,2,28,2,99,33,3,,,0,0,0,208,367,"Toronto,George Webster Public School"
005,031, ,20,1,13,1,60,38,0,,,0,1,0,134,302,"Toronto,George Webster Public School"
005,032, ,43,1,18,2,125,46,0,,,1,0,0,236,505,"Toronto,Dawes Road Public Library"
005,033, ,53,2,4,11,65,59,0,,,0,1,1,196,472,"Toronto,Canadian Martyrs Catholic School"
