ED,POLL NO.,URBAN,CROWE,HAINES,HUNDAL,KULAR,NAIL,,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
BRAMALEA--GORE--MALTON,,,,,,,,,,,,,,,,,,,,,,,
006,001, ,19,18,74,71,2,,,,,,,,,,,3,2,0,189,389,"Brampton,St. Patrick Catholic School"
006,002, ,21,27,75,73,6,,,,,,,,,,,1,0,0,203,448,"Brampton,St. Patrick Catholic School"
006,003, ,18,12,61,105,1,,,,,,,,,,,2,1,0,200,451,"Brampton,Mount Royal Public School"
006,004, ,6,23,39,71,1,,,,,,,,,,,2,0,0,142,333,"Brampton,Mount Royal Public School"
006,005, ,15,10,28,40,1,,,,,,,,,,,0,0,0,94,239,"Brampton,Mount Royal Public School"
006,006, ,19,28,55,115,0,,,,,,,,,,,2,0,0,219,449,"Brampton,Mount Royal Public School"
006,007, ,11,28,55,98,4,,,,,,,,,,,3,0,0,199,512,"Brampton,St. Patrick Catholic School"
006,008, ,16,40,53,140,5,,,,,,,,,,,0,1,0,255,449,"Brampton,Mount Royal Public School"
006,009, ,13,44,52,73,1,,,,,,,,,,,0,4,0,187,415,"Brampton,Mount Royal Public School"
006,010, ,9,18,62,118,0,,,,,,,,,,,0,0,0,207,460,"Brampton,Holy Spirit Catholic Elementary School"
006,011, ,8,13,56,92,3,,,,,,,,,,,3,2,0,177,501,"Brampton,Holy Spirit Catholic Elementary School"
006,012, ,16,6,57,60,0,,,,,,,,,,,1,0,0,140,439,"Brampton,Thorndale Public School"
006,013, ,20,3,60,97,1,,,,,,,,,,,1,1,1,184,387,"Brampton,Thorndale Public School"
006,014, ,10,6,41,97,0,,,,,,,,,,,1,0,0,155,469,"Brampton,Thorndale Public School"
006,015, ,12,9,33,80,3,,,,,,,,,,,0,1,0,138,371,"Brampton,Thorndale Public School"
006,016, ,8,3,25,65,1,,,,,,,,,,,0,0,0,102,424,"Brampton,Thorndale Public School"
006,017, ,---------- COMBINED WITH POLL / COMBINÉ AVEC LE BUREAU DE VOTE 008 ----------,,,,,,,,,,,,,,,,,,,,"Brampton,Mount Royal Public School"
006,018, ,8,17,60,57,1,,,,,,,,,,,0,1,0,144,375,"Brampton,Eagle Plains Public School"
006,019, ,11,11,82,79,2,,,,,,,,,,,0,3,4,192,518,"Brampton,Eagle Plains Public School"
006,020, ,6,21,69,103,2,,,,,,,,,,,0,0,0,201,498,"Brampton,Eagle Plains Public School"
006,021, ,9,12,60,100,0,,,,,,,,,,,2,0,0,183,401,"Brampton,Holy Spirit Catholic Elementary School"
006,022, ,5,13,34,61,1,,,,,,,,,,,0,0,0,114,291,"Brampton,Treeline Public School"
006,023, ,6,12,47,97,2,,,,,,,,,,,2,0,0,166,467,"Brampton,Treeline Public School"
006,024, ,10,8,37,56,1,,,,,,,,,,,0,0,0,112,352,"Brampton,Red Willow Public School"
006,025, ,6,3,17,30,0,,,,,,,,,,,1,0,0,57,148,"Brampton,Red Willow Public School"
006,026, ,13,5,46,99,1,,,,,,,,,,,1,3,0,168,396,"Brampton,Clairville Public School"
006,027, ,10,5,54,110,1,,,,,,,,,,,2,1,0,183,447,"Brampton,Clairville Public School"
006,028, ,13,13,51,121,1,,,,,,,,,,,2,1,0,202,532,"Brampton,Thorndale Public School"
006,029, ,13,4,48,89,2,,,,,,,,,,,0,0,0,156,418,"Brampton,Clairville Public School"
006,030, ,4,5,34,89,0,,,,,,,,,,,0,0,1,133,447,"Brampton,Thorndale Public School"
006,031, ,13,10,46,75,1,,,,,,,,,,,0,0,0,145,463,"Brampton,Thorndale Public School"
006,032, ,8,8,17,61,1,,,,,,,,,,,3,0,0,98,218,"Brampton,Mountain Ash Middle School"
006,033, ,9,2,30,62,0,,,,,,,,,,,0,0,0,103,270,"Brampton,Eagle Plains Public School"
006,034, ,8,1,36,61,1,,,,,,,,,,,1,0,0,108,288,"Brampton,Eagle Plains Public School"
006,035, ,8,14,45,103,0,,,,,,,,,,,1,2,0,173,401,"Brampton,Eagle Plains Public School"
006,036, ,2,11,42,147,1,,,,,,,,,,,0,0,0,203,492,"Brampton,Eagle Plains Public School"
006,037, ,11,10,65,136,3,,,,,,,,,,,5,0,0,230,532,"Brampton,Mountain Ash Middle School"
006,038, ,10,13,57,99,3,,,,,,,,,,,1,0,0,183,452,"Brampton,Treeline Public School"
006,039, ,8,11,41,122,0,,,,,,,,,,,0,1,0,183,482,"Brampton,Treeline Public School"
006,040, ,10,16,62,132,2,,,,,,,,,,,2,1,0,225,532,"Brampton,Treeline Public School"
006,041, ,7,10,68,93,1,,,,,,,,,,,0,4,0,183,507,"Brampton,Holy Spirit Catholic Elementary School"
006,042, ,12,5,46,122,0,,,,,,,,,,,0,1,0,186,451,"Brampton,Red Willow Public School"
006,043, ,8,4,42,93,2,,,,,,,,,,,2,0,0,151,392,"Brampton,Red Willow Public School"
006,044, ,26,17,36,105,3,,,,,,,,,,,2,3,0,192,490,"Brampton,Red Willow Public School"
006,045, ,10,7,45,85,0,,,,,,,,,,,2,0,0,149,387,"Brampton,Red Willow Public School"
006,046, ,9,8,28,86,1,,,,,,,,,,,0,1,0,133,306,"Brampton,Red Willow Public School"
006,047, ,20,16,36,73,3,,,,,,,,,,,0,0,0,148,334,"Brampton,Calderstone Middle School"
006,048, ,11,8,26,78,3,,,,,,,,,,,3,0,0,129,272,"Brampton,Calderstone Middle School"
006,049, ,7,7,23,42,0,,,,,,,,,,,0,0,0,79,132,"Brampton,Calderstone Middle School"
006,050, ,10,15,28,54,1,,,,,,,,,,,0,0,3,111,284,"Brampton,Calderstone Middle School"
006,051, ,8,8,49,78,4,,,,,,,,,,,2,0,0,149,406,"Brampton,Clairville Public School"
006,052, ,11,7,70,132,1,,,,,,,,,,,0,3,0,224,522,"Brampton,Clairville Public School"
006,053, ,12,5,39,68,0,,,,,,,,,,,1,0,0,125,385,"Brampton,Clairville Public School"
006,054, ,12,10,28,64,0,,,,,,,,,,,1,0,0,115,367,"Brampton,Clairville Public School"
006,055, ,8,4,20,39,0,,,,,,,,,,,0,0,0,71,179,"Brampton,Mountain Ash Middle School"
006,056, ,6,10,43,76,3,,,,,,,,,,,1,0,0,139,413,"Brampton,Mountain Ash Middle School"
006,057, ,16,9,71,112,1,,,,,,,,,,,3,2,0,214,614,"Brampton,Mountain Ash Middle School"
006,058, ,14,7,46,116,1,,,,,,,,,,,0,0,0,184,470,"Brampton,Mountain Ash Middle School"
006,059, ,10,7,38,79,1,,,,,,,,,,,0,0,0,135,416,"Brampton,Mountain Ash Middle School"
006,060, ,5,8,65,100,1,,,,,,,,,,,1,0,0,180,490,"Brampton,Robert J. Lee Public School"
006,061, ,25,8,66,82,1,,,,,,,,,,,0,0,0,182,449,"Brampton,Father Clair Tipping School"
006,062, ,29,11,38,88,2,,,,,,,,,,,0,1,0,169,466,"Brampton,Father Clair Tipping School"
006,063, ,10,4,33,60,1,,,,,,,,,,,2,0,0,110,420,"Brampton,Robert J. Lee Public School"
006,064, ,6,5,26,48,0,,,,,,,,,,,3,0,0,88,327,"Brampton,Robert J. Lee Public School"
006,065, ,5,11,18,54,2,,,,,,,,,,,1,0,0,91,342,"Brampton,Father Clair Tipping School"
006,066, ,12,17,35,70,1,,,,,,,,,,,0,0,0,135,389,"Brampton,Red Willow Public School"
006,067, ,15,9,64,94,1,,,,,,,,,,,0,0,1,184,394,"Brampton,Clairville Public School"
006,068, ,20,4,51,85,0,,,,,,,,,,,0,2,0,162,444,"Brampton,Clairville Public School"
006,069, ,10,16,44,107,2,,,,,,,,,,,4,3,0,186,468,"Brampton,Robert J. Lee Public School"
006,070, ,23,10,37,49,2,,,,,,,,,,,0,0,0,121,339,"Brampton,Robert J. Lee Public School"
006,071, ,18,16,48,103,3,,,,,,,,,,,0,3,0,191,483,"Brampton,Robert J. Lee Public School"
006,072, ,20,7,57,114,1,,,,,,,,,,,2,1,0,202,513,"Brampton,Father Clair Tipping School"
006,073, ,10,2,44,68,3,,,,,,,,,,,0,0,0,127,390,"Brampton,Father Clair Tipping School"
006,074, ,19,17,44,65,0,,,,,,,,,,,1,0,0,146,425,"Brampton,Father Clair Tipping School"
006,075, ,14,3,22,62,0,,,,,,,,,,,2,0,0,103,342,"Brampton,Father Clair Tipping School"
006,076, ,8,8,34,55,0,,,,,,,,,,,3,0,0,108,332,"Brampton,Father Clair Tipping School"
006,077s, ,9,4,15,16,3,,,,,,,,,,,1,0,0,48,149,"Brampton,Leisureworld Caregiving Centre"
006,078, ,17,7,41,74,3,,,,,,,,,,,1,0,0,143,402,"Brampton,Robert J. Lee Public School"
006,079, ,13,8,43,83,2,,,,,,,,,,,0,0,0,149,381,"Brampton,Robert J. Lee Public School"
006,080, ,8,14,35,78,0,,,,,,,,,,,0,1,0,136,465,"Brampton,Professor's Lake Recreation Centre"
006,081, ,16,20,38,68,0,,,,,,,,,,,1,0,0,143,435,"Brampton,Professor's Lake Recreation Centre"
006,082, ,7,14,26,68,0,,,,,,,,,,,7,0,0,122,434,"Brampton,Red Willow Public School"
006,083, ,28,29,54,88,3,,,,,,,,,,,0,2,0,204,511,"Brampton,Professor's Lake Recreation Centre"
006,084, ,17,36,43,75,4,,,,,,,,,,,0,0,0,175,385,"Brampton,Professor's Lake Recreation Centre"
006,085, ,23,27,77,67,1,,,,,,,,,,,2,0,0,197,427,"Brampton,Professor's Lake Recreation Centre"
006,086, ,18,24,59,60,2,,,,,,,,,,,0,0,0,163,417,"Brampton,Professor's Lake Recreation Centre"
006,087, ,24,9,20,94,3,,,,,,,,,,,1,1,0,152,456,"Brampton,St. John Bosco Catholic School"
006,088, ,18,10,34,69,1,,,,,,,,,,,0,2,0,134,416,"Mississauga,Brandon Gate Public School"
006,089, ,23,30,64,63,6,,,,,,,,,,,0,0,1,187,417,"Brampton,Massey Street Public School"
006,090, ,24,30,47,72,3,,,,,,,,,,,0,1,0,177,400,"Brampton,St. Anthony Catholic School"
006,091, ,21,32,94,95,1,,,,,,,,,,,0,2,0,245,525,"Brampton,Professor's Lake Recreation Centre"
006,092, ,31,30,97,79,0,,,,,,,,,,,0,0,0,237,484,"Brampton,St. John Bosco Catholic School"
006,093, ,32,32,60,62,1,,,,,,,,,,,3,2,1,193,454,"Brampton,St. John Bosco Catholic School"
006,094, ,25,24,50,47,0,,,,,,,,,,,0,0,0,146,398,"Brampton,Jefferson Public School"
006,095, ,30,16,38,40,1,,,,,,,,,,,0,1,0,126,345,"Brampton,Jefferson Public School"
006,096, ,23,26,74,86,2,,,,,,,,,,,0,0,0,211,484,"Brampton,Jefferson Public School"
006,097, ,41,26,78,68,1,,,,,,,,,,,0,1,1,216,453,"Brampton,Grenoble Public School"
006,098, ,21,17,82,62,3,,,,,,,,,,,2,0,0,187,442,"Brampton,Grenoble Public School"
006,099, ,18,11,39,62,2,,,,,,,,,,,1,1,0,134,417,"Mississauga,Darcel Avenue Senior Public School"
006,100, ,31,10,45,58,0,,,,,,,,,,,0,1,0,145,388,"Brampton,Massey Street Public School"
006,101, ,19,7,14,31,2,,,,,,,,,,,0,0,0,73,240,"Brampton,Massey Street Public School"
006,102, ,29,28,52,75,0,,,,,,,,,,,0,0,0,184,426,"Brampton,Massey Street Public School"
006,103, ,36,31,45,62,2,,,,,,,,,,,1,0,0,177,400,"Brampton,St. Anthony Catholic School"
006,104, ,15,10,33,46,3,,,,,,,,,,,0,1,0,108,296,"Brampton,St. Anthony Catholic School"
006,105, ,15,13,20,34,1,,,,,,,,,,,0,1,0,84,209,"Brampton,St. Anthony Catholic School"
006,106, ,30,34,65,85,1,,,,,,,,,,,1,1,0,217,416,"Brampton,Massey Street Public School"
006,107, ,14,8,14,30,0,,,,,,,,,,,0,0,0,66,174,"Brampton,St. Anthony Catholic School"
006,108, ,31,23,66,62,4,,,,,,,,,,,1,0,0,187,421,"Brampton,Mother Mary Ward Catholic School"
006,109, ,25,44,45,76,2,,,,,,,,,,,4,2,0,198,453,"Brampton,St. Anthony Catholic School"
006,110, ,30,51,64,88,2,,,,,,,,,,,1,0,0,236,495,"Brampton,Williams Parkway Senior Public School"
006,111, ,32,19,85,84,6,,,,,,,,,,,0,1,0,227,456,"Brampton,Jefferson Public School"
006,112, ,40,24,65,64,1,,,,,,,,,,,0,0,0,194,392,"Brampton,St. Jean-Brebeuf Catholic School"
006,113, ,32,28,60,43,1,,,,,,,,,,,2,0,0,166,379,"Brampton,St. Jean-Brebeuf Catholic School"
006,114, ,25,13,56,53,0,,,,,,,,,,,1,0,0,148,371,"Brampton,St. Jean-Brebeuf Catholic School"
006,115, ,21,13,19,24,1,,,,,,,,,,,0,0,0,78,234,"Brampton,St. Jean-Brebeuf Catholic School"
006,116, ,32,32,70,58,5,,,,,,,,,,,1,1,0,199,550,"Brampton,Grenoble Public School"
006,117, ,41,20,39,41,1,,,,,,,,,,,1,0,0,143,337,"Brampton,Goldcrest Public School"
006,118, ,---------- NO POLL TAKEN / AUCUN VOTE INSCRIT ----------,,,,,,,,,,,,,,,0,0,0,0,0,"Brampton,"
006,119, ,42,31,53,74,5,,,,,,,,,,,0,0,0,205,470,"Brampton,Goldcrest Public School"
006,120, ,34,25,54,51,2,,,,,,,,,,,7,0,0,173,413,"Brampton,Grenoble Public School"
006,121, ,19,33,76,82,0,,,,,,,,,,,1,0,0,211,404,"Brampton,Goldcrest Public School"
006,122, ,24,19,43,61,2,,,,,,,,,,,1,1,0,151,414,"Brampton,Fallingdale Public School"
006,123, ,14,7,22,53,0,,,,,,,,,,,0,0,0,96,367,"Mississauga,St. Raphael Catholic School"
006,124, ,23,27,35,86,1,,,,,,,,,,,3,3,0,178,460,"Mississauga,Brandon Gate Public School"
006,125, ,16,10,26,88,4,,,,,,,,,,,1,3,0,148,372,"Mississauga,Brandon Gate Public School"
006,126, ,15,7,37,97,6,,,,,,,,,,,0,1,1,164,454,"Mississauga,Brandon Gate Public School"
006,127, ,21,6,36,65,3,,,,,,,,,,,1,1,0,133,396,"Mississauga,Darcel Avenue Senior Public School"
006,128, ,19,12,40,94,1,,,,,,,,,,,0,0,0,166,511,"Mississauga,Darcel Avenue Senior Public School"
006,129, ,29,46,52,96,3,,,,,,,,,,,1,2,0,229,477,"Brampton,Mother Mary Ward Catholic School"
006,130, ,15,18,47,65,2,,,,,,,,,,,1,0,0,148,337,"Brampton,Mother Mary Ward Catholic School"
