ED,POLL NO.,URBAN,CULLEN,JEFFREY,MCCLELLAND,ROWLEY,SINGH,TOTEDA,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
BRAMPTON--SPRINGDALE,,,,,,,,,,,,,,,,,,,,,,,
007,001, ,7,55,40,0,19,1,,,,,,,,,,1,0,0,123,410,"Brampton,Springdale Public School"
007,002, ,---------- NO POLL TAKEN / AUCUN VOTE INSCRIT ----------,,,,,,,,,,,,,,,0,0,0,0,0,"Brampton,"
007,003, ,---------- NO POLL TAKEN / AUCUN VOTE INSCRIT ----------,,,,,,,,,,,,,,,0,0,0,0,0,"Brampton,"
007,004, ,1,58,26,0,15,3,,,,,,,,,,0,0,0,103,267,"Brampton,Sunny View Middle School"
007,005, ,2,53,25,4,26,0,,,,,,,,,,2,0,0,112,295,"Brampton,Sunny View Middle School"
007,006, ,7,95,27,0,40,0,,,,,,,,,,2,1,0,172,486,"Brampton,Sunny View Middle School"
007,007, ,3,65,15,0,16,1,,,,,,,,,,0,0,0,100,325,"Brampton,Stanley Mills Public School"
007,008, ,1,113,33,1,38,0,,,,,,,,,,1,0,0,187,511,"Brampton,Sunny View Middle School"
007,009, ,7,85,32,2,37,0,,,,,,,,,,1,0,0,164,435,"Brampton,Stanley Mills Public School"
007,010, ,9,84,32,0,21,2,,,,,,,,,,1,0,0,149,398,"Brampton,Stanley Mills Public School"
007,011, ,15,95,48,0,34,0,,,,,,,,,,3,0,0,195,500,"Brampton,Good Shepherd Elementary School"
007,012, ,7,114,42,0,16,2,,,,,,,,,,0,1,0,182,501,"Brampton,Good Shepherd Elementary School"
007,013, ,4,87,35,0,26,1,,,,,,,,,,0,0,0,153,416,"Brampton,St. Marguerite D'Youville Secondary School"
007,014, ,4,101,42,0,38,0,,,,,,,,,,1,0,0,186,474,"Brampton,Springdale Public School"
007,015, ,4,71,23,0,14,1,,,,,,,,,,0,0,0,113,376,"Brampton,Springdale Public School"
007,016s, ,2,20,19,1,4,2,,,,,,,,,,2,0,0,50,150,"Brampton,Leisureworld Caregiving Centre"
007,017, ,5,49,10,0,21,0,,,,,,,,,,0,1,0,86,242,"Brampton,Stanley Mills Public School"
007,018, ,3,72,19,0,12,2,,,,,,,,,,3,0,0,111,361,"Brampton,Stanley Mills Public School"
007,019, ,1,126,25,0,27,1,,,,,,,,,,0,0,0,180,436,"Brampton,Larkspur Public School"
007,020, ,6,117,21,0,30,3,,,,,,,,,,0,0,0,177,437,"Brampton,Good Shepherd Elementary School"
007,021, ,10,110,41,1,35,1,,,,,,,,,,1,0,0,199,450,"Brampton,Larkspur Public School"
007,022, ,2,95,24,1,31,1,,,,,,,,,,0,0,0,154,438,"Brampton,Good Shepherd Elementary School"
007,023, ,10,91,31,0,43,2,,,,,,,,,,1,0,0,178,508,"Brampton,Good Shepherd Elementary School"
007,024, ,11,94,26,1,15,0,,,,,,,,,,0,0,0,147,397,"Brampton,Good Shepherd Elementary School"
007,025, ,9,57,30,0,31,0,,,,,,,,,,4,0,0,131,374,"Brampton,Good Shepherd Elementary School"
007,026, ,5,67,13,1,17,0,,,,,,,,,,1,0,0,104,331,"Brampton,St. Marguerite D'Youville Secondary School"
007,027, ,6,67,17,0,18,0,,,,,,,,,,0,0,0,108,359,"Brampton,St. Marguerite D'Youville Secondary School"
007,028, ,4,80,13,0,30,1,,,,,,,,,,1,0,0,129,369,"Brampton,Father Michael J. McGivney Catholic School"
007,029, ,5,96,29,3,28,0,,,,,,,,,,3,0,0,164,568,"Brampton,Father Michael J. McGivney Catholic School"
007,030, ,5,83,26,0,13,1,,,,,,,,,,0,0,0,128,380,"Brampton,Springdale Public School"
007,031, ,9,85,42,1,20,3,,,,,,,,,,2,1,0,163,458,"Brampton,Springdale Public School"
007,032, ,10,68,43,1,11,0,,,,,,,,,,0,2,0,135,405,"Brampton,Springdale Public School"
007,033, ,7,114,44,2,28,1,,,,,,,,,,5,0,0,201,476,"Brampton,Fernforest Public School"
007,034, ,5,76,29,1,17,6,,,,,,,,,,1,1,0,136,400,"Brampton,Fernforest Public School"
007,035, ,6,67,35,1,30,1,,,,,,,,,,0,0,0,140,424,"Brampton,Fernforest Public School"
007,036, ,11,92,25,0,37,2,,,,,,,,,,0,1,0,168,388,"Brampton,Larkspur Public School"
007,037, ,7,69,32,2,12,2,,,,,,,,,,1,1,0,126,377,"Brampton,Larkspur Public School"
