ED,POLL NO.,URBAN,FERGUSON,LEVAC,MCCREARY,SHELEGY,TURMEL,VAN TILBORG,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
BRANT,,,,,,,,,,,,,,,,,,,,,,,
009,001, ,4,94,98,17,2,21,,,,,,,,,,1,0,1,238,375,"Brant County,St. George Fire Hall"
009,002, ,3,40,33,7,3,10,,,,,,,,,,1,0,0,97,258,"Paris,Paris Fairgrounds"
009,003, ,3,134,118,23,2,15,,,,,,,,,,0,0,0,295,415,"Brant County,Glen Morris Central Public School"
009,004, ,1,82,117,11,1,20,,,,,,,,,,1,0,0,233,398,"Brant County,St. George Fire Hall"
009,005, ,0,56,85,6,2,7,,,,,,,,,,0,0,0,156,237,"Brant County,St. George Fire Hall"
009,006, ,1,60,49,7,1,11,,,,,,,,,,0,0,0,129,257,"Brant County,St. George-German Public School"
009,007, ,5,110,84,23,0,26,,,,,,,,,,1,0,0,249,432,"Brant County,St. George-German Public School"
009,008, ,1,83,84,16,0,22,,,,,,,,,,1,0,0,207,372,"Brant County,St. George-German Public School"
009,009, ,3,76,59,20,1,15,,,,,,,,,,1,0,0,175,324,"Brant County,St. George Fire Hall"
009,010, ,0,101,78,18,0,20,,,,,,,,,,1,0,0,218,401,"Brant County,St. George-German Public School"
009,011, ,1,150,97,33,2,28,,,,,,,,,,1,0,0,312,573,"Paris,Paris Fairgrounds"
009,012, ,1,88,82,17,0,13,,,,,,,,,,1,0,0,202,393,"Brant County,Glen Morris Central Public School"
009,013, ,0,94,85,16,1,13,,,,,,,,,,0,0,0,209,362,"Brant County,Paris District High School"
009,014, ,1,79,103,20,1,19,,,,,,,,,,0,0,1,224,415,"Brant County,St. George-German Public School"
009,015, ,2,78,66,7,0,8,,,,,,,,,,1,0,0,162,332,"Paris,Paris Fairgrounds"
009,016, ,1,77,55,15,1,19,,,,,,,,,,0,0,0,168,318,"Paris,Paris Fairgrounds"
009,017, ,0,78,66,17,1,28,,,,,,,,,,0,0,0,190,392,"Brant County,Holy Family Elementary School"
009,018, ,1,75,61,19,5,32,,,,,,,,,,0,0,0,193,426,"Brant County,Holy Family Elementary School"
009,019s, ,0,16,14,0,0,2,,,,,,,,,,0,1,0,33,126,"Brant County,Park Lane Terrace"
009,020s, ,4,63,28,6,4,10,,,,,,,,,,9,2,0,126,215,"Brant County,Tefler Place"
009,021, ,2,87,62,10,0,21,,,,,,,,,,0,0,0,182,340,"Brant County,Holy Family Elementary School"
009,022, ,0,71,53,8,0,12,,,,,,,,,,0,0,0,144,312,"Brant County,St. George-German Public School"
009,023, ,0,81,75,20,2,32,,,,,,,,,,1,0,0,211,369,"Paris,Paris Fairgrounds"
009,024, ,0,82,35,18,2,19,,,,,,,,,,0,0,0,156,376,"Brant County,Paris District High School"
