ED,POLL NO.,URBAN,COOK,DEVRIES,HICKS,JOHNSTONE,JOLLEY,MURDOCH,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
BRUCE--GREY--OWEN SOUND,,,,,,,,,,,,,,,,,,,,,,,
010,001, ,1,0,16,0,21,35,,,,,,,,,,1,0,0,74,110,"Northern Bruce Peninsula,St. Edmunds Community Centre"
010,002, ,0,0,14,5,40,24,,,,,,,,,,0,0,0,83,97,"Northern Bruce Peninsula,St. Edmunds Community Centre"
010,003, ,0,1,19,5,56,55,,,,,,,,,,2,0,0,138,185,"Northern Bruce Peninsula,St. Edmunds Community Centre"
010,004, ,0,0,17,12,49,37,,,,,,,,,,0,1,0,116,186,"Northern Bruce Peninsula,St. Edmunds Community Centre"
010,005, ,0,0,20,7,49,55,,,,,,,,,,0,0,1,132,209,"Northern Bruce Peninsula,Lindsay Hall"
010,006, ,0,0,18,1,32,46,,,,,,,,,,0,0,0,97,161,"Northern Bruce Peninsula,St. Edmunds Community Centre"
010,007, ,1,0,16,8,45,66,,,,,,,,,,1,0,0,137,195,"Northern Bruce Peninsula,Lindsay Hall"
010,008, ,0,0,14,3,46,23,,,,,,,,,,0,0,0,86,285,"Northern Bruce Peninsula,Lindsay Hall"
010,009s, ,0,0,3,0,2,16,,,,,,,,,,1,1,0,23,66,"Northern Bruce Peninsula,Golden Dawn Senior Citizen Home"
010,010, ,1,3,24,4,52,96,,,,,,,,,,0,0,0,180,266,"Lion's Head,Rotary Hall"
010,011s, ,..........................NO POLL HELD........................,,,,,,,,,,,,,,,0,0,0,0,0,"Lion's Head,"
010,012, ,0,0,20,3,48,78,,,,,,,,,,0,0,0,149,333,"Lion's Head,Rotary Hall"
010,013, ,0,0,17,2,39,62,,,,,,,,,,2,0,0,122,251,"Lion's Head,Rotary Hall"
010,014, ,0,3,14,5,67,97,,,,,,,,,,0,0,0,186,329,"Lion's Head,Rotary Hall"
010,015, ,0,1,19,11,90,5,,,,,,,,,,0,0,0,126,498,"Cape Crocker,Chippewa-Nawash Community Centre"
010,016, ,0,0,29,4,45,47,,,,,,,,,,1,1,0,127,217,"Lion's Head,Rotary Hall"
010,017, ,1,1,25,1,43,76,,,,,,,,,,0,0,0,147,244,"Oliphant,Oliphant Women's Institute Hall"
010,018, ,0,0,9,3,16,34,,,,,,,,,,0,0,0,62,98,"Oliphant,Oliphant Women's Institute Hall"
010,019, ,0,2,17,8,30,83,,,,,,,,,,0,0,0,140,297,"Wiarton,Royal Canadian Legion - Branch 208"
010,020, ,0,0,27,15,44,76,,,,,,,,,,0,0,0,162,331,"Wiarton,Royal Canadian Legion - Branch 208"
010,021, ,1,0,16,6,47,60,,,,,,,,,,0,0,0,130,209,"Wiarton,Salvation Army"
010,022, ,2,0,19,13,56,73,,,,,,,,,,0,0,0,163,312,"Wiarton,Salvation Army"
010,023, ,1,3,20,2,79,69,,,,,,,,,,0,0,0,174,258,"Kemble,Kemble and District Arena"
010,024, ,0,0,4,2,19,28,,,,,,,,,,0,0,0,53,158,"Oliphant,Oliphant Women's Institute Hall"
010,025, ,0,0,5,8,10,26,,,,,,,,,,0,0,0,49,131,"Wiarton,Royal Canadian Legion - Branch 208"
010,026, ,0,0,13,3,30,27,,,,,,,,,,0,0,0,73,147,"Wiarton,Royal Canadian Legion - Branch 208"
010,027, ,0,1,11,3,31,47,,,,,,,,,,0,0,0,93,260,"Wiarton,Royal Canadian Legion - Branch 208"
010,028, ,1,3,23,7,53,49,,,,,,,,,,0,0,2,138,297,"Wiarton,Peninsula Shores District School"
010,029, ,0,2,16,1,38,41,,,,,,,,,,0,0,0,98,272,"Wiarton,Peninsula Shores District School"
010,030s, ,......................COMBINED WITH POLL 028 ....................,,,,,,,,,,,,,,,,,,,,"Wiarton,New Horizons"
010,031, ,0,0,8,4,29,35,,,,,,,,,,1,0,0,77,199,"Wiarton,Peninsula Shores District School"
010,032, ,1,1,15,4,49,42,,,,,,,,,,0,0,0,112,288,"Wiarton,Peninsula Shores District School"
010,033s, ,..........................NO POLL HELD........................,,,,,,,,,,,,,,,0,0,0,0,0,"South Bruce Peninsula,"
010,034, ,1,0,11,5,55,52,,,,,,,,,,0,0,0,124,279,"Wiarton,Salvation Army"
010,035s, ,0,0,3,0,6,12,,,,,,,,,,0,0,0,21,100,"South Bruce Peninsula,Gateway Haven"
010,036, ,0,1,22,8,37,72,,,,,,,,,,2,1,0,143,290,"Wiarton,Salvation Army"
010,037, ,0,2,15,4,8,30,,,,,,,,,,0,0,0,59,137,"Wiarton,Royal Canadian Legion - Branch 208"
010,038, ,2,1,24,7,69,83,,,,,,,,,,0,0,0,186,439,"Wiarton,Salvation Army"
010,039, ,1,1,23,6,106,89,,,,,,,,,,0,0,0,226,412,"Kemble,Kemble and District Arena"
010,040, ,0,0,6,3,92,80,,,,,,,,,,0,0,0,181,306,"Owen Sound,Woodford Community Centre"
010,041, ,0,0,18,1,55,67,,,,,,,,,,0,0,0,141,212,"Meaford,Meaford and St. Vincent Community Centre"
010,042, ,0,2,22,10,33,60,,,,,,,,,,0,1,0,128,252,"Sauble Beach,Amabel-Sauble Community School"
010,043, ,0,0,23,6,27,47,,,,,,,,,,0,1,0,104,170,"Sauble Beach,Amabel-Sauble Community School"
010,044, ,0,2,24,7,61,78,,,,,,,,,,1,0,0,173,259,"Sauble Beach,Amabel-Sauble Community School"
010,045, ,0,9,24,9,44,101,,,,,,,,,,2,1,0,190,288,"Sauble Beach,Amabel-Sauble Community School"
010,046, ,1,1,7,0,44,72,,,,,,,,,,0,0,0,125,285,"Shallow Lake,Shallow Lake Community Centre"
010,047, ,0,3,21,8,45,76,,,,,,,,,,1,0,0,154,305,"Shallow Lake,Shallow Lake Community Centre"
010,048, ,0,11,41,5,104,139,,,,,,,,,,0,0,0,300,544,"Shallow Lake,United Church of Canada"
010,049, ,0,1,20,0,53,53,,,,,,,,,,0,0,0,127,211,"Owen Sound,Community Church of Christ"
010,050, ,3,0,36,13,166,109,,,,,,,,,,1,0,0,328,564,"Kemble,Kemble and District Arena"
010,051, ,0,3,28,2,112,74,,,,,,,,,,1,0,0,220,391,"Owen Sound,Notre Dame Catholic School"
010,052, ,0,2,25,10,91,16,,,,,,,,,,0,0,1,145,382,"Southampton,James Mason Memorial Culture and Recreation Centre"
010,053, ,0,1,27,0,31,63,,,,,,,,,,0,0,0,122,183,"Sauble Beach,Amabel-Sauble Community School"
010,054, ,0,1,19,10,22,32,,,,,,,,,,0,1,0,85,141,"Sauble Beach,Amabel-Sauble Community School"
010,055, ,0,0,24,6,18,41,,,,,,,,,,0,0,0,89,141,"Sauble Beach,Amabel-Sauble Community School"
010,056, ,0,7,21,9,61,108,,,,,,,,,,0,1,0,207,365,"Shallow Lake,Shallow Lake Community Centre"
010,057, ,2,1,19,7,58,64,,,,,,,,,,0,0,1,152,347,"Shallow Lake,Shallow Lake Community Centre"
010,058, ,1,8,32,6,87,118,,,,,,,,,,0,0,0,252,412,"Shallow Lake,United Church of Canada"
010,059, ,0,4,28,3,104,131,,,,,,,,,,2,1,0,273,432,"Owen Sound,Community Church of Christ"
010,060, ,0,0,26,7,66,66,,,,,,,,,,0,0,0,165,284,"Owen Sound,Community Church of Christ"
