ED,POLL NO.,URBAN,CARMICHAEL,HEALEY,MARTINIUK,MCGARRY,VANDERVET,,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
CAMBRIDGE,,,,,,,,,,,,,,,,,,,,,,,
012,001s, ,0,3,14,8,0,,,,,,,,,,,0,0,0,25,74,"Cambridge,Cambridge Country Manor"
012,002, ,19,19,120,70,3,,,,,,,,,,,0,1,0,232,439,"Cambridge,Wanner Mennonite Church"
012,003, ,19,28,68,59,4,,,,,,,,,,,0,1,0,179,396,"Cambridge,Silverheights Public School"
012,004, ,31,28,61,36,2,,,,,,,,,,,1,0,0,159,313,"Cambridge,Silverheights Public School"
012,005, ,21,28,87,69,2,,,,,,,,,,,0,0,0,207,431,"Cambridge,Hillcrest Public School"
012,006, ,11,17,70,66,0,,,,,,,,,,,0,0,0,164,410,"Cambridge,Hillcrest Public School"
012,007, ,16,34,63,44,5,,,,,,,,,,,1,0,0,163,342,"Cambridge,Silverheights Public School"
012,008, ,27,19,86,62,2,,,,,,,,,,,0,1,0,197,435,"Cambridge,Silverheights Public School"
012,009, ,24,25,81,54,1,,,,,,,,,,,0,0,0,185,379,"Cambridge,Silverheights Public School"
012,010, ,24,28,70,77,5,,,,,,,,,,,0,0,0,204,419,"Cambridge,Silverheights Public School"
012,011, ,16,18,49,43,0,,,,,,,,,,,0,0,0,126,287,"Cambridge,W. G. Johnson Centre"
012,012, ,26,31,81,68,3,,,,,,,,,,,0,0,0,209,356,"Cambridge,Hillcrest Public School"
012,013, ,19,23,66,67,2,,,,,,,,,,,0,0,0,177,399,"Cambridge,Hillcrest Public School"
012,014, ,15,17,56,55,2,,,,,,,,,,,0,0,0,145,313,"Cambridge,Our Lady of Fatima Elementary School"
012,015, ,11,9,53,72,1,,,,,,,,,,,2,0,0,148,345,"Cambridge,Hillcrest Public School"
012,016, ,15,20,83,58,0,,,,,,,,,,,0,1,0,177,425,"Cambridge,Our Lady of Fatima Elementary School"
012,017, ,7,20,45,41,2,,,,,,,,,,,0,1,0,116,336,"Cambridge,Our Lady of Fatima Elementary School"
012,018, ,19,21,89,50,6,,,,,,,,,,,0,0,0,185,430,"Cambridge,École secondaire Père-René-de-Galinée"
012,019, ,12,34,71,54,1,,,,,,,,,,,1,1,0,174,396,"Cambridge,Silverheights Public School"
012,020, ,13,18,26,18,4,,,,,,,,,,,0,0,0,79,226,"Cambridge,Centennial Public School"
012,021, ,17,13,28,19,0,,,,,,,,,,,0,0,0,77,268,"Cambridge,Centennial Public School"
012,022, ,18,20,81,44,2,,,,,,,,,,,0,1,0,166,361,"Cambridge,Centennial Public School"
012,023, ,26,26,69,63,3,,,,,,,,,,,1,0,0,188,338,"Cambridge,W. G. Johnson Centre"
012,024, ,17,35,48,37,1,,,,,,,,,,,0,0,1,139,274,"Cambridge,W. G. Johnson Centre"
012,025, ,29,30,104,75,0,,,,,,,,,,,0,0,0,238,383,"Cambridge,Jacob Hespeler Lodge"
012,026, ,21,28,73,78,1,,,,,,,,,,,0,1,0,202,434,"Cambridge,Jacob Hespeler Lodge"
012,027, ,25,25,78,49,1,,,,,,,,,,,0,0,0,178,361,"Cambridge,Our Lady of Fatima Elementary School"
012,028, ,13,12,65,41,1,,,,,,,,,,,1,0,0,133,349,"Cambridge,St. James Anglican Church"
012,029, ,8,11,87,49,3,,,,,,,,,,,1,0,0,159,404,"Cambridge,St. James Anglican Church"
012,030, ,14,16,64,67,1,,,,,,,,,,,1,2,0,165,386,"Cambridge,St. James Anglican Church"
012,031, ,8,16,68,43,3,,,,,,,,,,,0,0,0,138,360,"Cambridge,St. James Anglican Church"
012,032, ,20,16,76,65,0,,,,,,,,,,,0,0,0,177,376,"Cambridge,St. James Anglican Church"
012,033, ,17,29,47,37,1,,,,,,,,,,,0,0,0,131,275,"Cambridge,Jacob Hespeler Secondary School"
012,035, ,14,21,65,40,2,,,,,,,,,,,0,0,0,142,303,"Cambridge,Jacob Hespeler Secondary School"
012,036, ,15,21,66,55,1,,,,,,,,,,,1,0,0,159,345,"Cambridge,Jacob Hespeler Secondary School"
012,037, ,8,12,24,26,4,,,,,,,,,,,0,1,0,75,142,"Cambridge,Jacob Hespeler Secondary School"
012,038s, ,7,15,78,49,2,,,,,,,,,,,4,0,0,155,304,"Cambridge,St. Luke's Place"
012,039, ,18,28,107,101,3,,,,,,,,,,,0,0,0,257,461,"Cambridge,Hespeler Public School"
012,040, ,14,37,87,60,6,,,,,,,,,,,0,0,0,204,467,"Cambridge,Hespeler Public School"
012,041, ,23,29,118,81,6,,,,,,,,,,,0,0,0,257,484,"Cambridge,Hespeler Public School"
012,042, ,15,16,115,104,7,,,,,,,,,,,3,2,0,262,496,"Cambridge,Hespeler Public School"
012,043, ,10,10,101,99,2,,,,,,,,,,,0,0,0,222,476,"Cambridge,St. James Anglican Church"
012,044, ,12,25,88,70,2,,,,,,,,,,,2,1,0,200,474,"Cambridge,Hespeler Public School"
012,045, ,13,24,44,45,1,,,,,,,,,,,0,0,0,127,302,"Cambridge,Coronation Public School"
012,046, ,7,13,17,39,0,,,,,,,,,,,0,0,0,76,223,"Cambridge,Saginaw Public School"
012,047, ,10,22,41,32,2,,,,,,,,,,,0,1,0,108,298,"Cambridge,Grace Bible Church"
012,048, ,7,14,27,39,2,,,,,,,,,,,0,0,0,89,251,"Cambridge,Preston Public School"
012,049, ,17,29,50,44,1,,,,,,,,,,,0,0,0,141,355,"Cambridge,Preston Public School"
012,050s, ,1,6,13,18,1,,,,,,,,,,,2,1,0,42,116,"Cambridge,Golden Years Nursing Home"
012,051, ,6,16,43,31,1,,,,,,,,,,,0,0,0,97,293,"Cambridge,Preston Public School"
012,052, ,14,19,44,38,7,,,,,,,,,,,0,0,0,122,336,"Cambridge,Coronation Public School"
012,053, ,10,21,73,58,3,,,,,,,,,,,0,0,0,165,343,"Cambridge,École élémentaire Saint-Noël-Chabanel"
012,054, ,16,31,61,59,1,,,,,,,,,,,1,1,0,170,425,"Cambridge,École élémentaire Saint-Noël-Chabanel"
012,055, ,17,12,67,41,0,,,,,,,,,,,0,0,0,137,351,"Cambridge,École élémentaire Saint-Noël-Chabanel"
012,056, ,2,9,12,15,3,,,,,,,,,,,0,1,0,42,120,"Cambridge,St. Benedict Catholic Secondary School"
012,057, ,4,7,70,59,1,,,,,,,,,,,0,1,0,142,401,"Cambridge,Saginaw Public School"
012,058, ,6,5,31,31,3,,,,,,,,,,,0,0,0,76,147,"Cambridge,Saginaw Public School"
012,059, ,11,17,29,61,1,,,,,,,,,,,0,0,0,119,323,"Cambridge,Saginaw Public School"
012,060, ,14,8,72,63,0,,,,,,,,,,,0,0,1,158,395,"Cambridge,Saginaw Public School"
012,061, ,2,11,16,15,3,,,,,,,,,,,0,2,0,49,130,"Cambridge,Parkway Public School"
012,062, ,10,28,40,33,1,,,,,,,,,,,1,0,0,113,303,"Cambridge,Parkway Public School"
012,063, ,12,16,55,42,4,,,,,,,,,,,0,0,0,129,329,"Cambridge,Parkway Public School"
012,064, ,11,18,68,42,0,,,,,,,,,,,1,0,0,140,319,"Cambridge,Grace Bible Church"
012,065, ,13,24,42,40,0,,,,,,,,,,,0,0,0,119,272,"Cambridge,Preston High School"
012,066, ,18,25,53,61,1,,,,,,,,,,,1,0,0,159,333,"Cambridge,Allan Reuter Centre (Arc II)"
012,067, ,17,19,47,33,1,,,,,,,,,,,0,0,0,117,309,"Cambridge,Allan Reuter Centre (Arc II)"
012,068, ,22,29,46,28,1,,,,,,,,,,,0,1,1,128,239,"Cambridge,St. Peter's Place"
012,069, ,9,7,42,24,3,,,,,,,,,,,0,0,0,85,238,"Cambridge,Preston Public School"
012,070, ,4,10,29,26,0,,,,,,,,,,,0,0,0,69,186,"Cambridge,Preston High School"
012,071, ,16,25,59,49,1,,,,,,,,,,,0,0,0,150,344,"Cambridge,Preston Public School"
012,072, ,8,26,32,27,1,,,,,,,,,,,2,0,0,96,295,"Cambridge,Grand View Public School"
012,073, ,11,29,68,35,4,,,,,,,,,,,0,1,1,149,347,"Cambridge,Coronation Public School"
012,074, ,16,18,55,30,5,,,,,,,,,,,1,1,0,126,328,"Cambridge,William G. Davis Public School"
012,075s, ,2,20,95,56,2,,,,,,,,,,,0,0,1,176,236,"Cambridge,Fairview Home & Apartments"
012,076, ,14,17,61,51,3,,,,,,,,,,,0,1,0,147,345,"Cambridge,William G. Davis Public School"
012,077, ,1,11,14,16,0,,,,,,,,,,,0,0,0,42,180,"Cambridge,École élémentaire Saint-Noël-Chabanel"
012,078, ,14,29,68,48,6,,,,,,,,,,,1,0,0,166,372,"Cambridge,William G. Davis Public School"
012,079, ,1,9,18,18,0,,,,,,,,,,,0,0,0,46,202,"Cambridge,École élémentaire Saint-Noël-Chabanel"
012,080, ,14,46,66,60,3,,,,,,,,,,,0,0,0,189,430,"Cambridge,William G. Davis Public School"
012,081, ,20,19,83,75,2,,,,,,,,,,,0,0,0,199,446,"Cambridge,Ryerson Public School"
012,082, ,5,7,26,48,2,,,,,,,,,,,1,0,0,89,258,"Cambridge,Islamic School of Cambridge"
012,083, ,10,25,39,38,2,,,,,,,,,,,0,0,0,114,357,"Cambridge,Christ the King Elementary School"
012,084, ,5,25,59,57,2,,,,,,,,,,,3,0,0,151,335,"Cambridge,St. Benedict Catholic Secondary School"
012,085, ,9,20,65,82,3,,,,,,,,,,,0,1,0,180,414,"Cambridge,St. Benedict Catholic Secondary School"
012,086, ,12,11,81,78,1,,,,,,,,,,,4,1,0,188,450,"Cambridge,St. Benedict Catholic Secondary School"
012,087, ,10,16,90,75,0,,,,,,,,,,,0,0,0,191,478,"Cambridge,St. Benedict Catholic Secondary School"
012,088, ,15,12,73,59,2,,,,,,,,,,,0,0,2,163,427,"Cambridge,St. Benedict Catholic Secondary School"
012,089, ,12,15,101,101,2,,,,,,,,,,,1,1,0,233,466,"Cambridge,Mother Teresa Elementary School"
012,090, ,24,10,100,81,0,,,,,,,,,,,0,0,0,215,439,"Cambridge,Saginaw Public School"
