ED,POLL NO.,URBAN,ALEXANDER,CORNELL,HADSKIS,JAMES,OGILVIE,STERLING,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
CARLETON--MISSISSIPPI MILLS,,,,,,,,,,,,,,,,,,,,,,,
013,001, ,1,65,13,0,41,100,,,,,,,,,,1,0,1,222,463,"Kinburn,West Carleton Community Complex"
013,002, ,3,38,16,0,29,73,,,,,,,,,,0,0,0,159,326,"Woodlawn,Constance/Buckham's Bay Community Centre"
013,003, ,3,53,13,1,19,95,,,,,,,,,,0,0,0,184,398,"Woodlawn,Constance/Buckham's Bay Community Centre"
013,004, ,0,30,8,0,19,66,,,,,,,,,,0,0,1,124,313,"Woodlawn,Constance/Buckham's Bay Community Centre"
013,005, ,1,44,12,0,19,95,,,,,,,,,,0,1,0,172,405,"Woodlawn,Constance/Buckham's Bay Community Centre"
013,006, ,0,22,12,2,15,88,,,,,,,,,,0,0,0,139,266,"Fitzroy Harbour,Fitzroy Harbour Community Centre"
013,007, ,2,38,11,1,19,108,,,,,,,,,,0,0,0,179,382,"Kinburn,West Carleton Community Complex"
013,008, ,4,29,22,4,36,97,,,,,,,,,,1,0,0,193,402,"Woodlawn,Constance/Buckham's Bay Community Centre"
013,009, ,3,77,15,0,21,94,,,,,,,,,,0,0,0,210,444,"Dunrobin,West Carleton Secondary School"
013,010, ,0,25,3,1,5,55,,,,,,,,,,0,0,0,89,165,"Fitzroy Harbour,Fitzroy Harbour Community Centre"
013,011, ,1,31,7,0,19,72,,,,,,,,,,1,0,0,131,329,"Kinburn,West Carleton Community Complex"
013,012, ,0,58,14,0,24,118,,,,,,,,,,0,0,0,214,438,"Dunrobin,West Carleton Secondary School"
013,013, ,2,68,10,1,39,98,,,,,,,,,,0,0,0,218,412,"Dunrobin,West Carleton Secondary School"
013,014, ,0,34,19,1,24,116,,,,,,,,,,0,0,0,194,388,"Fitzroy Harbour,Fitzroy Harbour Community Centre"
013,015, ,3,53,7,1,17,95,,,,,,,,,,0,0,1,177,391,"Dunrobin,West Carleton Secondary School"
