ED,POLL NO.,URBAN,BELL,GAUDREAU,HOY,JACKSON,MORIN,,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
CHATHAM--KENT--ESSEX,,,,,,,,,,,,,,,,,,,,,,,
014,001, ,5,13,18,3,0,,,,,,,,,,,1,0,0,40,158,"Moravian 47,Delaware Nation Community Centre"
014,002, ,15,18,105,48,0,,,,,,,,,,,0,0,0,186,346,"Highgate,Highgate Community Hall"
014,003, ,5,12,102,45,1,,,,,,,,,,,0,0,0,165,324,"Chatham-Kent,Botany Community Centre"
014,004, ,17,18,100,34,1,,,,,,,,,,,0,0,0,170,305,"Highgate,Highgate Community Hall"
014,005, ,8,15,89,36,2,,,,,,,,,,,0,0,0,150,307,"Highgate,Highgate Community Hall"
014,006, ,6,3,68,56,1,,,,,,,,,,,0,1,0,135,272,"Chatham-Kent,Botany Community Centre"
014,007, ,18,8,129,65,1,,,,,,,,,,,1,0,0,222,368,"Chatham-Kent,Botany Community Centre"
014,008, ,18,13,80,16,0,,,,,,,,,,,0,0,0,127,218,"Highgate,Highgate Community Hall"
014,009, ,6,16,98,47,4,,,,,,,,,,,0,0,0,171,347,"Ridgetown,Ridgetown District Secondary School"
014,010, ,9,9,60,23,2,,,,,,,,,,,1,0,0,104,239,"Ridgetown,Ridgetown Youth Centre"
014,012, ,18,17,52,30,1,,,,,,,,,,,0,0,2,120,239,"Ridgetown,Ridgetown District Secondary School"
014,013, ,1,10,56,27,0,,,,,,,,,,,0,0,0,94,209,"Ridgetown,Ridgetown Youth Centre"
014,014, ,11,19,77,30,0,,,,,,,,,,,0,0,0,137,265,"Ridgetown,Ridgetown District Secondary School"
014,015, ,..........................NO POLL HELD........................,,,,,,,,,,,,,,,0,0,0,0,0,"Ridgetown,"
014,016, ,5,6,83,27,0,,,,,,,,,,,0,0,0,121,274,"Ridgetown,Ridgetown Public School"
014,017s, ,1,0,32,8,0,,,,,,,,,,,0,2,0,43,88,"Ridgetown,The Village Retirement Residence"
014,018, ,13,15,93,44,1,,,,,,,,,,,1,1,0,168,285,"Ridgetown,Ridgetown Public School"
014,019, ,12,10,111,36,3,,,,,,,,,,,0,1,0,173,321,"Ridgetown,Ridgetown Public School"
014,020, ,10,31,102,51,1,,,,,,,,,,,1,2,0,198,370,"Chatham,Gregory Drive Public School"
014,021, ,11,16,116,55,1,,,,,,,,,,,1,0,0,200,416,"Chatham,Gregory Drive Public School"
014,022, ,7,17,119,80,1,,,,,,,,,,,2,0,0,226,449,"Chatham,Sprucedale United Church"
014,023, ,8,22,103,45,2,,,,,,,,,,,0,0,0,180,347,"Chatham,Sprucedale United Church"
014,024, ,10,13,116,88,1,,,,,,,,,,,0,1,0,229,400,"Chatham,Sprucedale United Church"
014,025, ,8,16,82,31,1,,,,,,,,,,,0,0,0,138,315,"Chatham,Chatham Kent Secondary School"
014,026, ,16,15,121,53,2,,,,,,,,,,,0,0,0,207,381,"Chatham,McNaughton Avenue Public School"
014,027, ,12,18,106,72,0,,,,,,,,,,,0,0,0,208,419,"Chatham,McNaughton Avenue Public School"
014,028, ,15,19,69,36,2,,,,,,,,,,,0,0,0,141,344,"Chatham,McNaughton Avenue Public School"
014,029, ,8,28,110,47,4,,,,,,,,,,,1,0,0,198,382,"Chatham,McNaughton Avenue Public School"
014,030, ,7,24,107,40,1,,,,,,,,,,,0,2,0,181,315,"Chatham,The Sunnybrook Apartments"
014,031, ,6,9,30,26,0,,,,,,,,,,,0,0,0,71,182,"Chatham,McNaughton Avenue Public School"
014,032, ,4,11,48,30,1,,,,,,,,,,,0,1,0,95,195,"Chatham,McNaughton Avenue Public School"
014,033, ,8,21,87,56,0,,,,,,,,,,,0,0,0,172,298,"Chatham,Kent Cloverleaf Conservation Club"
014,034, ,10,17,73,27,3,,,,,,,,,,,2,0,0,132,271,"Ridgetown,Ridgetown Youth Centre"
014,035, ,11,10,104,29,0,,,,,,,,,,,0,0,0,154,296,"Ridgetown,Ridgetown Youth Centre"
014,036, ,7,10,94,48,3,,,,,,,,,,,0,2,0,164,291,"Chatham,Villa Angela"
014,037, ,15,19,132,37,1,,,,,,,,,,,3,0,0,207,415,"Chatham,Our Lady of Fatima Catholic School"
014,038, ,5,14,165,39,1,,,,,,,,,,,0,0,0,224,438,"Chatham,Villa Angela"
014,039, ,16,18,134,28,4,,,,,,,,,,,0,0,0,200,352,"Chatham,Villa Angela"
014,040, ,13,27,107,61,1,,,,,,,,,,,2,0,0,211,406,"Chatham,Our Lady of Fatima Catholic School"
014,041, ,7,16,131,43,0,,,,,,,,,,,0,0,0,197,384,"Chatham,Tecumseh Public School"
014,042, ,6,19,123,47,3,,,,,,,,,,,0,0,0,198,399,"Chatham,Monsignor Uyen Catholic School"
014,043, ,14,22,48,19,1,,,,,,,,,,,0,0,0,104,299,"Chatham,Monsignor Uyen Catholic School"
014,044, ,8,15,83,30,0,,,,,,,,,,,0,1,0,137,304,"Chatham,Tecumseh Public School"
014,045, ,5,21,86,32,2,,,,,,,,,,,1,0,0,147,305,"Chatham,Monsignor Uyen Catholic School"
014,046, ,12,23,98,39,1,,,,,,,,,,,0,0,0,173,407,"Chatham,Sprucedale United Church"
014,047, ,7,13,39,31,0,,,,,,,,,,,1,0,0,91,284,"Chatham,Tecumseh Public School"
014,048, ,3,13,38,8,0,,,,,,,,,,,0,0,0,62,250,"Chatham,Tecumseh Public School"
014,049s, ,0,2,13,9,0,,,,,,,,,,,0,1,0,25,48,"Chatham,Maple City Retirement Residence"
014,050, ,14,21,120,48,2,,,,,,,,,,,0,1,0,206,382,"Chatham,John N. Given Public School"
014,051, ,5,19,36,13,1,,,,,,,,,,,0,0,0,74,266,"Chatham,St. Agnes Roman Catholic Church"
014,052, ,9,22,84,36,0,,,,,,,,,,,2,1,0,154,337,"Chatham,McNaughton Manor"
014,053, ,3,14,42,23,1,,,,,,,,,,,0,0,0,83,284,"Chatham,St. Agnes Roman Catholic Church"
014,054, ,9,28,108,28,1,,,,,,,,,,,0,1,0,175,349,"Chatham,John N. Given Public School"
014,055, ,11,19,52,12,0,,,,,,,,,,,0,0,0,94,291,"Chatham,John N. Given Public School"
014,056, ,5,15,35,13,0,,,,,,,,,,,1,0,0,69,230,"Chatham,St. Agnes Roman Catholic Church"
014,057s, ,2,1,15,6,1,,,,,,,,,,,0,0,0,25,99,"Chatham,Meadow Park Nursing Home"
014,058, ,9,21,47,18,0,,,,,,,,,,,1,0,0,96,260,"Chatham,St. Agnes Roman Catholic Church"
014,059, ,8,18,58,20,1,,,,,,,,,,,0,0,0,105,264,"Chatham,Thames Park Tower North"
014,060, ,9,14,88,44,0,,,,,,,,,,,1,0,0,156,328,"Chatham,Holy Trinity Anglican Church"
014,061, ,6,15,34,15,1,,,,,,,,,,,1,0,0,72,218,"Chatham,St. Agnes Roman Catholic Church"
014,062, ,9,10,92,47,1,,,,,,,,,,,0,0,0,159,320,"Chatham,Chatham Kent Secondary School"
014,063s, ,2,1,8,2,0,,,,,,,,,,,1,0,0,14,21,"Chatham,Chatham Kent Health Alliance"
014,064, ,7,14,31,8,0,,,,,,,,,,,0,2,0,62,197,"Chatham,St. Agnes Roman Catholic Church"
014,065, ,10,18,66,20,2,,,,,,,,,,,1,1,1,119,278,"Chatham,Holy Trinity Anglican Church"
014,066, ,10,7,54,25,0,,,,,,,,,,,0,0,0,96,281,"Chatham,Chatham Baptist Church"
014,067, ,7,21,72,41,0,,,,,,,,,,,3,0,1,145,305,"Chatham,Holy Trinity Anglican Church"
014,068, ,6,14,46,32,0,,,,,,,,,,,1,0,0,99,283,"Chatham,Chatham Kent Secondary School"
014,069, ,8,13,57,31,0,,,,,,,,,,,0,0,0,109,317,"Chatham,Chatham Kent Secondary School"
014,070, ,4,14,39,37,2,,,,,,,,,,,0,0,0,96,275,"Chatham,Holy Trinity Anglican Church"
014,071, ,3,9,42,14,1,,,,,,,,,,,0,0,0,69,192,"Chatham,Chatham Baptist Church"
014,072, ,5,16,58,19,1,,,,,,,,,,,1,0,0,100,226,"Chatham,Chatham Kent Secondary School"
014,073, ,3,17,22,12,2,,,,,,,,,,,0,0,0,56,220,"Chatham,Chatham Kent Secondary School"
014,074, ,6,13,31,14,0,,,,,,,,,,,0,0,0,64,227,"Chatham,Holy Trinity Anglican Church"
014,075, ,1,7,17,4,0,,,,,,,,,,,0,0,0,29,96,"Chatham,Chatham Baptist Church"
014,076, ,4,10,28,8,0,,,,,,,,,,,0,0,0,50,243,"Chatham,Chatham Baptist Church"
014,077, ,5,8,60,23,0,,,,,,,,,,,0,0,0,96,258,"Chatham,Holy Trinity Anglican Church"
014,078, ,8,21,70,30,1,,,,,,,,,,,0,0,0,130,296,"Chatham,Chatham Cultural Centre"
014,079s, ,0,0,47,25,0,,,,,,,,,,,1,0,0,73,108,"Chatham,St. Andrew's Residence"
014,080, ,15,26,80,12,3,,,,,,,,,,,0,0,0,136,286,"Chatham,Chatham Cultural Centre"
014,081, ,7,16,27,5,0,,,,,,,,,,,0,0,1,56,222,"Chatham,W.I.S.H. Centre"
014,082, ,3,25,36,20,0,,,,,,,,,,,0,0,0,84,259,"Chatham,W.I.S.H. Centre"
014,083, ,0,16,32,12,0,,,,,,,,,,,0,0,0,60,205,"Chatham,W.I.S.H. Centre"
014,084, ,8,20,94,35,0,,,,,,,,,,,0,0,0,157,287,"Chatham,Grandview Apartments"
014,085, ,5,25,31,10,1,,,,,,,,,,,1,0,0,73,238,"Chatham,W.I.S.H. Centre"
