ED,POLL NO.,URBAN,DE JONG ,FERREIRA,GARCIA,KOURI,MCKEE ,RUPRECHT,VALDEZ,VENUTO,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
DAVENPORT,,,,,,,,,,,,,,,,,,,,,,,
015,001, ,1,23,6,0,1,33,1,1,,,,,,,,2,0,0,68,190,"Toronto,Ennerdale Road Baptist Church Incorporated"
015,002, ,9,40,12,0,3,65,2,2,,,,,,,,3,0,0,136,308,"Toronto,Ennerdale Road Baptist Church Incorporated"
015,003, ,1,42,13,0,1,74,0,1,,,,,,,,1,0,0,133,360,"Toronto,Ennerdale Road Baptist Church Incorporated"
015,004, ,4,21,8,0,0,44,0,0,,,,,,,,1,1,0,79,245,"Toronto,Horizons for Youth"
015,005, ,7,47,20,0,0,64,0,3,,,,,,,,0,0,0,141,356,"Toronto,Horizons for Youth"
015,006, ,7,24,14,0,1,61,0,3,,,,,,,,0,0,1,111,254,"Toronto,Fairbank Memorial Community Elementary School"
015,007, ,3,45,23,0,0,67,0,1,,,,,,,,0,0,0,139,296,"Toronto,Fairbank Memorial Community Elementary School"
015,008, ,6,33,16,0,0,73,0,1,,,,,,,,1,0,0,130,316,"Toronto,Fairbank Memorial Community Elementary School"
015,009, ,5,43,7,1,0,53,0,1,,,,,,,,0,0,0,110,236,"Toronto,St. John Bosco Catholic School"
015,010, ,1,39,16,1,1,78,1,0,,,,,,,,2,1,0,140,300,"Toronto,F.H. Miller Junior Public School"
015,011, ,2,58,33,1,3,63,0,2,,,,,,,,4,0,0,166,344,"Toronto,St. John Bosco Catholic School"
015,012, ,6,57,37,0,0,65,1,1,,,,,,,,0,1,0,168,390,"Toronto,St. John Bosco Catholic School"
015,013, ,8,24,18,1,0,50,2,1,,,,,,,,0,0,0,104,257,"Toronto,St. John Bosco Catholic School"
015,014, ,3,39,23,1,0,50,0,1,,,,,,,,0,1,0,118,336,"Toronto,St. John Bosco Catholic School"
015,015, ,13,46,15,0,0,72,0,1,,,,,,,,1,0,0,148,345,"Toronto,Rawlinson Community School"
015,016, ,13,36,13,1,2,58,4,1,,,,,,,,1,2,0,131,301,"Toronto,Rawlinson Community School"
015,017, ,4,27,18,0,1,65,1,0,,,,,,,,1,0,0,117,310,"Toronto,F.H. Miller Junior Public School"
015,018, ,4,40,18,2,0,66,1,0,,,,,,,,0,0,0,131,362,"Toronto,F.H. Miller Junior Public School"
015,019, ,9,37,25,1,1,60,1,0,,,,,,,,3,1,0,138,359,"Toronto,St. John Bosco Catholic School"
015,020, ,4,18,11,0,0,53,1,1,,,,,,,,0,0,0,88,202,"Toronto,Stella Maris Catholic School"
015,021, ,1,37,13,0,0,78,1,0,,,,,,,,2,0,0,132,288,"Toronto,Stella Maris Catholic School"
015,022, ,2,40,22,1,0,58,0,0,,,,,,,,0,0,0,123,326,"Toronto,Stella Maris Catholic School"
015,023, ,2,39,6,0,3,61,2,1,,,,,,,,0,2,0,116,301,"Toronto,Stella Maris Catholic School"
015,024, ,2,25,4,0,1,42,2,1,,,,,,,,2,0,0,79,236,"Toronto,St. Clare Catholic School"
015,025, ,1,10,3,0,0,18,0,0,,,,,,,,0,1,0,33,95,"Toronto,St. Clare Catholic School"
015,026, ,11,30,21,0,0,78,1,1,,,,,,,,1,1,0,144,302,"Toronto,St. Clare Catholic School"
015,027, ,9,41,14,2,2,89,1,1,,,,,,,,3,2,0,164,346,"Toronto,Rawlinson Community School"
015,028, ,13,46,24,0,0,99,1,1,,,,,,,,2,0,0,186,403,"Toronto,Rawlinson Community School"
015,029, ,11,55,10,0,1,66,2,0,,,,,,,,0,0,0,145,340,"Toronto,Oakwood Collegiate Institute"
015,030, ,10,68,19,1,0,61,0,0,,,,,,,,2,0,0,161,337,"Toronto,Oakwood Collegiate Institute"
015,031, ,18,63,25,1,0,77,0,1,,,,,,,,2,0,0,187,382,"Toronto,Oakwood Collegiate Institute"
015,032, ,6,68,15,0,1,60,0,0,,,,,,,,0,0,0,150,333,"Toronto,General Mercer Public School"
015,033, ,6,37,3,2,1,36,0,2,,,,,,,,0,1,0,88,272,"Toronto,General Mercer Public School"
015,034, ,8,57,18,0,0,54,0,0,,,,,,,,0,0,1,138,324,"Toronto,General Mercer Public School"
015,035, ,6,34,13,0,0,67,0,1,,,,,,,,0,0,0,121,337,"Toronto,St. Nicholas of Bari Catholic School"
015,036, ,3,20,11,0,0,65,0,0,,,,,,,,0,0,0,99,218,"Toronto,St. Nicholas of Bari Catholic School"
015,037, ,8,25,3,0,0,67,1,2,,,,,,,,1,1,0,108,304,"Toronto,St. Nicholas of Bari Catholic School"
015,038, ,2,39,5,0,1,55,0,2,,,,,,,,0,0,0,104,250,"Toronto,St. Nicholas of Bari Catholic School"
015,039, ,4,41,12,0,1,60,0,4,,,,,,,,3,0,0,125,311,"Toronto,St. Nicholas of Bari Catholic School"
015,040, ,12,30,16,0,2,67,0,3,,,,,,,,1,2,0,133,275,"Toronto,Presbyterian Church Patterson Trustees"
015,041, ,6,26,21,2,1,60,1,0,,,,,,,,2,0,0,119,254,"Toronto,Presbyterian Church Patterson Trustees"
015,042, ,6,37,17,0,0,97,1,1,,,,,,,,0,1,0,160,303,"Toronto,Presbyterian Church Patterson Trustees"
015,043, ,7,22,16,0,0,75,3,0,,,,,,,,1,0,0,124,289,"Toronto,Stella Maris Catholic School"
015,044, ,6,34,10,0,2,67,1,2,,,,,,,,1,1,0,124,266,"Toronto,Stella Maris Catholic School"
015,045, ,7,29,11,0,2,30,3,4,,,,,,,,0,0,0,86,217,"Toronto,Stella Maris Catholic School"
015,046, ,7,49,16,0,0,47,3,2,,,,,,,,1,1,0,126,285,"Toronto,St. Clare Catholic School"
015,047, ,8,36,17,0,0,79,1,1,,,,,,,,1,2,0,145,321,"Toronto,St. Clare Catholic School"
015,048, ,16,56,9,1,1,70,1,1,,,,,,,,0,0,0,155,323,"Toronto,St. Clare Catholic School"
015,049, ,19,49,11,1,2,55,3,1,,,,,,,,2,0,0,143,312,"Toronto,Rawlinson Community School"
015,050, ,8,55,16,0,0,58,0,0,,,,,,,,0,0,0,137,293,"Toronto,Rawlinson Community School"
015,051, ,17,49,17,0,1,37,0,0,,,,,,,,1,0,1,123,252,"Toronto,Oakwood Collegiate Institute"
015,052, ,3,34,12,0,0,90,0,1,,,,,,,,1,0,0,141,377,"Toronto,General Mercer Public School"
015,053, ,3,53,14,1,0,65,4,0,,,,,,,,3,1,0,144,331,"Toronto,General Mercer Public School"
015,054, ,9,50,20,1,0,70,0,0,,,,,,,,1,1,0,152,319,"Toronto,General Mercer Public School"
015,055, ,6,66,14,0,0,67,2,0,,,,,,,,2,0,0,157,353,"Toronto,Church of St. Mark and Calvary"
015,056, ,8,39,14,2,0,52,0,1,,,,,,,,0,0,0,116,340,"Toronto,Carlton Village Public School"
015,057, ,10,27,12,0,1,65,2,1,,,,,,,,0,0,0,118,311,"Toronto,J.J. Piccininni Community"
015,058, ,7,29,22,1,0,84,0,0,,,,,,,,0,2,0,145,288,"Toronto,J.J. Piccininni Community"
015,059, ,5,29,7,0,1,80,1,2,,,,,,,,2,0,0,127,315,"Toronto,J.J. Piccininni Community"
015,060, ,4,27,12,1,3,56,0,1,,,,,,,,1,1,0,106,266,"Toronto,Loretto College Catholic School"
015,061, ,7,22,7,0,0,45,0,0,,,,,,,,1,0,0,82,214,"Toronto,Loretto College Catholic School"
015,062, ,16,55,23,0,0,45,1,1,,,,,,,,0,2,0,143,315,"Toronto,Regal Road Public School"
015,063, ,35,68,27,1,1,83,4,2,,,,,,,,0,0,0,221,429,"Toronto,Regal Road Public School"
015,064, ,12,42,22,0,2,39,1,2,,,,,,,,1,1,0,122,255,"Toronto,Oakwood Collegiate Institute"
015,065, ,38,79,25,1,0,71,0,1,,,,,,,,1,1,0,217,422,"Toronto,Regal Road Public School"
015,066, ,35,86,23,2,0,77,3,1,,,,,,,,0,0,1,228,433,"Toronto,Oakwood Collegiate Institute"
015,067, ,27,58,3,0,2,64,0,1,,,,,,,,0,0,0,155,336,"Toronto,Regal Road Public School"
015,068, ,7,39,19,0,3,33,3,0,,,,,,,,1,0,0,105,303,"Toronto,Church of St. Mark and Calvary"
015,069, ,1,19,8,1,0,31,0,0,,,,,,,,0,1,0,61,110,"Toronto,Church of St. Mark and Calvary"
015,070, ,8,26,8,0,2,56,2,1,,,,,,,,0,1,0,104,271,"Toronto,Carlton Village Public School"
015,071, ,9,30,3,0,1,72,0,1,,,,,,,,0,1,0,117,294,"Toronto,Carlton Village Public School"
015,072, ,16,35,19,1,0,49,1,1,,,,,,,,0,0,0,122,308,"Toronto,Davenport Perth Neighbourhood Centre"
015,073, ,8,28,17,0,3,59,0,3,,,,,,,,2,0,0,120,308,"Toronto,J.J. Piccininni Community"
015,074, ,11,31,13,1,0,59,0,0,,,,,,,,2,0,0,117,261,"Toronto,J.J. Piccininni Community"
