ED,POLL NO.,URBAN,CAPLAN,HAITAS,HYNES,KARGIANNAKIS,KENNEDY,KIDD,SIMMONS,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
DON VALLEY EAST,,,,,,,,,,,,,,,,,,,,,,,
016,001, ,153,26,19,12,37,1,0,,,,,,,,,0,2,0,250,572,"Toronto,Cherokee Public School"
016,002, ,117,15,15,4,38,1,0,,,,,,,,,0,0,0,190,494,"Toronto,Cherokee Public School"
016,003, ,130,33,20,10,31,4,0,,,,,,,,,0,1,0,229,478,"Toronto,Cherokee Public School"
016,004, ,109,16,17,8,39,1,2,,,,,,,,,0,1,0,193,498,"Toronto,Cherokee Public School"
016,005, ,129,9,16,1,46,1,0,,,,,,,,,0,1,0,203,490,"Toronto,Seneca Hill Public School"
016,006, ,84,11,16,2,37,2,0,,,,,,,,,0,0,0,152,406,"Toronto,Ernest Public School"
016,007, ,122,12,15,0,45,0,0,,,,,,,,,1,0,0,195,502,"Toronto,Cherokee Public School"
016,008, ,172,10,31,4,67,0,2,,,,,,,,,1,3,2,292,598,"Toronto,Crestview Public School"
016,009, ,140,12,11,4,66,2,2,,,,,,,,,1,0,0,238,495,"Toronto,Seneca Hill Public School"
016,010, ,113,8,9,2,75,0,0,,,,,,,,,1,1,0,209,462,"Toronto,Ernest Public School"
016,011, ,127,10,24,4,46,4,1,,,,,,,,,3,3,0,222,447,"Toronto,Ernest Public School"
016,012, ,113,12,25,2,45,3,0,,,,,,,,,1,0,0,201,512,"Toronto,Crestview Public School"
016,013, ,142,23,19,4,55,1,1,,,,,,,,,1,0,0,246,509,"Toronto,Crestview Public School"
016,014, ,78,8,11,0,47,2,0,,,,,,,,,0,0,0,146,397,"Toronto,Crestview Public School"
016,015, ,58,7,11,1,15,0,0,,,,,,,,,5,2,0,99,246,"Toronto,Crestview Public School"
016,016, ,172,19,7,5,56,1,1,,,,,,,,,1,0,0,262,503,"Toronto,Seneca Hill Public School"
016,017, ,108,15,18,7,45,1,0,,,,,,,,,6,0,0,200,475,"Toronto,Ernest Public School"
016,018, ,134,13,13,10,80,0,0,,,,,,,,,0,0,0,250,483,"Toronto,Pleasantview Junior High"
016,019, ,182,20,9,4,59,0,1,,,,,,,,,1,1,0,277,521,"Toronto,Pleasantview Junior High"
016,020, ,128,6,7,1,53,1,2,,,,,,,,,0,1,0,199,474,"Toronto,Crestview Public School"
016,021, ,109,19,0,1,58,0,0,,,,,,,,,1,0,12,200,419,"Toronto,St. Matthias Separate School"
016,022, ,98,8,24,2,45,5,1,,,,,,,,,1,0,0,184,399,"Toronto,St. Matthias Separate School"
016,023, ,115,4,11,1,40,2,0,,,,,,,,,0,1,0,174,416,"Toronto,Kingslake Public School"
016,024, ,119,9,23,2,71,5,1,,,,,,,,,1,0,0,231,483,"Toronto,Kingslake Public School"
016,025, ,144,16,16,2,46,0,0,,,,,,,,,0,0,0,224,460,"Toronto,St. Gerald Separate School"
016,026, ,112,16,15,2,45,1,0,,,,,,,,,1,3,0,195,391,"Toronto,St. Matthias Separate School"
016,027, ,68,16,15,3,43,1,0,,,,,,,,,0,0,0,146,387,"Toronto,St. Matthias Separate School"
016,028, ,148,16,16,1,72,2,1,,,,,,,,,1,3,0,260,532,"Toronto,Muirhead Public School"
016,029, ,108,17,26,1,52,2,1,,,,,,,,,3,0,0,210,399,"Toronto,Muirhead Public School"
