ED_CODE,ED_NAME,KENNY,KIDD,TORY,WALKER,WYNNE,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
017,DON VALLEY WEST,10,3,94,2,114,"Toronto",001, ,0,0,0,223,427,"Dunlace Public School",20071010
017,DON VALLEY WEST,17,1,110,18,103,"Toronto",002, ,0,0,0,249,443,"Dunlace Public School",20071010
017,DON VALLEY WEST,10,1,74,7,110,"Toronto",003, ,1,3,0,206,420,"Dunlace Public School",20071010
017,DON VALLEY WEST,0,0,123,5,53,"Toronto",004, ,0,0,0,181,428,"Trinity Presbyterian Church",20071010
017,DON VALLEY WEST,3,0,119,5,47,"Toronto",005, ,0,0,0,174,403,"Harrison Public School",20071010
017,DON VALLEY WEST,..........................NO POLL HELD........................,,,,,"Toronto",006, ,0,0,0,0,0,"",20071010
017,DON VALLEY WEST,1,1,97,3,51,"Toronto",007, ,1,0,0,154,359,"Trinity Presbyterian Church",20071010
017,DON VALLEY WEST,2,0,151,10,67,"Toronto",008, ,0,0,0,230,436,"Harrison Public School",20071010
017,DON VALLEY WEST,2,0,189,15,80,"Toronto",009, ,0,0,4,290,531,"Windfields Junior High School",20071010
017,DON VALLEY WEST,8,0,104,12,96,"Toronto",010, ,0,0,0,220,440,"Windfields Junior High School",20071010
017,DON VALLEY WEST,14,2,132,7,99,"Toronto",011, ,0,1,0,255,472,"Fairmeadow Centre",20071010
017,DON VALLEY WEST,1,1,140,7,81,"Toronto",012, ,0,0,0,230,435,"Fairmeadow Centre",20071010
017,DON VALLEY WEST,1,0,149,6,97,"Toronto",013, ,0,0,1,254,452,"Owen Public School",20071010
017,DON VALLEY WEST,0,1,111,11,60,"Toronto",014, ,0,0,0,183,442,"Harrison Public School",20071010
017,DON VALLEY WEST,1,0,125,3,55,"Toronto",015, ,0,0,0,184,425,"York Mills Collegiate Institute",20071010
017,DON VALLEY WEST,5,0,157,10,81,"Toronto",016, ,0,0,0,253,510,"Windfields Junior High School",20071010
017,DON VALLEY WEST,15,0,62,14,70,"Toronto",017, ,0,0,0,161,401,"Fairmeadow Centre",20071010
017,DON VALLEY WEST,3,0,137,13,111,"Toronto",018, ,2,0,0,266,484,"Fairmeadow Centre",20071010
017,DON VALLEY WEST,4,1,110,6,97,"Toronto",019, ,0,0,0,218,414,"Owen Public School",20071010
017,DON VALLEY WEST,2,1,88,2,69,"Toronto",020, ,0,1,0,163,327,"York Mills Collegiate Institute",20071010
017,DON VALLEY WEST,..........................NO POLL HELD........................,,,,,"Toronto",021, ,0,0,0,0,0,"",20071010
017,DON VALLEY WEST,2,0,65,0,39,"Toronto",022, ,0,0,0,106,262,"Banbury Community Centre",20071010
017,DON VALLEY WEST,3,0,136,16,85,"Toronto",023, ,0,0,0,240,493,"Banbury Community Centre",20071010
017,DON VALLEY WEST,4,0,132,13,117,"Toronto",024, ,0,0,0,266,532,"Denlow Public School",20071010
017,DON VALLEY WEST,9,0,124,7,88,"Toronto",025, ,0,0,0,228,487,"Denlow Public School",20071010
017,DON VALLEY WEST,8,0,128,19,110,"Toronto",026, ,1,0,0,266,482,"Denlow Public School",20071010
017,DON VALLEY WEST,6,3,109,17,104,"Toronto",027, ,0,2,0,241,458,"Rippleton Public School",20071010
017,DON VALLEY WEST,5,0,146,11,77,"Toronto",028, ,1,0,0,240,461,"Owen Public School",20071010
017,DON VALLEY WEST,5,1,169,9,86,"Toronto",029, ,0,0,0,270,471,"Owen Public School",20071010
017,DON VALLEY WEST,0,0,129,6,68,"Toronto",030, ,0,0,0,203,429,"Owen Public School",20071010
017,DON VALLEY WEST,4,1,158,11,86,"Toronto",031, ,1,0,1,262,491,"Banbury Community Centre",20071010
017,DON VALLEY WEST,3,0,180,7,109,"Toronto",032, ,1,0,0,300,531,"Denlow Public School",20071010
017,DON VALLEY WEST,8,1,104,13,125,"Toronto",033, ,0,0,0,251,367,"Norman Ingram Public School",20071010
017,DON VALLEY WEST,3,0,138,13,99,"Toronto",034, ,1,0,0,254,418,"Agricola Finnish Lutheran Church",20071010
017,DON VALLEY WEST,3,0,161,15,42,"Toronto",035, ,0,0,0,221,388,"Agricola Finnish Lutheran Church",20071010
017,DON VALLEY WEST,0,0,82,6,32,"Toronto",036, ,0,0,0,120,365,"Canadian Film Centre",20071010
017,DON VALLEY WEST,3,0,134,9,89,"Toronto",037, ,2,0,0,237,465,"Rippleton Public School",20071010
017,DON VALLEY WEST,10,4,87,12,144,"Toronto",038, ,0,0,2,259,442,"Rippleton Public School",20071010
017,DON VALLEY WEST,4,0,68,11,105,"Toronto",039, ,0,0,0,188,316,"Norman Ingram Public School",20071010
017,DON VALLEY WEST,8,2,85,11,89,"Toronto",040, ,1,0,2,198,347,"Norman Ingram Public School",20071010
017,DON VALLEY WEST,3,1,110,6,47,"Toronto",041, ,0,1,0,168,467,"Owen Public School",20071010
017,DON VALLEY WEST,6,0,115,13,114,"Toronto",042, ,0,0,0,248,439,"Rippleton Public School",20071010
017,DON VALLEY WEST,13,0,68,17,128,"Toronto",043, ,0,1,0,227,405,"Norman Ingram Public School",20071010
017,DON VALLEY WEST,1,0,21,0,12,"Toronto",044s, ,0,0,0,34,71,"Greenview Lodge Senior Care Centre",20071010
017,DON VALLEY WEST,9,2,75,9,127,"Toronto",045, ,0,0,0,222,495,"Greenview Lodge Senior Care Centre",20071010
017,DON VALLEY WEST,3,1,11,1,16,"Toronto",046s, ,2,0,2,36,46,"Four Teddington Park",20071010
017,DON VALLEY WEST,6,1,139,14,83,"Toronto",047, ,0,0,0,243,403,"Agricola Finnish Lutheran Church",20071010
017,DON VALLEY WEST,3,0,96,10,76,"Toronto",048, ,0,0,0,185,339,"Agricola Finnish Lutheran Church",20071010
017,DON VALLEY WEST,2,0,93,8,103,"Toronto",049, ,0,0,0,206,398,"Toronto French School",20071010
017,DON VALLEY WEST,7,1,18,0,12,"Toronto",050s, ,1,2,3,44,66,"Bob Rumball Centre for the Deaf",20071010
017,DON VALLEY WEST,1,0,90,1,18,"Toronto",051, ,0,0,0,110,260,"Bob Rumball Centre for the Deaf",20071010
017,DON VALLEY WEST,11,1,88,16,108,"Toronto",052, ,0,2,1,227,389,"Overland Learning Centre",20071010
017,DON VALLEY WEST,13,0,39,8,65,"Toronto",053, ,0,0,0,125,260,"Overland Learning Centre",20071010
017,DON VALLEY WEST,3,0,18,4,47,"Toronto",054s, ,2,0,0,74,107,"Twenty Sanderling",20071010
017,DON VALLEY WEST,2,0,8,3,13,"Toronto",055s, ,0,0,0,26,66,"Thompson House",20071010
017,DON VALLEY WEST,13,0,53,2,63,"Toronto",056, ,0,0,0,131,260,"Overland Learning Centre",20071010
017,DON VALLEY WEST,1,1,48,12,74,"Toronto",057, ,0,0,0,136,228,"Bedford Park United Church",20071010
017,DON VALLEY WEST,8,0,101,11,115,"Toronto",058, ,0,1,0,236,366,"Bedford Park United Church",20071010
017,DON VALLEY WEST,5,1,94,15,138,"Toronto",059, ,0,13,0,266,351,"St. Leonard's Anglican Church",20071010
017,DON VALLEY WEST,5,1,107,8,113,"Toronto",060, ,0,0,0,234,412,"Toronto French School",20071010
017,DON VALLEY WEST,4,0,132,6,83,"Toronto",061, ,2,0,0,227,368,"Toronto French School",20071010
017,DON VALLEY WEST,25,0,17,31,69,"Toronto",062, ,0,0,0,142,196,"Glendon College - Hilliard Residence",20071010
017,DON VALLEY WEST,6,2,84,4,108,"Toronto",063, ,0,0,0,204,439,"St. Bonaventure Church",20071010
017,DON VALLEY WEST,6,1,35,11,82,"Toronto",064, ,0,1,0,136,257,"Overland Learning Centre",20071010
017,DON VALLEY WEST,8,1,38,11,85,"Toronto",065, ,0,0,0,143,299,"Overland Learning Centre",20071010
017,DON VALLEY WEST,11,3,22,1,40,"Toronto",066s, ,1,2,0,80,122,"Joseph Brown Manor",20071010
017,DON VALLEY WEST,5,0,76,6,102,"Toronto",067, ,0,0,0,189,317,"Bedford Park United Church",20071010
017,DON VALLEY WEST,13,0,42,15,86,"Toronto",068, ,0,0,0,156,265,"St. Leonard's Anglican Church",20071010
017,DON VALLEY WEST,4,0,63,18,110,"Toronto",069, ,1,0,0,196,280,"St. Leonard's Anglican Church",20071010
017,DON VALLEY WEST,7,0,74,13,127,"Toronto",070, ,1,1,0,223,370,"St. Leonard's Anglican Church",20071010
017,DON VALLEY WEST,3,1,145,4,105,"Toronto",071, ,0,0,0,258,424,"Blythwood Road Baptist Church",20071010
017,DON VALLEY WEST,5,0,149,8,99,"Toronto",072, ,2,0,0,263,439,"Toronto French School",20071010
017,DON VALLEY WEST,1,0,162,10,74,"Toronto",073, ,0,1,1,249,438,"Blythwood Junior Public School",20071010
017,DON VALLEY WEST,8,1,103,7,75,"Toronto",074, ,1,0,0,195,462,"St. Bonaventure Church",20071010
017,DON VALLEY WEST,4,1,139,12,78,"Toronto",075, ,0,0,0,234,449,"Blythwood Road Baptist Church",20071010
017,DON VALLEY WEST,5,0,172,12,79,"Toronto",076, ,0,1,0,269,467,"Blythwood Junior Public School",20071010
017,DON VALLEY WEST,2,2,184,13,72,"Toronto",077, ,0,0,0,273,435,"Blythwood Junior Public School",20071010
017,DON VALLEY WEST,14,0,80,6,62,"Toronto",078s, ,2,7,0,171,241,"Sunnybrook & Women's College Health Sciences Ctr",20071010
017,DON VALLEY WEST,..........................NO POLL HELD........................,,,,,"Toronto",079s, ,0,0,0,0,0,"",20071010
017,DON VALLEY WEST,7,0,21,2,64,"Toronto",080A, ,0,0,0,94,299,"Dennis R. Timbrell Resource Centre",20071010
017,DON VALLEY WEST,11,3,20,8,72,"Toronto",080B, ,3,1,0,118,296,"Dennis R. Timbrell Resource Centre",20071010
017,DON VALLEY WEST,13,1,31,3,114,"Toronto",081, ,0,1,0,163,400,"Dennis R. Timbrell Resource Centre",20071010
017,DON VALLEY WEST,..........................NO POLL HELD........................,,,,,"Toronto",082, ,0,0,0,0,0,"",20071010
017,DON VALLEY WEST,12,1,79,8,94,"Toronto",083, ,1,0,0,195,371,"Blythwood Road Baptist Church",20071010
017,DON VALLEY WEST,5,1,62,11,75,"Toronto",084, ,0,1,0,155,250,"Blythwood Road Baptist Church",20071010
017,DON VALLEY WEST,2,0,170,9,88,"Toronto",085, ,0,0,0,269,421,"Blythwood Junior Public School",20071010
017,DON VALLEY WEST,2,0,129,12,80,"Toronto",086, ,0,0,0,223,370,"Blythwood Junior Public School",20071010
017,DON VALLEY WEST,..........................NO POLL HELD........................,,,,,"Toronto",087, ,0,0,0,0,0,"",20071010
017,DON VALLEY WEST,..........................NO POLL HELD........................,,,,,"Toronto",089s, ,0,0,0,0,0,"",20071010
017,DON VALLEY WEST,..........................NO POLL HELD........................,,,,,"Toronto",090s, ,0,0,0,0,0,"",20071010
017,DON VALLEY WEST,6,0,105,12,113,"Toronto",091, ,0,0,1,237,396,"Northlea Elementary and Middle School",20071010
017,DON VALLEY WEST,..........................NO POLL HELD........................,,,,,"Toronto",092s, ,0,0,0,0,0,"",20071010
017,DON VALLEY WEST,5,0,122,14,105,"Toronto",093, ,0,0,0,246,371,"Northlea Elementary and Middle School",20071010
017,DON VALLEY WEST,3,0,108,8,117,"Toronto",094, ,2,0,2,240,366,"Northlea United Church",20071010
017,DON VALLEY WEST,8,0,66,11,115,"Toronto",095, ,0,1,1,202,293,"Northlea United Church",20071010
017,DON VALLEY WEST,..........................NO POLL HELD........................,,,,,"Toronto",096, ,0,0,0,0,0,"",20071010
017,DON VALLEY WEST,1,0,112,12,145,"Toronto",097, ,1,0,0,271,400,"Northlea United Church",20071010
017,DON VALLEY WEST,15,0,12,2,40,"Toronto",098, ,0,0,0,69,257,"Dennis R. Timbrell Resource Centre",20071010
017,DON VALLEY WEST,9,6,20,6,113,"Toronto",099s, ,5,3,0,162,238,"Glenyan Manor",20071010
017,DON VALLEY WEST,3,1,6,5,24,"Toronto",100, ,0,1,0,40,88,"York Condominium Corporation - Party Room",20071010
017,DON VALLEY WEST,4,0,5,2,22,"Toronto",101s, ,0,2,0,35,108,"The Sherwood",20071010
017,DON VALLEY WEST,3,0,115,13,113,"Toronto",102, ,2,0,0,246,411,"Blythwood Road Baptist Church",20071010
017,DON VALLEY WEST,2,0,74,12,103,"Toronto",103, ,0,0,0,191,389,"John Fisher Junior Public School",20071010
017,DON VALLEY WEST,10,0,50,11,91,"Toronto",104, ,0,0,0,162,326,"John Fisher Junior Public School",20071010
