ED_CODE,ED_NAME,HALL,JONES,MCDOUGALL,STRANG,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
018,DUFFERIN--CALEDON,29,41,11,33,"Honeywood",001, ,1,0,0,115,213,"North Dufferin Community Centre",20071010
018,DUFFERIN--CALEDON,52,61,17,32,"Mansfield",002, ,2,0,1,165,217,"Mansfield Ski Club",20071010
018,DUFFERIN--CALEDON,37,61,14,14,"Shelburne",003, ,2,2,0,130,255,"Melancthon Township Municipal Office",20071010
018,DUFFERIN--CALEDON,45,70,33,25,"Hornings Mills",004, ,0,0,0,173,317,"Hornings Mills Community Hall",20071010
018,DUFFERIN--CALEDON,35,55,14,27,"Honeywood",005, ,0,0,0,131,234,"North Dufferin Community Centre",20071010
018,DUFFERIN--CALEDON,58,86,24,42,"Mansfield",006, ,2,0,0,212,369,"Mansfield Ski Club",20071010
018,DUFFERIN--CALEDON,77,81,24,35,"Mansfield",007, ,0,0,0,217,426,"Mansfield Ski Club",20071010
018,DUFFERIN--CALEDON,56,62,14,21,"Hornings Mills",008, ,1,0,2,156,228,"Hornings Mills Community Hall",20071010
018,DUFFERIN--CALEDON,39,55,36,31,"Primrose",009, ,0,0,0,161,290,"Primrose Public School",20071010
018,DUFFERIN--CALEDON,22,61,28,22,"Shelburne",010, ,1,0,0,134,303,"Melancthon Township Municipal Office",20071010
018,DUFFERIN--CALEDON,27,54,14,24,"Shelburne",011, ,0,0,0,119,295,"Hyland Heights Elementary School",20071010
018,DUFFERIN--CALEDON,37,84,18,31,"Primrose",012, ,0,2,0,172,288,"Primrose Public School",20071010
018,DUFFERIN--CALEDON,25,37,11,13,"Shelburne",013, ,0,0,1,87,216,"Melancthon Township Municipal Office",20071010
018,DUFFERIN--CALEDON,57,87,24,41,"Shelburne",014, ,0,0,0,209,511,"Centre Dufferin District High School",20071010
018,DUFFERIN--CALEDON,38,42,25,31,"Shelburne",015, ,0,1,0,137,316,"Centre Dufferin District High School",20071010
018,DUFFERIN--CALEDON,22,35,17,24,"Shelburne",016, ,0,0,0,98,270,"Centre Dufferin District High School",20071010
018,DUFFERIN--CALEDON,11,18,6,1,"Shelburne",017s, ,0,0,0,36,102,"Shelburne Residence",20071010
018,DUFFERIN--CALEDON,39,50,10,18,"Shelburne",018, ,2,0,0,119,354,"Hyland Heights Elementary School",20071010
018,DUFFERIN--CALEDON,41,42,17,17,"Shelburne",019, ,0,1,0,118,294,"Hyland Heights Elementary School",20071010
018,DUFFERIN--CALEDON,12,16,6,11,"Shelburne",020, ,0,0,0,45,250,"Mel Lloyd Centre",20071010
018,DUFFERIN--CALEDON,42,26,18,22,"Shelburne",021, ,0,0,0,108,269,"Mel Lloyd Centre",20071010
018,DUFFERIN--CALEDON,16,17,7,1,"Shelburne",022s, ,0,1,0,42,158,"Dufferin Oaks Home for Senior Citizens",20071010
018,DUFFERIN--CALEDON,60,71,22,19,"Shelburne",023, ,0,0,1,173,388,"Hyland Heights Elementary School",20071010
018,DUFFERIN--CALEDON,22,41,26,12,"Shelburne",024, ,0,0,0,101,311,"Mel Lloyd Centre",20071010
018,DUFFERIN--CALEDON,31,53,25,9,"Shelburne",025, ,0,1,0,119,326,"Headwaters Shelburne",20071010
018,DUFFERIN--CALEDON,44,52,28,29,"Shelburne",026, ,1,0,0,154,383,"Mel Lloyd Centre",20071010
018,DUFFERIN--CALEDON,42,81,17,37,"Primrose",027, ,0,0,0,177,328,"Primrose Public School",20071010
018,DUFFERIN--CALEDON,44,33,10,38,"Mono",028, ,0,0,0,125,223,"Mono Community Centre",20071010
018,DUFFERIN--CALEDON,64,92,15,45,"Shelburne",029, ,1,1,0,218,403,"Mel Lloyd Centre",20071010
018,DUFFERIN--CALEDON,40,78,7,56,"Mono",030, ,0,0,0,181,353,"Mono Community Centre",20071010
018,DUFFERIN--CALEDON,31,49,12,19,"Laurel",031, ,0,0,0,111,218,"Laurelwoods Elementary School",20071010
018,DUFFERIN--CALEDON,80,101,27,59,"Mono",032, ,0,1,0,268,438,"Mono Community Centre",20071010
018,DUFFERIN--CALEDON,31,63,18,18,"East Luther Grand Valley",033, ,0,1,1,132,285,"Monticello United Church",20071010
018,DUFFERIN--CALEDON,41,74,12,57,"Mono",034, ,1,2,0,187,403,"Mono Community Centre",20071010
018,DUFFERIN--CALEDON,65,92,15,40,"Mono Mills",035, ,0,0,0,212,311,"Victoria Parks Community Centre",20071010
018,DUFFERIN--CALEDON,31,61,6,32,"Palgrave",036, ,1,1,1,133,323,"Caledon Estates Banquet Hall",20071010
018,DUFFERIN--CALEDON,37,77,15,32,"Laurel",037, ,1,0,0,162,331,"Laurelwoods Elementary School",20071010
018,DUFFERIN--CALEDON,31,61,24,25,"Mono",038, ,0,0,0,141,207,"Orangeville Christian School",20071010
018,DUFFERIN--CALEDON,58,106,25,42,"Mono",039, ,3,1,0,235,499,"Mono-Amaranth Public School",20071010
018,DUFFERIN--CALEDON,60,126,27,59,"Caledon",040, ,1,0,3,276,450,"St. John's Anglican Church",20071010
018,DUFFERIN--CALEDON,49,60,6,41,"Palgrave",041A, ,1,0,0,157,285,"Caledon Estates Banquet Hall",20071010
018,DUFFERIN--CALEDON,51,57,9,41,"Palgrave",041B, ,0,1,0,159,278,"Caledon Estates Banquet Hall",20071010
018,DUFFERIN--CALEDON,36,61,12,22,"Palgrave",042A, ,0,0,0,131,252,"Caledon Estates Banquet Hall",20071010
018,DUFFERIN--CALEDON,31,51,6,34,"Palgrave",042B, ,0,0,0,122,259,"Caledon Estates Banquet Hall",20071010
018,DUFFERIN--CALEDON,49,92,7,32,"Palgrave",043, ,0,0,0,180,362,"Palgrave Public School",20071010
018,DUFFERIN--CALEDON,85,122,12,28,"Palgrave",044, ,0,0,0,247,507,"Caledon Estates Banquet Hall",20071010
018,DUFFERIN--CALEDON,28,59,13,14,"Mono",045, ,0,1,1,116,218,"Orangeville Christian School",20071010
018,DUFFERIN--CALEDON,32,48,8,17,"Orangeville",046, ,0,0,0,105,182,"St. Benedict Elementary School",20071010
018,DUFFERIN--CALEDON,56,90,26,30,"Orangeville",047, ,0,0,0,202,390,"St. Benedict Elementary School",20071010
018,DUFFERIN--CALEDON,61,97,15,29,"Orangeville",048, ,0,1,0,203,366,"St. Benedict Elementary School",20071010
018,DUFFERIN--CALEDON,52,78,22,32,"Mono",049, ,2,0,0,186,411,"Mono-Amaranth Public School",20071010
018,DUFFERIN--CALEDON,76,121,18,32,"Mono",050, ,1,4,0,252,463,"Mono-Amaranth Public School",20071010
018,DUFFERIN--CALEDON,54,68,15,24,"Orangeville",052, ,1,1,0,163,293,"Parker Towers",20071010
018,DUFFERIN--CALEDON,62,77,22,48,"Mono",053, ,0,0,0,209,366,"Mono-Amaranth Public School",20071010
