ED_CODE,ED_NAME,DAVIES,O'TOOLE,ROBINSON,SOMERVILLE,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
019,DURHAM,33,73,18,90,"Zephyr",001, ,2,0,0,216,387,"Zephyr Hall",20071010
019,DURHAM,52,141,20,83,"Leaskdale",002, ,0,1,0,297,590,"St. Paul's Leaskdale Presbyterian Church",20071010
019,DURHAM,19,134,25,71,"Port Perry",003, ,0,0,0,249,492,"Scugog Island Community Hall",20071010
019,DURHAM,23,106,24,67,"Zephyr",005, ,1,2,0,223,359,"Zephyr Hall",20071010
019,DURHAM,22,84,19,66,"Leaskdale",006, ,2,0,0,193,412,"St. Paul's Leaskdale Presbyterian Church",20071010
019,DURHAM,12,120,20,107,"Greenbank",007, ,1,0,0,260,514,"Greenbank Public School",20071010
019,DURHAM,19,115,30,56,"Port Perry",008, ,1,1,0,222,487,"Scugog Island Community Hall",20071010
019,DURHAM,28,103,52,62,"Caesarea",009, ,0,1,0,246,461,"Caesarea Community Hall",20071010
019,DURHAM,22,151,18,59,"Caesarea",010, ,1,0,0,251,495,"Caesarea Community Hall",20071010
019,DURHAM,29,121,32,73,"Nestleton",011, ,3,0,0,258,513,"Nestleton Community Centre",20071010
019,DURHAM,15,93,15,61,"Sandford",012, ,0,0,0,184,361,"Sandford Community Centre",20071010
019,DURHAM,30,126,20,87,"Greenbank",013, ,0,0,0,263,471,"Greenbank Public School",20071010
019,DURHAM,29,109,35,109,"Greenbank",014, ,0,1,0,283,487,"Greenbank Public School",20071010
019,DURHAM,17,124,26,71,"Port Perry",015, ,0,0,0,238,504,"Scugog Island Community Hall",20071010
019,DURHAM,27,144,15,75,"Sandford",016, ,6,0,0,267,458,"Sandford Community Centre",20071010
019,DURHAM,29,134,19,89,"Port Perry",017, ,0,2,1,274,538,"S.A. Cawker Public School",20071010
019,DURHAM,18,101,17,82,"Port Perry",018, ,0,0,0,218,479,"Scugog Island Community Hall",20071010
019,DURHAM,17,152,37,71,"Nestleton",019, ,2,0,0,279,525,"Nestleton Community Centre",20071010
019,DURHAM,36,96,17,73,"Sandford",020, ,2,1,0,225,416,"Sandford Community Centre",20071010
019,DURHAM,24,99,13,61,"Uxbridge",021A, ,0,0,0,197,373,"Sacred Heart Catholic Church",20071010
019,DURHAM,27,89,18,77,"Uxbridge",021B, ,0,0,0,211,389,"Sacred Heart Catholic Church",20071010
019,DURHAM,32,90,17,93,"Uxbridge",022, ,2,0,0,234,466,"Sacred Heart Catholic Church",20071010
019,DURHAM,19,91,12,77,"Uxbridge",023, ,1,0,0,200,366,"Uxbridge Senior Citizens Centre",20071010
019,DURHAM,16,91,17,96,"Uxbridge",024, ,3,0,0,223,421,"Uxbridge Senior Citizens Centre",20071010
