ED_CODE,ED_NAME,CAUCHI,COLLE,GELMON,JAMES,MORRA,TANZ,WIENS,YOUNG,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
020,EGLINTON--LAWRENCE,0,115,1,14,2,125,14,0,"Toronto",001, ,0,2,0,273,496,"Armour Heights Public School",20071010
020,EGLINTON--LAWRENCE,0,41,1,7,0,34,11,0,"Toronto",002, ,2,0,0,96,217,"Armour Heights Public School",20071010
020,EGLINTON--LAWRENCE,0,28,1,7,0,16,14,0,"Toronto",004, ,0,0,1,67,198,"Armour Heights Public School",20071010
020,EGLINTON--LAWRENCE,1,38,0,17,1,63,13,1,"Toronto",005, ,0,0,0,134,227,"Armour Heights Presbyterian Church",20071010
020,EGLINTON--LAWRENCE,0,64,1,7,0,80,9,0,"Toronto",006A, ,0,0,0,161,246,"Loretto Abbey Convent",20071010
020,EGLINTON--LAWRENCE,0,69,1,8,2,65,7,0,"Toronto",006B, ,0,0,0,152,249,"Loretto Abbey Convent",20071010
020,EGLINTON--LAWRENCE,1,8,1,1,1,11,4,0,"Toronto",007s, ,1,1,0,29,58,"Terrace Garden Retirement Residence",20071010
020,EGLINTON--LAWRENCE,0,50,0,11,0,83,19,0,"Toronto",008, ,1,0,0,164,336,"St. Margaret Catholic School",20071010
020,EGLINTON--LAWRENCE,0,35,2,14,0,44,14,1,"Toronto",009, ,0,0,1,111,221,"Armour Heights Community Centre",20071010
020,EGLINTON--LAWRENCE,2,53,1,8,0,75,17,0,"Toronto",010, ,0,1,0,157,286,"Armour Heights Community Centre",20071010
020,EGLINTON--LAWRENCE,0,73,1,17,0,42,14,0,"Toronto",011, ,0,0,0,147,287,"Armour Heights Community Centre",20071010
020,EGLINTON--LAWRENCE,0,59,1,18,0,74,8,0,"Toronto",012, ,0,0,1,161,324,"Armour Heights Presbyterian Church",20071010
020,EGLINTON--LAWRENCE,0,82,0,13,0,105,6,0,"Toronto",013, ,1,1,0,208,372,"Loretto Abbey Convent",20071010
020,EGLINTON--LAWRENCE,0,118,0,32,1,97,20,0,"Toronto",014, ,0,0,0,268,435,"Anglican Church of St. Timothy",20071010
020,EGLINTON--LAWRENCE,0,63,0,18,3,69,13,0,"Toronto",015, ,1,1,0,168,313,"Loretto Abbey Convent",20071010
020,EGLINTON--LAWRENCE,1,19,1,1,1,25,4,0,"Toronto",016, ,0,0,0,52,169,"Empress House",20071010
020,EGLINTON--LAWRENCE,1,40,1,3,0,42,13,0,"Toronto",017, ,1,0,0,101,227,"Reuben Cipin Healthy Living Centre",20071010
020,EGLINTON--LAWRENCE,0,42,1,3,0,61,6,0,"Toronto",018, ,0,0,0,113,268,"St. Margaret Catholic School",20071010
020,EGLINTON--LAWRENCE,0,36,1,4,1,54,5,0,"Toronto",019, ,0,0,0,101,202,"St. Margaret Catholic School",20071010
020,EGLINTON--LAWRENCE,0,73,0,9,0,107,13,0,"Toronto",020, ,1,0,0,203,429,"St. Margaret Catholic School",20071010
020,EGLINTON--LAWRENCE,0,60,0,10,1,76,12,0,"Toronto",021, ,0,0,0,159,313,"Armour Heights Community Centre",20071010
020,EGLINTON--LAWRENCE,0,73,1,10,0,52,14,1,"Toronto",022, ,0,0,0,151,311,"Melrose Community Church",20071010
020,EGLINTON--LAWRENCE,0,80,0,21,0,76,12,0,"Toronto",023, ,0,0,0,189,330,"Armour Heights Presbyterian Church",20071010
020,EGLINTON--LAWRENCE,0,98,0,26,2,89,11,0,"Toronto",024, ,0,0,0,226,420,"Anglican Church of St. Timothy",20071010
