ED_CODE,ED_NAME,FEHR,JAMES,KELLY,MONTEITH,PETERS,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
021,ELGIN--MIDDLESEX--LONDON,72,24,31,2,80,"Thorndale",001, ,2,0,0,211,407,"Plover Mills Public School",20071010
021,ELGIN--MIDDLESEX--LONDON,79,30,26,0,78,"Thorndale",002, ,1,3,0,217,382,"Plover Mills Public School",20071010
021,ELGIN--MIDDLESEX--LONDON,107,27,37,2,118,"Thorndale",003, ,0,1,0,292,552,"Thorndale Community Centre",20071010
021,ELGIN--MIDDLESEX--LONDON,43,27,31,4,57,"Thorndale",004, ,0,1,0,163,321,"Thorndale Community Centre",20071010
021,ELGIN--MIDDLESEX--LONDON,76,32,29,4,68,"Thorndale",005, ,0,0,0,209,430,"Leesboro Central Public School",20071010
021,ELGIN--MIDDLESEX--LONDON,62,22,13,4,66,"Thorndale",006, ,0,1,0,168,347,"Leesboro Central Public School",20071010
021,ELGIN--MIDDLESEX--LONDON,63,20,23,1,78,"Dorchester",007, ,0,1,0,186,365,"North Dorchester Optimist Hall",20071010
021,ELGIN--MIDDLESEX--LONDON,62,19,16,1,62,"Dorchester",008, ,0,0,0,160,379,"North Dorchester Optimist Hall",20071010
021,ELGIN--MIDDLESEX--LONDON,58,44,19,2,109,"Dorchester",009, ,0,2,0,234,452,"North Dorchester Optimist Hall",20071010
021,ELGIN--MIDDLESEX--LONDON,56,28,21,1,71,"Dorchester",010, ,0,0,0,177,356,"North Dorchester Optimist Hall",20071010
021,ELGIN--MIDDLESEX--LONDON,73,7,14,0,95,"Dorchester",011, ,1,0,0,190,373,"Dorchester Community Centre",20071010
021,ELGIN--MIDDLESEX--LONDON,64,32,20,2,70,"Dorchester",012, ,0,0,0,188,386,"North Dorchester Optimist Hall",20071010
021,ELGIN--MIDDLESEX--LONDON,40,14,9,2,91,"Dorchester",013, ,0,0,0,156,275,"Dorchester Community Centre",20071010
021,ELGIN--MIDDLESEX--LONDON,52,22,18,1,95,"Dorchester",014, ,0,1,0,189,363,"Dorchester Community Centre",20071010
021,ELGIN--MIDDLESEX--LONDON,73,23,17,0,88,"Dorchester",015, ,0,0,0,201,367,"Dorchester Community Centre",20071010
021,ELGIN--MIDDLESEX--LONDON,37,12,10,1,50,"Dorchester",016, ,1,0,0,111,268,"Dorchester Legion Branch 513",20071010
021,ELGIN--MIDDLESEX--LONDON,75,30,18,0,114,"Dorchester",017, ,1,1,0,239,446,"Dorchester Community Centre",20071010
021,ELGIN--MIDDLESEX--LONDON,48,30,10,0,69,"Dorchester",018, ,0,1,1,159,334,"Dorchester Legion Branch 513",20071010
021,ELGIN--MIDDLESEX--LONDON,80,21,24,1,161,"Dorchester",019, ,1,0,0,288,564,"Dorchester Community Centre",20071010
021,ELGIN--MIDDLESEX--LONDON,75,18,15,1,102,"Dorchester",020, ,0,1,0,212,448,"Dorchester Community Centre",20071010
021,ELGIN--MIDDLESEX--LONDON,90,28,27,1,93,"Putnam",021, ,0,0,0,239,475,"Putnam Community Centre",20071010
021,ELGIN--MIDDLESEX--LONDON,40,7,7,0,75,"Dorchester",022, ,1,0,0,130,221,"Dorchester Legion Branch 513",20071010
021,ELGIN--MIDDLESEX--LONDON,91,25,28,4,113,"Harrietsville",023, ,0,0,0,261,534,"I.O.O.F. Hall Hope Lodge #69",20071010
021,ELGIN--MIDDLESEX--LONDON,57,11,17,0,54,"London",024, ,0,2,0,141,267,"A.E. Duffield Public School",20071010
