ED_CODE,ED_NAME,CROZIER,FRACASSI,GRIMA,KNIAZIEW,PARENT,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
022,ESSEX,94,9,16,55,1,"Lakeshore",001, ,3,0,0,178,416,"St. Andrew's Presbyterian Church Hall",20071010
022,ESSEX,40,3,3,17,4,"Lakeshore",002, ,0,0,0,67,221,"St. Andrew's Presbyterian Church Hall",20071010
022,ESSEX,69,9,20,31,2,"Lakeshore",003, ,1,0,0,132,439,"St. Andrew's Presbyterian Church Hall",20071010
022,ESSEX,87,11,17,52,3,"Lakeshore",004, ,0,0,0,170,393,"St. Andrew's Presbyterian Church Hall",20071010
022,ESSEX,35,5,73,16,0,"Lakeshore",005, ,2,2,0,133,279,"St. Andrew's Presbyterian Church Hall",20071010
022,ESSEX,93,7,17,49,5,"Lakeshore",006, ,0,0,0,171,343,"St. Andrew's Presbyterian Church Hall",20071010
022,ESSEX,79,3,12,22,0,"Lakeshore",007, ,0,1,0,117,285,"St. Andrew's Presbyterian Church Hall",20071010
022,ESSEX,69,11,14,47,1,"Emeryville",008, ,0,0,0,142,368,"Lakeshore Discovery School",20071010
022,ESSEX,75,12,20,44,3,"Emeryville",009, ,0,0,0,154,404,"Lakeshore Discovery School",20071010
022,ESSEX,93,9,17,50,4,"Emeryville",010, ,1,0,0,174,405,"Lakeshore Discovery School",20071010
022,ESSEX,52,7,8,40,0,"Emeryville",011, ,1,1,0,109,257,"Lakeshore Discovery School",20071010
022,ESSEX,41,5,47,22,0,"Emeryville",012, ,1,1,0,117,261,"St. William Catholic School",20071010
022,ESSEX,40,6,13,17,0,"Emeryville",013, ,1,0,0,77,220,"St. William Catholic School",20071010
022,ESSEX,66,8,24,28,2,"Belle River",014, ,0,0,0,128,360,"École Pavillon des Jeunes",20071010
022,ESSEX,45,9,46,20,1,"Belle River",015, ,0,0,0,121,274,"École Pavillon des Jeunes",20071010
022,ESSEX,49,4,21,16,0,"Belle River",016, ,0,0,0,90,263,"Belle River United Church",20071010
022,ESSEX,60,8,59,28,1,"Belle River",017, ,0,1,0,157,310,"St. Simon & St. Jude Parish Hall",20071010
022,ESSEX,86,4,48,20,1,"Belle River",018, ,0,1,0,160,378,"St. Simon & St. Jude Parish Hall",20071010
022,ESSEX,..........................NO POLL HELD........................,,,,,"Belle River",019, ,0,0,0,0,0,"",20071010
022,ESSEX,58,13,19,26,2,"St. Joachim",020, ,1,0,0,119,256,"St. Jean Baptiste Hall",20071010
022,ESSEX,77,10,35,37,0,"Stoney Point",021, ,0,1,0,160,337,"Our Lady of Annunciation School",20071010
022,ESSEX,27,4,34,37,0,"Stoney Point",022, ,0,0,0,102,251,"Our Lady of Annunciation School",20071010
022,ESSEX,4,0,1,4,1,"Lakeshore",023s, ,0,0,0,10,31,"Chez Nous Lodge",20071010
022,ESSEX,67,8,30,34,0,"Stoney Point",024, ,0,0,0,139,299,"Our Lady of Annunciation School",20071010
022,ESSEX,52,5,43,22,0,"Stoney Point",025, ,1,0,0,123,298,"Our Lady of Annunciation School",20071010
022,ESSEX,109,4,27,44,0,"Stoney Point",026, ,1,0,0,185,425,"Our Lady of Annunciation School",20071010
022,ESSEX,71,4,24,24,1,"Stoney Point",027, ,0,0,0,124,262,"Our Lady of Annunciation School",20071010
022,ESSEX,8,0,24,5,1,"Belle River",028, ,0,0,0,38,125,"Knights of Columbus Hall",20071010
022,ESSEX,72,7,22,35,1,"Lakeshore",029, ,0,0,0,137,280,"St. Andrew's Presbyterian Church Hall",20071010
022,ESSEX,46,8,24,26,2,"Lakeshore",030, ,1,0,0,107,269,"St. Andrew's Presbyterian Church Hall",20071010
022,ESSEX,46,5,16,14,0,"Emeryville",031, ,0,0,0,81,229,"St. William Catholic School",20071010
022,ESSEX,60,5,33,24,0,"Emeryville",032, ,1,0,0,123,319,"Lakeshore Discovery School",20071010
022,ESSEX,61,8,22,41,1,"Emeryville",033, ,0,0,0,133,308,"Lakeshore Discovery School",20071010
022,ESSEX,9,1,11,3,1,"Lakeshore",034s, ,0,0,3,28,69,"La Chaumiere Retirement Home",20071010
022,ESSEX,42,16,35,35,2,"Emeryville",035, ,0,0,0,130,344,"Lakeshore Discovery School",20071010
022,ESSEX,66,10,55,30,0,"Emeryville",036, ,1,0,0,162,329,"St. William Catholic School",20071010
022,ESSEX,36,5,22,23,1,"Belle River",038, ,0,0,0,87,267,"Knights of Columbus Hall",20071010
022,ESSEX,63,5,38,28,0,"Belle River",039, ,0,0,0,134,328,"Knights of Columbus Hall",20071010
022,ESSEX,39,4,31,25,0,"Belle River",040, ,0,1,0,100,282,"Knights of Columbus Hall",20071010
022,ESSEX,72,7,45,53,1,"Belle River",041, ,0,0,0,178,425,"École Pavillon des Jeunes",20071010
022,ESSEX,67,9,53,31,1,"Belle River",042, ,0,1,0,162,401,"École Pavillon des Jeunes",20071010
022,ESSEX,28,5,9,5,1,"Lakeshore",043s, ,0,1,0,49,80,"Oak Park Lakeshore",20071010
022,ESSEX,70,5,37,30,1,"Belle River",044, ,0,0,0,143,358,"École Pavillon des Jeunes",20071010
022,ESSEX,66,9,42,42,1,"Belle River",045, ,0,0,0,160,354,"Belle River United Church",20071010
022,ESSEX,52,1,27,15,1,"Belle River",046, ,0,3,1,100,280,"Belle River United Church",20071010
022,ESSEX,38,5,39,37,3,"Belle River",047, ,2,1,1,126,262,"Belle River United Church",20071010
022,ESSEX,67,11,30,28,1,"Belle River",048, ,0,0,0,137,351,"St. Simon & St. Jude Parish Hall",20071010
022,ESSEX,38,8,28,22,1,"Belle River",049, ,0,1,0,98,279,"St. Simon & St. Jude Parish Hall",20071010
022,ESSEX,50,9,43,35,1,"Belle River",050, ,2,1,0,141,329,"St. Simon & St. Jude Parish Hall",20071010
022,ESSEX,41,4,31,27,1,"Belle River",051, ,0,0,0,104,208,"St. Simon & St. Jude Parish Hall",20071010
022,ESSEX,54,8,32,18,0,"Belle River",052, ,0,0,0,112,316,"St. Simon & St. Jude Parish Hall",20071010
022,ESSEX,65,4,38,43,1,"Belle River",053, ,0,0,0,151,338,"St. Simon & St. Jude Parish Hall",20071010
022,ESSEX,97,6,29,30,3,"St. Joachim",054, ,1,0,0,166,305,"St. Jean Baptiste Hall",20071010
022,ESSEX,87,7,38,28,1,"St. Joachim",055, ,0,0,0,161,346,"St. Jean Baptiste Hall",20071010
022,ESSEX,96,1,35,27,0,"Stoney Point",056, ,0,0,0,159,376,"Our Lady of Annunciation School",20071010
022,ESSEX,64,10,26,43,0,"Emeryville",057, ,0,0,0,143,389,"Lakeshore Discovery School",20071010
022,ESSEX,44,5,18,19,0,"Belle River",058, ,0,0,0,86,225,"École Pavillon des Jeunes",20071010
022,ESSEX,114,11,37,46,2,"Belle River",059, ,3,0,1,214,445,"St. Simon & St. Jude Parish Hall",20071010
022,ESSEX,9,2,0,1,6,"Lakeshore",060s, ,1,1,1,21,25,"St. Joachim Manor Rest Home",20071010
022,ESSEX,72,4,30,27,1,"St. Joachim",061, ,0,0,0,134,292,"St. Jean Baptiste Hall",20071010
022,ESSEX,54,9,25,32,2,"LaSalle",062, ,0,0,0,122,294,"Sacred Heart Catholic Elementary School",20071010
022,ESSEX,16,5,32,14,0,"LaSalle",063, ,1,0,0,68,232,"Sacred Heart Catholic Elementary School",20071010
022,ESSEX,79,9,29,45,5,"LaSalle",064, ,0,0,0,167,455,"Sacred Heart Church Community Centre",20071010
022,ESSEX,69,13,12,41,2,"LaSalle",065, ,0,0,0,137,369,"Sandwich West Public School",20071010
022,ESSEX,59,6,27,35,1,"LaSalle",066A, ,0,0,1,129,392,"Sandwich Secondary School",20071010
022,ESSEX,64,7,13,35,0,"LaSalle",066B, ,0,3,3,125,339,"Sandwich Secondary School",20071010
022,ESSEX,69,9,38,42,4,"LaSalle",067, ,0,0,0,162,380,"Sandwich West Public School",20071010
022,ESSEX,73,3,31,17,2,"LaSalle",068, ,0,0,0,126,272,"Town of LaSalle Municipal Office",20071010
022,ESSEX,39,6,22,26,3,"LaSalle",069, ,2,0,0,98,235,"Sandwich West Public School",20071010
022,ESSEX,100,7,42,47,0,"LaSalle",070, ,1,0,0,197,437,"Sandwich West Public School",20071010
022,ESSEX,103,8,21,77,2,"LaSalle",071, ,0,0,0,211,394,"Sandwich West Public School",20071010
022,ESSEX,67,9,35,42,2,"LaSalle",072, ,0,2,0,157,389,"Heritage Park Alliance Church",20071010
022,ESSEX,50,4,5,18,7,"LaSalle",073s, ,0,2,1,87,123,"Oak Park Lasalle",20071010
022,ESSEX,43,13,44,21,1,"LaSalle",074, ,0,0,0,122,364,"Heritage Park Alliance Church",20071010
022,ESSEX,62,2,23,47,2,"Belle River",075, ,0,0,0,136,347,"Knights of Columbus Hall",20071010
022,ESSEX,89,9,21,9,1,"St. Joachim",076, ,0,2,0,131,273,"St. Jean Baptiste Hall",20071010
022,ESSEX,54,7,19,33,0,"LaSalle",077, ,0,1,0,114,310,"Lasalle Public School",20071010
022,ESSEX,74,13,28,22,3,"LaSalle",078, ,1,1,0,142,356,"Sacred Heart Catholic Elementary School",20071010
022,ESSEX,61,12,65,30,2,"LaSalle",079, ,0,2,1,173,387,"Sacred Heart Catholic Elementary School",20071010
022,ESSEX,63,3,32,31,0,"LaSalle",080, ,2,0,0,131,363,"Sacred Heart Church Community Centre",20071010
022,ESSEX,54,7,51,26,0,"LaSalle",081, ,0,1,0,139,350,"Sacred Heart Catholic Elementary School",20071010
022,ESSEX,58,3,20,27,1,"LaSalle",082, ,0,0,0,109,331,"Sacred Heart Church Community Centre",20071010
022,ESSEX,71,8,36,33,0,"LaSalle",083, ,1,1,0,150,349,"Sacred Heart Church Community Centre",20071010
022,ESSEX,69,1,32,40,1,"LaSalle",084, ,0,0,0,143,384,"Sacred Heart Church Community Centre",20071010
022,ESSEX,91,5,42,29,3,"LaSalle",085, ,1,0,0,171,409,"Lasalle Public School",20071010
022,ESSEX,78,9,36,32,3,"LaSalle",086, ,1,0,0,159,396,"Sacred Heart Church Community Centre",20071010
022,ESSEX,68,13,39,46,3,"LaSalle",087, ,0,0,0,169,372,"Lasalle Public School",20071010
022,ESSEX,75,10,26,56,1,"LaSalle",088, ,2,0,0,170,400,"Sacred Heart Church Community Centre",20071010
022,ESSEX,96,3,26,31,0,"LaSalle",089A, ,0,0,0,156,398,"Sacred Heart Church Community Centre",20071010
022,ESSEX,69,8,28,29,2,"LaSalle",089B, ,1,0,0,137,358,"Sacred Heart Church Community Centre",20071010
022,ESSEX,73,6,51,34,3,"LaSalle",090A, ,1,0,0,168,379,"Lasalle Public School",20071010
022,ESSEX,62,8,36,22,0,"LaSalle",090B, ,0,0,0,128,331,"Lasalle Public School",20071010
022,ESSEX,75,19,28,27,1,"LaSalle",091, ,0,0,0,150,393,"Sandwich Secondary School",20071010
022,ESSEX,58,11,29,39,1,"LaSalle",092A, ,0,0,0,138,372,"Sandwich Secondary School",20071010
022,ESSEX,67,10,27,30,0,"LaSalle",092B, ,2,1,0,137,312,"Sandwich Secondary School",20071010
022,ESSEX,90,7,34,35,2,"LaSalle",093, ,2,1,0,171,350,"Sandwich Secondary School",20071010
022,ESSEX,112,7,32,36,1,"LaSalle",094, ,0,0,0,188,408,"Town of LaSalle Municipal Office",20071010
