ED_CODE,ED_NAME,AGRAWAL,CANSFIELD,KING,PRINGLE,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
023,ETOBICOKE CENTRE,16,95,12,67,"Toronto",001, ,1,0,0,191,370,"St. Andrew's Presbyterian Church",20071010
023,ETOBICOKE CENTRE,17,70,15,72,"Toronto",002, ,0,2,0,176,357,"St. Andrew's Presbyterian Church",20071010
023,ETOBICOKE CENTRE,5,34,1,12,"Toronto",003, ,0,0,0,52,142,"Westway Junior School",20071010
023,ETOBICOKE CENTRE,6,36,3,10,"Toronto",004, ,0,2,0,57,263,"Valleyfield Junior Elementary School",20071010
023,ETOBICOKE CENTRE,19,109,9,86,"Toronto",005, ,4,0,1,228,409,"Valleyfield Junior Elementary School",20071010
023,ETOBICOKE CENTRE,11,54,11,42,"Toronto",006, ,0,0,0,118,313,"Valleyfield Junior Elementary School",20071010
023,ETOBICOKE CENTRE,14,97,13,49,"Toronto",007, ,0,0,0,173,392,"St. Andrew's Presbyterian Church",20071010
023,ETOBICOKE CENTRE,12,20,1,16,"Toronto",009s, ,0,0,0,49,214,"Humber Heights Seniors Apartments",20071010
023,ETOBICOKE CENTRE,16,113,19,62,"Toronto",010, ,0,0,0,210,447,"St. Andrew's Presbyterian Church",20071010
023,ETOBICOKE CENTRE,15,83,11,58,"Toronto",011, ,1,0,0,168,416,"Westmount Junior School",20071010
023,ETOBICOKE CENTRE,14,43,11,17,"Toronto",012, ,2,0,0,87,244,"Westmount Junior School",20071010
023,ETOBICOKE CENTRE,27,116,12,53,"Toronto",013, ,0,1,0,209,402,"Kipling Collegiate Institute",20071010
023,ETOBICOKE CENTRE,20,121,15,41,"Toronto",014, ,2,0,0,199,370,"Kipling Collegiate Institute",20071010
023,ETOBICOKE CENTRE,13,57,11,38,"Toronto",015, ,1,0,0,120,317,"Westway Junior School",20071010
023,ETOBICOKE CENTRE,17,86,9,86,"Toronto",016, ,1,0,2,201,337,"Westway Junior School",20071010
023,ETOBICOKE CENTRE,19,123,11,87,"Toronto",017, ,0,0,0,240,402,"Westway Junior School",20071010
023,ETOBICOKE CENTRE,21,131,15,86,"Toronto",018, ,0,0,0,253,426,"Westway Junior School",20071010
023,ETOBICOKE CENTRE,31,132,16,72,"Toronto",019, ,0,0,0,251,403,"Valleyfield Junior Elementary School",20071010
023,ETOBICOKE CENTRE,13,140,17,63,"Toronto",020, ,0,0,0,233,406,"Valleyfield Junior Elementary School",20071010
023,ETOBICOKE CENTRE,14,114,12,103,"Toronto",021, ,0,0,0,243,448,"Westmount Park Church",20071010
023,ETOBICOKE CENTRE,6,84,11,57,"Toronto",022, ,2,0,0,160,290,"Westmount Junior School",20071010
023,ETOBICOKE CENTRE,7,124,10,82,"Toronto",023, ,0,2,0,225,391,"Westmount Junior School",20071010
023,ETOBICOKE CENTRE,27,114,12,67,"Toronto",024, ,0,0,2,222,441,"Kipling Collegiate Institute",20071010
023,ETOBICOKE CENTRE,23,130,15,78,"Toronto",025, ,3,1,0,250,408,"Kipling Collegiate Institute",20071010
023,ETOBICOKE CENTRE,21,121,20,78,"Toronto",026, ,0,2,0,242,385,"Kipling Collegiate Institute",20071010
023,ETOBICOKE CENTRE,14,104,13,66,"Toronto",027, ,1,1,0,199,317,"Westway United Church",20071010
023,ETOBICOKE CENTRE,8,129,10,66,"Toronto",028, ,1,2,0,216,366,"Richview Library",20071010
023,ETOBICOKE CENTRE,17,140,17,65,"Toronto",029, ,1,1,1,242,404,"Father Serra Catholic School",20071010
023,ETOBICOKE CENTRE,10,135,13,72,"Toronto",030, ,0,0,0,230,363,"Father Serra Catholic School",20071010
023,ETOBICOKE CENTRE,15,141,10,59,"Toronto",031, ,0,0,0,225,377,"Father Serra Catholic School",20071010
023,ETOBICOKE CENTRE,14,38,5,26,"Toronto",032s, ,0,0,0,83,104,"Humbervale Residence",20071010
023,ETOBICOKE CENTRE,13,166,15,63,"Toronto",033, ,4,0,0,261,441,"St. Demetrius Catholic School",20071010
023,ETOBICOKE CENTRE,12,130,7,55,"Toronto",034s, ,3,2,0,209,266,"St. Demetrius Seniors Residence",20071010
023,ETOBICOKE CENTRE,11,127,14,79,"Toronto",035, ,2,1,0,234,386,"St. Demetrius Catholic School",20071010
023,ETOBICOKE CENTRE,3,19,5,24,"Toronto",036s, ,1,1,1,54,121,"Ukrainian Canadian Care Centre",20071010
023,ETOBICOKE CENTRE,24,151,17,46,"Toronto",037, ,0,0,0,238,489,"Parkfield Junior Elementary School",20071010
023,ETOBICOKE CENTRE,17,132,13,55,"Toronto",038, ,1,0,0,218,383,"Dixon Grove Junior Middle School",20071010
023,ETOBICOKE CENTRE,26,114,17,71,"Toronto",039, ,1,0,0,229,402,"Dixon Grove Junior Middle School",20071010
023,ETOBICOKE CENTRE,12,112,11,74,"Toronto",040, ,0,0,0,209,406,"Dixon Grove Junior Middle School",20071010
023,ETOBICOKE CENTRE,12,130,22,71,"Toronto",041, ,0,0,0,235,444,"Richview Library",20071010
023,ETOBICOKE CENTRE,12,125,13,81,"Toronto",042, ,2,0,0,233,408,"Richview Library",20071010
023,ETOBICOKE CENTRE,21,158,9,73,"Toronto",043, ,0,1,0,262,416,"Father Serra Catholic School",20071010
023,ETOBICOKE CENTRE,14,109,15,63,"Toronto",044, ,1,0,0,202,364,"Father Serra Catholic School",20071010
023,ETOBICOKE CENTRE,10,127,15,66,"Toronto",045, ,0,1,0,219,437,"Father Serra Catholic School",20071010
023,ETOBICOKE CENTRE,14,103,13,45,"Toronto",046, ,0,0,0,175,369,"Leonardo Da Vinci Academy of Arts and Science",20071010
023,ETOBICOKE CENTRE,4,28,2,15,"Toronto",047s, ,2,0,0,51,67,"Scarlett Heights Retirement Residence",20071010
023,ETOBICOKE CENTRE,20,93,9,52,"Toronto",049, ,0,1,0,175,349,"Leonardo Da Vinci Academy of Arts and Science",20071010
023,ETOBICOKE CENTRE,7,45,2,35,"Toronto",050, ,0,0,0,89,226,"Leonardo Da Vinci Academy of Arts and Science",20071010
023,ETOBICOKE CENTRE,18,102,16,66,"Toronto",051, ,0,0,0,202,368,"Parkfield Junior Elementary School",20071010
023,ETOBICOKE CENTRE,23,117,18,47,"Toronto",052, ,0,0,0,205,396,"Parkfield Junior Elementary School",20071010
023,ETOBICOKE CENTRE,27,58,10,40,"Toronto",053, ,0,1,0,136,292,"Central Etobicoke High School",20071010
023,ETOBICOKE CENTRE,14,109,12,65,"Toronto",054, ,0,2,0,202,383,"Central Etobicoke High School",20071010
023,ETOBICOKE CENTRE,23,141,8,68,"Toronto",055s, ,0,2,0,242,330,"Richview Residence Kipling",20071010
023,ETOBICOKE CENTRE,6,59,5,48,"Toronto",057, ,1,0,0,119,217,"Central Etobicoke High School",20071010
023,ETOBICOKE CENTRE,16,101,14,73,"Toronto",058, ,0,1,0,205,406,"Richview Library",20071010
023,ETOBICOKE CENTRE,8,108,22,105,"Toronto",059, ,3,0,0,246,458,"Richview Collegiate Institute",20071010
023,ETOBICOKE CENTRE,13,138,15,122,"Toronto",060, ,1,0,0,289,539,"Richview Collegiate Institute",20071010
023,ETOBICOKE CENTRE,8,95,9,75,"Toronto",061, ,2,2,3,194,371,"Leonardo Da Vinci Academy of Arts and Science",20071010
023,ETOBICOKE CENTRE,15,136,19,86,"Toronto",062, ,0,0,0,256,444,"Leonardo Da Vinci Academy of Arts and Science",20071010
023,ETOBICOKE CENTRE,9,109,10,63,"Toronto",063, ,2,0,0,193,387,"Leonardo Da Vinci Academy of Arts and Science",20071010
023,ETOBICOKE CENTRE,31,97,3,63,"Toronto",064, ,0,0,0,194,358,"Parkfield Junior Elementary School",20071010
023,ETOBICOKE CENTRE,6,61,15,53,"Toronto",065A, ,0,1,0,136,265,"John G. Althouse Middle School",20071010
023,ETOBICOKE CENTRE,5,60,25,55,"Toronto",065B, ,0,1,0,146,274,"John G. Althouse Middle School",20071010
023,ETOBICOKE CENTRE,10,87,19,76,"Toronto",066, ,1,0,0,193,424,"Richview Collegiate Institute",20071010
023,ETOBICOKE CENTRE,6,68,12,70,"Toronto",067, ,1,1,0,158,351,"Richview Collegiate Institute",20071010
023,ETOBICOKE CENTRE,3,92,12,130,"Toronto",068, ,0,1,0,238,454,"Humber Valley Village Junior Middle School",20071010
023,ETOBICOKE CENTRE,4,87,14,87,"Toronto",069, ,1,0,0,193,429,"Humber Valley Village Junior Middle School",20071010
023,ETOBICOKE CENTRE,23,64,17,81,"Toronto",070, ,0,0,0,185,406,"Briarcrest Junior Elementary School",20071010
023,ETOBICOKE CENTRE,23,112,22,78,"Toronto",071, ,1,0,0,236,405,"Martingrove Collegiate Institute",20071010
023,ETOBICOKE CENTRE,11,107,48,95,"Toronto",072, ,1,1,0,263,451,"Martingrove Collegiate Institute",20071010
023,ETOBICOKE CENTRE,8,127,61,91,"Toronto",073, ,1,1,0,289,437,"John G. Althouse Middle School",20071010
023,ETOBICOKE CENTRE,15,141,27,123,"Toronto",074, ,0,0,0,306,472,"John G. Althouse Middle School",20071010
023,ETOBICOKE CENTRE,6,137,20,108,"Toronto",075, ,0,0,0,271,403,"St. George's Junior School",20071010
023,ETOBICOKE CENTRE,5,109,17,134,"Toronto",076, ,1,2,0,268,475,"St. George's Junior School",20071010
023,ETOBICOKE CENTRE,6,87,15,109,"Toronto",077, ,0,1,0,218,407,"Humber Valley Village Junior Middle School",20071010
023,ETOBICOKE CENTRE,5,88,15,82,"Toronto",078, ,1,0,0,191,393,"Humber Valley Village Junior Middle School",20071010
023,ETOBICOKE CENTRE,21,92,22,93,"Toronto",079, ,0,0,1,229,424,"Briarcrest Junior Elementary School",20071010
023,ETOBICOKE CENTRE,31,129,8,76,"Toronto",080, ,2,0,0,246,429,"Briarcrest Junior Elementary School",20071010
023,ETOBICOKE CENTRE,17,144,34,98,"Toronto",081, ,0,1,1,295,466,"Josyf Cardinal Slipyj Catholic School",20071010
023,ETOBICOKE CENTRE,9,83,26,71,"Toronto",082, ,0,0,0,189,343,"John G. Althouse Middle School",20071010
023,ETOBICOKE CENTRE,11,111,26,84,"Toronto",083, ,0,1,0,233,402,"St. Gregory Catholic School",20071010
023,ETOBICOKE CENTRE,2,81,16,108,"Toronto",084, ,0,1,0,208,376,"St. George's Junior School",20071010
023,ETOBICOKE CENTRE,2,87,14,102,"Toronto",085, ,1,0,0,206,412,"St. George's Junior School",20071010
023,ETOBICOKE CENTRE,5,107,15,120,"Toronto",086, ,1,0,0,248,434,"Humber Valley United Church",20071010
023,ETOBICOKE CENTRE,13,54,10,44,"Toronto",087, ,1,0,0,122,241,"Humber Valley Village Junior Middle School",20071010
023,ETOBICOKE CENTRE,9,40,5,21,"Toronto",088, ,0,1,0,76,195,"Humber Valley Village Junior Middle School",20071010
023,ETOBICOKE CENTRE,12,28,9,11,"Toronto",089, ,0,0,0,60,156,"St. Giles Kingsway Presbyterian Church",20071010
023,ETOBICOKE CENTRE,12,20,5,14,"Toronto",090, ,2,0,0,53,178,"St. Giles Kingsway Presbyterian Church",20071010
023,ETOBICOKE CENTRE,12,54,18,71,"Toronto",091, ,0,0,0,155,284,"St. Giles Kingsway Presbyterian Church",20071010
023,ETOBICOKE CENTRE,5,121,14,63,"Toronto",092, ,0,1,0,204,413,"Hollycrest Middle School",20071010
023,ETOBICOKE CENTRE,19,107,15,60,"Toronto",093, ,1,0,0,202,350,"Briarcrest Junior Elementary School",20071010
023,ETOBICOKE CENTRE,28,89,14,84,"Toronto",094, ,0,0,0,215,393,"Briarcrest Junior Elementary School",20071010
023,ETOBICOKE CENTRE,11,87,12,55,"Toronto",095, ,0,0,0,165,340,"Josyf Cardinal Slipyj Catholic School",20071010
023,ETOBICOKE CENTRE,13,84,19,75,"Toronto",096, ,4,0,0,195,373,"Josyf Cardinal Slipyj Catholic School",20071010
023,ETOBICOKE CENTRE,15,82,26,69,"Toronto",097, ,1,0,0,193,341,"St. Gregory Catholic School",20071010
023,ETOBICOKE CENTRE,14,99,25,85,"Toronto",098, ,1,1,0,225,392,"St. Gregory Catholic School",20071010
023,ETOBICOKE CENTRE,14,92,19,64,"Toronto",099, ,0,0,0,189,339,"St. Gregory Catholic School",20071010
023,ETOBICOKE CENTRE,14,115,16,92,"Toronto",100, ,0,0,0,237,395,"St. Gregory Catholic School",20071010
023,ETOBICOKE CENTRE,12,81,14,113,"Toronto",101, ,0,3,0,223,400,"St. George's Junior School",20071010
023,ETOBICOKE CENTRE,7,104,13,109,"Toronto",102, ,0,0,0,233,381,"Rosethorn Junior Elementary School",20071010
023,ETOBICOKE CENTRE,12,123,18,115,"Toronto",103, ,2,0,0,270,455,"Humber Valley United Church",20071010
023,ETOBICOKE CENTRE,10,52,13,59,"Toronto",104, ,0,1,0,135,217,"St. Giles Kingsway Presbyterian Church",20071010
023,ETOBICOKE CENTRE,14,75,14,38,"Toronto",105, ,0,0,1,142,242,"Royal York Gardens",20071010
023,ETOBICOKE CENTRE,11,96,14,62,"Toronto",106, ,0,2,0,185,336,"St. Giles Kingsway Presbyterian Church",20071010
023,ETOBICOKE CENTRE,11,93,9,85,"Toronto",107, ,1,0,0,199,431,"Hollycrest Middle School",20071010
023,ETOBICOKE CENTRE,18,83,8,89,"Toronto",108, ,1,0,0,199,351,"Wellesworth Junior School",20071010
023,ETOBICOKE CENTRE,23,130,17,59,"Toronto",109, ,0,0,0,229,392,"Wellesworth Junior School",20071010
023,ETOBICOKE CENTRE,17,123,14,61,"Toronto",110, ,0,2,0,217,419,"Wellesworth Junior School",20071010
023,ETOBICOKE CENTRE,21,117,15,62,"Toronto",111, ,0,0,0,215,438,"Wellesworth Junior School",20071010
023,ETOBICOKE CENTRE,19,77,12,34,"Toronto",112, ,0,0,0,142,359,"Josyf Cardinal Slipyj Catholic School",20071010
023,ETOBICOKE CENTRE,19,102,33,90,"Toronto",113, ,3,0,0,247,409,"Josyf Cardinal Slipyj Catholic School",20071010
023,ETOBICOKE CENTRE,14,116,12,101,"Toronto",114, ,1,0,0,244,464,"West Glen Junior School",20071010
023,ETOBICOKE CENTRE,6,129,29,67,"Toronto",115, ,0,0,0,231,393,"Rosethorn Junior Elementary School",20071010
023,ETOBICOKE CENTRE,13,113,14,86,"Toronto",116, ,0,0,0,226,390,"Rosethorn Junior Elementary School",20071010
023,ETOBICOKE CENTRE,10,92,23,100,"Toronto",117, ,1,0,0,226,390,"Rosethorn Junior Elementary School",20071010
023,ETOBICOKE CENTRE,14,98,17,92,"Toronto",118, ,0,2,1,224,448,"Rosethorn Junior Elementary School",20071010
023,ETOBICOKE CENTRE,6,82,22,76,"Toronto",119, ,0,0,0,186,361,"Etobicoke Collegiate",20071010
023,ETOBICOKE CENTRE,15,80,21,77,"Toronto",120, ,0,1,0,194,356,"Etobicoke Collegiate",20071010
023,ETOBICOKE CENTRE,14,102,24,82,"Toronto",121, ,1,0,0,223,381,"Etobicoke Collegiate",20071010
023,ETOBICOKE CENTRE,3,7,1,3,"Toronto",122s, ,0,1,0,15,28,"Centennial Park Place",20071010
023,ETOBICOKE CENTRE,24,87,17,67,"Toronto",123, ,0,0,0,195,395,"Wellesworth Junior School",20071010
023,ETOBICOKE CENTRE,20,72,15,45,"Toronto",124, ,1,2,0,155,319,"Wellesworth Junior School",20071010
023,ETOBICOKE CENTRE,17,70,3,37,"Toronto",125, ,2,0,1,130,313,"West Glen Junior School",20071010
023,ETOBICOKE CENTRE,16,133,20,78,"Toronto",126, ,1,1,0,249,459,"West Glen Junior School",20071010
023,ETOBICOKE CENTRE,21,104,20,83,"Toronto",127, ,3,1,0,232,407,"West Glen Junior School",20071010
023,ETOBICOKE CENTRE,9,76,11,86,"Toronto",128, ,0,0,0,182,348,"West Glen Junior School",20071010
023,ETOBICOKE CENTRE,14,70,13,52,"Toronto",129, ,1,0,0,150,272,"Etobicoke Collegiate",20071010
023,ETOBICOKE CENTRE,24,96,16,59,"Toronto",130, ,3,1,0,199,392,"Hollycrest Middle School",20071010
023,ETOBICOKE CENTRE,18,90,10,56,"Toronto",131, ,0,2,0,176,349,"Mill Valley Junior Elementary School",20071010
023,ETOBICOKE CENTRE,13,87,10,85,"Toronto",132, ,2,0,0,197,364,"Broadacres Junior Elementary School",20071010
023,ETOBICOKE CENTRE,17,103,14,41,"Toronto",133, ,0,0,0,175,359,"The Church of Christ the King",20071010
023,ETOBICOKE CENTRE,18,101,14,78,"Toronto",134, ,1,0,0,212,389,"Broadacres Junior Elementary School",20071010
023,ETOBICOKE CENTRE,20,79,7,29,"Toronto",135, ,2,0,1,138,425,"Broadacres Junior Elementary School",20071010
023,ETOBICOKE CENTRE,5,37,6,16,"Toronto",136s, ,0,0,0,64,187,"The Westbury",20071010
023,ETOBICOKE CENTRE,5,39,1,25,"Toronto",137s, ,10,0,0,80,228,"Highbourne Lifecare Centre",20071010
023,ETOBICOKE CENTRE,17,95,9,93,"Toronto",138, ,0,0,0,214,451,"West Glen Junior School",20071010
023,ETOBICOKE CENTRE,15,123,18,61,"Toronto",139, ,1,2,0,220,413,"Mill Valley Junior Elementary School",20071010
023,ETOBICOKE CENTRE,12,103,31,104,"Toronto",140, ,5,2,0,257,453,"Mill Valley Junior Elementary School",20071010
023,ETOBICOKE CENTRE,18,143,21,80,"Toronto",141, ,0,0,0,262,422,"Mill Valley Junior Elementary School",20071010
023,ETOBICOKE CENTRE,22,62,6,45,"Toronto",142, ,0,0,1,136,265,"Broadacres Junior Elementary School",20071010
023,ETOBICOKE CENTRE,9,97,16,73,"Toronto",143, ,1,0,0,196,312,"Broadacres Junior Elementary School",20071010
023,ETOBICOKE CENTRE,13,88,13,51,"Toronto",144, ,1,1,1,168,339,"Broadacres Junior Elementary School",20071010
023,ETOBICOKE CENTRE,2,28,1,7,"Toronto",145s, ,0,0,0,38,124,"Westburn Manor",20071010
023,ETOBICOKE CENTRE,12,106,4,46,"Toronto",146, ,1,0,0,169,328,"Mill Valley Junior Elementary School",20071010
023,ETOBICOKE CENTRE,9,71,5,26,"Toronto",147, ,1,0,0,112,221,"Mill Valley Junior Elementary School",20071010
023,ETOBICOKE CENTRE,10,85,13,64,"Toronto",148A, ,0,0,0,172,312,"Bloordale Middle School",20071010
023,ETOBICOKE CENTRE,5,66,15,35,"Toronto",148B, ,1,1,1,124,203,"Bloordale Middle School",20071010
023,ETOBICOKE CENTRE,17,64,12,60,"Toronto",149A, ,0,0,0,153,265,"Bloordale Middle School",20071010
023,ETOBICOKE CENTRE,11,53,14,48,"Toronto",149B, ,2,0,0,128,226,"Bloordale Middle School",20071010
023,ETOBICOKE CENTRE,19,136,19,83,"Toronto",150, ,0,0,0,257,423,"Eatonville Junior School",20071010
023,ETOBICOKE CENTRE,8,43,7,22,"Toronto",151, ,0,0,0,80,195,"Eatonville Junior School",20071010
023,ETOBICOKE CENTRE,10,43,6,28,"Toronto",152, ,0,0,0,87,236,"Eatonville Junior School",20071010
023,ETOBICOKE CENTRE,19,139,38,98,"Toronto",153, ,3,3,0,300,475,"Millwood Junior School",20071010
023,ETOBICOKE CENTRE,9,134,23,95,"Toronto",154, ,0,0,0,261,461,"Bloordale Middle School",20071010
023,ETOBICOKE CENTRE,26,87,16,64,"Toronto",155, ,1,2,0,196,385,"Eatonville Junior School",20071010
023,ETOBICOKE CENTRE,5,130,10,135,"Toronto",156, ,1,0,0,281,437,"Millwood Junior School",20071010
023,ETOBICOKE CENTRE,8,88,26,73,"Toronto",157, ,0,0,0,195,343,"Millwood Junior School",20071010
023,ETOBICOKE CENTRE,15,102,11,90,"Toronto",158, ,0,0,0,218,383,"St. Clement Catholic School",20071010
023,ETOBICOKE CENTRE,15,129,15,92,"Toronto",159, ,0,2,0,253,454,"St. Clement Catholic School",20071010
023,ETOBICOKE CENTRE,15,88,9,86,"Toronto",160, ,0,0,0,198,373,"Bloordale United Church",20071010
023,ETOBICOKE CENTRE,16,77,7,82,"Toronto",161, ,1,0,0,183,337,"Bloordale United Church",20071010
023,ETOBICOKE CENTRE,12,44,7,30,"Toronto",162, ,1,0,0,94,232,"Bloordale United Church",20071010
023,ETOBICOKE CENTRE,8,23,7,21,"Toronto",163, ,0,0,0,59,181,"Bloordale United Church",20071010
023,ETOBICOKE CENTRE,8,119,17,87,"Toronto",164, ,0,0,0,231,407,"St. Clement Catholic School",20071010
023,ETOBICOKE CENTRE,2,24,3,6,"Toronto",165s, ,1,1,0,37,97,"Dom Lipa Nursing Home",20071010
023,ETOBICOKE CENTRE,13,48,4,10,"Toronto",400, ,7,0,0,82,200,"Scarlett Manor",20071010
023,ETOBICOKE CENTRE,25,71,7,23,"Toronto",401, ,0,0,0,126,248,"Southcrest Apartments",20071010
023,ETOBICOKE CENTRE,18,38,16,31,"Toronto",402, ,0,0,0,103,192,"The Promenade",20071010
