ED_CODE,ED_NAME,BARLOW,BROTEN,MURRAY,NÉMETH,SCHULMAN,WILLIAMS,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
024,ETOBICOKE--LAKESHORE,70,83,1,11,11,1,"Toronto",001, ,0,0,0,177,329,"Lambton-Kingsway Junior Middle School",20071010
024,ETOBICOKE--LAKESHORE,72,102,1,23,14,0,"Toronto",002, ,4,0,0,216,377,"Lambton-Kingsway Junior Middle School",20071010
024,ETOBICOKE--LAKESHORE,23,23,1,2,2,1,"Toronto",003s, ,2,0,0,54,99,"Kingsway Retirement Residence",20071010
024,ETOBICOKE--LAKESHORE,96,109,2,20,19,1,"Toronto",004, ,0,0,0,247,415,"Lambton-Kingsway Junior Middle School",20071010
024,ETOBICOKE--LAKESHORE,100,129,1,14,24,1,"Toronto",005, ,0,1,0,270,442,"Lambton-Kingsway Junior Middle School",20071010
024,ETOBICOKE--LAKESHORE,87,102,2,17,13,0,"Toronto",006, ,2,0,0,223,403,"Our Lady of Sorrows Catholic School (Elementary)",20071010
024,ETOBICOKE--LAKESHORE,82,110,0,14,16,2,"Toronto",007, ,1,0,0,225,386,"Our Lady of Sorrows Catholic School (Elementary)",20071010
024,ETOBICOKE--LAKESHORE,91,93,0,11,9,1,"Toronto",008, ,0,1,0,206,355,"Lambton-Kingsway Junior Middle School",20071010
024,ETOBICOKE--LAKESHORE,134,82,0,4,14,1,"Toronto",009, ,0,1,1,237,438,"Kingsway Lambton United Church",20071010
024,ETOBICOKE--LAKESHORE,92,70,0,7,18,2,"Toronto",010, ,0,0,0,189,314,"All Saints Kingsway Anglican Church",20071010
024,ETOBICOKE--LAKESHORE,53,80,3,14,11,5,"Toronto",011, ,0,0,0,166,312,"Our Lady of Peace Catholic School (Elementary)",20071010
024,ETOBICOKE--LAKESHORE,65,50,0,11,6,1,"Toronto",012, ,0,1,0,134,216,"Islington United Church",20071010
024,ETOBICOKE--LAKESHORE,78,88,3,22,23,3,"Toronto",013, ,5,0,2,224,417,"Islington United Church",20071010
024,ETOBICOKE--LAKESHORE,14,43,0,13,1,1,"Toronto",014, ,0,0,0,72,170,"Islington Junior Middle School",20071010
024,ETOBICOKE--LAKESHORE,88,93,0,12,18,1,"Toronto",015, ,0,1,0,213,342,"Our Lady of Sorrows Catholic School (Elementary)",20071010
024,ETOBICOKE--LAKESHORE,59,65,0,6,22,4,"Toronto",016, ,0,0,0,156,302,"Our Lady of Sorrows Catholic School (Elementary)",20071010
024,ETOBICOKE--LAKESHORE,36,30,0,3,3,0,"Toronto",017, ,0,1,1,74,130,"Kingsway Lambton United Church",20071010
024,ETOBICOKE--LAKESHORE,31,48,1,3,9,0,"Toronto",018, ,0,0,0,92,191,"Kingsway Lambton United Church",20071010
024,ETOBICOKE--LAKESHORE,102,79,1,7,19,3,"Toronto",019, ,0,0,0,211,343,"Kingsway Lambton United Church",20071010
024,ETOBICOKE--LAKESHORE,54,53,0,13,22,3,"Toronto",020, ,0,0,0,145,244,"All Saints Kingsway Anglican Church",20071010
024,ETOBICOKE--LAKESHORE,25,51,2,8,8,1,"Toronto",021, ,0,0,0,95,228,"All Saints Kingsway Anglican Church",20071010
024,ETOBICOKE--LAKESHORE,31,29,0,6,7,1,"Toronto",022, ,0,0,0,74,180,"All Saints Kingsway Anglican Church",20071010
024,ETOBICOKE--LAKESHORE,25,55,1,15,12,1,"Toronto",023, ,0,0,0,109,201,"All Saints Kingsway Anglican Church",20071010
024,ETOBICOKE--LAKESHORE,96,119,1,26,26,6,"Toronto",024, ,1,0,0,275,554,"Eatonville Library",20071010
024,ETOBICOKE--LAKESHORE,86,102,0,24,13,2,"Toronto",025, ,1,0,0,228,379,"Wedgewood Junior Elementary School",20071010
024,ETOBICOKE--LAKESHORE,79,89,1,20,24,2,"Toronto",026, ,0,0,0,215,378,"Wedgewood Junior Elementary School",20071010
024,ETOBICOKE--LAKESHORE,45,98,1,21,14,7,"Toronto",027, ,1,2,0,189,302,"Our Lady of Peace Catholic School (Elementary)",20071010
024,ETOBICOKE--LAKESHORE,102,100,1,17,22,1,"Toronto",028, ,15,1,1,260,474,"Islington United Church",20071010
024,ETOBICOKE--LAKESHORE,29,39,2,12,4,0,"Toronto",029, ,0,0,0,86,186,"Islington United Church",20071010
024,ETOBICOKE--LAKESHORE,76,110,1,27,27,0,"Toronto",030, ,0,0,0,241,516,"Church of the Resurrection",20071010
024,ETOBICOKE--LAKESHORE,36,96,15,23,3,3,"Toronto",031s, ,26,2,0,204,378,"41 Mabelle Avenue",20071010
024,ETOBICOKE--LAKESHORE,43,76,0,17,9,4,"Toronto",032, ,1,0,0,150,286,"Fairfield Senior Centre",20071010
024,ETOBICOKE--LAKESHORE,52,87,0,21,23,3,"Toronto",033, ,1,0,0,187,337,"Fairfield Senior Centre",20071010
024,ETOBICOKE--LAKESHORE,74,99,3,15,22,8,"Toronto",034, ,1,1,0,223,398,"Royal York Road United Church",20071010
024,ETOBICOKE--LAKESHORE,102,128,3,24,25,4,"Toronto",035, ,0,2,0,288,521,"Royal York Road United Church",20071010
024,ETOBICOKE--LAKESHORE,76,125,1,6,12,1,"Toronto",036, ,3,1,1,226,395,"Sunnylea Junior Elementary School",20071010
024,ETOBICOKE--LAKESHORE,98,150,2,16,28,7,"Toronto",037, ,3,0,0,304,449,"Sunnylea Junior Elementary School",20071010
024,ETOBICOKE--LAKESHORE,74,87,2,15,12,4,"Toronto",038, ,0,0,0,194,322,"Parklawn Junior School",20071010
024,ETOBICOKE--LAKESHORE,51,77,0,18,18,1,"Toronto",039, ,2,0,0,167,369,"Bloorlea Middle School",20071010
024,ETOBICOKE--LAKESHORE,71,111,1,21,9,6,"Toronto",040, ,1,0,0,220,431,"Bloorlea Middle School",20071010
024,ETOBICOKE--LAKESHORE,56,89,0,15,12,4,"Toronto",041, ,0,0,0,176,313,"Wedgewood Junior Elementary School",20071010
024,ETOBICOKE--LAKESHORE,1,2,0,0,0,0,"Toronto",042s, ,0,0,2,5,7,"Elm Springs",20071010
