ED_CODE,ED_NAME,BOUDJENANE,CEOLIN,KASSIM,KORSHEL,QAADRI,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
025,ETOBICOKE NORTH,30,5,16,2,106,"Toronto",001, ,0,0,9,168,466,"Monsignor John Corrigan School",20071010
025,ETOBICOKE NORTH,55,8,30,6,156,"Toronto",002, ,1,1,0,257,556,"St. Angela Catholic School",20071010
025,ETOBICOKE NORTH,47,11,45,3,214,"Toronto",003, ,2,1,0,323,652,"St. Angela Catholic School",20071010
025,ETOBICOKE NORTH,27,12,18,6,130,"Toronto",004, ,0,0,0,193,468,"St. Angela Catholic School",20071010
025,ETOBICOKE NORTH,33,2,30,12,116,"Toronto",005, ,0,0,0,193,480,"St. Angela Catholic School",20071010
025,ETOBICOKE NORTH,28,5,23,6,96,"Toronto",006, ,1,0,0,159,484,"St. Angela Catholic School",20071010
025,ETOBICOKE NORTH,25,5,28,8,115,"Toronto",007, ,0,0,0,181,494,"Monsignor John Corrigan School",20071010
025,ETOBICOKE NORTH,24,9,20,10,114,"Toronto",008, ,1,1,0,179,428,"Claireville Public School",20071010
025,ETOBICOKE NORTH,28,10,23,6,132,"Toronto",009, ,4,3,0,206,488,"Highfield Junior School",20071010
025,ETOBICOKE NORTH,31,11,29,7,83,"Toronto",010, ,0,1,2,164,420,"North Albion Collegiate Site #9",20071010
025,ETOBICOKE NORTH,25,3,29,9,93,"Toronto",011, ,3,0,0,162,401,"St. Angela Catholic School",20071010
025,ETOBICOKE NORTH,43,4,32,7,110,"Toronto",012, ,4,0,0,200,522,"North Albion Collegiate Site #9",20071010
025,ETOBICOKE NORTH,20,4,21,10,109,"Toronto",013, ,1,1,0,166,418,"Claireville Public School",20071010
025,ETOBICOKE NORTH,16,10,24,5,107,"Toronto",014, ,1,1,0,164,446,"Claireville Public School",20071010
025,ETOBICOKE NORTH,19,4,29,7,68,"Toronto",015, ,2,0,0,129,345,"Claireville Public School",20071010
025,ETOBICOKE NORTH,32,11,21,5,95,"Toronto",016, ,1,0,0,165,456,"Highfield Junior School",20071010
025,ETOBICOKE NORTH,11,2,10,2,32,"Toronto",017, ,0,0,0,57,182,"North Albion Collegiate Site #9",20071010
025,ETOBICOKE NORTH,0,0,0,0,0,"Toronto",018s, ,0,0,0,0,0,"Thistledown Regional Centre",20071010
025,ETOBICOKE NORTH,9,5,30,0,77,"Toronto",019, ,0,2,0,123,333,"St. Andrew Catholic School",20071010
025,ETOBICOKE NORTH,14,3,9,3,73,"Toronto",020, ,3,1,0,106,356,"Monsignor John Corrigan School",20071010
025,ETOBICOKE NORTH,18,7,22,7,97,"Toronto",021, ,0,3,0,154,395,"Melody Village School",20071010
025,ETOBICOKE NORTH,30,2,25,4,58,"Toronto",022, ,1,0,0,120,352,"Claireville Public School",20071010
025,ETOBICOKE NORTH,13,3,16,0,66,"Toronto",023, ,0,0,0,98,212,"Highfield Junior School",20071010
025,ETOBICOKE NORTH,43,9,42,9,156,"Toronto",024, ,1,1,0,261,533,"Beaumonde Heights School",20071010
025,ETOBICOKE NORTH,22,11,45,12,100,"Toronto",025, ,3,0,0,193,405,"Beaumonde Heights School",20071010
025,ETOBICOKE NORTH,24,2,25,6,57,"Toronto",026, ,0,2,1,117,325,"Beaumonde Heights School",20071010
025,ETOBICOKE NORTH,8,8,15,3,22,"Toronto",027s, ,0,0,0,56,86,"Our Saviour Thistledown Lutheran Lodge",20071010
025,ETOBICOKE NORTH,24,6,34,5,93,"Toronto",028, ,3,1,1,167,398,"Our Saviour Thistledown Lutheran Lodge",20071010
025,ETOBICOKE NORTH,31,14,57,21,94,"Toronto",029, ,5,2,1,225,435,"St. John Vianney Catholic School",20071010
025,ETOBICOKE NORTH,43,11,41,8,92,"Toronto",030, ,1,0,1,197,354,"St. John Vianney Catholic School",20071010
025,ETOBICOKE NORTH,36,11,11,5,80,"Toronto",031, ,2,0,0,145,415,"Melody Village School",20071010
025,ETOBICOKE NORTH,34,7,34,6,94,"Toronto",032, ,0,2,0,177,437,"Melody Village School",20071010
025,ETOBICOKE NORTH,22,4,19,3,77,"Toronto",033, ,0,1,0,126,342,"Melody Village School",20071010
025,ETOBICOKE NORTH,4,4,11,1,36,"Toronto",034, ,0,0,0,56,229,"Elmbank School",20071010
025,ETOBICOKE NORTH,12,0,10,3,83,"Toronto",035, ,1,1,0,110,388,"Elmbank School",20071010
025,ETOBICOKE NORTH,8,3,12,2,30,"Toronto",036, ,0,0,0,55,139,"Elmbank School",20071010
025,ETOBICOKE NORTH,11,2,15,2,59,"Toronto",037, ,2,1,0,92,231,"Elmbank School",20071010
025,ETOBICOKE NORTH,44,18,23,9,117,"Toronto",038, ,1,1,0,213,611,"Toronto Community Housing",20071010
025,ETOBICOKE NORTH,21,6,21,5,87,"Toronto",039, ,0,0,0,140,377,"Greenholme School",20071010
025,ETOBICOKE NORTH,39,7,27,2,84,"Toronto",040, ,0,2,0,161,494,"Greenholme School",20071010
025,ETOBICOKE NORTH,4,6,10,5,13,"Toronto",041s, ,0,0,1,39,95,"Central Park Lodge",20071010
025,ETOBICOKE NORTH,8,8,57,5,51,"Toronto",042, ,3,2,0,134,295,"Thistletown Multi-Service",20071010
025,ETOBICOKE NORTH,44,14,51,14,105,"Toronto",043, ,0,4,0,232,409,"St. John Vianney Catholic School",20071010
025,ETOBICOKE NORTH,22,3,25,8,156,"Toronto",044, ,2,1,0,217,650,"Humber College Athletics Gymnasium",20071010
025,ETOBICOKE NORTH,23,3,26,13,132,"Toronto",045, ,0,0,0,197,492,"Humber College Athletics Gymnasium",20071010
025,ETOBICOKE NORTH,24,5,20,6,97,"Toronto",046, ,5,0,5,162,514,"Humber College Athletics Gymnasium",20071010
025,ETOBICOKE NORTH,69,8,41,8,145,"Toronto",047, ,0,2,3,276,630,"Albion Heights School",20071010
025,ETOBICOKE NORTH,29,7,41,10,160,"Toronto",048, ,1,0,0,248,585,"Albion Heights School",20071010
025,ETOBICOKE NORTH,17,7,29,10,93,"Toronto",049, ,0,0,0,156,483,"Albion Heights School",20071010
025,ETOBICOKE NORTH,5,0,3,0,42,"Toronto",050, ,0,0,0,50,153,"Greenholme School",20071010
025,ETOBICOKE NORTH,23,5,13,1,43,"Toronto",051, ,0,0,1,86,302,"Greenholme School",20071010
025,ETOBICOKE NORTH,18,2,26,4,75,"Toronto",052, ,1,0,0,126,324,"Greenholme School",20071010
025,ETOBICOKE NORTH,12,6,18,2,44,"Toronto",053, ,0,0,0,82,277,"Greenholme School",20071010
025,ETOBICOKE NORTH,13,3,22,2,26,"Toronto",054, ,0,0,0,66,206,"Church of St. Paul",20071010
025,ETOBICOKE NORTH,49,17,56,19,88,"Toronto",055, ,1,0,1,231,417,"Rivercrest School",20071010
025,ETOBICOKE NORTH,39,17,48,28,120,"Toronto",056, ,1,3,0,256,516,"Rivercrest School",20071010
025,ETOBICOKE NORTH,28,13,54,21,104,"Toronto",057, ,2,2,1,225,519,"Thistletown Multi-Service",20071010
025,ETOBICOKE NORTH,38,8,31,13,60,"Toronto",058, ,4,0,0,154,371,"St. John Vianney Catholic School",20071010
025,ETOBICOKE NORTH,26,12,15,7,137,"Toronto",059, ,22,0,0,219,528,"Humberwood Downs Academy",20071010
025,ETOBICOKE NORTH,4,0,12,3,13,"Toronto",060s, ,0,1,0,33,62,"Leisureworld Caregiving Centre",20071010
025,ETOBICOKE NORTH,37,6,24,20,49,"Toronto",061A, ,0,1,0,137,438,"Humber College Athletics Gymnasium",20071010
025,ETOBICOKE NORTH,40,5,28,18,84,"Toronto",061B, ,0,0,0,175,427,"Humber College Athletics Gymnasium",20071010
025,ETOBICOKE NORTH,4,2,7,0,19,"Toronto",062s, ,0,0,0,32,60,"Versa Care",20071010
025,ETOBICOKE NORTH,20,10,53,19,105,"Toronto",063, ,0,2,0,209,450,"Albion Heights School",20071010
025,ETOBICOKE NORTH,38,2,19,8,106,"Toronto",064, ,0,1,0,174,446,"Albion Heights School",20071010
025,ETOBICOKE NORTH,34,4,37,13,81,"Toronto",065, ,7,3,0,179,388,"West Humber Junior School",20071010
025,ETOBICOKE NORTH,3,8,11,3,37,"Toronto",066, ,0,0,0,62,108,"Church of St. Paul",20071010
025,ETOBICOKE NORTH,22,21,36,9,91,"Toronto",067, ,2,1,0,182,432,"Church of St. Paul",20071010
025,ETOBICOKE NORTH,21,10,38,14,73,"Toronto",068, ,0,1,0,157,362,"Rivercrest School",20071010
025,ETOBICOKE NORTH,44,8,62,11,108,"Toronto",069, ,2,0,0,235,424,"Rivercrest School",20071010
025,ETOBICOKE NORTH,49,11,45,7,86,"Toronto",070, ,2,3,2,205,465,"Thistletown Collegiate Institute",20071010
025,ETOBICOKE NORTH,20,5,29,9,62,"Toronto",071, ,0,0,1,126,308,"The Elms Junior Middle School",20071010
025,ETOBICOKE NORTH,13,6,28,7,91,"Toronto",072, ,4,2,0,151,316,"The Elms Junior Middle School",20071010
025,ETOBICOKE NORTH,22,16,30,10,81,"Toronto",073, ,0,1,0,160,428,"Braeburn School",20071010
025,ETOBICOKE NORTH,7,4,15,3,35,"Toronto",074, ,0,0,0,64,198,"Braeburn School",20071010
025,ETOBICOKE NORTH,39,12,37,9,153,"Toronto",075, ,10,0,0,260,606,"Humberwood Downs Academy",20071010
025,ETOBICOKE NORTH,23,4,18,7,68,"Toronto",076, ,0,0,0,120,455,"Ascot Co-operative Community Centre",20071010
025,ETOBICOKE NORTH,35,14,42,20,81,"Toronto",077, ,0,0,0,192,402,"Martin Grove United Church",20071010
025,ETOBICOKE NORTH,24,15,81,8,108,"Toronto",078, ,3,1,0,240,404,"Martin Grove United Church",20071010
025,ETOBICOKE NORTH,27,4,47,6,119,"Toronto",079, ,33,2,0,238,456,"West Humber Junior School",20071010
025,ETOBICOKE NORTH,30,15,56,8,95,"Toronto",080, ,0,0,0,204,387,"West Humber Junior School",20071010
025,ETOBICOKE NORTH,4,5,15,6,15,"Toronto",081s, ,0,0,0,45,177,"Kipling Acres for the Aged",20071010
025,ETOBICOKE NORTH,23,2,13,3,24,"Toronto",082, ,0,0,0,65,189,"Thistletown Collegiate Institute",20071010
025,ETOBICOKE NORTH,36,8,40,8,87,"Toronto",083, ,0,1,0,180,403,"Thistletown Collegiate Institute",20071010
025,ETOBICOKE NORTH,32,7,67,11,75,"Toronto",084, ,1,0,0,193,416,"Mississauga Private School",20071010
025,ETOBICOKE NORTH,24,17,61,6,94,"Toronto",085, ,0,0,0,202,471,"Thistletown Collegiate Institute",20071010
025,ETOBICOKE NORTH,37,11,40,7,86,"Toronto",086, ,0,0,0,181,390,"Mississauga Private School",20071010
025,ETOBICOKE NORTH,16,10,50,14,79,"Toronto",087, ,0,1,0,170,316,"The Elms Junior Middle School",20071010
025,ETOBICOKE NORTH,17,9,45,6,67,"Toronto",088, ,2,0,0,146,348,"The Elms Junior Middle School",20071010
025,ETOBICOKE NORTH,16,4,28,2,109,"Toronto",089, ,8,1,0,168,457,"Humberwood Downs Academy",20071010
025,ETOBICOKE NORTH,13,5,39,7,108,"Toronto",090, ,14,0,0,186,551,"Humberwood Downs Academy",20071010
025,ETOBICOKE NORTH,25,7,29,17,124,"Toronto",091, ,2,0,0,204,580,"Humberwood Downs Academy",20071010
025,ETOBICOKE NORTH,2,1,8,0,9,"Toronto",092, ,0,0,0,20,117,"Ascot Co-operative Community Centre",20071010
025,ETOBICOKE NORTH,35,17,39,9,81,"Toronto",093, ,3,1,0,185,346,"Martin Grove United Church",20071010
025,ETOBICOKE NORTH,35,8,37,10,102,"Toronto",094, ,8,3,0,203,413,"West Humber Junior School",20071010
025,ETOBICOKE NORTH,37,3,57,15,53,"Toronto",095, ,3,0,0,168,337,"Mississauga Private School",20071010
025,ETOBICOKE NORTH,62,6,39,13,72,"Toronto",096, ,5,0,0,197,419,"Mississauga Private School",20071010
025,ETOBICOKE NORTH,8,10,15,5,16,"Toronto",097, ,1,1,0,56,211,"Rexdale Presbyterian Senior Citizens Corporation",20071010
025,ETOBICOKE NORTH,14,0,8,4,23,"Toronto",098, ,0,0,0,49,205,"Rexdale Presbyterian Senior Citizens Corporation",20071010
025,ETOBICOKE NORTH,17,6,15,2,21,"Toronto",099, ,1,1,0,63,242,"Elmlea School",20071010
025,ETOBICOKE NORTH,32,5,46,9,71,"Toronto",100, ,0,0,1,164,352,"Elmlea School",20071010
