ED_CODE,ED_NAME,BLANCHETTE,GUNN,LALONDE,PICKETT,POMMAINVILLE,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
026,GLENGARRY--PRESCOTT--RUSSELL,14,0,102,5,15,"L'Orignal",001, ,0,1,0,137,299,"École Saint-Jean-Baptiste",20071010
026,GLENGARRY--PRESCOTT--RUSSELL,5,1,100,6,22,"L'Orignal",002, ,2,1,0,137,293,"École Saint-Jean-Baptiste",20071010
026,GLENGARRY--PRESCOTT--RUSSELL,14,1,98,6,22,"L'Orignal",003, ,1,0,0,142,292,"École Saint-Jean-Baptiste",20071010
026,GLENGARRY--PRESCOTT--RUSSELL,27,2,136,10,28,"L'Orignal",004, ,1,0,0,204,408,"École Saint-Jean-Baptiste",20071010
026,GLENGARRY--PRESCOTT--RUSSELL,0,0,15,0,4,"Champlain",005s, ,0,0,0,19,61,"Résidence Champlain",20071010
026,GLENGARRY--PRESCOTT--RUSSELL,10,1,101,20,28,"L'Orignal",006, ,2,1,0,163,413,"École Saint-Jean-Baptiste",20071010
026,GLENGARRY--PRESCOTT--RUSSELL,5,0,75,4,25,"Hawkesbury",007, ,0,0,0,109,234,"École secondaire de Hawkesbury",20071010
026,GLENGARRY--PRESCOTT--RUSSELL,4,0,48,0,6,"Hawkesbury",008, ,0,0,0,58,187,"École secondaire de Hawkesbury",20071010
026,GLENGARRY--PRESCOTT--RUSSELL,5,0,94,5,10,"Hawkesbury",009, ,2,0,0,116,345,"École secondaire de Hawkesbury",20071010
026,GLENGARRY--PRESCOTT--RUSSELL,0,0,46,0,6,"Hawkesbury",010s, ,0,0,0,52,72,"McGill Manor",20071010
026,GLENGARRY--PRESCOTT--RUSSELL,5,0,29,4,10,"Hawkesbury",011, ,1,1,0,50,193,"École St-Jean Bosco",20071010
026,GLENGARRY--PRESCOTT--RUSSELL,9,0,37,1,11,"Hawkesbury",012, ,1,0,0,59,239,"École St-Jean Bosco",20071010
026,GLENGARRY--PRESCOTT--RUSSELL,1,0,18,0,0,"Hawkesbury",013s, ,0,0,0,19,23,"Place Rideau",20071010
026,GLENGARRY--PRESCOTT--RUSSELL,3,0,52,2,4,"Hawkesbury",014, ,1,0,0,62,244,"École St-Jean Bosco",20071010
026,GLENGARRY--PRESCOTT--RUSSELL,3,2,57,4,9,"Hawkesbury",015, ,3,0,0,78,283,"École St-Jean Bosco",20071010
026,GLENGARRY--PRESCOTT--RUSSELL,11,2,82,7,20,"Hawkesbury",016, ,0,0,0,122,343,"École secondaire Le Sommet",20071010
026,GLENGARRY--PRESCOTT--RUSSELL,10,0,53,3,14,"Hawkesbury",017, ,0,0,0,80,252,"École St-Jean Bosco",20071010
026,GLENGARRY--PRESCOTT--RUSSELL,12,0,73,2,23,"Hawkesbury",018, ,0,0,0,110,286,"École St-Jean Bosco",20071010
026,GLENGARRY--PRESCOTT--RUSSELL,7,1,79,1,10,"Hawkesbury",019, ,2,1,0,101,305,"École St-Jean Bosco",20071010
