ED_CODE,ED_NAME,GARVIE,GOTS,MANN-BOWERS,POLLEY,SANDALS,SENECHAL,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
027,GUELPH,0,2,34,22,59,48,"Guelph",001, ,2,0,0,167,370,"New Life Christian Reformed Church",20071010
027,GUELPH,1,1,10,27,64,72,"Guelph",002, ,0,0,0,175,395,"New Life Christian Reformed Church",20071010
027,GUELPH,0,0,27,24,55,36,"Guelph",003, ,0,0,0,142,324,"New Life Christian Reformed Church",20071010
027,GUELPH,1,0,16,16,44,25,"Guelph",004, ,1,0,0,103,339,"Brant Avenue Public School",20071010
027,GUELPH,0,7,35,33,91,40,"Guelph",005, ,0,0,0,206,394,"Brant Avenue Public School",20071010
027,GUELPH,3,6,22,24,80,48,"Guelph",006, ,0,0,0,183,384,"Brant Avenue Public School",20071010
027,GUELPH,0,4,34,34,79,55,"Guelph",007, ,1,1,0,208,401,"Ottawa Crescent Public School",20071010
027,GUELPH,1,2,30,20,85,59,"Guelph",008, ,0,1,0,198,369,"Holy Trinity Catholic Elementary School",20071010
027,GUELPH,0,6,13,29,103,61,"Guelph",009, ,3,5,2,222,394,"The Village of Riverside Glen",20071010
027,GUELPH,0,2,31,52,75,42,"Guelph",010, ,0,0,2,204,412,"Waverley Drive Public School",20071010
027,GUELPH,0,0,26,12,80,65,"Guelph",011, ,0,0,0,183,353,"Waverley Drive Public School",20071010
027,GUELPH,1,3,14,30,82,55,"Guelph",012, ,0,1,0,186,366,"Waverley Drive Public School",20071010
027,GUELPH,0,0,19,32,71,41,"Guelph",013, ,0,1,0,164,326,"New Life Christian Reformed Church",20071010
027,GUELPH,2,2,22,19,76,45,"Guelph",014, ,3,0,0,169,309,"Waverley Drive Public School",20071010
027,GUELPH,0,7,21,36,61,47,"Guelph",015, ,0,0,0,172,346,"Waverley Drive Public School",20071010
027,GUELPH,0,2,21,17,62,21,"Guelph",016, ,0,0,0,123,282,"Brant Avenue Public School",20071010
027,GUELPH,0,6,21,15,76,40,"Guelph",017, ,1,0,0,159,344,"Brant Avenue Public School",20071010
027,GUELPH,0,0,10,4,22,28,"Guelph",018, ,0,2,0,66,162,"Victoria Road Recreation Centre",20071010
027,GUELPH,0,0,15,21,68,55,"Guelph",019, ,2,2,0,163,372,"Holy Trinity Catholic Elementary School",20071010
027,GUELPH,0,0,19,20,63,51,"Guelph",020, ,0,1,0,154,333,"Holy Trinity Catholic Elementary School",20071010
027,GUELPH,0,3,25,17,58,54,"Guelph",021, ,1,0,0,158,304,"Holy Trinity Catholic Elementary School",20071010
027,GUELPH,1,1,24,20,51,59,"Guelph",022, ,0,0,0,156,325,"Holy Trinity Catholic Elementary School",20071010
027,GUELPH,0,0,12,12,28,31,"Guelph",023, ,0,0,0,83,180,"Holy Trinity Catholic Elementary School",20071010
027,GUELPH,0,3,5,5,22,14,"Guelph",024s, ,0,1,1,51,55,"The Village of Riverside Glen",20071010
027,GUELPH,0,0,9,15,56,45,"Guelph",025, ,0,2,0,127,280,"Evergreen Seniors Centre",20071010
027,GUELPH,1,0,16,34,93,62,"Guelph",026, ,1,0,0,207,369,"Edward Johnson Public School",20071010
027,GUELPH,0,1,28,35,74,37,"Guelph",027, ,2,2,0,179,346,"Edward Johnson Public School",20071010
027,GUELPH,1,0,27,27,58,31,"Guelph",028, ,0,0,0,144,291,"Trinity United Church",20071010
027,GUELPH,0,1,0,0,7,10,"Guelph",029s, ,0,0,0,18,54,"Lapointe Fisher Nursing Home",20071010
027,GUELPH,0,2,19,31,120,64,"Guelph",030, ,1,0,0,237,384,"Edward Johnson Public School",20071010
027,GUELPH,0,0,5,25,122,55,"Guelph",031, ,0,1,0,208,366,"Edward Johnson Public School",20071010
027,GUELPH,0,0,25,32,77,40,"Guelph",032, ,0,0,0,174,290,"Ottawa Crescent Public School",20071010
027,GUELPH,0,1,33,23,92,55,"Guelph",033, ,1,1,0,206,373,"Ottawa Crescent Public School",20071010
027,GUELPH,0,6,30,28,72,45,"Guelph",034, ,2,0,0,183,333,"Ottawa Crescent Public School",20071010
027,GUELPH,1,2,36,31,71,57,"Guelph",035, ,3,0,0,201,408,"Victoria Road Recreation Centre",20071010
027,GUELPH,0,1,14,8,27,18,"Guelph",036, ,0,0,0,68,216,"Victoria Road Recreation Centre",20071010
027,GUELPH,2,3,26,25,54,21,"Guelph",037, ,0,0,0,131,323,"Victoria Road Recreation Centre",20071010
027,GUELPH,0,1,20,23,36,19,"Guelph",038, ,2,1,0,102,301,"Victoria Road Recreation Centre",20071010
027,GUELPH,0,1,14,12,39,36,"Guelph",039, ,3,0,0,105,305,"St. John's Catholic Elementary School",20071010
027,GUELPH,0,1,32,31,67,36,"Guelph",040, ,1,0,0,168,394,"St. John's Catholic Elementary School",20071010
027,GUELPH,0,1,29,28,64,63,"Guelph",041, ,1,1,0,187,393,"St. James Catholic High School",20071010
027,GUELPH,0,2,21,27,41,52,"Guelph",042, ,0,0,0,143,321,"St. John's Catholic Elementary School",20071010
027,GUELPH,0,3,15,47,59,47,"Guelph",043, ,0,0,0,171,392,"St. John's Catholic Elementary School",20071010
027,GUELPH,0,1,15,29,54,43,"Guelph",044, ,0,0,0,142,326,"St. John's Catholic Elementary School",20071010
027,GUELPH,0,2,29,17,65,66,"Guelph",045, ,0,0,0,179,365,"Elizabeth Street Fire Station",20071010
027,GUELPH,1,2,24,14,17,23,"Guelph",046, ,0,0,0,81,264,"June Avenue Public School",20071010
027,GUELPH,1,0,35,32,79,47,"Guelph",047, ,0,1,0,195,335,"June Avenue Public School",20071010
027,GUELPH,0,0,22,27,74,51,"Guelph",048, ,1,0,0,175,410,"Evergreen Seniors Centre",20071010
027,GUELPH,0,0,23,25,75,70,"Guelph",049, ,0,0,1,194,366,"Trinity United Church",20071010
027,GUELPH,0,1,10,25,45,35,"Guelph",050, ,0,0,0,116,279,"Trinity United Church",20071010
027,GUELPH,3,1,21,41,56,35,"Guelph",051, ,0,0,0,157,321,"Bayfield Court",20071010
027,GUELPH,0,4,22,28,73,23,"Guelph",052, ,0,0,0,150,309,"Delhi Community Centre",20071010
027,GUELPH,0,0,4,15,74,34,"Guelph",053s, ,1,0,0,128,240,"The Elliott Group",20071010
027,GUELPH,0,2,12,17,94,38,"Guelph",054, ,2,0,0,165,330,"Trinity United Church",20071010
027,GUELPH,0,1,3,3,32,23,"Guelph",055s, ,1,0,0,63,84,"The Elliott Group",20071010
027,GUELPH,0,1,25,41,68,53,"Guelph",056, ,0,0,1,189,334,"Laurine Avenue Public School",20071010
027,GUELPH,1,1,20,23,60,24,"Guelph",057, ,1,0,0,130,225,"Ottawa Crescent Public School",20071010
027,GUELPH,2,1,34,32,56,40,"Guelph",058, ,0,1,0,166,334,"Ottawa Crescent Public School",20071010
027,GUELPH,0,0,18,24,47,14,"Guelph",059, ,1,1,0,105,267,"Laurine Avenue Public School",20071010
027,GUELPH,1,1,18,22,92,26,"Guelph",060, ,2,1,0,163,355,"St. James Catholic High School",20071010
027,GUELPH,0,1,22,37,95,48,"Guelph",061, ,1,0,0,204,420,"St. James Catholic High School",20071010
027,GUELPH,0,6,25,28,75,45,"Guelph",062, ,1,0,0,180,401,"St. James Catholic High School",20071010
027,GUELPH,0,0,17,22,37,41,"Guelph",063, ,1,0,0,118,283,"St. James Catholic High School",20071010
027,GUELPH,2,1,12,12,26,17,"Guelph",064, ,0,0,0,70,235,"Elizabeth Street Fire Station",20071010
027,GUELPH,0,0,28,23,72,67,"Guelph",065, ,0,0,0,190,345,"June Avenue Public School",20071010
027,GUELPH,3,0,24,30,80,55,"Guelph",066, ,1,0,0,193,327,"June Avenue Public School",20071010
027,GUELPH,1,3,44,68,66,29,"Guelph",067, ,0,1,0,212,351,"Our Lady of Lourdes Catholic High School",20071010
027,GUELPH,1,2,26,26,56,22,"Guelph",068, ,0,1,0,134,306,"Our Lady of Lourdes Catholic High School",20071010
027,GUELPH,0,0,34,38,74,36,"Guelph",069, ,1,0,0,183,307,"Victory Public School",20071010
027,GUELPH,2,2,39,67,55,27,"Guelph",070, ,0,1,1,194,321,"Victory Public School",20071010
027,GUELPH,0,1,41,64,31,14,"Guelph",071, ,0,1,0,152,314,"Victory Public School",20071010
027,GUELPH,0,0,29,56,64,22,"Guelph",073, ,0,0,0,171,333,"Delhi Community Centre",20071010
027,GUELPH,0,1,42,84,40,13,"Guelph",075, ,0,0,0,180,320,"Delhi Community Centre",20071010
027,GUELPH,0,0,21,51,77,49,"Guelph",076, ,0,1,0,199,351,"Laurine Avenue Public School",20071010
027,GUELPH,0,0,22,42,94,33,"Guelph",077, ,4,0,0,195,354,"Laurine Avenue Public School",20071010
027,GUELPH,0,0,35,39,80,40,"Guelph",078, ,1,0,0,195,314,"Grange Street Senior Apartments",20071010
027,GUELPH,0,2,28,36,31,25,"Guelph",079, ,0,0,0,122,238,"Grange Street Senior Apartments",20071010
027,GUELPH,2,5,43,65,79,23,"Guelph",080, ,0,1,0,218,467,"Italian Canadian Club",20071010
027,GUELPH,0,3,20,50,63,19,"Guelph",081, ,1,0,0,156,305,"Tytler Public School",20071010
027,GUELPH,3,1,37,18,84,40,"Guelph",082, ,0,0,0,183,376,"St. Paul's Evangelical Lutheran Church",20071010
027,GUELPH,0,0,11,15,52,37,"Guelph",083, ,0,0,0,115,288,"Our Lady of Lourdes Catholic High School",20071010
027,GUELPH,0,2,8,8,37,15,"Guelph",085s, ,0,0,0,70,109,"St. Joseph's Health Centre",20071010
027,GUELPH,1,4,25,38,82,35,"Guelph",086, ,0,0,0,185,323,"Our Lady of Lourdes Catholic High School",20071010
027,GUELPH,1,1,36,74,70,30,"Guelph",087, ,1,1,0,214,356,"Victory Public School",20071010
027,GUELPH,0,0,43,73,62,33,"Guelph",088, ,0,0,0,211,345,"Victory Public School",20071010
027,GUELPH,0,0,40,94,83,37,"Guelph",089, ,3,0,0,257,402,"Dublin Street United Church",20071010
027,GUELPH,0,0,25,45,30,9,"Guelph",090, ,0,0,0,109,246,"Guelph Youth Music Centre",20071010
027,GUELPH,0,0,2,0,8,6,"Guelph",091s, ,1,0,0,17,24,"Oxford Lodge",20071010
027,GUELPH,1,0,35,59,31,18,"Guelph",092, ,0,0,1,145,265,"Guelph Youth Music Centre",20071010
027,GUELPH,0,1,4,2,12,5,"Guelph",093s, ,1,1,0,26,47,"Norfolk Manor",20071010
027,GUELPH,1,0,12,31,32,19,"Guelph",094, ,1,0,0,96,239,"Guelph Youth Music Centre",20071010
027,GUELPH,0,1,23,35,17,7,"Guelph",095, ,0,0,0,83,234,"Old Quebec Street Mall",20071010
027,GUELPH,0,1,28,56,45,11,"Guelph",096, ,0,1,0,142,260,"Italian Canadian Club",20071010
027,GUELPH,0,1,32,38,76,28,"Guelph",097, ,0,0,0,175,329,"Italian Canadian Club",20071010
027,GUELPH,0,3,23,35,19,20,"Guelph",098, ,0,0,0,100,226,"Tytler Public School",20071010
