ED_CODE,ED_NAME,BARRETT,BERGSTRAND,ELGERSMA,SQUIZZATO,WATSON,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
028,HALDIMAND--NORFOLK,120,27,2,11,19,"Caledonia",001, ,2,0,0,181,448,"Caledonia Centennial Public School",20071010
028,HALDIMAND--NORFOLK,155,30,2,10,22,"Caledonia",002, ,1,0,1,221,370,"Notre Dame School",20071010
028,HALDIMAND--NORFOLK,104,34,3,1,21,"Caledonia",003, ,0,0,0,163,327,"Notre Dame School",20071010
028,HALDIMAND--NORFOLK,123,41,0,6,22,"Caledonia",004, ,0,0,0,192,426,"Caledonia Centennial Public School",20071010
028,HALDIMAND--NORFOLK,125,31,3,11,14,"Caledonia",005, ,1,0,0,185,366,"Caledonia Centennial Public School",20071010
028,HALDIMAND--NORFOLK,126,33,5,10,22,"Caledonia",006, ,1,2,0,199,352,"Notre Dame School",20071010
028,HALDIMAND--NORFOLK,115,30,0,14,17,"Caledonia",007, ,1,0,1,178,320,"Caledonia Centennial Public School",20071010
028,HALDIMAND--NORFOLK,94,29,3,14,20,"Caledonia",008, ,0,0,1,161,336,"Caledonia Lions Hall",20071010
028,HALDIMAND--NORFOLK,53,16,1,11,10,"Caledonia",009, ,1,0,0,92,238,"Caledonia Centennial Public School",20071010
028,HALDIMAND--NORFOLK,67,32,2,6,19,"Caledonia",010, ,2,0,0,128,305,"St. Patrick's School",20071010
028,HALDIMAND--NORFOLK,144,50,4,2,21,"Caledonia",011, ,0,0,0,221,377,"McKinnon Park Secondary School",20071010
028,HALDIMAND--NORFOLK,131,35,4,14,15,"Caledonia",012, ,1,1,0,201,369,"St. Patrick's School",20071010
028,HALDIMAND--NORFOLK,120,47,1,8,14,"Caledonia",013, ,0,0,1,191,346,"St. Patrick's School",20071010
028,HALDIMAND--NORFOLK,138,32,3,10,24,"Caledonia",014, ,0,0,0,207,382,"St. Patrick's School",20071010
028,HALDIMAND--NORFOLK,88,22,2,8,16,"York",015, ,0,0,0,136,282,"Seneca Central Public School",20071010
028,HALDIMAND--NORFOLK,193,43,2,14,14,"Caledonia",016, ,0,0,3,269,456,"Notre Dame School",20071010
028,HALDIMAND--NORFOLK,96,15,5,8,15,"Caledonia",017, ,0,0,0,139,226,"Notre Dame School",20071010
028,HALDIMAND--NORFOLK,154,18,0,9,11,"Caledonia",018, ,0,0,0,192,335,"Notre Dame School",20071010
028,HALDIMAND--NORFOLK,18,6,2,1,0,"Caledonia",019s, ,0,0,0,27,41,"Riviera Retirement Home",20071010
028,HALDIMAND--NORFOLK,138,25,0,14,11,"Caledonia",020, ,1,0,0,189,380,"Caledonia Lions Hall",20071010
028,HALDIMAND--NORFOLK,146,33,2,6,17,"Caledonia",021, ,1,0,0,205,361,"Caledonia Lions Hall",20071010
028,HALDIMAND--NORFOLK,152,33,1,13,23,"Caledonia",022, ,3,2,1,228,422,"McKinnon Park Secondary School",20071010
028,HALDIMAND--NORFOLK,165,33,3,3,14,"Caledonia",023, ,2,0,0,220,386,"McKinnon Park Secondary School",20071010
028,HALDIMAND--NORFOLK,163,41,3,14,22,"Caledonia",024, ,2,0,0,245,402,"McKinnon Park Secondary School",20071010
028,HALDIMAND--NORFOLK,138,37,0,12,26,"Caledonia",025, ,0,0,0,213,412,"McKinnon Park Secondary School",20071010
028,HALDIMAND--NORFOLK,134,40,7,13,27,"York",026, ,2,0,0,223,413,"Seneca Central Public School",20071010
