ED_CODE,ED_NAME,CORRIGAN,DENBY,JOHNSON,POTHAAR,SCOTT,SMITH,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
029,HALIBURTON--KAWARTHA LAKES--BR,7,2,12,0,37,12,"Oxtongue Lake",001, ,0,0,0,70,112,"Oxtongue Lake Community Centre",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,34,2,79,0,108,36,"Dorset",002, ,0,0,0,259,312,"Dorset Community Centre",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,13,0,54,2,84,21,"West Guilford",003, ,0,0,0,174,278,"West Guilford Recreation Centre",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,18,1,47,1,72,11,"Eagle Lake",004, ,0,1,0,151,343,"Eagle Lake Community Church",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,15,1,38,0,63,15,"Eagle Lake",005, ,0,0,1,133,239,"Eagle Lake Community Church",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,23,3,70,11,126,16,"Harcourt",006, ,1,0,0,250,355,"Harcourt Community Centre",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,24,0,56,0,80,16,"Halls Lake",007, ,0,0,0,176,319,"Club 35 Hall's Lake",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,25,1,47,2,105,25,"Haliburton",008, ,1,0,0,206,406,"Royal Canadian Legion Branch 129",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,37,0,69,4,110,27,"Minden",009, ,1,0,2,250,413,"Stanhope Municipal Office",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,23,2,51,2,111,16,"West Guilford",010, ,0,0,0,205,336,"West Guilford Recreation Centre",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,12,1,66,1,139,27,"Haliburton",011, ,0,0,0,246,455,"Stuart W. Baker School",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,8,1,34,0,59,9,"Haliburton",012, ,0,0,0,111,270,"Royal Canadian Legion Branch 129",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,17,1,28,3,64,14,"Haliburton",013, ,0,0,0,127,284,"Royal Canadian Legion Branch 129",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,2,0,2,1,18,1,"Haliburton",014s, ,1,0,0,25,59,"Extendicare Haliburton",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,7,0,59,0,91,6,"Haliburton",015, ,0,0,0,163,347,"Royal Canadian Legion Branch 129",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,17,2,47,0,87,17,"Haliburton",016, ,0,0,0,170,424,"Stuart W. Baker School",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,..........................NO POLL HELD........................,,,,,,"Cardiff",017, ,0,0,0,0,0,"",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,20,0,56,0,76,7,"Carnarvon",018, ,0,0,0,159,285,"Zion United Church",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,23,0,74,1,118,31,"Carnarvon",019, ,1,1,0,249,396,"Zion United Church",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,19,2,56,1,126,14,"Minden",020, ,6,0,0,224,430,"Minden Community Centre",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,1,1,4,0,10,1,"Haliburton",021s, ,0,1,0,18,30,"Highland Wood",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,16,1,64,0,74,18,"Haliburton",022, ,0,1,0,174,362,"Stuart W. Baker School",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,19,0,58,2,149,18,"Wilberforce",023, ,2,0,0,248,420,"Lloyd Watson Memorial Centre",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,17,0,36,0,93,12,"Minden",024, ,1,0,0,159,302,"Minden Community Centre",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,17,3,63,1,117,13,"Minden",025, ,0,1,0,215,456,"Minden Community Centre",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,22,2,29,0,73,10,"Lochlin",026, ,0,0,0,136,282,"Lochlin Community Centre",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,30,0,49,1,75,21,"Gooderham",027, ,0,1,1,178,306,"Glamorgan Post Office",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,13,1,32,2,57,7,"Wilberforce",028, ,0,0,0,112,198,"Lloyd Watson Memorial Centre",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,65,2,138,3,200,36,"Cardiff",029, ,0,0,0,444,726,"Cardiff Community Centre",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,13,0,47,3,118,10,"Minden",030, ,1,0,0,192,368,"Minden Community Centre",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,2,0,5,0,21,0,"Minden",031s, ,1,0,0,29,63,"Hyland Crest Senior Citizens Home",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,5,0,30,0,40,6,"Minden",032, ,0,0,0,81,271,"Minden Community Centre",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,16,0,43,3,90,25,"Lochlin",033, ,0,0,0,177,356,"Lochlin Community Centre",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,17,1,28,0,61,11,"Gooderham",034, ,0,0,0,118,239,"Glamorgan Post Office",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,17,0,46,1,64,10,"Glen Alda",035, ,0,0,0,138,231,"Chandos Glen Alda Community Centre",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,9,0,25,1,53,6,"Norland",036, ,0,0,0,94,209,"Pioneer Baptist Church",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,15,1,33,0,85,8,"Minden",037, ,0,0,0,142,347,"Minden Community Centre",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,29,0,41,0,122,16,"Minden",038, ,1,0,0,209,401,"Minden Community Centre",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,10,2,28,0,46,15,"Irondale",039, ,0,0,0,101,261,"Irondale General Store",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,26,0,76,2,118,22,"Apsley",040, ,0,0,0,244,350,"Township of North Kawartha Municipal Office",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,16,2,45,1,139,21,"Kinmount",041, ,1,0,1,226,311,"Royal Canadian Legion Branch 441",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,16,0,35,1,69,9,"Cavandish",042, ,0,1,0,131,189,"Cavendish Community Centre",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,7,1,36,1,57,10,"Apsley",043, ,0,0,0,112,246,"Township of North Kawartha Municipal Office",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,31,1,39,1,72,20,"Sebright",044, ,0,0,0,164,298,"Dalton Community Centre",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,31,2,67,3,115,18,"Norland",045, ,0,0,0,236,278,"Pioneer Baptist Church",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,..........................NO POLL HELD........................,,,,,,"Norland",046, ,0,0,0,0,0,"",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,26,0,31,0,86,24,"Kinmount",047, ,0,0,0,167,366,"Royal Canadian Legion Branch 441",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,15,0,27,1,39,14,"Apsley",048, ,0,0,0,96,199,"Township of North Kawartha Municipal Office",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,24,2,70,1,119,18,"Sebright",049, ,0,0,0,234,393,"Carden Community Centre",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,13,0,29,0,63,5,"Coboconk",050, ,1,0,0,111,210,"Coboconk Community Centre",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,10,1,36,0,86,6,"Coboconk",051, ,1,0,0,140,314,"Coboconk Community Centre",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,36,6,93,3,137,27,"Burnt River",052, ,0,0,0,302,442,"Burnt River Recreation Centre",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,21,1,42,1,66,13,"Buckhorn",053, ,0,0,0,144,282,"Buckhorn Community Centre",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,4,0,20,1,19,9,"Woodview",054, ,0,0,0,53,118,"Wilson Park Community Centre",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,15,0,16,0,52,7,"Sebright",055, ,0,0,1,91,263,"Carden Community Centre",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,18,2,57,2,106,10,"Kirkfield",056, ,0,0,0,195,399,"Kirkfield Lions Club",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,14,2,28,0,84,5,"Coboconk",057, ,2,0,0,135,265,"Coboconk Community Centre",20071010
029,HALIBURTON--KAWARTHA LAKES--BR,18,2,67,0,116,9,"Baddow",058, ,0,1,0,213,341,"Baddow Community Centre",20071010
