ED_CODE,ED_NAME,CHLOBOWSKI,CHUDLEIGH,HEROUX,LAZARSKI,ZEMLAK,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
030,HALTON,23,87,6,2,54,"Campbellville",001, ,0,1,0,173,300,"Brookville Public School",20071010
030,HALTON,25,101,13,0,63,"Campbellville",002, ,0,2,0,204,400,"Brookville Public School",20071010
030,HALTON,33,104,18,2,69,"Campbellville",003, ,1,0,0,227,438,"Brookville Public School",20071010
030,HALTON,18,69,11,1,46,"Campbellville",004, ,0,0,0,145,300,"Brookville Public School",20071010
030,HALTON,5,55,5,0,38,"Oakville",005, ,1,1,0,105,291,"King's Christian Collegiate",20071010
030,HALTON,8,50,3,1,28,"Milton",006, ,0,1,0,91,200,"Robert Baldwin Public School",20071010
030,HALTON,20,102,25,4,107,"Milton",007, ,0,0,0,258,503,"St. Peters Catholic School",20071010
030,HALTON,4,71,9,1,76,"Milton",008, ,0,0,0,161,351,"Chris Hadfield Public School",20071010
030,HALTON,6,77,10,0,62,"Milton",009A, ,0,0,0,155,356,"Chris Hadfield Public School",20071010
030,HALTON,14,67,15,5,68,"Milton",009B, ,0,1,0,170,383,"Chris Hadfield Public School",20071010
030,HALTON,12,83,21,1,75,"Milton",010, ,0,0,0,192,408,"Bishop P.F. Reding Secondary School",20071010
030,HALTON,12,64,14,2,66,"Milton",011, ,0,0,0,158,365,"Bishop P.F. Reding Secondary School",20071010
030,HALTON,9,70,9,0,87,"Milton",012, ,1,0,0,176,399,"Chris Hadfield Public School",20071010
030,HALTON,7,44,13,0,40,"Milton",013, ,0,0,0,104,263,"Bishop P.F. Reding Secondary School",20071010
030,HALTON,1,58,21,2,47,"Milton",014, ,1,0,0,130,313,"Bishop P.F. Reding Secondary School",20071010
030,HALTON,5,46,8,0,48,"Milton",015, ,0,0,0,107,240,"Bruce Trail Public School",20071010
030,HALTON,23,103,14,3,42,"Campbellville",016, ,0,1,1,187,363,"Brookville Public School",20071010
030,HALTON,9,61,15,4,52,"Milton",017, ,0,0,0,141,287,"W.I. Dick Public School",20071010
030,HALTON,26,114,26,9,79,"Milton",018, ,2,0,0,256,527,"Robert Baldwin Public School",20071010
030,HALTON,14,74,21,3,41,"Milton",019, ,0,1,0,154,350,"W.I. Dick Public School",20071010
030,HALTON,18,97,27,2,64,"Milton",020, ,0,0,0,208,356,"Robert Baldwin Public School",20071010
030,HALTON,5,19,9,1,10,"Milton",021, ,0,1,0,45,182,"W.I. Dick Public School",20071010
030,HALTON,24,101,27,0,106,"Milton",022, ,2,1,0,261,555,"St. Peters Catholic School",20071010
030,HALTON,15,102,18,1,74,"Milton",023, ,2,0,0,212,400,"Robert Baldwin Public School",20071010
030,HALTON,14,103,18,3,64,"Milton",024, ,1,0,0,203,380,"St. Peters Catholic School",20071010
030,HALTON,10,60,14,7,37,"Milton",025, ,1,1,0,130,311,"Robert Baldwin Public School",20071010
030,HALTON,28,101,21,2,94,"Milton",026, ,0,0,0,246,469,"St. Peters Catholic School",20071010
030,HALTON,14,80,21,3,67,"Milton",027, ,0,0,0,185,403,"Chris Hadfield Public School",20071010
030,HALTON,18,73,12,1,70,"Milton",028, ,0,0,0,174,332,"Bishop P.F. Reding Secondary School",20071010
030,HALTON,9,60,12,3,68,"Milton",029, ,1,0,0,153,513,"Milton Leisure Centre",20071010
030,HALTON,18,40,11,1,60,"Milton",030, ,7,0,0,137,294,"Bishop P.F. Reding Secondary School",20071010
030,HALTON,22,92,18,4,117,"Milton",031, ,3,0,0,256,582,"E.W. Foster Public School",20071010
030,HALTON,9,51,15,0,83,"Milton",032, ,0,0,0,158,349,"Bruce Trail Public School",20071010
030,HALTON,15,56,10,1,86,"Milton",033, ,0,0,0,168,370,"Bruce Trail Public School",20071010
030,HALTON,7,32,14,0,41,"Milton",034, ,0,0,0,94,249,"Bruce Trail Public School",20071010
030,HALTON,10,53,4,1,61,"Milton",035, ,0,0,0,129,301,"Bruce Trail Public School",20071010
030,HALTON,11,93,7,1,84,"Milton",036, ,1,1,0,198,392,"Guardian Angels Catholic School",20071010
030,HALTON,12,62,15,1,53,"Milton",037, ,0,0,0,143,295,"Bruce Trail Public School",20071010
030,HALTON,9,102,8,1,72,"Milton",038, ,0,1,0,193,420,"Bruce Trail Public School",20071010
030,HALTON,11,47,14,3,73,"Milton",039, ,0,0,0,148,319,"Guardian Angels Catholic School",20071010
030,HALTON,12,74,11,1,75,"Milton",040, ,0,0,0,173,354,"Hawthorne Village Public School",20071010
030,HALTON,14,86,13,1,105,"Milton",041, ,0,1,0,220,453,"Hawthorne Village Public School",20071010
030,HALTON,8,62,3,0,84,"Milton",042, ,6,0,0,163,377,"Hawthorne Village Public School",20071010
030,HALTON,7,59,8,0,58,"Milton",043, ,1,0,0,133,343,"Hawthorne Village Public School",20071010
030,HALTON,8,57,4,1,40,"Oakville",044, ,1,0,0,111,284,"King's Christian Collegiate",20071010
030,HALTON,16,95,14,2,55,"Campbellville",045, ,1,0,0,183,468,"Brookville Public School",20071010
030,HALTON,9,44,11,1,32,"Milton",046, ,0,0,0,97,232,"St. Paul's United Church",20071010
030,HALTON,20,75,13,3,101,"Milton",047, ,2,0,0,214,418,"W.I. Dick Public School",20071010
030,HALTON,16,88,21,6,68,"Milton",048, ,2,0,0,201,410,"W.I. Dick Public School",20071010
030,HALTON,0,14,2,2,10,"Milton",049s, ,0,1,0,29,69,"Martindale Gardens",20071010
030,HALTON,7,17,6,3,29,"Milton",050, ,0,0,0,62,128,"J.M. Denyes Public School",20071010
030,HALTON,6,21,7,0,14,"Milton",051, ,0,0,0,48,125,"J.M. Denyes Public School",20071010
030,HALTON,11,44,10,4,24,"Milton",052, ,1,0,0,94,226,"J.M. Denyes Public School",20071010
030,HALTON,7,63,10,2,48,"Milton",053, ,2,0,1,133,332,"J.M. Denyes Public School",20071010
030,HALTON,1,22,13,1,12,"Milton",054s, ,1,0,1,51,193,"Allendale",20071010
030,HALTON,15,75,20,2,60,"Milton",055, ,0,0,0,172,394,"Milton Seniors' Activity Centre",20071010
030,HALTON,19,89,11,1,67,"Milton",056A, ,1,0,0,188,366,"Milton Seniors' Activity Centre",20071010
030,HALTON,17,67,14,0,71,"Milton",056B, ,6,1,0,176,356,"Milton Seniors' Activity Centre",20071010
030,HALTON,15,98,23,1,105,"Milton",057, ,0,0,0,242,430,"E.W. Foster Public School",20071010
030,HALTON,18,95,14,3,80,"Milton",058, ,0,0,0,210,417,"Sam Sherratt Public School",20071010
030,HALTON,18,103,25,5,58,"Milton",059, ,0,0,1,210,439,"E.W. Foster Public School",20071010
030,HALTON,26,144,30,5,86,"Milton",060, ,0,0,0,291,527,"E.W. Foster Public School",20071010
030,HALTON,11,101,18,7,78,"Milton",061, ,0,0,0,215,411,"Sam Sherratt Public School",20071010
030,HALTON,32,120,29,2,87,"Milton",062, ,0,0,0,270,514,"Sam Sherratt Public School",20071010
030,HALTON,19,91,20,6,109,"Milton",063, ,5,0,3,253,460,"Sam Sherratt Public School",20071010
030,HALTON,17,100,14,0,119,"Milton",064, ,0,0,0,250,566,"Bruce Trail Public School",20071010
030,HALTON,6,53,13,0,55,"Milton",065A, ,0,0,1,128,334,"Sam Sherratt Public School",20071010
030,HALTON,15,35,12,1,73,"Milton",065B, ,0,1,0,137,345,"Sam Sherratt Public School",20071010
030,HALTON,17,84,17,2,72,"Milton",066, ,0,0,0,192,423,"Sam Sherratt Public School",20071010
030,HALTON,8,38,5,1,46,"Milton",067, ,0,0,0,98,298,"Bruce Trail Public School",20071010
030,HALTON,13,54,11,2,63,"Milton",068, ,0,0,0,143,312,"Guardian Angels Catholic School",20071010
030,HALTON,14,67,10,3,46,"Milton",069, ,1,0,0,141,291,"Guardian Angels Catholic School",20071010
030,HALTON,12,56,18,3,60,"Milton",070, ,0,0,0,149,304,"Guardian Angels Catholic School",20071010
030,HALTON,19,106,11,3,100,"Milton",071, ,1,0,0,240,496,"Guardian Angels Catholic School",20071010
030,HALTON,20,71,16,3,120,"Milton",072, ,0,0,0,230,572,"Guardian Angels Catholic School",20071010
030,HALTON,16,62,16,1,79,"Milton",073, ,3,0,0,177,384,"Hawthorne Village Public School",20071010
030,HALTON,13,41,20,2,58,"Milton",074, ,1,0,0,135,275,"Guardian Angels Catholic School",20071010
030,HALTON,14,80,19,1,121,"Milton",075, ,1,0,0,236,557,"Guardian Angels Catholic School",20071010
