ED_CODE,ED_NAME,HORWATH,MANN,ORMOND,ROBERTSON,RUDDICK,SCIME,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
031,HAMILTON CENTRE,58,0,20,15,23,1,"Hamilton",001, ,0,1,0,118,238,"Bennetto Recreation Centre",20071010
031,HAMILTON CENTRE,76,1,16,15,22,0,"Hamilton",002, ,1,0,0,131,286,"Bennetto Recreation Centre",20071010
031,HAMILTON CENTRE,74,0,6,9,18,3,"Hamilton",003, ,0,0,0,110,253,"St. Lawrence Elementary School",20071010
031,HAMILTON CENTRE,43,0,4,6,18,2,"Hamilton",004, ,0,0,0,73,265,"Eva Rothwell Resource Centre",20071010
031,HAMILTON CENTRE,65,0,16,23,45,0,"Hamilton",005, ,1,1,0,151,282,"Southern Ontario College",20071010
031,HAMILTON CENTRE,70,1,26,10,27,1,"Hamilton",006, ,7,1,0,143,308,"Bennetto Recreation Centre",20071010
031,HAMILTON CENTRE,64,0,7,3,16,0,"Hamilton",007, ,0,0,0,90,220,"St. Lawrence Elementary School",20071010
031,HAMILTON CENTRE,31,1,0,8,4,2,"Hamilton",008, ,0,0,0,46,288,"Eva Rothwell Resource Centre",20071010
031,HAMILTON CENTRE,83,0,28,12,29,3,"Hamilton",009, ,1,0,0,156,303,"Strathcona Elementary School",20071010
031,HAMILTON CENTRE,60,0,20,14,26,3,"Hamilton",010, ,0,0,0,123,265,"Southern Ontario College",20071010
031,HAMILTON CENTRE,34,0,13,4,34,1,"Hamilton",011, ,0,0,0,86,196,"Southern Ontario College",20071010
031,HAMILTON CENTRE,42,2,14,8,37,5,"Hamilton",012, ,2,4,0,114,334,"Southern Ontario College",20071010
031,HAMILTON CENTRE,32,2,13,7,38,2,"Hamilton",013, ,1,1,0,96,323,"Southern Ontario College",20071010
031,HAMILTON CENTRE,49,1,21,3,24,0,"Hamilton",014, ,0,0,0,98,251,"Bennetto Recreation Centre",20071010
