ED_CODE,ED_NAME,CRUGNALE,DARTSCH,INNES,MILLER,VIRGIN,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
032,HAMILTON EAST--STONEY CREEK,22,7,0,30,28,"Hamilton",001, ,1,0,0,88,178,"Beach Rescue Unit",20071010
032,HAMILTON EAST--STONEY CREEK,19,12,0,25,29,"Hamilton",002, ,0,0,0,85,166,"Beach Rescue Unit",20071010
032,HAMILTON EAST--STONEY CREEK,21,12,2,59,35,"Hamilton",003, ,0,0,0,129,231,"Beach Rescue Unit",20071010
032,HAMILTON EAST--STONEY CREEK,32,9,2,47,27,"Hamilton",004, ,0,0,0,117,238,"Beach Rescue Unit",20071010
032,HAMILTON EAST--STONEY CREEK,10,4,1,44,22,"Hamilton",005, ,0,0,0,81,297,"Hamilton East Kiwanis Boys & Girls Incorporated",20071010
032,HAMILTON EAST--STONEY CREEK,16,6,0,84,36,"Hamilton",006, ,0,0,0,142,332,"Woodward Avenue Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,5,2,0,18,4,"Hamilton",007, ,0,0,0,29,206,"Hamilton East Kiwanis Boys & Girls Incorporated",20071010
032,HAMILTON EAST--STONEY CREEK,6,3,3,66,22,"Hamilton",008, ,0,0,0,100,323,"Hamilton East Kiwanis Boys & Girls Incorporated",20071010
032,HAMILTON EAST--STONEY CREEK,20,2,1,43,19,"Hamilton",009, ,0,1,0,86,305,"St. Alban the Martyr Church",20071010
032,HAMILTON EAST--STONEY CREEK,21,5,2,69,19,"Hamilton",010, ,0,1,0,117,305,"Woodward Avenue Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,36,8,0,75,29,"Hamilton",011, ,2,2,1,153,357,"Woodward Avenue Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,16,8,2,83,26,"Hamilton",012, ,0,0,0,135,357,"Woodward Avenue Elementary School",20071010
