ED_CODE,ED_NAME,ADAMCZYK,AGGELONITIS,CHARTERS,MAAN,MILETIC,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
033,HAMILTON MOUNTAIN,60,54,56,0,20,"Hamilton",001, ,1,0,0,191,315,"Queensdale Elementary School",20071010
033,HAMILTON MOUNTAIN,75,77,53,0,19,"Hamilton",002, ,1,1,0,226,373,"Queensdale Elementary School",20071010
033,HAMILTON MOUNTAIN,44,90,44,2,19,"Hamilton",003, ,2,0,1,202,391,"St. Charles Adult Centre",20071010
033,HAMILTON MOUNTAIN,57,42,45,0,6,"Hamilton",004, ,0,0,2,152,280,"St. Charles Adult Centre",20071010
033,HAMILTON MOUNTAIN,67,38,26,1,6,"Hamilton",005, ,0,0,1,139,301,"St. Charles Adult Centre",20071010
033,HAMILTON MOUNTAIN,59,32,37,2,8,"Hamilton",006, ,0,1,0,139,266,"George L. Armstrong Elementary School",20071010
033,HAMILTON MOUNTAIN,70,51,51,0,18,"Hamilton",007, ,0,1,0,191,317,"George L. Armstrong Elementary School",20071010
033,HAMILTON MOUNTAIN,51,33,30,5,22,"Hamilton",008, ,1,0,0,142,318,"St. Stephens on the Mount",20071010
033,HAMILTON MOUNTAIN,53,22,13,0,4,"Hamilton",009, ,0,0,0,92,199,"St. Stephens on the Mount",20071010
033,HAMILTON MOUNTAIN,78,39,17,0,9,"Hamilton",010, ,0,0,0,143,276,"St. Stephens on the Mount",20071010
033,HAMILTON MOUNTAIN,50,48,29,2,9,"Hamilton",011, ,0,0,0,138,323,"St. Charles Adult Centre",20071010
033,HAMILTON MOUNTAIN,51,50,28,0,11,"Hamilton",012, ,0,0,1,141,289,"Queensdale Elementary School",20071010
033,HAMILTON MOUNTAIN,35,33,8,3,5,"Hamilton",013, ,1,0,0,85,210,"St. Charles Adult Centre",20071010
033,HAMILTON MOUNTAIN,59,63,36,1,13,"Hamilton",014, ,0,0,0,172,314,"St. Charles Adult Centre",20071010
033,HAMILTON MOUNTAIN,73,56,27,3,8,"Hamilton",015, ,0,0,0,167,343,"St. Charles Adult Centre",20071010
033,HAMILTON MOUNTAIN,50,48,44,0,10,"Hamilton",016, ,0,0,0,152,327,"St. Charles Adult Centre",20071010
033,HAMILTON MOUNTAIN,83,49,42,1,18,"Hamilton",017, ,0,0,0,193,355,"George L. Armstrong Elementary School",20071010
033,HAMILTON MOUNTAIN,94,52,33,1,14,"Hamilton",018, ,1,0,0,195,365,"George L. Armstrong Elementary School",20071010
033,HAMILTON MOUNTAIN,90,39,34,0,4,"Hamilton",019, ,1,0,0,168,337,"George L. Armstrong Elementary School",20071010
033,HAMILTON MOUNTAIN,104,37,36,1,11,"Hamilton",020, ,0,1,0,190,400,"Eastmount Park Community",20071010
033,HAMILTON MOUNTAIN,64,46,30,2,9,"Hamilton",021, ,0,1,0,152,287,"St. Stephens on the Mount",20071010
033,HAMILTON MOUNTAIN,59,19,19,2,1,"Hamilton",022, ,2,0,0,102,223,"St. Stephens on the Mount",20071010
033,HAMILTON MOUNTAIN,44,32,26,1,12,"Hamilton",023, ,0,0,0,115,258,"St. Stephens on the Mount",20071010
033,HAMILTON MOUNTAIN,48,17,26,1,9,"Hamilton",024, ,0,0,0,101,281,"St. Stephens on the Mount",20071010
033,HAMILTON MOUNTAIN,49,22,14,0,5,"Hamilton",025, ,0,0,0,90,248,"St. Stephens on the Mount",20071010
033,HAMILTON MOUNTAIN,66,38,30,0,8,"Hamilton",027, ,0,0,0,142,328,"St. John United Church",20071010
033,HAMILTON MOUNTAIN,36,21,13,3,7,"Hamilton",028, ,0,1,0,81,228,"St. John United Church",20071010
033,HAMILTON MOUNTAIN,38,20,13,0,4,"Hamilton",029, ,0,0,0,75,192,"St. John United Church",20071010
033,HAMILTON MOUNTAIN,76,43,26,1,7,"Hamilton",030, ,4,0,0,157,340,"St. John United Church",20071010
033,HAMILTON MOUNTAIN,63,44,25,1,14,"Hamilton",031, ,0,1,0,148,265,"Calvin Christian School",20071010
033,HAMILTON MOUNTAIN,44,61,26,2,8,"Hamilton",032, ,0,0,0,141,307,"Calvin Christian School",20071010
033,HAMILTON MOUNTAIN,57,69,32,0,4,"Hamilton",033, ,1,0,0,163,347,"Norwood Park Elementary School",20071010
033,HAMILTON MOUNTAIN,71,94,42,2,9,"Hamilton",034, ,4,1,0,223,379,"Transfiguration Church",20071010
033,HAMILTON MOUNTAIN,55,67,52,1,6,"Hamilton",035, ,2,0,0,183,348,"Transfiguration Church",20071010
033,HAMILTON MOUNTAIN,66,37,31,4,7,"Hamilton",036, ,1,0,0,146,340,"Linden Park Elementary School",20071010
033,HAMILTON MOUNTAIN,66,49,30,0,9,"Hamilton",037, ,1,0,0,155,330,"Transfiguration Church",20071010
033,HAMILTON MOUNTAIN,88,45,28,0,12,"Hamilton",038, ,9,0,0,182,358,"Transfiguration Church",20071010
033,HAMILTON MOUNTAIN,78,34,27,3,6,"Hamilton",039, ,1,0,0,149,336,"Eastmount Park Community",20071010
033,HAMILTON MOUNTAIN,64,36,26,1,6,"Hamilton",040, ,0,0,0,133,306,"Eastmount Park Community",20071010
033,HAMILTON MOUNTAIN,74,43,29,1,7,"Hamilton",041, ,0,0,0,154,351,"Franklin Road Elementary School",20071010
033,HAMILTON MOUNTAIN,95,40,54,0,7,"Hamilton",042, ,0,0,0,196,400,"Eastmount Park Community",20071010
033,HAMILTON MOUNTAIN,114,63,34,2,10,"Hamilton",043, ,2,0,0,225,370,"St. John United Church",20071010
033,HAMILTON MOUNTAIN,78,35,43,1,7,"Hamilton",044, ,1,0,0,165,327,"St. John United Church",20071010
033,HAMILTON MOUNTAIN,94,39,22,2,8,"Hamilton",045, ,0,0,0,165,321,"St. John United Church",20071010
033,HAMILTON MOUNTAIN,76,44,42,1,7,"Hamilton",046, ,0,0,0,170,312,"St. John United Church",20071010
033,HAMILTON MOUNTAIN,64,59,45,4,8,"Hamilton",047, ,1,2,0,183,332,"Highview Elementary School",20071010
033,HAMILTON MOUNTAIN,55,76,86,3,16,"Hamilton",048, ,2,1,0,239,386,"Highview Elementary School",20071010
033,HAMILTON MOUNTAIN,40,66,31,1,6,"Hamilton",049, ,2,0,0,146,324,"Calvin Christian School",20071010
033,HAMILTON MOUNTAIN,26,23,16,1,4,"Hamilton",050, ,1,0,0,71,224,"Calvin Christian School",20071010
033,HAMILTON MOUNTAIN,61,89,33,1,12,"Hamilton",051, ,2,0,1,199,351,"Norwood Park Elementary School",20071010
033,HAMILTON MOUNTAIN,50,79,45,1,10,"Hamilton",052, ,1,2,0,188,355,"Norwood Park Elementary School",20071010
033,HAMILTON MOUNTAIN,60,59,39,2,8,"Hamilton",053, ,0,0,0,168,329,"Linden Park Elementary School",20071010
033,HAMILTON MOUNTAIN,94,72,60,0,9,"Hamilton",054, ,0,2,0,237,487,"Linden Park Elementary School",20071010
033,HAMILTON MOUNTAIN,90,47,24,0,6,"Hamilton",055, ,0,0,0,167,329,"Linden Park Elementary School",20071010
033,HAMILTON MOUNTAIN,55,28,12,2,5,"Hamilton",056, ,0,1,0,103,277,"Franklin Road Elementary School",20071010
033,HAMILTON MOUNTAIN,101,65,50,2,12,"Hamilton",057, ,0,0,0,230,395,"Franklin Road Elementary School",20071010
033,HAMILTON MOUNTAIN,68,40,11,0,7,"Hamilton",058, ,1,0,0,127,295,"Franklin Road Elementary School",20071010
033,HAMILTON MOUNTAIN,85,64,55,6,5,"Hamilton",059, ,1,0,0,216,363,"Blessed Sacrament School",20071010
033,HAMILTON MOUNTAIN,78,63,29,1,9,"Hamilton",060, ,2,0,0,182,321,"Blessed Sacrament School",20071010
033,HAMILTON MOUNTAIN,71,90,46,1,9,"Hamilton",061, ,0,0,0,217,378,"Blessed Sacrament School",20071010
033,HAMILTON MOUNTAIN,71,75,39,2,4,"Hamilton",062, ,1,1,0,193,386,"Highview Elementary School",20071010
033,HAMILTON MOUNTAIN,91,56,53,1,8,"Hamilton",063, ,0,0,1,210,330,"Highview Elementary School",20071010
033,HAMILTON MOUNTAIN,82,92,52,4,11,"Hamilton",064, ,0,0,0,241,382,"Highview Elementary School",20071010
033,HAMILTON MOUNTAIN,52,63,64,2,7,"Hamilton",065, ,1,0,0,189,387,"Pavillon de la jeunesse",20071010
033,HAMILTON MOUNTAIN,63,73,51,1,10,"Hamilton",066, ,1,0,0,199,364,"Pavillon de la jeunesse",20071010
033,HAMILTON MOUNTAIN,28,123,80,1,11,"Hamilton",067, ,0,0,0,243,400,"Pavillon de la jeunesse",20071010
033,HAMILTON MOUNTAIN,58,110,35,4,19,"Hamilton",068, ,2,0,0,228,489,"St. Vincent de Paul Elementary School",20071010
033,HAMILTON MOUNTAIN,57,62,43,1,7,"Hamilton",069, ,0,0,0,170,414,"St. Vincent de Paul Elementary School",20071010
033,HAMILTON MOUNTAIN,59,63,27,0,11,"Hamilton",070, ,1,0,0,161,342,"Calvin Christian School",20071010
033,HAMILTON MOUNTAIN,61,21,20,1,5,"Hamilton",071, ,0,0,0,108,295,"Ridgemount Elementary School",20071010
033,HAMILTON MOUNTAIN,84,119,46,1,12,"Hamilton",072, ,2,0,0,264,491,"St. Michael Elementary School",20071010
033,HAMILTON MOUNTAIN,30,34,19,1,5,"Hamilton",073, ,0,0,0,89,266,"St. Michael Elementary School",20071010
033,HAMILTON MOUNTAIN,53,31,18,3,6,"Hamilton",074, ,2,0,1,114,272,"Sackville Hill Seniors Centre",20071010
033,HAMILTON MOUNTAIN,58,38,30,3,9,"Hamilton",075, ,0,0,0,138,282,"Sackville Hill Seniors Centre",20071010
033,HAMILTON MOUNTAIN,66,56,50,2,18,"Hamilton",076, ,2,0,0,194,408,"Sackville Hill Seniors Centre",20071010
033,HAMILTON MOUNTAIN,82,50,28,2,6,"Hamilton",077, ,0,2,0,170,420,"Linden Park Elementary School",20071010
033,HAMILTON MOUNTAIN,71,112,32,6,2,"Hamilton",078, ,0,0,0,223,484,"Sackville Hill Seniors Centre",20071010
033,HAMILTON MOUNTAIN,84,54,40,0,8,"Hamilton",079, ,0,0,0,186,345,"Franklin Road Elementary School",20071010
033,HAMILTON MOUNTAIN,38,81,38,1,6,"Hamilton",080, ,0,0,8,172,339,"Community of Christ",20071010
033,HAMILTON MOUNTAIN,30,34,24,7,1,"Hamilton",081s, ,0,0,0,96,271,"Macassa Lodge",20071010
033,HAMILTON MOUNTAIN,64,33,16,0,2,"Hamilton",082, ,0,0,0,115,248,"Community of Christ",20071010
033,HAMILTON MOUNTAIN,110,48,36,1,10,"Hamilton",083, ,1,2,0,208,421,"Trinity Presbyterian Church",20071010
033,HAMILTON MOUNTAIN,77,63,19,2,10,"Hamilton",084, ,0,0,0,171,323,"Blessed Sacrament School",20071010
033,HAMILTON MOUNTAIN,74,42,38,1,7,"Hamilton",085, ,2,2,0,166,317,"Trinity Presbyterian Church",20071010
033,HAMILTON MOUNTAIN,88,77,67,0,7,"Hamilton",086, ,1,0,0,240,432,"Huntington Park Recreation Centre",20071010
033,HAMILTON MOUNTAIN,74,61,37,0,10,"Hamilton",087, ,0,0,0,182,377,"Huntington Park Recreation Centre",20071010
033,HAMILTON MOUNTAIN,38,38,29,1,6,"Hamilton",088, ,0,0,0,112,271,"St. Michael's Anglican Church",20071010
033,HAMILTON MOUNTAIN,67,34,27,4,7,"Hamilton",089, ,0,0,0,139,253,"St. Michael's Anglican Church",20071010
033,HAMILTON MOUNTAIN,44,30,40,1,5,"Hamilton",090, ,0,1,0,121,249,"St. Michael's Anglican Church",20071010
033,HAMILTON MOUNTAIN,32,87,48,1,12,"Hamilton",091, ,0,0,1,181,375,"Pavillon de la jeunesse",20071010
033,HAMILTON MOUNTAIN,57,110,37,4,15,"Hamilton",092, ,0,0,0,223,421,"St. Vincent de Paul Elementary School",20071010
