ED_CODE,ED_NAME,JOSLIN,KLOPP,MITCHELL,MORLEY,SERDA,STEPHENS,VALENTA,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
034,HURON--BRUCE,5,15,90,52,23,2,1,"Southampton",001, ,0,0,0,188,325,"Southampton Rotary Hall",20071010
034,HURON--BRUCE,0,15,83,44,21,3,0,"Southampton",002, ,0,0,0,166,261,"G.C. Huston Public School",20071010
034,HURON--BRUCE,3,11,58,32,28,2,0,"Southampton",003, ,0,0,0,134,274,"G.C. Huston Public School",20071010
034,HURON--BRUCE,......................COMBINED WITH POLL 002 ....................,,,,,,,"Southampton",004s, ,,,,,,"Hampton Court Retirement Lodge",20071010
034,HURON--BRUCE,1,23,126,68,27,0,0,"Southampton",005, ,0,0,0,245,448,"G.C. Huston Public School",20071010
034,HURON--BRUCE,4,10,86,41,28,0,0,"Southampton",006, ,0,2,0,171,292,"Southampton Rotary Hall",20071010
034,HURON--BRUCE,..........................NO POLL HELD........................,,,,,,,"Southampton",007, ,0,0,0,0,0,"",20071010
034,HURON--BRUCE,1,17,72,39,21,1,0,"Southampton",008, ,1,0,0,152,278,"Southampton Rotary Hall",20071010
034,HURON--BRUCE,1,3,14,6,1,1,0,"Southampton",009s, ,2,0,0,28,86,"Southampton Care Centre",20071010
034,HURON--BRUCE,..........................NO POLL HELD........................,,,,,,,"Brussels",010s, ,0,0,0,0,0,"",20071010
034,HURON--BRUCE,0,20,99,61,32,1,1,"Southampton",011, ,0,2,0,216,361,"G.C. Huston Public School",20071010
034,HURON--BRUCE,0,3,32,20,14,1,1,"Southampton",012, ,0,0,0,71,159,"G.C. Huston Public School",20071010
034,HURON--BRUCE,0,8,75,42,16,0,0,"Port Elgin",013, ,0,0,0,141,275,"Port Elgin Saugeen Central School",20071010
034,HURON--BRUCE,1,17,164,57,11,2,3,"Port Elgin",014, ,0,0,1,256,494,"Northport Elementary School",20071010
