ED_CODE,ED_NAME,HAMPTON,HOLIDAY,LUCAS,WOOD,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
035,KENORA--RAINY RIVER,45,2,0,6,"Fort Severn",001, ,1,0,0,54,158,"Fort Severn - First Nation",20071010
035,KENORA--RAINY RIVER,42,0,1,7,"Sachigo Lake",002, ,0,0,0,50,232,"Sachigo Lake First Nation",20071010
035,KENORA--RAINY RIVER,70,0,0,3,"Bearskin Lake",003, ,0,0,0,73,279,"Bearskin Lake - First Nation",20071010
035,KENORA--RAINY RIVER,95,1,2,7,"Kitchenuhmaykoosib Aaki 84",004, ,7,0,0,112,600,"Kitchenuhmaykoosib Inninuwug First Nation",20071010
035,KENORA--RAINY RIVER,75,1,0,3,"Wapekeka 2",005, ,4,0,0,83,231,"Wapekeka 2 First Nation",20071010
035,KENORA--RAINY RIVER,51,1,3,48,"Kasabonika Lake",006, ,0,0,0,103,288,"Kasabonika First Nation",20071010
035,KENORA--RAINY RIVER,21,1,1,77,"Sandy Lake",007A, ,2,0,0,102,229,"Sandy Lake First Nation",20071010
035,KENORA--RAINY RIVER,14,4,1,93,"Sandy Lake",007B, ,0,0,0,112,318,"Sandy Lake First Nation",20071010
035,KENORA--RAINY RIVER,18,2,0,17,"Kee-Way-Win",008, ,0,0,0,37,52,"Keewaywin First Nation",20071010
035,KENORA--RAINY RIVER,24,2,0,15,"Muskrat Dam",009, ,0,0,0,41,260,"Muskrat Dam First Nation",20071010
035,KENORA--RAINY RIVER,78,1,2,2,"Wunnumin 2",010, ,9,8,0,100,211,"Wunnumin Lake 2 First Nation",20071010
035,KENORA--RAINY RIVER,64,1,1,30,"Deer Lake",011, ,0,0,0,96,659,"Deer Lake - First Nation",20071010
035,KENORA--RAINY RIVER,66,5,2,14,"Weagamow Lake 87",012, ,0,0,0,87,459,"Weagamow Lake 87 - North Caribou Lake First Nation",20071010
035,KENORA--RAINY RIVER,112,0,0,4,"Kingfisher Lake 1",013, ,0,0,0,116,259,"Kingfisher Lake 1 - First Nation",20071010
035,KENORA--RAINY RIVER,7,0,1,10,"North Spirit Lake",016, ,1,0,0,19,175,"North Spirit Lake First Nation",20071010
035,KENORA--RAINY RIVER,58,3,0,11,"Summer Beaver",017, ,0,0,0,72,274,"Summer Beaver - Nibinamik First Nation",20071010
035,KENORA--RAINY RIVER,124,2,8,23,"Webequie",018, ,2,0,0,159,311,"Webequie First Nation",20071010
035,KENORA--RAINY RIVER,18,4,4,67,"Poplar Hill",019, ,0,0,0,93,139,"Poplar Hill First Nation",20071010
035,KENORA--RAINY RIVER,43,1,1,5,"Lansdowne House",021, ,1,0,0,51,210,"Neskantaga First Nation",20071010
035,KENORA--RAINY RIVER,15,3,2,8,"Pikangikum",022A, ,0,0,0,28,43,"Pikangikum Band Office",20071010
035,KENORA--RAINY RIVER,9,1,2,7,"Pikangikum",022B, ,0,0,0,19,537,"Pikangikum Band Office",20071010
035,KENORA--RAINY RIVER,31,1,2,33,"Cat Lake 63C",025, ,1,0,0,68,280,"Cat Lake First Nation",20071010
035,KENORA--RAINY RIVER,140,10,19,34,"Pickle Lake",026, ,2,0,0,205,319,"Pickle Lake Community Hall",20071010
