ED_CODE,ED_NAME,BENETEAU,DOHERTY,DOWNES,FOURNIER,GERRETSEN,RAPIN,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
036,KINGSTON AND THE ISLANDS,7,17,22,0,111,80,"Kingston",001, ,1,1,0,239,467,"Fire Hall Brewers Mills",20071010
036,KINGSTON AND THE ISLANDS,2,8,52,0,98,62,"Kingston",002, ,0,0,0,222,516,"Meadowcrest Community Centre",20071010
036,KINGSTON AND THE ISLANDS,3,14,26,0,67,25,"Kingston",003A, ,0,1,0,136,313,"Meadowcrest Community Centre",20071010
036,KINGSTON AND THE ISLANDS,1,15,30,0,43,50,"Kingston",003B, ,0,0,1,140,294,"Meadowcrest Community Centre",20071010
036,KINGSTON AND THE ISLANDS,0,6,14,0,32,23,"Kingston",004, ,0,0,0,75,220,"J. Earl McEwen Fire Hall",20071010
036,KINGSTON AND THE ISLANDS,0,8,31,0,84,41,"Kingston",005, ,0,0,0,164,275,"Glenburnie United Church",20071010
036,KINGSTON AND THE ISLANDS,0,6,33,0,65,39,"Kingston",006A, ,1,0,0,144,276,"Glenburnie United Church",20071010
036,KINGSTON AND THE ISLANDS,3,11,23,0,76,37,"Kingston",006B, ,7,0,0,157,295,"Glenburnie United Church",20071010
036,KINGSTON AND THE ISLANDS,3,24,26,0,54,48,"Joyceville",007, ,1,0,0,156,274,"Joyceville Fire Hall",20071010
036,KINGSTON AND THE ISLANDS,2,13,34,0,86,69,"Kingston",008, ,1,0,0,205,465,"Islamic Society of Kingston",20071010
036,KINGSTON AND THE ISLANDS,0,0,1,0,10,10,"Kingston",009s, ,0,2,0,23,119,"Fairmount Home",20071010
036,KINGSTON AND THE ISLANDS,2,16,19,1,73,34,"Kingston",010, ,0,0,0,145,368,"J. Earl McEwen Fire Hall",20071010
036,KINGSTON AND THE ISLANDS,4,11,23,0,83,37,"Kingston",011, ,2,0,0,160,357,"Glenburnie United Church",20071010
036,KINGSTON AND THE ISLANDS,1,10,50,0,92,63,"Kingston",012, ,0,1,0,217,393,"Glenburnie United Church",20071010
036,KINGSTON AND THE ISLANDS,..........................NO POLL HELD........................,,,,,,"Kingston",013s, ,0,0,0,0,0,"",20071010
036,KINGSTON AND THE ISLANDS,3,21,31,2,96,62,"Joyceville",014, ,0,0,0,215,369,"Joyceville Fire Hall",20071010
036,KINGSTON AND THE ISLANDS,0,11,36,0,97,36,"Kingston",015, ,0,0,0,180,378,"Madoma Community Centre",20071010
036,KINGSTON AND THE ISLANDS,2,5,35,0,58,54,"Kingston",016, ,0,0,0,154,435,"Islamic Society of Kingston",20071010
036,KINGSTON AND THE ISLANDS,3,18,36,0,110,73,"Kingston",017, ,0,0,0,240,505,"Islamic Society of Kingston",20071010
036,KINGSTON AND THE ISLANDS,1,14,15,0,61,39,"Kingston",018A, ,0,0,0,130,271,"Glenburnie United Church",20071010
036,KINGSTON AND THE ISLANDS,5,7,19,2,60,27,"Kingston",018B, ,0,0,0,120,255,"Glenburnie United Church",20071010
036,KINGSTON AND THE ISLANDS,3,22,32,1,81,61,"Kingston",019, ,0,1,0,201,352,"Madoma Community Centre",20071010
036,KINGSTON AND THE ISLANDS,3,16,42,0,147,72,"Howe Island",020, ,0,1,0,281,446,"Howe Island Township Hall",20071010
036,KINGSTON AND THE ISLANDS,2,9,56,1,73,26,"Kingston",021, ,1,0,0,168,472,"Rideau Heights Public School",20071010
036,KINGSTON AND THE ISLANDS,1,6,45,2,71,36,"Kingston",022, ,0,0,0,161,378,"Rideau Heights Public School",20071010
036,KINGSTON AND THE ISLANDS,..........................NO POLL HELD........................,,,,,,"Kingston",023, ,0,0,0,0,0,"",20071010
036,KINGSTON AND THE ISLANDS,0,5,47,0,66,22,"Kingston",024, ,2,0,0,142,380,"St. Matthew's United Church",20071010
036,KINGSTON AND THE ISLANDS,..........................NO POLL HELD........................,,,,,,"Kingston",025, ,0,0,0,0,0,"",20071010
036,KINGSTON AND THE ISLANDS,1,25,38,0,83,88,"Kingston",026, ,0,0,0,235,466,"St. Martha Catholic School",20071010
036,KINGSTON AND THE ISLANDS,2,15,13,0,64,41,"Kingston",027, ,0,0,0,135,226,"Gore Road Fire Station",20071010
036,KINGSTON AND THE ISLANDS,0,14,13,2,65,37,"Kingston",028, ,1,0,0,132,294,"St. Martha Catholic School",20071010
036,KINGSTON AND THE ISLANDS,..........................NO POLL HELD........................,,,,,,"Kingston",029, ,0,0,0,0,0,"",20071010
