ED_CODE,ED_NAME,BERNHARDT,LOGAN,MCGUIRE,MILLOY,MOFFITT,STANSON,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
037,KITCHENER CENTRE,3,15,0,72,13,57,"Kitchener",001, ,0,0,0,160,394,"Grand River Recreation Complex",20071010
037,KITCHENER CENTRE,1,11,2,55,20,31,"Kitchener",002, ,0,0,0,120,219,"Mackenzie King Public School",20071010
037,KITCHENER CENTRE,1,8,2,93,16,35,"Kitchener",003, ,1,0,0,156,302,"Mackenzie King Public School",20071010
037,KITCHENER CENTRE,1,14,0,157,18,52,"Kitchener",004, ,1,1,0,244,423,"Mackenzie King Public School",20071010
037,KITCHENER CENTRE,7,12,1,83,10,52,"Kitchener",005, ,0,0,0,165,413,"Grand River Recreation Complex",20071010
037,KITCHENER CENTRE,5,12,2,51,34,40,"Kitchener",006, ,0,0,0,144,273,"Notre Dame Separate School",20071010
037,KITCHENER CENTRE,0,4,1,31,11,15,"Kitchener",007, ,0,0,0,62,204,"Rosemount Public School",20071010
037,KITCHENER CENTRE,1,11,0,73,30,39,"Kitchener",008, ,0,0,0,154,321,"Rosemount Public School",20071010
037,KITCHENER CENTRE,1,14,4,110,26,72,"Kitchener",009, ,2,1,2,232,406,"Rosemount Public School",20071010
037,KITCHENER CENTRE,0,11,2,78,20,54,"Kitchener",010, ,1,0,0,166,279,"Canadian Martyrs Separate School",20071010
037,KITCHENER CENTRE,4,15,2,73,18,41,"Kitchener",011, ,0,1,0,154,336,"Canadian Martyrs Separate School",20071010
037,KITCHENER CENTRE,0,9,1,50,18,28,"Kitchener",012, ,1,0,0,107,249,"Canadian Martyrs Separate School",20071010
037,KITCHENER CENTRE,2,10,0,45,16,18,"Kitchener",013, ,0,0,0,91,230,"Canadian Martyrs Separate School",20071010
037,KITCHENER CENTRE,4,13,4,110,22,37,"Kitchener",014, ,2,0,0,192,428,"Mackenzie King Public School",20071010
037,KITCHENER CENTRE,3,10,2,100,21,61,"Kitchener",015, ,2,1,0,200,451,"Grand River Recreation Complex",20071010
037,KITCHENER CENTRE,1,4,5,73,18,52,"Kitchener",016, ,0,0,0,153,397,"Grand River Recreation Complex",20071010
037,KITCHENER CENTRE,0,27,1,101,38,43,"Kitchener",017, ,0,0,0,210,406,"A. R. Goudie Eventide Home",20071010
037,KITCHENER CENTRE,4,20,1,79,36,36,"Kitchener",018, ,0,0,0,176,350,"A. R. Goudie Eventide Home",20071010
037,KITCHENER CENTRE,0,5,2,48,26,28,"Kitchener",019, ,0,0,0,109,229,"Notre Dame Separate School",20071010
037,KITCHENER CENTRE,2,8,0,76,20,40,"Kitchener",020, ,0,1,0,147,277,"Notre Dame Separate School",20071010
037,KITCHENER CENTRE,1,11,1,55,16,18,"Kitchener",021, ,0,0,0,102,232,"Notre Dame Separate School",20071010
037,KITCHENER CENTRE,0,9,1,80,22,39,"Kitchener",022, ,0,0,1,152,286,"Notre Dame Separate School",20071010
037,KITCHENER CENTRE,6,18,0,94,32,47,"Kitchener",023, ,2,1,0,200,334,"Smithson Public School",20071010
037,KITCHENER CENTRE,2,12,1,122,19,38,"Kitchener",024, ,0,1,0,195,337,"Rosemount Public School",20071010
037,KITCHENER CENTRE,2,5,0,35,16,13,"Kitchener",025, ,1,0,0,72,216,"Canadian Martyrs Separate School",20071010
037,KITCHENER CENTRE,2,14,2,93,22,51,"Kitchener",026, ,0,0,0,184,323,"Canadian Martyrs Separate School",20071010
037,KITCHENER CENTRE,3,16,5,86,30,57,"Kitchener",027, ,2,0,0,199,386,"Crestview Public School",20071010
037,KITCHENER CENTRE,2,16,2,68,27,55,"Kitchener",028, ,0,0,0,170,374,"Crestview Public School",20071010
037,KITCHENER CENTRE,3,8,4,45,21,23,"Kitchener",029, ,1,0,0,105,313,"Crestview Public School",20071010
037,KITCHENER CENTRE,3,5,5,39,13,21,"Kitchener",030, ,0,0,0,86,274,"Grand River Collegiate",20071010
037,KITCHENER CENTRE,3,8,5,86,18,57,"Kitchener",031, ,0,1,0,178,384,"Grand River Recreation Complex",20071010
037,KITCHENER CENTRE,4,20,2,25,27,11,"Kitchener",032, ,1,0,0,90,290,"Downtown Community Centre",20071010
037,KITCHENER CENTRE,3,19,0,56,30,20,"Kitchener",033, ,0,0,0,128,291,"Downtown Community Centre",20071010
037,KITCHENER CENTRE,3,11,2,35,16,9,"Kitchener",034, ,1,1,0,78,195,"Downtown Community Centre",20071010
037,KITCHENER CENTRE,3,24,0,64,39,13,"Kitchener",035, ,0,0,0,143,311,"Suddaby Public School",20071010
037,KITCHENER CENTRE,1,12,0,39,21,19,"Kitchener",036, ,0,0,0,92,195,"Suddaby Public School",20071010
037,KITCHENER CENTRE,1,32,1,83,55,24,"Kitchener",037, ,0,0,1,197,388,"Bethany Evangelical Missionary Church",20071010
037,KITCHENER CENTRE,2,21,1,62,43,39,"Kitchener",038, ,1,1,0,170,307,"Bethany Evangelical Missionary Church",20071010
037,KITCHENER CENTRE,4,30,1,86,36,36,"Kitchener",039, ,0,0,0,193,330,"St. Anne Separate School",20071010
037,KITCHENER CENTRE,1,3,0,8,1,6,"Kitchener",040s, ,0,0,0,19,80,"A. R. Goudie Eventide Home",20071010
