ED_CODE,ED_NAME,CAIRNS,DRIVER,HARRIS,JONES,PENDERGAST,SOLOMON,STEVENS,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
038,KITCHENER--CONESTOGA,4,0,73,12,40,7,0,"Floradale",001, ,0,1,0,137,364,"Floradale Public School",20071010
038,KITCHENER--CONESTOGA,8,1,86,11,73,1,0,"Elmira",002, ,1,0,0,181,513,"Riverside Public School",20071010
038,KITCHENER--CONESTOGA,15,0,42,4,58,1,2,"Linwood",003, ,0,0,0,122,396,"Linwood Public School",20071010
038,KITCHENER--CONESTOGA,21,0,57,6,53,0,0,"Elmira",004, ,0,1,0,138,294,"St. Theresa Separate School",20071010
038,KITCHENER--CONESTOGA,21,0,74,8,77,3,0,"Elmira",005, ,0,2,0,185,345,"Riverside Public School",20071010
038,KITCHENER--CONESTOGA,19,1,81,12,65,3,2,"Elmira",006, ,0,1,0,184,354,"St. James Lutheran Church",20071010
038,KITCHENER--CONESTOGA,16,0,70,6,69,2,0,"Elmira",007, ,0,0,0,163,304,"John Mahood Public School",20071010
038,KITCHENER--CONESTOGA,4,1,26,1,26,0,0,"Elmira",008s, ,0,0,1,59,123,"Chateau Gardens Nursing Home",20071010
038,KITCHENER--CONESTOGA,36,1,58,17,95,2,0,"Elmira",009, ,0,1,1,211,366,"St. James Lutheran Church",20071010
038,KITCHENER--CONESTOGA,14,0,50,4,59,1,0,"Elmira",010, ,1,0,0,129,246,"Riverside Public School",20071010
038,KITCHENER--CONESTOGA,14,0,44,15,45,2,1,"Elmira",011, ,0,1,1,123,324,"Riverside Public School",20071010
038,KITCHENER--CONESTOGA,26,0,50,16,59,1,1,"Elmira",012, ,1,0,0,154,299,"Riverside Public School",20071010
038,KITCHENER--CONESTOGA,16,0,96,13,75,1,0,"Elmira",013, ,0,0,0,201,383,"Park Manor Public School",20071010
038,KITCHENER--CONESTOGA,1,1,8,0,11,0,1,"Elmira",014s, ,0,0,0,22,83,"Leisureworld Caregiving Centre",20071010
038,KITCHENER--CONESTOGA,14,1,77,18,78,1,1,"Elmira",015, ,1,0,0,191,378,"St. Theresa Separate School",20071010
038,KITCHENER--CONESTOGA,21,1,85,11,54,1,0,"Elmira",016, ,0,0,0,173,362,"Park Manor Public School",20071010
038,KITCHENER--CONESTOGA,20,0,58,5,70,8,0,"Elmira",017, ,0,0,0,161,306,"St. Theresa Separate School",20071010
038,KITCHENER--CONESTOGA,15,1,79,18,94,4,0,"Elmira",018, ,0,0,0,211,416,"Park Manor Public School",20071010
038,KITCHENER--CONESTOGA,18,0,65,8,71,2,3,"Elmira",019, ,0,0,0,167,386,"St. Theresa Separate School",20071010
038,KITCHENER--CONESTOGA,11,0,77,7,63,0,2,"Elmira",020, ,0,0,0,160,301,"John Mahood Public School",20071010
038,KITCHENER--CONESTOGA,9,0,121,11,118,4,0,"Elmira",021, ,0,2,0,265,460,"John Mahood Public School",20071010
038,KITCHENER--CONESTOGA,14,0,69,10,83,3,0,"Elmira",022, ,4,0,0,183,345,"John Mahood Public School",20071010
038,KITCHENER--CONESTOGA,17,0,61,22,68,3,2,"Elmira",023, ,0,0,0,173,353,"Riverside Public School",20071010
038,KITCHENER--CONESTOGA,1,0,7,2,11,3,0,"Linwood",024, ,0,0,0,24,362,"Linwood Public School",20071010
038,KITCHENER--CONESTOGA,11,0,76,5,79,1,0,"Elmira",025, ,0,1,0,173,371,"Park Manor Public School",20071010
038,KITCHENER--CONESTOGA,24,0,142,21,122,1,2,"Winterbourne",026, ,0,0,1,313,592,"Foundation Christian School",20071010
038,KITCHENER--CONESTOGA,11,1,64,12,90,1,1,"Linwood",027, ,0,0,0,180,558,"Linwood Public School",20071010
038,KITCHENER--CONESTOGA,3,0,87,1,27,3,0,"Hawkesville",028, ,1,0,0,122,329,"Hawkesville Community Centre",20071010
038,KITCHENER--CONESTOGA,0,0,5,0,2,0,0,"St. Jacobs",029, ,0,0,0,7,131,"Three Bridges Public School",20071010
038,KITCHENER--CONESTOGA,5,0,44,5,47,3,0,"Conestogo",030, ,4,1,0,109,246,"Conestogo Public School",20071010
038,KITCHENER--CONESTOGA,22,0,93,19,102,5,0,"St. Jacobs",031, ,1,1,0,243,495,"St. Jacobs Public School",20071010
038,KITCHENER--CONESTOGA,19,0,113,11,107,4,0,"Conestogo",032, ,0,0,0,254,427,"Conestogo Public School",20071010
038,KITCHENER--CONESTOGA,23,0,91,13,95,3,2,"Maryhill",033, ,0,0,0,227,392,"Maryhill Fire Hall",20071010
038,KITCHENER--CONESTOGA,0,0,1,1,7,0,0,"Maryhill",034s, ,0,0,0,9,38,"Twin Oaks of Maryhill",20071010
038,KITCHENER--CONESTOGA,..........................NO POLL HELD........................,,,,,,,"Maryhill",035s, ,0,0,0,0,0,"",20071010
038,KITCHENER--CONESTOGA,2,0,9,1,11,1,0,"St. Jacobs",036s, ,0,1,0,25,41,"St. Jacobs Place",20071010
038,KITCHENER--CONESTOGA,27,3,138,24,169,4,1,"St. Jacobs",037, ,1,1,0,368,622,"St. Jacobs Public School",20071010
038,KITCHENER--CONESTOGA,5,0,44,0,16,0,0,"St. Jacobs",038s, ,0,0,2,67,84,"Valleyview Manor",20071010
038,KITCHENER--CONESTOGA,2,1,11,1,16,1,0,"St. Jacobs",039s, ,2,0,0,34,70,"Derbecker's Heritage House",20071010
038,KITCHENER--CONESTOGA,16,1,120,22,129,4,2,"Conestogo",040, ,9,0,0,303,573,"Conestogo Public School",20071010
038,KITCHENER--CONESTOGA,20,2,114,11,124,2,0,"St. Clements",041, ,6,1,0,280,522,"St. Clements Community Centre",20071010
038,KITCHENER--CONESTOGA,25,0,70,16,92,2,0,"St. Clements",042, ,0,1,0,206,425,"St. Clements Community Centre",20071010
038,KITCHENER--CONESTOGA,20,0,111,23,128,4,0,"Heidelberg",043, ,0,0,0,286,458,"St. Peter's Lutheran Church",20071010
038,KITCHENER--CONESTOGA,13,0,55,10,42,0,0,"Heidelberg",044, ,0,0,0,120,346,"St. Peter's Lutheran Church",20071010
038,KITCHENER--CONESTOGA,16,2,57,8,48,6,0,"St. Jacobs",045, ,2,1,0,140,269,"St. Jacobs Public School",20071010
