ED_CODE,ED_NAME,ERVIN,FIFE,GREENWOOD-SPEERS,REITZEL,WITMER,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
039,KITCHENER--WATERLOO,63,21,18,4,102,"Waterloo",001, ,0,0,0,208,413,"Lester B. Pearson Public School",20071010
039,KITCHENER--WATERLOO,2,3,0,0,23,"Waterloo",002s, ,0,1,0,29,98,"Parkwood Mennonite Home",20071010
039,KITCHENER--WATERLOO,60,24,8,1,108,"Waterloo",003, ,0,0,0,201,394,"Lester B. Pearson Public School",20071010
039,KITCHENER--WATERLOO,63,13,15,2,107,"Waterloo",004, ,0,0,0,200,415,"Lester B. Pearson Public School",20071010
039,KITCHENER--WATERLOO,66,13,5,3,105,"Waterloo",005, ,0,0,0,192,331,"Lester B. Pearson Public School",20071010
039,KITCHENER--WATERLOO,64,27,6,3,92,"Waterloo",006, ,1,0,1,194,354,"Lester B. Pearson Public School",20071010
039,KITCHENER--WATERLOO,65,30,22,1,95,"Waterloo",007, ,0,0,0,213,434,"Lester B. Pearson Public School",20071010
039,KITCHENER--WATERLOO,74,24,14,0,74,"Waterloo",008, ,0,0,0,186,374,"St. Luke Separate School",20071010
039,KITCHENER--WATERLOO,61,14,19,0,138,"Waterloo",009, ,1,4,0,237,441,"St. Luke Separate School",20071010
039,KITCHENER--WATERLOO,46,34,10,0,49,"Waterloo",010, ,0,0,0,139,316,"St. Luke Separate School",20071010
039,KITCHENER--WATERLOO,84,16,14,0,143,"Waterloo",011, ,1,1,0,259,433,"St. Luke Separate School",20071010
039,KITCHENER--WATERLOO,52,20,11,1,117,"Waterloo",012, ,1,2,0,204,406,"St. Luke Separate School",20071010
039,KITCHENER--WATERLOO,53,23,20,4,37,"Waterloo",013, ,0,0,0,137,307,"St. Luke Separate School",20071010
039,KITCHENER--WATERLOO,70,20,8,3,76,"Waterloo",014, ,0,2,0,179,327,"Lexington Public School",20071010
039,KITCHENER--WATERLOO,64,27,16,5,106,"Waterloo",015, ,0,1,0,219,431,"Lexington Public School",20071010
039,KITCHENER--WATERLOO,83,26,21,1,143,"Waterloo",016, ,0,0,0,274,475,"Northlake Woods Public School",20071010
039,KITCHENER--WATERLOO,76,24,16,2,116,"Waterloo",017, ,1,2,0,237,438,"Northlake Woods Public School",20071010
039,KITCHENER--WATERLOO,15,7,6,1,13,"Waterloo",018, ,0,0,0,42,115,"Northlake Woods Public School",20071010
039,KITCHENER--WATERLOO,29,17,13,3,62,"Waterloo",019, ,2,0,0,126,335,"Northlake Woods Public School",20071010
039,KITCHENER--WATERLOO,74,13,7,0,143,"Waterloo",020, ,0,0,0,237,449,"Waterloo Mennonite Brethren Church",20071010
039,KITCHENER--WATERLOO,62,21,7,4,87,"Waterloo",021, ,1,0,0,182,344,"Waterloo Mennonite Brethren Church",20071010
039,KITCHENER--WATERLOO,38,11,11,0,132,"Waterloo",022, ,1,0,0,193,366,"Waterloo Mennonite Brethren Church",20071010
039,KITCHENER--WATERLOO,86,18,19,4,141,"Waterloo",023, ,0,1,0,269,461,"Lexington Public School",20071010
