ED_CODE,ED_NAME,ARMSTRONG,HARNESS,JOLLIFFE,MCMASTER,MCNAUGHTON,VAN BOMMEL,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
040,LAMBTON--KENT--MIDDLESEX,7,1,7,1,39,60,"Grand Bend",001, ,0,0,0,115,232,"Royal Canadian Legion - Branch 498",20071010
040,LAMBTON--KENT--MIDDLESEX,8,0,10,1,36,69,"Grand Bend",002, ,1,0,0,125,218,"Royal Canadian Legion - Branch 498",20071010
040,LAMBTON--KENT--MIDDLESEX,9,0,12,0,52,68,"Grand Bend",003, ,0,1,0,142,236,"Royal Canadian Legion - Branch 498",20071010
040,LAMBTON--KENT--MIDDLESEX,19,0,12,0,44,72,"Grand Bend",004, ,2,2,0,151,259,"Royal Canadian Legion - Branch 498",20071010
040,LAMBTON--KENT--MIDDLESEX,13,0,7,1,22,54,"Grand Bend",005, ,0,0,0,97,176,"Royal Canadian Legion - Branch 498",20071010
040,LAMBTON--KENT--MIDDLESEX,12,0,17,0,27,39,"Grand Bend",006, ,1,1,0,97,174,"Royal Canadian Legion - Branch 498",20071010
040,LAMBTON--KENT--MIDDLESEX,15,0,8,2,45,66,"Grand Bend",007, ,0,0,0,136,250,"Royal Canadian Legion - Branch 498",20071010
040,LAMBTON--KENT--MIDDLESEX,14,2,9,1,40,59,"Grand Bend",008, ,1,1,0,127,287,"Royal Canadian Legion - Branch 498",20071010
040,LAMBTON--KENT--MIDDLESEX,4,1,21,0,23,54,"Port Franks",009, ,1,1,2,107,193,"Ausable Port Franks Optimists Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,15,0,12,0,44,65,"Port Franks",010, ,0,1,0,137,275,"Ausable Port Franks Optimists Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,28,2,37,0,68,107,"Grand Bend",011, ,2,0,0,244,461,"Lambton Heritage Museum",20071010
040,LAMBTON--KENT--MIDDLESEX,19,2,13,4,77,135,"Ailsa Craig",012, ,3,0,0,253,454,"McGillivray Central Public School",20071010
040,LAMBTON--KENT--MIDDLESEX,26,2,18,2,75,66,"Lucan",013, ,0,1,0,190,406,"Lucan Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,36,3,20,3,72,90,"Granton",014, ,1,0,1,226,440,"Granton Fire Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,5,1,21,0,32,85,"Forest",015, ,1,0,0,145,312,"Hillside School",20071010
040,LAMBTON--KENT--MIDDLESEX,14,1,18,1,43,57,"Port Franks",016, ,0,0,0,134,314,"Ausable Port Franks Optimists Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,20,1,36,1,68,66,"Port Franks",017, ,2,0,0,194,408,"Ausable Port Franks Optimists Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,15,0,17,2,43,74,"Grand Bend",018, ,0,0,0,151,328,"Lambton Heritage Museum",20071010
040,LAMBTON--KENT--MIDDLESEX,6,1,11,1,38,55,"Port Franks",019, ,0,0,1,113,268,"Ausable Port Franks Optimists Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,11,2,16,12,67,59,"Ailsa Craig",020, ,0,0,0,167,364,"McGillivray Central Public School",20071010
040,LAMBTON--KENT--MIDDLESEX,17,0,40,4,57,51,"Lucan",021, ,1,1,0,171,348,"Lucan Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,24,1,16,2,79,86,"Lucan",022, ,2,0,0,210,376,"Lucan Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,21,0,20,2,62,56,"Lucan",023, ,0,1,0,162,343,"Lucan Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,21,1,24,1,66,84,"Lucan",025, ,0,0,0,197,424,"Lucan Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,33,2,14,3,39,77,"Granton",026, ,0,0,0,168,338,"Granton Fire Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,3,0,15,3,8,101,"Forest",027, ,0,0,0,130,363,"Hillside School",20071010
040,LAMBTON--KENT--MIDDLESEX,17,0,8,4,46,55,"Thedford",028, ,1,0,0,131,283,"Thedford-Bosanquet Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,2,1,2,0,12,15,"Thedford",029s, ,0,0,0,32,52,"Country Manor Retirement Home",20071010
040,LAMBTON--KENT--MIDDLESEX,15,1,16,1,42,43,"Thedford",030, ,0,0,0,118,276,"Thedford-Bosanquet Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,10,0,17,5,41,67,"Parkhill",031, ,1,0,0,141,315,"Parkhill Leisure Club",20071010
040,LAMBTON--KENT--MIDDLESEX,8,0,19,1,50,74,"Parkhill",032, ,0,0,0,152,316,"Royal Canadian Legion - Branch 341",20071010
040,LAMBTON--KENT--MIDDLESEX,0,0,1,1,12,12,"Parkhill",034s, ,0,0,0,26,60,"Chateau Gardens",20071010
040,LAMBTON--KENT--MIDDLESEX,8,0,16,3,27,78,"Parkhill",035, ,1,0,0,133,245,"Parkhill Leisure Club",20071010
040,LAMBTON--KENT--MIDDLESEX,9,0,9,3,48,54,"Parkhill",036, ,1,1,0,125,247,"Royal Canadian Legion - Branch 341",20071010
040,LAMBTON--KENT--MIDDLESEX,18,4,11,2,63,71,"Ailsa Craig",037, ,0,0,0,169,320,"Ailsa Craig Recreation Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,15,0,18,4,57,79,"Ailsa Craig",038, ,0,0,0,173,362,"McGillivray Central Public School",20071010
