ED_CODE,ED_NAME,HILLIER,MONTPELLIER,POSTMA,SUTHERLAND,WILSON,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
041,LANARK--FRONTENAC--LENNOX AND ,46,7,0,7,30,"White Lake",001, ,0,0,0,90,159,"Cedar Cove Resort",20071010
041,LANARK--FRONTENAC--LENNOX AND ,84,10,1,8,14,"Darling",002, ,0,0,0,117,256,"Tatlock Fire Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,104,15,2,11,31,"Darling",003, ,1,1,0,165,295,"Tatlock Fire Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,83,18,1,19,58,"Carleton Place",004, ,1,0,0,180,389,"Carambeck Elementary School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,107,18,1,20,74,"Carleton Place",005, ,0,0,7,227,532,"Carambeck Elementary School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,101,15,3,21,37,"Carleton Place",006, ,5,0,0,182,334,"Carambeck Elementary School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,10,1,2,1,4,"Carleton Place",007s, ,1,2,0,21,69,"Stoneridge Manor",20071010
041,LANARK--FRONTENAC--LENNOX AND ,58,19,4,27,23,"Carleton Place",008, ,6,0,0,137,311,"Carambeck Elementary School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,67,14,3,22,48,"Carleton Place",009, ,0,1,0,155,387,"Carambeck Elementary School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,59,16,2,17,24,"Carleton Place",010, ,1,0,0,119,292,"Carambeck Elementary School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,68,23,5,18,42,"Carleton Place",011, ,0,0,0,156,399,"Carleton Place Community Centre",20071010
041,LANARK--FRONTENAC--LENNOX AND ,8,3,0,1,2,"Carleton Place",012s, ,1,0,0,15,35,"Tally Ho Manor",20071010
041,LANARK--FRONTENAC--LENNOX AND ,114,19,0,23,58,"Carleton Place",013, ,1,0,0,215,425,"Caldwell Street Elementary School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,127,13,0,22,49,"Carleton Place",014, ,0,0,0,211,347,"Caldwell Street Elementary School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,45,7,1,14,26,"Carleton Place",015, ,0,0,0,93,297,"Carleton Place Community Centre",20071010
041,LANARK--FRONTENAC--LENNOX AND ,75,5,1,8,46,"Carleton Place",016, ,1,0,0,136,299,"Carambeck Elementary School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,76,5,0,21,48,"Carleton Place",017, ,0,0,0,150,306,"Caldwell Street Elementary School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,101,16,3,12,34,"Carleton Place",018, ,0,1,0,167,375,"Carleton Place Community Centre",20071010
041,LANARK--FRONTENAC--LENNOX AND ,78,12,2,18,36,"Carleton Place",019, ,1,0,0,147,335,"Caldwell Street Elementary School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,..........................NO POLL HELD........................,,,,,"Napanee",020s, ,0,0,0,0,0,"",20071010
