ED_CODE,ED_NAME,BRYDEN,DWYER,KUHLMANN,RUNCIMAN,WARNOCK,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
042,LEEDS--GRENVILLE,47,0,10,79,9,"Kemptville",001, ,0,0,0,145,290,"Purvis Hall Kemptville College",20071010
042,LEEDS--GRENVILLE,38,2,15,97,16,"Kemptville",002, ,0,0,0,168,357,"Purvis Hall Kemptville College",20071010
042,LEEDS--GRENVILLE,48,0,6,93,15,"Kemptville",003, ,1,1,0,164,325,"Purvis Hall Kemptville College",20071010
042,LEEDS--GRENVILLE,80,0,9,119,23,"Oxford Mills",004, ,1,0,0,232,571,"Oxford-on-Rideau Public School",20071010
042,LEEDS--GRENVILLE,33,0,3,105,13,"Oxford Mills",005, ,0,0,0,154,367,"Oxford-on-Rideau Public School",20071010
042,LEEDS--GRENVILLE,45,2,15,73,20,"Kemptville",006, ,3,0,0,158,325,"Purvis Hall Kemptville College",20071010
042,LEEDS--GRENVILLE,31,0,9,63,12,"Kemptville",007, ,2,0,0,117,258,"W.B. George Centre Kemptville College",20071010
042,LEEDS--GRENVILLE,13,0,2,34,2,"Kemptville",008s, ,0,0,0,51,122,"Bayfield Manor Nursing Home",20071010
042,LEEDS--GRENVILLE,29,1,8,70,4,"Kemptville",009, ,0,0,0,112,277,"W.B. George Centre Kemptville College",20071010
042,LEEDS--GRENVILLE,47,0,6,74,10,"Kemptville",010, ,0,3,0,140,337,"W.B. George Centre Kemptville College",20071010
042,LEEDS--GRENVILLE,53,1,8,119,7,"Kemptville",011, ,0,0,0,188,308,"W.B. George Centre Kemptville College",20071010
042,LEEDS--GRENVILLE,40,4,8,88,6,"Kemptville",012, ,0,0,0,146,293,"W.B. George Centre Kemptville College",20071010
042,LEEDS--GRENVILLE,28,0,7,56,12,"Kemptville",013, ,0,0,0,103,257,"W.B. George Centre Kemptville College",20071010
042,LEEDS--GRENVILLE,61,3,4,72,19,"Kemptville",015, ,1,0,0,160,329,"W.B. George Centre Kemptville College",20071010
042,LEEDS--GRENVILLE,46,0,8,71,10,"Kemptville",016, ,0,0,0,135,300,"Purvis Hall Kemptville College",20071010
042,LEEDS--GRENVILLE,53,1,12,105,21,"Kemptville",017, ,0,0,0,192,403,"Purvis Hall Kemptville College",20071010
042,LEEDS--GRENVILLE,43,4,10,100,13,"Kemptville",018, ,1,0,0,171,376,"W.B. George Centre Kemptville College",20071010
042,LEEDS--GRENVILLE,50,4,14,130,28,"Burritts Rapids",019, ,0,0,0,226,461,"Burritt's Rapids Community Hall",20071010
042,LEEDS--GRENVILLE,73,2,9,102,15,"Burritts Rapids",020, ,0,0,0,201,504,"Burritt's Rapids Community Hall",20071010
042,LEEDS--GRENVILLE,85,5,15,150,26,"Oxford Mills",021, ,0,1,0,282,503,"Oxford-on-Rideau Public School",20071010
042,LEEDS--GRENVILLE,48,2,10,124,11,"Oxford Station",022, ,0,0,0,195,433,"Oxford Furniture",20071010
042,LEEDS--GRENVILLE,41,4,13,131,16,"Oxford Station",023, ,2,1,1,209,465,"Oxford Furniture",20071010
042,LEEDS--GRENVILLE,27,1,12,86,8,"Oxford Station",024, ,1,0,0,135,278,"Oxford Furniture",20071010
042,LEEDS--GRENVILLE,54,3,22,129,49,"Burritts Rapids",025, ,0,0,0,257,459,"Burritt's Rapids Community Hall",20071010
042,LEEDS--GRENVILLE,52,1,13,106,27,"Burritts Rapids",026, ,0,0,0,199,498,"Burritt's Rapids Community Hall",20071010
042,LEEDS--GRENVILLE,41,1,12,111,13,"Bishops Mills",027, ,0,0,0,178,443,"St. Andrew's United Church Hall",20071010
042,LEEDS--GRENVILLE,54,3,10,159,16,"Oxford Station",028, ,1,0,0,243,434,"Oxford Furniture",20071010
042,LEEDS--GRENVILLE,25,1,5,40,10,"Spencerville",029, ,0,0,0,81,146,"North Edwardsburg Public School",20071010
042,LEEDS--GRENVILLE,39,1,11,49,30,"Merrickville",030, ,0,0,0,130,213,"Merrickville Memorial Community Centre",20071010
042,LEEDS--GRENVILLE,41,3,13,65,26,"Merrickville",031, ,0,0,0,148,258,"Merrickville Memorial Community Centre",20071010
042,LEEDS--GRENVILLE,8,0,1,13,1,"Merrickville",032s, ,0,0,0,23,57,"Hilltop Manor Nursing Home",20071010
042,LEEDS--GRENVILLE,47,2,23,89,34,"Merrickville",033, ,0,0,0,195,277,"Merrickville Memorial Community Centre",20071010
042,LEEDS--GRENVILLE,64,1,17,158,43,"Merrickville",034, ,0,0,0,283,519,"Merrickville Memorial Community Centre",20071010
042,LEEDS--GRENVILLE,53,2,19,153,52,"Bishops Mills",035, ,2,0,0,281,527,"St. Andrew's United Church Hall",20071010
042,LEEDS--GRENVILLE,41,0,5,138,23,"Spencerville",036, ,0,1,0,208,450,"Drummond Building",20071010
042,LEEDS--GRENVILLE,51,0,14,73,15,"Spencerville",037, ,0,0,0,153,332,"Drummond Building",20071010
042,LEEDS--GRENVILLE,63,0,16,90,8,"Lombardy",038, ,1,0,0,178,353,"South Elmsley Municipal Complex",20071010
042,LEEDS--GRENVILLE,32,2,10,65,4,"Lombardy",039, ,0,0,0,113,320,"South Elmsley Municipal Complex",20071010
042,LEEDS--GRENVILLE,30,1,7,73,14,"Spencerville",040, ,1,0,0,126,347,"Drummond Building",20071010
042,LEEDS--GRENVILLE,31,6,13,75,3,"Spencerville",041A, ,1,1,0,130,315,"North Edwardsburg Public School",20071010
042,LEEDS--GRENVILLE,25,3,11,62,4,"Spencerville",041B, ,1,0,0,106,319,"North Edwardsburg Public School",20071010
042,LEEDS--GRENVILLE,68,2,13,109,10,"Lombardy",042, ,0,0,0,202,453,"South Elmsley Municipal Complex",20071010
042,LEEDS--GRENVILLE,79,3,20,95,13,"Lombardy",043A, ,0,0,0,210,388,"South Elmsley Municipal Complex",20071010
042,LEEDS--GRENVILLE,85,2,12,99,8,"Lombardy",043B, ,0,1,0,207,385,"South Elmsley Municipal Complex",20071010
042,LEEDS--GRENVILLE,21,1,10,50,4,"Frankville",044, ,0,0,0,86,209,"St. Thomas Anglican Church Hall",20071010
042,LEEDS--GRENVILLE,52,2,23,112,16,"Merrickville",045, ,0,0,0,205,478,"Merrickville Memorial Community Centre",20071010
042,LEEDS--GRENVILLE,7,5,2,19,1,"Jasper",046s, ,0,0,0,34,72,"Rosebridge Manor",20071010
042,LEEDS--GRENVILLE,29,3,5,64,8,"Merrickville",047, ,0,0,0,109,236,"Merrickville Memorial Community Centre",20071010
042,LEEDS--GRENVILLE,15,1,12,60,11,"Merrickville",048, ,0,0,0,99,187,"Merrickville Memorial Community Centre",20071010
042,LEEDS--GRENVILLE,25,2,15,95,13,"Roebuck",049, ,0,2,0,152,301,"Roebuck Community Centre",20071010
042,LEEDS--GRENVILLE,26,0,5,57,5,"Spencerville",050, ,2,0,0,95,214,"Drummond Building",20071010
042,LEEDS--GRENVILLE,20,2,3,55,3,"Cardinal",051, ,0,0,0,83,208,"St. Paul's Anglican Church Hall",20071010
042,LEEDS--GRENVILLE,35,0,8,59,2,"Cardinal",052, ,0,0,0,104,190,"St. Paul's Anglican Church Hall",20071010
042,LEEDS--GRENVILLE,40,2,6,74,6,"Cardinal",053, ,0,0,0,128,339,"St. Paul's Anglican Church Hall",20071010
042,LEEDS--GRENVILLE,55,2,11,86,14,"Cardinal",054, ,0,0,0,168,404,"St. Paul's Anglican Church Hall",20071010
042,LEEDS--GRENVILLE,37,0,13,117,9,"Cardinal",055, ,1,0,0,177,350,"St. Paul's Anglican Church Hall",20071010
042,LEEDS--GRENVILLE,62,1,18,110,11,"Cardinal",056, ,0,0,0,202,380,"St. Paul's Anglican Church Hall",20071010
042,LEEDS--GRENVILLE,46,1,9,105,9,"Lombardy",057, ,0,0,0,170,318,"South Elmsley Municipal Complex",20071010
042,LEEDS--GRENVILLE,47,3,15,97,17,"Lombardy",058, ,0,0,0,179,331,"South Elmsley Municipal Complex",20071010
042,LEEDS--GRENVILLE,8,0,1,13,1,"Lombardy",059s, ,0,0,0,23,41,"Lombard Manor",20071010
042,LEEDS--GRENVILLE,41,0,7,83,5,"Lombardy",060, ,0,0,0,136,270,"South Elmsley Municipal Complex",20071010
042,LEEDS--GRENVILLE,19,1,13,64,6,"Frankville",061, ,0,0,0,103,279,"St. Thomas Anglican Church Hall",20071010
042,LEEDS--GRENVILLE,41,1,18,151,13,"North Augusta",062, ,1,1,0,226,522,"North Augusta Community Hall",20071010
042,LEEDS--GRENVILLE,39,0,17,126,8,"Roebuck",063A, ,0,0,0,190,413,"Roebuck Community Centre",20071010
042,LEEDS--GRENVILLE,47,0,19,104,11,"Roebuck",063B, ,1,0,0,182,391,"Roebuck Community Centre",20071010
042,LEEDS--GRENVILLE,19,2,7,39,14,"Johnstown",064, ,0,0,0,81,206,"South Edwardsburg Community Centre",20071010
042,LEEDS--GRENVILLE,76,4,19,151,13,"Johnstown",065, ,0,0,0,263,418,"South Edwardsburg Community Centre",20071010
042,LEEDS--GRENVILLE,40,1,10,51,7,"Johnstown",066, ,0,0,0,109,237,"South Edwardsburg Community Centre",20071010
042,LEEDS--GRENVILLE,43,1,12,114,15,"Lombardy",067, ,0,0,0,185,420,"South Elmsley Municipal Complex",20071010
