ED_CODE,ED_NAME,CHAPMAN,MAYNARD,O'NEAIL,RAMAL,SINAN,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
043,LONDON--FANSHAWE,43,27,17,45,1,"London",001, ,0,0,0,133,356,"North Park Community Church",20071010
043,LONDON--FANSHAWE,67,69,18,70,1,"London",002, ,0,2,0,227,385,"Chippewa Public School",20071010
043,LONDON--FANSHAWE,62,40,7,80,0,"London",003, ,0,0,1,190,383,"École Sainte-Jeanne d'Arc",20071010
043,LONDON--FANSHAWE,63,55,15,79,0,"London",004, ,0,3,0,215,456,"Chippewa Public School",20071010
043,LONDON--FANSHAWE,2,14,1,19,0,"London",005, ,1,0,0,37,82,"Chippewa Public School",20071010
043,LONDON--FANSHAWE,14,40,5,27,2,"London",006, ,1,0,0,89,255,"Chippewa Public School",20071010
043,LONDON--FANSHAWE,43,29,20,68,1,"London",007, ,0,0,0,161,425,"East London Anglican Ministries",20071010
043,LONDON--FANSHAWE,28,20,12,48,0,"London",008, ,3,0,1,112,304,"Montcalm Secondary School",20071010
043,LONDON--FANSHAWE,24,42,11,39,0,"London",009, ,0,0,0,116,293,"Montcalm Secondary School",20071010
043,LONDON--FANSHAWE,30,46,13,60,1,"London",010, ,2,0,1,153,401,"Huron Heights French Immersion Public School",20071010
043,LONDON--FANSHAWE,29,42,9,73,1,"London",011, ,0,0,0,154,380,"École Sainte-Jeanne d'Arc",20071010
043,LONDON--FANSHAWE,30,31,6,71,0,"London",012, ,0,1,0,139,326,"École Sainte-Jeanne d'Arc",20071010
043,LONDON--FANSHAWE,25,40,18,65,0,"London",013, ,0,0,0,148,420,"École Sainte-Jeanne d'Arc",20071010
043,LONDON--FANSHAWE,37,50,17,96,1,"London",014, ,0,2,0,203,406,"Chippewa Public School",20071010
043,LONDON--FANSHAWE,32,15,14,28,0,"London",015, ,0,0,0,89,229,"Evelyn Harrison Public School",20071010
043,LONDON--FANSHAWE,48,56,10,56,2,"London",016, ,0,0,0,172,318,"Evelyn Harrison Public School",20071010
043,LONDON--FANSHAWE,72,51,19,68,1,"London",017, ,2,0,0,213,410,"Evelyn Harrison Public School",20071010
043,LONDON--FANSHAWE,33,19,2,31,1,"London",018s, ,0,1,1,88,312,"Kensington Village",20071010
043,LONDON--FANSHAWE,18,26,4,32,0,"London",019, ,0,1,0,81,183,"Huron Heights French Immersion Public School",20071010
043,LONDON--FANSHAWE,62,44,14,63,0,"London",020, ,0,3,0,186,332,"Huron Heights French Immersion Public School",20071010
043,LONDON--FANSHAWE,31,17,4,45,0,"London",021, ,1,0,0,98,190,"Huron Heights French Immersion Public School",20071010
043,LONDON--FANSHAWE,73,45,14,64,0,"London",022, ,1,0,0,197,374,"Evelyn Harrison Public School",20071010
