ED_CODE,ED_NAME,ALDER,HOLMES,MATTHEWS,MCKENZIE,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
044,LONDON NORTH CENTRE,37,12,58,7,"London",001, ,1,1,0,116,248,"Mother Teresa Catholic Secondary School",20071010
044,LONDON NORTH CENTRE,32,18,58,12,"London",002, ,0,0,0,120,287,"Mother Teresa Catholic Secondary School",20071010
044,LONDON NORTH CENTRE,32,11,47,15,"London",003, ,0,0,0,105,207,"Mother Teresa Catholic Secondary School",20071010
044,LONDON NORTH CENTRE,30,18,75,21,"London",004, ,0,1,0,145,294,"Mother Teresa Catholic Secondary School",20071010
044,LONDON NORTH CENTRE,33,8,104,18,"London",005, ,0,0,0,163,324,"Dayspring Presbyterian Church",20071010
044,LONDON NORTH CENTRE,30,16,82,12,"London",006, ,1,0,0,141,318,"Mother Teresa Catholic Secondary School",20071010
044,LONDON NORTH CENTRE,24,18,54,7,"London",007, ,0,0,0,103,260,"Mother Teresa Catholic Secondary School",20071010
044,LONDON NORTH CENTRE,..........................NO POLL HELD........................,,,,"London",008, ,0,0,0,0,0,"",20071010
044,LONDON NORTH CENTRE,64,28,122,22,"London",009, ,0,0,0,236,402,"Siloam United Church",20071010
044,LONDON NORTH CENTRE,29,8,39,8,"London",010, ,1,0,0,85,161,"Jack Chambers Public School",20071010
044,LONDON NORTH CENTRE,75,23,133,17,"London",011, ,0,1,0,249,459,"Jack Chambers Public School",20071010
044,LONDON NORTH CENTRE,42,33,96,23,"London",012, ,0,2,0,196,397,"Dayspring Presbyterian Church",20071010
044,LONDON NORTH CENTRE,10,14,16,1,"London",013s, ,1,0,0,42,98,"Chateau Gardens",20071010
044,LONDON NORTH CENTRE,54,13,71,13,"London",014, ,0,0,0,151,330,"Dayspring Presbyterian Church",20071010
044,LONDON NORTH CENTRE,58,28,129,26,"London",015, ,2,1,0,244,420,"Dayspring Presbyterian Church",20071010
044,LONDON NORTH CENTRE,48,38,134,23,"London",016, ,0,2,0,245,476,"Dayspring Presbyterian Church",20071010
044,LONDON NORTH CENTRE,1,13,14,4,"London",017, ,0,0,0,32,114,"Northridge Public School",20071010
044,LONDON NORTH CENTRE,37,24,83,21,"London",018, ,0,0,0,165,338,"Siloam United Church",20071010
044,LONDON NORTH CENTRE,14,15,20,7,"London",019, ,1,1,0,58,191,"Siloam United Church",20071010
044,LONDON NORTH CENTRE,61,22,149,29,"London",020, ,0,0,0,261,392,"Northridge Public School",20071010
044,LONDON NORTH CENTRE,56,12,89,23,"London",021, ,0,0,0,180,387,"St. Catherine of Siena Catholic School",20071010
044,LONDON NORTH CENTRE,36,6,98,13,"London",022, ,0,0,0,153,331,"Jack Chambers Public School",20071010
044,LONDON NORTH CENTRE,66,20,132,26,"London",023, ,1,1,0,246,414,"Good Shepherd Lutheran Church",20071010
044,LONDON NORTH CENTRE,65,16,152,33,"London",024, ,0,1,0,267,454,"Good Shepherd Lutheran Church",20071010
044,LONDON NORTH CENTRE,64,27,115,15,"London",025, ,1,0,0,222,388,"Dayspring Presbyterian Church",20071010
044,LONDON NORTH CENTRE,26,18,42,6,"London",026, ,0,0,0,92,237,"St. Jude's Anglican Church",20071010
044,LONDON NORTH CENTRE,22,23,57,8,"London",027, ,1,1,0,112,256,"St. Jude's Anglican Church",20071010
044,LONDON NORTH CENTRE,60,32,139,20,"London",028, ,0,2,1,254,389,"Northridge Public School",20071010
044,LONDON NORTH CENTRE,62,13,118,14,"London",029, ,0,0,0,207,370,"Northridge Public School",20071010
044,LONDON NORTH CENTRE,72,21,101,22,"London",030, ,0,0,0,216,442,"Siloam United Church",20071010
044,LONDON NORTH CENTRE,63,7,112,9,"London",031, ,0,0,0,191,408,"St. Catherine of Siena Catholic School",20071010
044,LONDON NORTH CENTRE,60,34,139,19,"London",032, ,1,0,0,253,463,"Good Shepherd Lutheran Church",20071010
044,LONDON NORTH CENTRE,53,21,159,16,"London",033, ,0,0,0,249,415,"Jack Chambers Public School",20071010
044,LONDON NORTH CENTRE,51,21,143,27,"London",034, ,1,0,0,243,474,"Good Shepherd Lutheran Church",20071010
044,LONDON NORTH CENTRE,45,16,68,17,"London",035, ,0,0,0,146,280,"Northdale Public School",20071010
044,LONDON NORTH CENTRE,73,24,147,18,"London",036, ,0,1,0,263,462,"Northdale Public School",20071010
044,LONDON NORTH CENTRE,49,19,122,25,"London",037, ,0,0,0,215,382,"Northdale Public School",20071010
044,LONDON NORTH CENTRE,58,14,89,12,"London",038, ,0,0,0,173,317,"Siloam United Church",20071010
044,LONDON NORTH CENTRE,36,18,67,9,"London",039, ,0,0,0,130,309,"Siloam United Church",20071010
044,LONDON NORTH CENTRE,79,23,101,38,"London",040, ,1,0,0,242,440,"Museum of Ontario Archaeology",20071010
044,LONDON NORTH CENTRE,87,16,101,21,"London",041, ,0,0,0,225,440,"Museum of Ontario Archaeology",20071010
044,LONDON NORTH CENTRE,35,10,67,13,"London",042, ,0,0,0,125,285,"St. Catherine of Siena Catholic School",20071010
044,LONDON NORTH CENTRE,71,31,139,37,"London",043, ,2,2,0,282,496,"Stoneybrook Public School",20071010
044,LONDON NORTH CENTRE,71,22,158,26,"London",044, ,4,0,0,281,473,"Stoneybrook Public School",20071010
044,LONDON NORTH CENTRE,43,16,93,17,"London",045, ,0,0,0,169,380,"St. Jude's Anglican Church",20071010
044,LONDON NORTH CENTRE,81,25,118,22,"London",046, ,0,0,1,247,434,"Northdale Public School",20071010
