ED_CODE,ED_NAME,BENTLEY,BROWN,GRAHAM,GUPTA,JEZIERSKI,MCKEEVER,PIGHIN,REYNOLDS,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
045,LONDON WEST,73,13,41,1,0,0,19,1,"London",001, ,0,0,0,148,287,"West Park Baptist Church",20071010
045,LONDON WEST,61,17,42,0,0,0,23,1,"London",002, ,0,0,0,144,321,"St. Marguerite d'Youville Catholic School",20071010
045,LONDON WEST,83,18,37,0,2,0,30,1,"London",003A, ,0,0,0,171,278,"Emily Carr Public School",20071010
045,LONDON WEST,71,22,39,0,0,0,16,3,"London",003B, ,0,0,0,151,269,"Emily Carr Public School",20071010
045,LONDON WEST,111,25,43,0,0,2,20,0,"London",004, ,0,0,1,202,425,"Emily Carr Public School",20071010
045,LONDON WEST,99,6,28,1,0,0,4,0,"London",005, ,0,0,0,138,303,"West Park Baptist Church",20071010
045,LONDON WEST,102,20,38,0,3,3,24,0,"London",006, ,0,0,0,190,329,"St. Marguerite d'Youville Catholic School",20071010
045,LONDON WEST,127,24,55,0,4,0,16,2,"London",007, ,0,2,0,230,420,"St. Marguerite d'Youville Catholic School",20071010
045,LONDON WEST,113,30,61,0,6,0,19,2,"London",008, ,1,0,0,232,441,"Emily Carr Public School",20071010
045,LONDON WEST,82,24,58,0,4,0,24,1,"London",009, ,0,0,0,193,372,"Emily Carr Public School",20071010
045,LONDON WEST,118,23,53,0,3,2,30,1,"London",010, ,0,1,0,231,420,"Emily Carr Public School",20071010
045,LONDON WEST,81,21,34,0,0,2,21,0,"London",011, ,1,0,0,160,344,"Emily Carr Public School",20071010
045,LONDON WEST,117,23,55,0,0,1,9,3,"London",012, ,0,1,0,209,412,"St. Marguerite d'Youville Catholic School",20071010
045,LONDON WEST,62,23,29,0,1,0,14,1,"London",013, ,0,0,0,130,308,"St. Marguerite d'Youville Catholic School",20071010
045,LONDON WEST,72,16,55,1,1,0,21,1,"London",014, ,0,1,0,168,321,"Emily Carr Public School",20071010
045,LONDON WEST,95,31,51,0,1,2,26,2,"London",015, ,0,1,0,209,372,"West Park Baptist Church",20071010
045,LONDON WEST,14,4,2,0,0,0,10,0,"London",016, ,0,1,0,31,196,"West Park Baptist Church",20071010
045,LONDON WEST,42,12,23,0,1,1,10,1,"London",017, ,0,0,1,91,254,"Trinity Place",20071010
045,LONDON WEST,44,11,17,0,0,0,13,0,"London",019, ,0,0,0,85,116,"St. Ansgar Lutheran Church",20071010
045,LONDON WEST,59,16,25,0,0,2,8,0,"London",020, ,1,1,0,112,226,"West Park Baptist Church",20071010
045,LONDON WEST,47,19,25,0,1,1,15,1,"London",021, ,0,0,0,109,225,"West Park Baptist Church",20071010
045,LONDON WEST,90,24,33,0,4,0,20,0,"London",022, ,0,0,0,171,360,"West Park Baptist Church",20071010
045,LONDON WEST,82,24,37,0,0,0,17,2,"London",023, ,1,0,0,163,342,"Wilfred Jury Public School",20071010
045,LONDON WEST,97,24,33,1,3,2,19,1,"London",024, ,0,0,0,180,348,"Wilfred Jury Public School",20071010
045,LONDON WEST,61,15,25,0,1,0,25,1,"London",025, ,0,0,0,128,258,"St. Ansgar Lutheran Church",20071010
