ED_CODE,ED_NAME,ARIFIN,CHAN,LI,MANNING,WILLIAMS,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
046,MARKHAM--UNIONVILLE,14,124,54,21,5,"Markham",001, ,0,4,0,222,533,"Central Park Public School",20071010
046,MARKHAM--UNIONVILLE,9,61,37,2,0,"Markham",002A, ,0,0,0,109,341,"Central Park Public School",20071010
046,MARKHAM--UNIONVILLE,9,64,31,5,0,"Markham",002B, ,2,0,0,111,269,"Central Park Public School",20071010
046,MARKHAM--UNIONVILLE,10,140,63,7,3,"Markham",003, ,4,3,0,230,584,"Central Park Public School",20071010
046,MARKHAM--UNIONVILLE,15,98,54,37,4,"Markham",004, ,1,0,0,209,429,"William Armstrong Public School",20071010
046,MARKHAM--UNIONVILLE,11,99,85,20,0,"Markham",005, ,2,0,0,217,448,"William Berczy Public School",20071010
046,MARKHAM--UNIONVILLE,6,99,89,33,0,"Markham",006, ,1,1,0,229,428,"Unionville Public School",20071010
046,MARKHAM--UNIONVILLE,15,106,82,31,1,"Markham",007, ,0,2,0,237,468,"Unionville Public School",20071010
046,MARKHAM--UNIONVILLE,12,122,85,23,1,"Markham",008, ,0,1,0,244,502,"St. Matthew Catholic School",20071010
046,MARKHAM--UNIONVILLE,3,96,64,8,2,"Markham",009, ,1,4,0,178,487,"St. Matthew Catholic School",20071010
046,MARKHAM--UNIONVILLE,16,78,58,9,0,"Markham",010, ,0,0,0,161,497,"St. Matthew Catholic School",20071010
046,MARKHAM--UNIONVILLE,23,132,62,6,4,"Markham",011, ,3,0,0,230,623,"Central Park Public School",20071010
046,MARKHAM--UNIONVILLE,11,86,59,11,3,"Markham",012, ,2,2,0,174,576,"Central Park Public School",20071010
046,MARKHAM--UNIONVILLE,2,44,27,2,1,"Markham",013A, ,0,2,0,78,254,"Central Park Public School",20071010
046,MARKHAM--UNIONVILLE,8,66,42,3,3,"Markham",013B, ,1,2,0,125,378,"Central Park Public School",20071010
046,MARKHAM--UNIONVILLE,11,80,51,25,0,"Markham",014, ,1,1,0,169,366,"Markham Village Community Centre",20071010
046,MARKHAM--UNIONVILLE,11,112,66,35,4,"Markham",015, ,4,0,0,232,472,"William Armstrong Public School",20071010
046,MARKHAM--UNIONVILLE,20,98,66,19,2,"Markham",016, ,1,0,0,206,470,"William Armstrong Public School",20071010
046,MARKHAM--UNIONVILLE,19,127,67,33,1,"Markham",017, ,0,1,0,248,471,"William Armstrong Public School",20071010
046,MARKHAM--UNIONVILLE,6,120,76,5,1,"Markham",018, ,0,3,0,211,535,"St. Justin Martyr School",20071010
046,MARKHAM--UNIONVILLE,8,123,67,7,1,"Markham",019, ,2,0,1,209,585,"St. Justin Martyr School",20071010
046,MARKHAM--UNIONVILLE,13,101,80,21,2,"Markham",020, ,3,0,0,220,451,"William Berczy Public School",20071010
046,MARKHAM--UNIONVILLE,6,129,84,23,0,"Markham",021, ,2,0,1,245,471,"William Berczy Public School",20071010
046,MARKHAM--UNIONVILLE,11,63,51,11,2,"Markham",022, ,0,0,0,138,341,"William Berczy Public School",20071010
046,MARKHAM--UNIONVILLE,8,62,44,22,1,"Markham",023, ,2,0,0,139,350,"William Berczy Public School",20071010
046,MARKHAM--UNIONVILLE,17,83,70,24,0,"Markham",024, ,3,0,0,197,398,"Blessed John XXIII Catholic Elementary School",20071010
046,MARKHAM--UNIONVILLE,10,115,78,31,2,"Markham",025, ,1,0,0,237,510,"William Berczy Public School",20071010
046,MARKHAM--UNIONVILLE,9,104,52,17,0,"Markham",026, ,0,3,0,185,350,"Parkview Public School",20071010
046,MARKHAM--UNIONVILLE,13,58,41,15,2,"Markham",027, ,0,0,0,129,346,"Parkview Public School",20071010
046,MARKHAM--UNIONVILLE,10,97,90,26,0,"Markham",028, ,0,0,0,223,472,"Unionville Community Centre",20071010
046,MARKHAM--UNIONVILLE,7,99,76,18,1,"Markham",029, ,0,0,0,201,419,"Unionville Community Centre",20071010
046,MARKHAM--UNIONVILLE,8,122,79,14,4,"Markham",030, ,1,0,0,228,510,"St. Matthew Catholic School",20071010
046,MARKHAM--UNIONVILLE,7,40,28,11,2,"Markham",031, ,1,0,0,89,249,"St. Matthew Catholic School",20071010
046,MARKHAM--UNIONVILLE,14,78,34,10,3,"Unionville",032, ,0,1,0,140,374,"Markville Secondary School",20071010
046,MARKHAM--UNIONVILLE,17,56,38,12,1,"Unionville",033, ,1,0,0,125,380,"Markville Secondary School",20071010
046,MARKHAM--UNIONVILLE,17,61,39,10,5,"Unionville",034, ,2,0,0,134,381,"Markville Secondary School",20071010
046,MARKHAM--UNIONVILLE,11,71,36,11,4,"Markham",035, ,2,0,0,135,288,"St. Patrick Catholic School",20071010
046,MARKHAM--UNIONVILLE,18,65,69,26,4,"Markham",036, ,0,1,0,183,354,"St. Patrick Catholic School",20071010
046,MARKHAM--UNIONVILLE,12,77,102,22,0,"Markham",037, ,0,2,0,215,484,"Markham Village Community Centre",20071010
046,MARKHAM--UNIONVILLE,10,70,42,10,1,"Markham",038, ,0,3,0,136,376,"Markham Village Community Centre",20071010
046,MARKHAM--UNIONVILLE,17,124,97,28,1,"Markham",039, ,1,1,1,270,435,"William Armstrong Public School",20071010
046,MARKHAM--UNIONVILLE,21,138,73,5,3,"Markham",040, ,1,0,0,241,509,"Legacy Public School",20071010
046,MARKHAM--UNIONVILLE,16,77,49,9,0,"Markham",041, ,0,0,0,151,392,"Legacy Public School",20071010
046,MARKHAM--UNIONVILLE,9,78,41,5,1,"Markham",042, ,0,0,0,134,333,"Legacy Public School",20071010
046,MARKHAM--UNIONVILLE,25,132,55,6,1,"Markham",043, ,0,0,0,219,506,"Buttonville Public School",20071010
046,MARKHAM--UNIONVILLE,15,132,82,4,1,"Markham",044, ,0,1,0,235,578,"Buttonville Public School",20071010
046,MARKHAM--UNIONVILLE,22,122,48,12,3,"Markham",045, ,0,2,0,209,522,"Buttonville Public School",20071010
046,MARKHAM--UNIONVILLE,7,80,31,6,1,"Markham",046A, ,2,2,0,129,338,"St. Justin Martyr School",20071010
046,MARKHAM--UNIONVILLE,1,55,45,4,2,"Markham",046B, ,0,0,0,107,271,"St. Justin Martyr School",20071010
046,MARKHAM--UNIONVILLE,11,112,57,12,1,"Markham",047, ,1,0,0,194,503,"Coledale Public School",20071010
046,MARKHAM--UNIONVILLE,14,111,78,18,0,"Markham",048, ,0,0,0,221,567,"St. Justin Martyr School",20071010
046,MARKHAM--UNIONVILLE,6,52,38,6,0,"Markham",049A, ,0,0,0,102,291,"Coledale Public School",20071010
046,MARKHAM--UNIONVILLE,4,49,32,4,0,"Markham",049B, ,0,0,0,89,301,"Coledale Public School",20071010
046,MARKHAM--UNIONVILLE,7,83,76,20,4,"Markham",050, ,1,1,0,192,498,"Blessed John XXIII Catholic Elementary School",20071010
046,MARKHAM--UNIONVILLE,8,115,63,7,2,"Markham",051, ,1,1,0,197,575,"Blessed John XXIII Catholic Elementary School",20071010
046,MARKHAM--UNIONVILLE,10,115,45,10,2,"Markham",052, ,0,1,0,183,511,"Blessed John XXIII Catholic Elementary School",20071010
046,MARKHAM--UNIONVILLE,10,123,79,20,7,"Markham",053, ,0,1,2,242,507,"Blessed John XXIII Catholic Elementary School",20071010
046,MARKHAM--UNIONVILLE,14,111,71,30,1,"Markham",054, ,0,2,0,229,439,"Parkview Public School",20071010
046,MARKHAM--UNIONVILLE,7,26,63,3,1,"Markham",055s, ,0,0,0,100,244,"Bethany Christian Living",20071010
046,MARKHAM--UNIONVILLE,6,43,35,12,0,"Unionville",056, ,0,0,0,96,235,"Markville Secondary School",20071010
046,MARKHAM--UNIONVILLE,4,15,13,4,0,"Markham",057s, ,0,2,0,38,101,"Sunrise Assisted Living",20071010
046,MARKHAM--UNIONVILLE,8,90,53,8,4,"Markham",058, ,5,4,0,172,550,"Bethesda Lutheran Church",20071010
046,MARKHAM--UNIONVILLE,6,114,62,12,0,"Markham",059, ,0,2,0,196,525,"Unionville Meadows Public School",20071010
046,MARKHAM--UNIONVILLE,9,76,51,7,0,"Markham",060, ,0,2,0,145,385,"Unionville Meadows Public School",20071010
046,MARKHAM--UNIONVILLE,23,104,49,20,1,"Markham",061, ,0,2,0,199,398,"St. Patrick Catholic School",20071010
046,MARKHAM--UNIONVILLE,14,95,94,32,1,"Markham",062, ,0,0,0,236,422,"St. Patrick Catholic School",20071010
046,MARKHAM--UNIONVILLE,13,122,50,11,0,"Markham",063, ,3,0,0,199,524,"Sir Richard W. Scott Elementary School",20071010
046,MARKHAM--UNIONVILLE,10,132,49,8,1,"Markham",064, ,2,0,0,202,554,"Sir Richard W. Scott Elementary School",20071010
046,MARKHAM--UNIONVILLE,7,120,67,11,1,"Markham",065, ,3,0,0,209,538,"Legacy Public School",20071010
046,MARKHAM--UNIONVILLE,16,110,59,16,1,"Markham",066, ,1,2,0,205,521,"Buttonville Public School",20071010
046,MARKHAM--UNIONVILLE,8,92,44,12,4,"Markham",067, ,4,0,0,164,535,"Buttonville Public School",20071010
046,MARKHAM--UNIONVILLE,6,117,52,14,1,"Markham",068, ,1,1,0,192,564,"Buttonville Public School",20071010
046,MARKHAM--UNIONVILLE,10,135,54,9,0,"Markham",069, ,0,1,0,209,528,"Coledale Public School",20071010
046,MARKHAM--UNIONVILLE,2,37,26,5,0,"Markham",070A, ,0,0,0,70,218,"Markham Civic Centre",20071010
046,MARKHAM--UNIONVILLE,8,53,29,7,0,"Markham",070B, ,1,1,0,99,355,"Markham Civic Centre",20071010
