ED_CODE,ED_NAME,MANGAT,PANDHER,SIMAS,SINGH,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
047,MISSISSAUGA--BRAMPTON SOUTH,131,22,17,45,"Brampton",001, ,3,0,0,218,578,"St. Kevin Separate School",20071010
047,MISSISSAUGA--BRAMPTON SOUTH,62,19,24,57,"Brampton",002, ,1,2,0,165,414,"St. Kevin Separate School",20071010
047,MISSISSAUGA--BRAMPTON SOUTH,93,17,12,45,"Brampton",003, ,0,1,0,168,411,"St. Kevin Separate School",20071010
047,MISSISSAUGA--BRAMPTON SOUTH,144,18,38,51,"Brampton",004, ,3,0,0,254,543,"Fletcher's Creek Senior Public School",20071010
047,MISSISSAUGA--BRAMPTON SOUTH,116,17,36,66,"Brampton",005, ,1,0,0,236,552,"St. Kevin Separate School",20071010
047,MISSISSAUGA--BRAMPTON SOUTH,28,7,10,10,"Brampton",006, ,0,0,0,55,252,"South Fletcher's Sportsplex",20071010
047,MISSISSAUGA--BRAMPTON SOUTH,121,21,21,35,"Brampton",007, ,1,0,0,199,455,"St. Kevin Separate School",20071010
047,MISSISSAUGA--BRAMPTON SOUTH,24,5,5,10,"Brampton",008, ,0,0,0,44,135,"Fletcher's Creek Senior Public School",20071010
047,MISSISSAUGA--BRAMPTON SOUTH,80,23,12,18,"Brampton",009, ,0,1,0,134,392,"Fletcher's Creek Senior Public School",20071010
047,MISSISSAUGA--BRAMPTON SOUTH,74,12,11,42,"Brampton",010, ,2,0,1,142,458,"Fletcher's Creek Senior Public School",20071010
047,MISSISSAUGA--BRAMPTON SOUTH,89,25,18,41,"Brampton",011, ,1,1,0,175,484,"Fletcher's Creek Senior Public School",20071010
047,MISSISSAUGA--BRAMPTON SOUTH,52,11,7,29,"Mississauga",012A, ,0,0,0,99,319,"Derry West Village Public School",20071010
047,MISSISSAUGA--BRAMPTON SOUTH,58,8,8,29,"Mississauga",012B, ,0,0,0,103,294,"Derry West Village Public School",20071010
047,MISSISSAUGA--BRAMPTON SOUTH,4,5,3,1,"Brampton",013, ,0,0,0,13,34,"Sheridan College",20071010
047,MISSISSAUGA--BRAMPTON SOUTH,22,7,4,13,"Brampton",014s, ,1,1,0,48,171,"Extendicare Brampton",20071010
047,MISSISSAUGA--BRAMPTON SOUTH,55,10,9,20,"Brampton",015, ,0,0,0,94,280,"South Fletcher's Sportsplex",20071010
047,MISSISSAUGA--BRAMPTON SOUTH,34,6,6,20,"Brampton",016s, ,1,1,0,68,124,"Southbrooke Lodge",20071010
