ED_CODE,ED_NAME,BALASUNDERAM,CASANOVA,CHURCHIN,FONSECA,JAMIESON,ZAWADZKI,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
48,MISSISSAUGA EAST--COOKSVILLE,5,15,97,112,0,3,Mississauga,1, ,2,1,0,235,405,Saints Martha & Mary Church,20071010
48,MISSISSAUGA EAST--COOKSVILLE,21,21,49,91,1,2,Mississauga,2, ,2,0,0,187,408,Saints Martha & Mary Church,20071010
48,MISSISSAUGA EAST--COOKSVILLE,6,5,32,58,2,1,Mississauga,3, ,1,0,0,105,249,Saints Martha & Mary Church,20071010
48,MISSISSAUGA EAST--COOKSVILLE,4,19,56,63,1,5,Mississauga,5, ,0,0,0,148,366,Saints Martha & Mary Church,20071010
48,MISSISSAUGA EAST--COOKSVILLE,16,19,66,92,0,8,Mississauga,6, ,2,0,0,203,394,Saints Martha & Mary Church,20071010
48,MISSISSAUGA EAST--COOKSVILLE,6,1,25,35,0,1,Mississauga,8, ,1,0,0,69,245,Havenwood Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,15,10,49,76,3,1,Mississauga,9, ,1,0,0,155,353,St. Sofia Separate School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,12,2,21,33,0,1,Mississauga,10, ,0,0,0,69,348,St. Alfred Separate School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,4,5,32,74,0,2,Mississauga,11, ,1,1,0,119,303,St. Sofia Separate School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,9,8,24,77,0,2,Mississauga,13, ,1,0,0,121,253,Havenwood Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,5,6,24,34,1,3,Mississauga,14, ,0,0,0,73,224,Havenwood Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,17,14,52,111,1,6,Mississauga,15, ,0,0,2,203,422,Havenwood Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,54,16,110,297,4,8,Mississauga,16, ,4,1,0,494,975,St. Alfred Separate School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,5,11,56,138,1,4,Mississauga,17, ,0,0,0,215,397,Burnhamthorpe Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,10,9,29,53,4,5,Mississauga,18, ,0,1,1,112,319,Burnhamthorpe Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,7,5,10,21,0,0,Mississauga,19, ,0,0,0,43,145,St. Sofia Separate School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,16,1,14,60,0,0,Mississauga,20, ,0,1,0,92,430,Burnhamthorpe Public School,20071010
