ED_CODE,ED_NAME,BROWN,KIBRIA,PIETRO ,TAKHAR,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
049,MISSISSAUGA--ERINDALE,55,23,24,115,"Mississauga",001, ,1,1,0,219,505,"St. Bernadette Secondary School",20071010
049,MISSISSAUGA--ERINDALE,47,33,14,152,"Mississauga",002, ,1,0,0,247,579,"St. Bernadette Secondary School",20071010
049,MISSISSAUGA--ERINDALE,55,19,7,124,"Mississauga",003, ,0,0,0,205,544,"St. Bernadette Secondary School",20071010
049,MISSISSAUGA--ERINDALE,46,21,9,110,"Mississauga",004, ,0,1,0,187,514,"St. Bernadette Secondary School",20071010
049,MISSISSAUGA--ERINDALE,60,26,20,111,"Mississauga",005, ,2,2,0,221,493,"St. David of Wales Separate School",20071010
049,MISSISSAUGA--ERINDALE,32,7,5,12,"Mississauga",006, ,1,1,0,58,221,"St. Bernadette Secondary School",20071010
049,MISSISSAUGA--ERINDALE,62,4,10,124,"Mississauga",007, ,0,0,1,201,457,"Eden Rose Public School",20071010
049,MISSISSAUGA--ERINDALE,54,19,15,99,"Mississauga",008, ,0,0,0,187,500,"St. Bernadette Secondary School",20071010
049,MISSISSAUGA--ERINDALE,43,10,7,123,"Mississauga",009, ,1,2,0,186,432,"Eden Rose Public School",20071010
049,MISSISSAUGA--ERINDALE,66,23,10,176,"Mississauga",010, ,0,1,0,276,604,"St. Bernadette Secondary School",20071010
049,MISSISSAUGA--ERINDALE,101,19,14,124,"Mississauga",011, ,1,0,0,259,566,"St. David of Wales Separate School",20071010
049,MISSISSAUGA--ERINDALE,64,20,18,98,"Mississauga",012, ,1,0,0,201,542,"St. David of Wales Separate School",20071010
049,MISSISSAUGA--ERINDALE,47,29,5,78,"Mississauga",013, ,0,0,0,159,435,"St. David of Wales Separate School",20071010
049,MISSISSAUGA--ERINDALE,42,21,7,97,"Mississauga",014, ,0,0,0,167,566,"St. David of Wales Separate School",20071010
049,MISSISSAUGA--ERINDALE,49,11,13,67,"Mississauga",015, ,0,1,0,141,323,"Our Lady of Mercy Elementary School",20071010
049,MISSISSAUGA--ERINDALE,71,17,14,100,"Mississauga",016, ,0,0,0,202,464,"Our Lady of Mercy Elementary School",20071010
049,MISSISSAUGA--ERINDALE,28,7,9,44,"Mississauga",017, ,1,1,0,90,290,"Eden Rose Public School",20071010
049,MISSISSAUGA--ERINDALE,48,11,6,60,"Mississauga",018, ,0,0,0,125,368,"Eden Rose Public School",20071010
049,MISSISSAUGA--ERINDALE,61,15,10,82,"Mississauga",019, ,1,0,0,169,440,"Eden Rose Public School",20071010
049,MISSISSAUGA--ERINDALE,50,22,5,72,"Mississauga",020, ,1,1,0,151,393,"Eden Rose Public School",20071010
049,MISSISSAUGA--ERINDALE,56,17,4,84,"Mississauga",021, ,0,1,0,162,424,"Eden Rose Public School",20071010
049,MISSISSAUGA--ERINDALE,57,26,12,93,"Mississauga",022, ,4,1,0,193,536,"Eden Rose Public School",20071010
049,MISSISSAUGA--ERINDALE,62,18,23,116,"Mississauga",023, ,4,2,0,225,395,"St. David of Wales Separate School",20071010
049,MISSISSAUGA--ERINDALE,105,25,15,96,"Mississauga",024, ,0,1,0,242,462,"St. David of Wales Separate School",20071010
049,MISSISSAUGA--ERINDALE,69,30,13,74,"Mississauga",025, ,1,1,0,188,448,"St. David of Wales Separate School",20071010
049,MISSISSAUGA--ERINDALE,56,16,26,75,"Mississauga",026, ,0,0,0,173,456,"St. David of Wales Separate School",20071010
049,MISSISSAUGA--ERINDALE,54,21,12,97,"Mississauga",027, ,0,0,0,184,442,"St. David of Wales Separate School",20071010
049,MISSISSAUGA--ERINDALE,62,19,18,84,"Mississauga",028, ,12,0,0,195,427,"Castlebridge Public School",20071010
049,MISSISSAUGA--ERINDALE,50,21,19,83,"Mississauga",029, ,1,1,0,175,406,"Our Lady of Mercy Elementary School",20071010
049,MISSISSAUGA--ERINDALE,67,31,18,111,"Mississauga",030, ,6,0,0,233,471,"Our Lady of Mercy Elementary School",20071010
049,MISSISSAUGA--ERINDALE,58,18,11,93,"Mississauga",031, ,1,0,0,181,396,"Our Lady of Mercy Elementary School",20071010
049,MISSISSAUGA--ERINDALE,74,32,15,86,"Mississauga",032, ,6,1,0,214,487,"Middlebury Public School",20071010
049,MISSISSAUGA--ERINDALE,59,9,8,84,"Mississauga",033, ,1,0,0,161,436,"St. Rose of Lima Secondary School",20071010
049,MISSISSAUGA--ERINDALE,51,14,16,68,"Mississauga",034, ,1,1,0,151,460,"St. Rose of Lima Secondary School",20071010
049,MISSISSAUGA--ERINDALE,60,14,9,85,"Mississauga",035, ,1,0,0,169,415,"St. Rose of Lima Secondary School",20071010
049,MISSISSAUGA--ERINDALE,52,11,15,91,"Mississauga",036, ,0,1,0,170,370,"St. David of Wales Separate School",20071010
049,MISSISSAUGA--ERINDALE,61,11,18,65,"Mississauga",037, ,0,0,0,155,394,"Ellengale Public School",20071010
049,MISSISSAUGA--ERINDALE,56,24,8,111,"Mississauga",038, ,0,0,0,199,508,"John XXIII Separate School",20071010
049,MISSISSAUGA--ERINDALE,58,28,10,99,"Mississauga",039, ,1,2,0,198,493,"John XXIII Separate School",20071010
049,MISSISSAUGA--ERINDALE,41,17,16,101,"Mississauga",040, ,0,0,0,175,429,"John XXIII Separate School",20071010
049,MISSISSAUGA--ERINDALE,41,20,4,70,"Mississauga",041, ,0,0,1,136,401,"Churchill Meadows Public School",20071010
049,MISSISSAUGA--ERINDALE,20,44,10,55,"Mississauga",042, ,3,0,0,132,401,"Churchill Meadows Public School",20071010
049,MISSISSAUGA--ERINDALE,46,26,8,85,"Mississauga",043, ,2,0,0,167,386,"Castlebridge Public School",20071010
049,MISSISSAUGA--ERINDALE,79,33,17,93,"Mississauga",044, ,9,1,0,232,518,"Castlebridge Public School",20071010
049,MISSISSAUGA--ERINDALE,81,15,19,96,"Mississauga",045, ,14,0,1,226,522,"Castlebridge Public School",20071010
049,MISSISSAUGA--ERINDALE,64,33,21,85,"Mississauga",046, ,7,0,0,210,394,"Castlebridge Public School",20071010
049,MISSISSAUGA--ERINDALE,59,25,18,80,"Mississauga",047, ,2,0,0,184,450,"Our Lady of Mercy Elementary School",20071010
049,MISSISSAUGA--ERINDALE,39,14,9,46,"Mississauga",048, ,2,1,0,111,289,"Divine Mercy School",20071010
049,MISSISSAUGA--ERINDALE,39,15,13,70,"Mississauga",049, ,12,1,0,150,377,"Middlebury Public School",20071010
049,MISSISSAUGA--ERINDALE,60,25,12,75,"Mississauga",050, ,0,0,0,172,392,"Middlebury Public School",20071010
049,MISSISSAUGA--ERINDALE,57,18,9,106,"Mississauga",051, ,3,0,0,193,461,"Middlebury Public School",20071010
049,MISSISSAUGA--ERINDALE,74,5,12,62,"Mississauga",052, ,1,0,0,154,292,"St. Rose of Lima Secondary School",20071010
049,MISSISSAUGA--ERINDALE,75,12,12,113,"Mississauga",053, ,1,0,0,213,430,"St. Rose of Lima Secondary School",20071010
049,MISSISSAUGA--ERINDALE,75,8,11,84,"Mississauga",054, ,2,1,0,181,434,"St. Rose of Lima Secondary School",20071010
049,MISSISSAUGA--ERINDALE,21,7,3,32,"Mississauga",055s, ,1,1,0,65,122,"Specialty Care East Incorporated",20071010
049,MISSISSAUGA--ERINDALE,53,8,5,98,"Mississauga",056, ,0,0,0,164,420,"St. David of Wales Separate School",20071010
049,MISSISSAUGA--ERINDALE,81,23,11,75,"Mississauga",057, ,0,0,0,190,339,"Queenston Drive Public School",20071010
049,MISSISSAUGA--ERINDALE,74,17,13,83,"Mississauga",058, ,0,0,0,187,386,"Queenston Drive Public School",20071010
