ED_CODE,ED_NAME,COLE,JOHNSTON,PETERSON,SOUSA,TOTEDA,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
050,MISSISSAUGA SOUTH,23,23,80,112,0,"Mississauga",001, ,1,0,0,239,412,"Saint Edmund School",20071010
050,MISSISSAUGA SOUTH,25,14,77,108,0,"Mississauga",002, ,1,0,0,225,436,"Saint Edmund School",20071010
050,MISSISSAUGA SOUTH,17,12,47,98,5,"Mississauga",003, ,0,0,0,179,331,"Saint Edmund School",20071010
050,MISSISSAUGA SOUTH,21,13,51,128,3,"Mississauga",004, ,2,1,0,219,385,"Saint Edmund School",20071010
050,MISSISSAUGA SOUTH,22,20,66,97,3,"Mississauga",005, ,0,0,0,208,328,"Church of Saint Luke",20071010
050,MISSISSAUGA SOUTH,18,22,72,135,0,"Mississauga",006, ,1,1,0,249,419,"West Acres Public School",20071010
050,MISSISSAUGA SOUTH,15,14,49,128,2,"Mississauga",007, ,0,2,0,210,425,"Saint Edmund School",20071010
050,MISSISSAUGA SOUTH,21,27,68,106,0,"Mississauga",008, ,0,0,0,222,350,"Saint Edmund School",20071010
050,MISSISSAUGA SOUTH,20,21,60,76,6,"Mississauga",009, ,0,0,0,183,333,"Church of Saint Luke",20071010
050,MISSISSAUGA SOUTH,19,20,53,92,0,"Mississauga",010, ,0,0,1,185,299,"Church of Saint Luke",20071010
050,MISSISSAUGA SOUTH,11,29,75,132,0,"Mississauga",011, ,1,1,0,249,367,"West Acres Public School",20071010
050,MISSISSAUGA SOUTH,16,26,69,116,3,"Mississauga",012, ,1,1,1,233,391,"West Acres Public School",20071010
050,MISSISSAUGA SOUTH,8,11,60,74,0,"Mississauga",013, ,1,0,2,156,331,"Neil C. Matheson Public School",20071010
050,MISSISSAUGA SOUTH,17,16,69,120,3,"Mississauga",014, ,0,0,0,225,389,"Neil C. Matheson Public School",20071010
050,MISSISSAUGA SOUTH,28,14,91,112,0,"Mississauga",015, ,2,0,0,247,447,"Munden Park Public School",20071010
050,MISSISSAUGA SOUTH,24,11,42,120,1,"Mississauga",016, ,0,1,0,199,415,"Munden Park Public School",20071010
050,MISSISSAUGA SOUTH,18,26,71,132,5,"Mississauga",017, ,0,0,0,252,437,"West Acres Public School",20071010
050,MISSISSAUGA SOUTH,15,5,50,76,2,"Mississauga",018, ,0,0,0,148,349,"Munden Park Public School",20071010
050,MISSISSAUGA SOUTH,26,24,89,120,5,"Mississauga",019, ,0,2,0,266,478,"Neil C. Matheson Public School",20071010
050,MISSISSAUGA SOUTH,31,14,69,112,2,"Mississauga",020, ,0,0,0,228,431,"Neil C. Matheson Public School",20071010
050,MISSISSAUGA SOUTH,19,22,48,62,1,"Mississauga",021, ,0,0,0,152,383,"Saint Paul Secondary School",20071010
050,MISSISSAUGA SOUTH,16,15,62,53,2,"Mississauga",022, ,1,2,0,151,329,"Neil C. Matheson Public School",20071010
050,MISSISSAUGA SOUTH,12,13,31,36,0,"Mississauga",023, ,0,0,0,92,246,"Peel Alternative School South",20071010
050,MISSISSAUGA SOUTH,14,7,29,37,6,"Mississauga",024, ,0,0,0,93,226,"Peel Alternative School South",20071010
050,MISSISSAUGA SOUTH,18,23,64,154,1,"Mississauga",025, ,3,0,0,263,458,"Saint Timothy Elementary School",20071010
050,MISSISSAUGA SOUTH,40,13,81,106,0,"Mississauga",026, ,0,1,0,241,441,"Saint Timothy Elementary School",20071010
050,MISSISSAUGA SOUTH,14,3,25,29,0,"Mississauga",027, ,0,2,0,73,316,"Saint Timothy Elementary School",20071010
050,MISSISSAUGA SOUTH,22,16,44,68,2,"Mississauga",028, ,1,0,0,153,369,"Queen Elizabeth Senior Public School",20071010
050,MISSISSAUGA SOUTH,17,14,46,79,6,"Mississauga",029, ,3,0,0,165,373,"Saint Paul Secondary School",20071010
050,MISSISSAUGA SOUTH,12,13,47,79,2,"Mississauga",030, ,1,1,0,155,331,"Saint Paul Secondary School",20071010
050,MISSISSAUGA SOUTH,19,13,64,72,4,"Mississauga",031, ,0,1,0,173,339,"Queen of Heaven Elementary School",20071010
050,MISSISSAUGA SOUTH,18,14,52,91,6,"Mississauga",032, ,2,0,0,183,395,"Queen of Heaven Elementary School",20071010
050,MISSISSAUGA SOUTH,21,23,68,70,3,"Mississauga",033, ,0,0,0,185,382,"Queen of Heaven Elementary School",20071010
050,MISSISSAUGA SOUTH,24,5,25,47,2,"Mississauga",034, ,1,0,0,104,293,"Queen of Heaven Elementary School",20071010
050,MISSISSAUGA SOUTH,13,7,63,61,1,"Mississauga",035, ,2,1,0,148,321,"Queen of Heaven Elementary School",20071010
050,MISSISSAUGA SOUTH,7,2,25,28,1,"Mississauga",036s, ,3,0,0,66,231,"Chelsey Park Nursing Home",20071010
050,MISSISSAUGA SOUTH,15,12,53,52,1,"Mississauga",037, ,1,1,0,135,388,"Camilla Road Senior Public School",20071010
050,MISSISSAUGA SOUTH,14,15,68,135,1,"Mississauga",038, ,1,1,1,236,422,"Camilla Road Senior Public School",20071010
050,MISSISSAUGA SOUTH,10,9,23,26,1,"Mississauga",039, ,2,2,0,73,323,"Saint Timothy Elementary School",20071010
050,MISSISSAUGA SOUTH,..........................NO POLL HELD........................,,,,,"Mississauga",040, ,0,0,0,0,0,"",20071010
050,MISSISSAUGA SOUTH,21,22,72,92,0,"Mississauga",041, ,0,0,0,207,361,"Queen Elizabeth Senior Public School",20071010
050,MISSISSAUGA SOUTH,21,36,47,75,7,"Mississauga",042, ,1,0,1,188,381,"Queen Elizabeth Senior Public School",20071010
050,MISSISSAUGA SOUTH,31,38,68,116,1,"Mississauga",043, ,1,0,2,257,408,"Saint Dominic School",20071010
050,MISSISSAUGA SOUTH,8,10,64,100,3,"Mississauga",044, ,0,1,0,186,413,"Saint Dominic School",20071010
050,MISSISSAUGA SOUTH,24,7,34,118,8,"Mississauga",045, ,2,1,0,194,399,"Saint Dominic School",20071010
050,MISSISSAUGA SOUTH,8,14,33,48,2,"Mississauga",046, ,1,0,0,106,249,"Queen of Heaven Elementary School",20071010
050,MISSISSAUGA SOUTH,21,14,33,72,1,"Mississauga",047, ,2,0,0,143,387,"Byngmount Beach Public School",20071010
050,MISSISSAUGA SOUTH,25,10,37,63,3,"Mississauga",048, ,1,0,0,139,303,"Byngmount Beach Public School",20071010
050,MISSISSAUGA SOUTH,27,20,60,33,2,"Mississauga",049, ,0,0,0,142,313,"Byngmount Beach Public School",20071010
