ED_CODE,ED_NAME,ATCHEKZAI,DELANEY,MCCABE,TANGRI,WARNER,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
051,MISSISSAUGA--STREETSVILLE,2,69,12,41,11,"Mississauga",001, ,0,0,0,135,403,"St. Gregory Secondary School",20071010
051,MISSISSAUGA--STREETSVILLE,1,86,7,31,5,"Mississauga",002, ,0,0,0,130,363,"St. Gregory Secondary School",20071010
051,MISSISSAUGA--STREETSVILLE,4,118,15,56,17,"Mississauga",003, ,1,1,0,212,439,"St. Gregory Secondary School",20071010
051,MISSISSAUGA--STREETSVILLE,2,116,12,36,6,"Mississauga",004, ,0,2,0,174,451,"St. Gregory Secondary School",20071010
051,MISSISSAUGA--STREETSVILLE,0,136,19,39,5,"Mississauga",005, ,2,2,0,203,508,"St. Gregory Secondary School",20071010
051,MISSISSAUGA--STREETSVILLE,1,97,23,42,14,"Mississauga",006, ,0,0,0,177,476,"St. Gregory Secondary School",20071010
051,MISSISSAUGA--STREETSVILLE,0,69,30,48,23,"Mississauga",007, ,0,0,0,170,349,"Ray Underhill Public School",20071010
051,MISSISSAUGA--STREETSVILLE,0,92,10,87,21,"Mississauga",008, ,0,0,0,210,448,"Ray Underhill Public School",20071010
051,MISSISSAUGA--STREETSVILLE,1,110,19,51,6,"Mississauga",009, ,0,0,0,187,467,"Britannia Public School",20071010
051,MISSISSAUGA--STREETSVILLE,2,111,13,46,9,"Mississauga",010, ,0,0,0,181,515,"St. Gregory Secondary School",20071010
051,MISSISSAUGA--STREETSVILLE,4,127,21,38,3,"Mississauga",011, ,1,3,0,197,579,"Britannia Public School",20071010
051,MISSISSAUGA--STREETSVILLE,1,112,38,65,14,"Mississauga",012, ,0,0,0,230,482,"St. Richard Elementary School",20071010
051,MISSISSAUGA--STREETSVILLE,1,45,26,51,17,"Mississauga",014, ,0,0,0,140,367,"Ray Underhill Public School",20071010
051,MISSISSAUGA--STREETSVILLE,2,62,34,32,16,"Mississauga",015, ,2,0,0,148,358,"Ray Underhill Public School",20071010
051,MISSISSAUGA--STREETSVILLE,2,91,23,75,25,"Mississauga",016, ,1,0,0,217,445,"Ray Underhill Public School",20071010
051,MISSISSAUGA--STREETSVILLE,1,109,25,62,17,"Mississauga",017, ,0,0,0,214,401,"Ray Underhill Public School",20071010
051,MISSISSAUGA--STREETSVILLE,1,114,11,57,8,"Mississauga",018, ,0,0,0,191,450,"Britannia Public School",20071010
