ED_CODE,ED_NAME,AGGARWAL,FORTIN,KUBANEK,MAACK,MACLEOD,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
052,NEPEAN--CARLETON,55,4,13,9,79,"Gloucester",001, ,0,1,0,161,427,"Royal Canadian Legion Greely and District",20071010
052,NEPEAN--CARLETON,44,5,5,7,92,"Gloucester",002, ,0,2,0,155,382,"Gloucester South Seniors Centre",20071010
052,NEPEAN--CARLETON,75,1,19,15,139,"Gloucester",003, ,1,2,0,252,510,"Royal Canadian Legion Greely and District",20071010
052,NEPEAN--CARLETON,31,1,7,20,90,"Nepean",004, ,0,0,0,149,410,"Bells Corners Public School",20071010
052,NEPEAN--CARLETON,121,11,26,16,129,"Nepean",005, ,0,2,0,305,538,"Arlington Woods Free Methodist Church",20071010
052,NEPEAN--CARLETON,74,0,14,13,98,"Nepean",006, ,1,0,0,200,346,"Arlington Woods Free Methodist Church",20071010
052,NEPEAN--CARLETON,97,1,23,28,104,"Nepean",007, ,2,0,0,255,544,"Arlington Woods Free Methodist Church",20071010
052,NEPEAN--CARLETON,94,4,23,24,117,"Nepean",008, ,0,0,0,262,519,"Woodvale Pentecostal Church",20071010
052,NEPEAN--CARLETON,81,6,17,18,101,"Nepean",009, ,2,0,0,225,459,"Woodvale Pentecostal Church",20071010
052,NEPEAN--CARLETON,68,3,13,22,107,"Nepean",010, ,0,0,3,216,484,"Woodvale Pentecostal Church",20071010
052,NEPEAN--CARLETON,93,2,23,26,115,"Nepean",011, ,1,0,0,260,496,"Woodvale Pentecostal Church",20071010
052,NEPEAN--CARLETON,96,6,21,25,139,"Nepean",012, ,0,0,0,287,462,"Knox United Church",20071010
052,NEPEAN--CARLETON,62,1,14,13,100,"Nepean",013, ,0,0,0,190,449,"Woodvale Pentecostal Church",20071010
052,NEPEAN--CARLETON,69,3,16,14,114,"Nepean",014, ,0,0,1,217,353,"Knox United Church",20071010
052,NEPEAN--CARLETON,91,3,31,66,115,"Nepean",015, ,1,1,0,308,1133,"Woodvale Pentecostal Church",20071010
052,NEPEAN--CARLETON,50,6,21,15,124,"Nepean",016, ,0,0,0,216,373,"Manordale Public School",20071010
052,NEPEAN--CARLETON,64,6,17,17,71,"Nepean",017, ,0,0,0,175,419,"Woodvale Pentecostal Church",20071010
052,NEPEAN--CARLETON,70,3,23,14,127,"Nepean",018, ,0,1,0,238,418,"Manordale Public School",20071010
052,NEPEAN--CARLETON,25,0,8,16,39,"Nepean",019, ,0,0,0,88,339,"Manordale Public School",20071010
052,NEPEAN--CARLETON,66,1,7,18,78,"Ottawa",020, ,1,3,0,174,508,"Nepean Sportsplex",20071010
052,NEPEAN--CARLETON,81,2,16,28,93,"Ottawa",021, ,0,2,0,222,524,"Nepean Sportsplex",20071010
052,NEPEAN--CARLETON,66,1,26,33,120,"Ottawa",022, ,1,0,1,248,555,"Nepean Sportsplex",20071010
052,NEPEAN--CARLETON,46,0,10,26,49,"Ottawa",023, ,0,0,0,131,329,"Nepean Sportsplex",20071010
052,NEPEAN--CARLETON,99,3,7,15,93,"Ottawa",024, ,0,1,0,218,479,"Nepean Sportsplex",20071010
052,NEPEAN--CARLETON,85,1,27,27,120,"Ottawa",025, ,0,0,0,260,519,"Nepean Sportsplex",20071010
052,NEPEAN--CARLETON,49,2,15,28,74,"Nepean",026, ,1,1,0,170,525,"St. Monica Catholic School",20071010
052,NEPEAN--CARLETON,84,4,19,16,113,"Nepean",027, ,0,0,0,236,426,"St. Monica Catholic School",20071010
052,NEPEAN--CARLETON,118,1,20,9,91,"Nepean",028, ,0,0,0,239,437,"St. Monica Catholic School",20071010
052,NEPEAN--CARLETON,88,4,16,22,62,"Gloucester",029, ,0,0,0,192,381,"Gloucester South Seniors Centre",20071010
052,NEPEAN--CARLETON,109,1,16,4,73,"Gloucester",030, ,3,0,0,206,371,"Gloucester South Seniors Centre",20071010
052,NEPEAN--CARLETON,47,2,11,17,115,"Gloucester",031, ,0,0,0,192,443,"Royal Canadian Legion Greely and District",20071010
052,NEPEAN--CARLETON,22,0,17,9,22,"Nepean",032, ,0,0,0,70,174,"College Catholique Franco-Ouest",20071010
052,NEPEAN--CARLETON,8,2,0,5,21,"Nepean",033s, ,0,8,1,45,104,"Robertson House",20071010
052,NEPEAN--CARLETON,45,4,14,22,54,"Nepean",034, ,1,0,0,140,312,"Westcliffe Community Centre",20071010
052,NEPEAN--CARLETON,57,4,21,21,73,"Nepean",035, ,0,0,2,178,385,"Westcliffe Community Centre",20071010
052,NEPEAN--CARLETON,51,2,12,19,56,"Nepean",036, ,0,0,0,140,291,"College Catholique Franco-Ouest",20071010
052,NEPEAN--CARLETON,59,3,26,17,72,"Nepean",037, ,0,0,1,178,448,"College Catholique Franco-Ouest",20071010
052,NEPEAN--CARLETON,71,6,27,29,107,"Nepean",038, ,0,1,0,241,676,"College Catholique Franco-Ouest",20071010
