ED_CODE,ED_NAME,BISANZ,BRUDZINSKI,HODGINS,KLEES,MCROGERS,SEAWARD,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
053,NEWMARKET--AURORA,106,1,3,115,18,13,"Newmarket",001, ,1,1,0,258,487,"Seton Parish Hall",20071010
053,NEWMARKET--AURORA,140,1,3,133,30,23,"Newmarket",002, ,2,0,1,333,547,"Denne Public School",20071010
053,NEWMARKET--AURORA,105,3,0,139,27,17,"Newmarket",003, ,0,0,0,291,480,"St. Elizabeth Seton Catholic School",20071010
053,NEWMARKET--AURORA,72,4,1,86,26,26,"Newmarket",004, ,0,0,0,215,397,"St. Elizabeth Seton Catholic School",20071010
053,NEWMARKET--AURORA,102,0,1,118,16,21,"Newmarket",005, ,2,0,0,260,467,"St. Elizabeth Seton Catholic School",20071010
053,NEWMARKET--AURORA,72,2,2,87,31,20,"Newmarket",006, ,1,0,2,217,430,"Seton Parish Hall",20071010
053,NEWMARKET--AURORA,38,0,0,83,9,9,"Newmarket",007A, ,0,1,0,140,258,"Glen Cedar Public School",20071010
053,NEWMARKET--AURORA,50,1,0,76,14,10,"Newmarket",007B, ,0,0,0,151,301,"Glen Cedar Public School",20071010
053,NEWMARKET--AURORA,92,0,3,92,22,26,"Newmarket",008, ,3,1,0,239,502,"Dr. John M. Denison Secondary School",20071010
053,NEWMARKET--AURORA,98,7,5,84,16,22,"Newmarket",009, ,6,0,0,238,462,"Dr. John M. Denison Secondary School",20071010
053,NEWMARKET--AURORA,118,0,1,104,31,26,"Newmarket",010, ,0,0,0,280,539,"Dr. John M. Denison Secondary School",20071010
053,NEWMARKET--AURORA,104,1,1,116,17,24,"Newmarket",011, ,0,0,0,263,452,"Canadian Martyrs Catholic School",20071010
053,NEWMARKET--AURORA,104,1,0,112,24,13,"Newmarket",012, ,0,0,0,254,426,"Denne Public School",20071010
053,NEWMARKET--AURORA,109,1,1,105,29,18,"Newmarket",013, ,0,0,2,265,495,"Denne Public School",20071010
053,NEWMARKET--AURORA,88,1,1,94,28,17,"Newmarket",014, ,3,0,0,232,430,"Denne Public School",20071010
053,NEWMARKET--AURORA,53,1,2,70,27,18,"Newmarket",015, ,1,0,0,172,363,"St. Elizabeth Seton Catholic School",20071010
053,NEWMARKET--AURORA,40,2,1,55,12,14,"Newmarket",016, ,1,0,0,125,339,"St. Elizabeth Seton Catholic School",20071010
053,NEWMARKET--AURORA,59,0,3,66,19,28,"Newmarket",017, ,0,0,0,175,347,"Glen Cedar Public School",20071010
053,NEWMARKET--AURORA,..........................NO POLL HELD........................,,,,,,"Newmarket",018, ,0,0,0,0,0,"",20071010
053,NEWMARKET--AURORA,107,1,3,124,30,16,"Newmarket",019, ,0,2,0,283,507,"Glen Cedar Public School",20071010
053,NEWMARKET--AURORA,55,2,1,87,13,28,"Newmarket",020, ,0,0,0,186,358,"Glen Cedar Public School",20071010
053,NEWMARKET--AURORA,..........................NO POLL HELD........................,,,,,,"Newmarket",021, ,0,0,0,0,0,"",20071010
053,NEWMARKET--AURORA,74,1,2,46,8,9,"Newmarket",022, ,0,0,0,140,344,"Poplar Bank Public School",20071010
053,NEWMARKET--AURORA,67,0,0,45,21,6,"Newmarket",023, ,3,1,0,143,366,"Poplar Bank Public School",20071010
053,NEWMARKET--AURORA,74,1,1,73,11,10,"Newmarket",024, ,0,0,0,170,382,"Poplar Bank Public School",20071010
053,NEWMARKET--AURORA,65,0,0,56,12,15,"Newmarket",025, ,2,1,0,151,343,"Poplar Bank Public School",20071010
