ED_CODE,ED_NAME,CRAITOR,MAVES,MULLEN,PICHÉ,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
054,NIAGARA FALLS,58,38,14,11,"Niagara-On-The-Lake",001, ,0,0,0,121,207,"St. Andrews Presbyterian Church",20071010
054,NIAGARA FALLS,53,39,25,17,"Niagara-On-The-Lake",002, ,4,0,0,138,266,"Niagara District Secondary School",20071010
054,NIAGARA FALLS,73,74,12,9,"Niagara-On-The-Lake",003, ,1,0,0,169,290,"St. Andrews Presbyterian Church",20071010
054,NIAGARA FALLS,67,32,15,3,"Niagara-On-The-Lake",004, ,0,0,0,117,218,"St. Andrews Presbyterian Church",20071010
054,NIAGARA FALLS,33,22,14,2,"Niagara-On-The-Lake",005, ,0,0,0,71,171,"Niagara-on-the-Lake Community Centre",20071010
054,NIAGARA FALLS,9,8,1,2,"Niagara-On-The-Lake",006s, ,0,0,0,20,119,"Chateau Gardens Niagara",20071010
054,NIAGARA FALLS,97,82,17,10,"Niagara-On-The-Lake",007, ,0,2,0,208,402,"Niagara District Secondary School",20071010
054,NIAGARA FALLS,56,74,23,7,"Niagara-On-The-Lake",008, ,0,0,0,160,284,"Niagara District Secondary School",20071010
054,NIAGARA FALLS,70,52,21,9,"Niagara-On-The-Lake",009, ,0,0,0,152,243,"Niagara District Secondary School",20071010
054,NIAGARA FALLS,59,52,13,5,"Niagara-On-The-Lake",010, ,0,0,0,129,219,"Niagara District Secondary School",20071010
054,NIAGARA FALLS,80,42,22,12,"Niagara-On-The-Lake",011, ,0,0,0,156,263,"Parliament Oak School",20071010
054,NIAGARA FALLS,65,57,21,4,"Niagara-On-The-Lake",012, ,2,0,0,149,238,"Parliament Oak School",20071010
054,NIAGARA FALLS,7,7,2,1,"Niagara-On-The-Lake",013s, ,0,0,0,17,73,"Upper Canada Lodge",20071010
054,NIAGARA FALLS,3,1,0,0,"Niagara-On-The-Lake",014s, ,0,0,0,4,17,"Niagara Health System-Niagara-on-the-Lake Site",20071010
054,NIAGARA FALLS,48,26,11,2,"Niagara-On-The-Lake",015, ,0,0,0,87,169,"Niagara-on-the-Lake Community Centre",20071010
054,NIAGARA FALLS,68,99,23,18,"Niagara-On-The-Lake",016, ,0,7,0,215,384,"Colonel John Butler School",20071010
054,NIAGARA FALLS,66,72,15,7,"Niagara-On-The-Lake",017, ,0,1,0,161,270,"Niagara District Secondary School",20071010
054,NIAGARA FALLS,70,47,17,15,"Niagara-On-The-Lake",018, ,6,1,0,156,297,"Parliament Oak School",20071010
054,NIAGARA FALLS,76,75,19,9,"Niagara-On-The-Lake",019, ,3,0,0,182,309,"Parliament Oak School",20071010
054,NIAGARA FALLS,43,40,11,7,"Niagara-On-The-Lake",020, ,3,0,0,104,195,"Parliament Oak School",20071010
054,NIAGARA FALLS,57,66,12,21,"Niagara-On-The-Lake",021, ,1,0,0,157,298,"Colonel John Butler School",20071010
054,NIAGARA FALLS,69,93,19,10,"Niagara-On-The-Lake",022, ,2,0,0,193,360,"Colonel John Butler School",20071010
054,NIAGARA FALLS,54,70,5,9,"Virgil",023s, ,2,0,0,140,199,"Pleasant Manor Care Suites",20071010
054,NIAGARA FALLS,63,69,23,6,"Virgil",024, ,0,0,0,161,274,"Virgil Public School",20071010
054,NIAGARA FALLS,71,77,8,12,"Virgil",025, ,0,0,0,168,302,"Virgil Public School",20071010
054,NIAGARA FALLS,58,67,13,3,"Virgil",026, ,0,2,0,143,252,"Virgil Public School",20071010
054,NIAGARA FALLS,79,76,21,4,"Virgil",027, ,1,0,0,181,293,"Virgil Public School",20071010
054,NIAGARA FALLS,11,8,4,1,"Virgil",028s, ,0,1,0,25,48,"Heritage Place",20071010
054,NIAGARA FALLS,..........................NO POLL HELD........................,,,,"Virgil",029, ,0,0,0,0,0,"",20071010
054,NIAGARA FALLS,96,97,28,13,"Virgil",030, ,0,0,0,234,441,"Virgil Public School",20071010
054,NIAGARA FALLS,67,110,25,12,"Virgil",031, ,0,0,0,214,357,"Virgil Public School",20071010
054,NIAGARA FALLS,73,99,21,13,"Niagara-On-The-Lake",032, ,2,0,0,208,380,"St. Michael Elementary School",20071010
054,NIAGARA FALLS,61,89,8,9,"Niagara-On-The-Lake",033, ,0,3,0,170,344,"St. Michael Elementary School",20071010
054,NIAGARA FALLS,82,99,21,11,"Queenston",034, ,3,0,0,216,379,"Laura Secord Elementary School",20071010
054,NIAGARA FALLS,75,90,16,23,"Niagara-On-The-Lake",035, ,1,0,0,205,365,"St. George's Church Homer",20071010
054,NIAGARA FALLS,49,74,11,2,"Niagara-On-The-Lake",036, ,2,0,0,138,264,"St. David's Elementary School",20071010
054,NIAGARA FALLS,80,83,18,9,"Queenston",037, ,4,0,0,194,337,"Laura Secord Elementary School",20071010
054,NIAGARA FALLS,67,57,16,10,"Niagara-On-The-Lake",038, ,0,0,0,150,289,"St. David's Elementary School",20071010
054,NIAGARA FALLS,46,70,22,11,"Niagara-On-The-Lake",039, ,1,2,0,152,275,"St. David's Elementary School",20071010
054,NIAGARA FALLS,71,85,22,9,"Niagara-On-The-Lake",040, ,0,0,0,187,302,"St. David's Elementary School",20071010
054,NIAGARA FALLS,90,60,31,12,"Queenston",041, ,4,2,0,199,320,"Laura Secord Elementary School",20071010
054,NIAGARA FALLS,88,55,6,10,"Niagara Falls",042, ,0,0,0,159,388,"Club Italia",20071010
054,NIAGARA FALLS,0,5,1,2,"Niagara-On-The-Lake",043, ,0,0,0,8,32,"Niagara College Glendale Campus",20071010
054,NIAGARA FALLS,92,53,21,14,"Niagara-On-The-Lake",044, ,0,0,0,180,284,"St. David's Elementary School",20071010
054,NIAGARA FALLS,58,31,11,17,"Niagara Falls",045, ,1,0,0,118,277,"Mountain Park Church",20071010
054,NIAGARA FALLS,94,81,17,6,"Niagara Falls",046, ,0,0,0,198,383,"Mountain Park Church",20071010
054,NIAGARA FALLS,53,59,9,5,"Niagara Falls",047, ,0,0,0,126,297,"Victoria Public School",20071010
054,NIAGARA FALLS,..........................NO POLL HELD........................,,,,"Queenston",048, ,0,0,0,0,0,"",20071010
054,NIAGARA FALLS,71,33,14,18,"Niagara Falls",049, ,1,1,1,139,267,"Club Italia",20071010
054,NIAGARA FALLS,115,64,41,21,"Niagara Falls",050, ,1,0,0,242,455,"Mary Ward School",20071010
054,NIAGARA FALLS,116,72,29,11,"Niagara Falls",051, ,0,0,0,228,428,"Mountain Park Church",20071010
054,NIAGARA FALLS,86,53,35,21,"Niagara Falls",052, ,0,0,0,195,393,"Mary Ward School",20071010
054,NIAGARA FALLS,94,37,19,10,"Niagara Falls",053, ,0,1,0,161,331,"Mary Ward School",20071010
054,NIAGARA FALLS,144,84,25,7,"Niagara Falls",054, ,1,0,0,261,471,"Mary Ward School",20071010
054,NIAGARA FALLS,117,64,20,19,"Niagara Falls",055, ,0,0,0,220,402,"Martha Cullimore School",20071010
054,NIAGARA FALLS,172,70,22,14,"Niagara Falls",056, ,1,0,0,279,485,"Martha Cullimore School",20071010
054,NIAGARA FALLS,106,79,21,14,"Niagara Falls",057, ,1,0,0,221,366,"A.N. Myer Secondary School",20071010
054,NIAGARA FALLS,145,73,16,4,"Niagara Falls",058, ,1,1,0,240,447,"Martha Cullimore School",20071010
054,NIAGARA FALLS,103,63,10,9,"Niagara Falls",059, ,1,1,0,187,376,"Victoria Public School",20071010
054,NIAGARA FALLS,72,41,17,19,"Niagara Falls",060, ,1,0,0,150,309,"St. John's Evangelist Anglican Church",20071010
054,NIAGARA FALLS,129,66,22,14,"Niagara Falls",061, ,0,0,0,231,413,"Victoria Public School",20071010
054,NIAGARA FALLS,80,52,21,22,"Niagara Falls",062, ,1,0,2,178,346,"Victoria Public School",20071010
054,NIAGARA FALLS,105,41,21,16,"Niagara Falls",063, ,0,0,0,183,355,"Victoria Public School",20071010
054,NIAGARA FALLS,42,34,17,24,"Niagara Falls",064, ,0,0,0,117,288,"Victoria Public School",20071010
054,NIAGARA FALLS,117,70,14,10,"Niagara Falls",065, ,0,1,0,212,353,"St. Vincent de Paul Catholic Elementary School",20071010
054,NIAGARA FALLS,105,68,11,10,"Niagara Falls",066, ,2,0,0,196,400,"Club Italia",20071010
054,NIAGARA FALLS,99,74,14,14,"Niagara Falls",067, ,0,0,0,201,393,"Fairhaven Apartments",20071010
