ED_CODE,ED_NAME,BRYAN,FRERE,HUDAK,LOSTRACCO,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
055,NIAGARA WEST--GLANBROOK,30,11,83,61,"Grimsby",001, ,0,0,0,185,387,"Smith Public School",20071010
055,NIAGARA WEST--GLANBROOK,22,15,109,84,"Grimsby",002, ,1,0,0,231,399,"Our Lady of Fatima Catholic School",20071010
055,NIAGARA WEST--GLANBROOK,14,15,102,69,"Grimsby",003, ,0,1,0,201,354,"Our Lady of Fatima Catholic School",20071010
055,NIAGARA WEST--GLANBROOK,25,24,80,69,"Grimsby",004, ,0,0,0,198,369,"Our Lady of Fatima Catholic School",20071010
055,NIAGARA WEST--GLANBROOK,13,3,56,67,"Stoney Creek",005, ,0,0,0,139,321,"St. Paul Elementary School",20071010
055,NIAGARA WEST--GLANBROOK,18,4,49,53,"Stoney Creek",006, ,2,3,0,129,346,"Paramount Drive Alliance Church",20071010
055,NIAGARA WEST--GLANBROOK,29,15,102,117,"Stoney Creek",007, ,1,0,0,264,509,"St. Paul Elementary School",20071010
055,NIAGARA WEST--GLANBROOK,56,13,96,121,"Stoney Creek",008, ,1,1,2,290,528,"St. Paul Elementary School",20071010
055,NIAGARA WEST--GLANBROOK,25,4,47,56,"Stoney Creek",009, ,1,0,0,133,262,"St. Paul Elementary School",20071010
055,NIAGARA WEST--GLANBROOK,42,19,105,120,"Stoney Creek",010, ,3,0,0,289,557,"Paramount Drive Alliance Church",20071010
055,NIAGARA WEST--GLANBROOK,43,17,74,76,"Stoney Creek",011, ,2,1,1,214,443,"Paramount Drive Alliance Church",20071010
055,NIAGARA WEST--GLANBROOK,26,12,51,49,"Stoney Creek",012, ,0,0,0,138,335,"Tapleytown Elementary School",20071010
055,NIAGARA WEST--GLANBROOK,33,13,103,62,"Grimsby",013, ,0,0,0,211,452,"Smith Public School",20071010
055,NIAGARA WEST--GLANBROOK,30,24,123,97,"Grimsby",014, ,2,1,0,277,506,"Smith Public School",20071010
055,NIAGARA WEST--GLANBROOK,19,13,94,61,"Grimsby",015, ,0,0,0,187,360,"Blessed Trinity Secondary School",20071010
055,NIAGARA WEST--GLANBROOK,18,9,76,52,"Grimsby",016, ,0,0,0,155,333,"Blessed Trinity Secondary School",20071010
055,NIAGARA WEST--GLANBROOK,13,12,109,83,"Grimsby",017, ,5,0,0,222,417,"Blessed Trinity Secondary School",20071010
055,NIAGARA WEST--GLANBROOK,31,19,86,55,"Grimsby",018, ,1,0,0,192,369,"Blessed Trinity Secondary School",20071010
055,NIAGARA WEST--GLANBROOK,21,14,75,43,"Grimsby",019, ,0,0,0,153,313,"Blessed Trinity Secondary School",20071010
055,NIAGARA WEST--GLANBROOK,18,16,59,57,"Grimsby",020, ,0,0,0,150,288,"Blessed Trinity Secondary School",20071010
055,NIAGARA WEST--GLANBROOK,22,16,90,98,"Grimsby",021, ,2,0,0,228,442,"Blessed Trinity Secondary School",20071010
055,NIAGARA WEST--GLANBROOK,26,16,122,68,"Grimsby",022, ,1,0,0,233,429,"Our Lady of Fatima Catholic School",20071010
055,NIAGARA WEST--GLANBROOK,15,13,85,69,"Grimsby",023, ,0,0,0,182,389,"Central Elementary School",20071010
055,NIAGARA WEST--GLANBROOK,20,23,63,41,"Grimsby",024, ,0,0,0,147,295,"Central Elementary School",20071010
055,NIAGARA WEST--GLANBROOK,8,13,47,25,"Grimsby",025, ,1,0,0,94,217,"Central Elementary School",20071010
055,NIAGARA WEST--GLANBROOK,28,10,90,78,"Grimsby",026, ,2,0,0,208,361,"Lakeview Elementary School",20071010
055,NIAGARA WEST--GLANBROOK,21,23,92,51,"Grimsby",027, ,1,0,0,188,317,"Nelles Public School",20071010
055,NIAGARA WEST--GLANBROOK,18,9,57,59,"Grimsby",028, ,0,0,0,143,322,"Nelles Public School",20071010
055,NIAGARA WEST--GLANBROOK,3,1,6,2,"Grimsby",029s, ,0,0,0,12,23,"Kilean Lodge",20071010
055,NIAGARA WEST--GLANBROOK,5,2,15,13,"Grimsby",030s, ,1,0,0,36,63,"Maplecrest Village",20071010
055,NIAGARA WEST--GLANBROOK,15,25,90,56,"Grimsby",031, ,0,0,0,186,383,"Lakeview Elementary School",20071010
055,NIAGARA WEST--GLANBROOK,23,28,124,76,"Grimsby",032, ,0,0,0,251,470,"Nelles Public School",20071010
055,NIAGARA WEST--GLANBROOK,12,5,104,65,"Grimsby",033, ,1,0,0,187,350,"Lakeview Elementary School",20071010
