ED_CODE,ED_NAME,DUPUIS,GÉLINAS,GERMAIN,ST-DENIS,TWILLEY,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
056,NICKEL BELT,17,36,7,0,0,"Foleyet",001, ,1,1,0,62,195,"Foleyet Community Centre",20071010
056,NICKEL BELT,..........................NO POLL HELD........................,,,,,"Foleyet",002, ,0,0,0,0,0,"",20071010
056,NICKEL BELT,25,45,5,0,0,"Gogama",003, ,0,0,0,75,183,"Gogama Community Centre",20071010
056,NICKEL BELT,3,30,0,0,0,"Gogama",004, ,0,0,0,33,74,"Mattagami Community Centre",20071010
056,NICKEL BELT,31,20,4,0,1,"Gogama",005, ,1,0,0,57,150,"Gogama Community Centre",20071010
056,NICKEL BELT,1,6,3,0,2,"Shining Tree",006, ,0,0,0,12,22,"M.W. Moore Public School",20071010
056,NICKEL BELT,5,23,5,0,0,"Morin Village",007, ,0,1,0,34,45,"Morin Village Community Centre",20071010
056,NICKEL BELT,8,5,1,1,0,"Biscotasing",008, ,0,0,0,15,21,"Donna Pilon Residence",20071010
056,NICKEL BELT,..........................NO POLL HELD........................,,,,,"Cartier",008-1, ,0,0,0,0,0,"",20071010
056,NICKEL BELT,..........................NO POLL HELD........................,,,,,"Capreol",009, ,0,0,0,0,0,"",20071010
056,NICKEL BELT,33,85,17,0,6,"Cartier",010, ,1,0,0,142,268,"Cartier Community Centre",20071010
056,NICKEL BELT,96,79,17,0,11,"Hanmer",011, ,0,0,0,203,446,"Knights of Columbus Hall",20071010
056,NICKEL BELT,..........................NO POLL HELD........................,,,,,"Chelmsford",011-1, ,0,0,0,0,0,"",20071010
056,NICKEL BELT,..........................NO POLL HELD........................,,,,,"Capreol",011-2, ,0,0,0,0,0,"",20071010
056,NICKEL BELT,22,83,17,0,6,"Capreol",012, ,0,0,0,128,292,"Capreol Community Centre",20071010
056,NICKEL BELT,20,82,4,2,10,"Capreol",013, ,1,0,0,119,304,"Capreol Community Centre",20071010
056,NICKEL BELT,41,86,12,3,8,"Capreol",014, ,0,0,0,150,363,"Capreol Community Centre",20071010
056,NICKEL BELT,23,77,9,2,3,"Capreol",015, ,0,0,0,114,289,"Capreol Community Centre",20071010
056,NICKEL BELT,6,23,3,1,4,"Levack",016, ,0,0,0,37,123,"Levack Public School",20071010
056,NICKEL BELT,92,79,12,0,8,"Hanmer",017, ,0,0,0,191,457,"Knights of Columbus Hall",20071010
