ED_CODE,ED_NAME,BROWNRIDGE,GIROUX,PLOUFFE,SMITH,VREBOSCH,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
057,NIPISSING,5,34,2,57,71,"Redbridge",001, ,0,0,0,169,360,"Phelps Public School",20071010
057,NIPISSING,12,18,1,70,58,"North Bay",002, ,0,0,0,159,373,"Kinsmen Club",20071010
057,NIPISSING,11,23,1,56,94,"North Bay",003, ,0,0,0,185,392,"Carmichael United Church",20071010
057,NIPISSING,4,13,0,95,42,"Mattawa",004, ,0,0,0,154,376,"Mike Rodden Arena",20071010
057,NIPISSING,5,26,0,70,41,"North Bay",005, ,0,0,0,142,299,"Kinsmen Club",20071010
057,NIPISSING,1,4,5,11,6,"North Bay",006s, ,0,0,0,27,148,"North East Mental Health Centre",20071010
057,NIPISSING,6,39,1,97,78,"North Bay",007, ,1,0,0,222,451,"The Harbour",20071010
057,NIPISSING,9,23,1,61,75,"Redbridge",008, ,0,0,0,169,331,"Phelps Public School",20071010
057,NIPISSING,4,23,2,119,101,"North Bay",010, ,0,0,0,249,449,"Church of Jesus Christ of Latter Day Saints",20071010
057,NIPISSING,9,13,0,120,94,"North Bay",011, ,0,0,0,236,401,"Vincent Massey Public School",20071010
057,NIPISSING,3,36,1,107,111,"North Bay",012, ,0,0,0,258,583,"Church of Jesus Christ of Latter Day Saints",20071010
057,NIPISSING,12,29,4,86,95,"North Bay",013, ,0,0,1,227,477,"The Harbour",20071010
057,NIPISSING,3,10,1,100,34,"Mattawa",014, ,2,1,0,151,314,"Mike Rodden Arena",20071010
057,NIPISSING,0,4,1,28,8,"Mattawa",015s, ,5,2,0,48,85,"Algonquin Nursing Home",20071010
057,NIPISSING,1,16,0,66,19,"Mattawa",016, ,2,0,0,104,283,"Mattawa District Public School",20071010
057,NIPISSING,..........................NO POLL HELD........................,,,,,"Mattawa",017, ,0,0,0,0,0,"",20071010
057,NIPISSING,2,11,2,50,21,"Mattawa",018, ,1,1,0,88,233,"Mike Rodden Arena",20071010
057,NIPISSING,3,6,1,54,17,"Mattawa",019, ,0,0,0,81,208,"Mike Rodden Arena",20071010
057,NIPISSING,1,6,0,55,22,"Mattawa",020, ,0,0,0,84,200,"Mike Rodden Arena",20071010
057,NIPISSING,1,7,2,88,8,"Garden Village",021, ,2,0,0,108,293,"Nipissing First Nation",20071010
057,NIPISSING,2,53,3,90,72,"North Bay",021-1, ,1,1,0,222,499,"Jocko Point Fire Hall",20071010
057,NIPISSING,4,16,0,82,27,"North Bay",021-2, ,5,1,0,135,340,"N'bisiing Education Centre",20071010
057,NIPISSING,..........................NO POLL HELD........................,,,,,"North Bay",023, ,0,0,0,0,0,"",20071010
057,NIPISSING,3,24,0,60,65,"North Bay",024, ,0,0,0,152,323,"King George Public School",20071010
057,NIPISSING,3,5,1,15,12,"North Bay",025, ,0,0,0,36,259,"Chancellors House",20071010
057,NIPISSING,0,0,0,43,5,"North Bay",026s, ,4,0,0,52,73,"St. Joseph's Motherhouse",20071010
057,NIPISSING,1,10,1,12,8,"North Bay",027, ,1,0,0,33,134,"Governor's House",20071010
057,NIPISSING,11,23,3,79,52,"North Bay",028, ,0,1,0,169,388,"Founders House",20071010
057,NIPISSING,3,25,3,50,29,"North Bay",029, ,0,0,1,111,288,"Chancellors House",20071010
057,NIPISSING,11,13,2,108,81,"North Bay",030, ,1,0,0,216,362,"St. Alexander Separate School",20071010
057,NIPISSING,9,23,1,44,37,"North Bay",031, ,0,2,0,116,262,"King George Public School",20071010
057,NIPISSING,6,14,0,73,66,"North Bay",032, ,0,1,0,160,361,"J.W. Trusler Public School",20071010
057,NIPISSING,5,14,0,16,11,"North Bay",033, ,0,0,0,46,221,"Founders House",20071010
057,NIPISSING,13,18,0,100,55,"North Bay",034, ,0,0,0,186,331,"St. Alexander Separate School",20071010
057,NIPISSING,8,18,1,68,69,"North Bay",035, ,0,0,0,164,333,"J.W. Trusler Public School",20071010
057,NIPISSING,3,4,1,59,27,"North Bay",036, ,0,0,0,94,209,"École St. Paul",20071010
057,NIPISSING,10,16,3,44,45,"North Bay",037, ,0,0,0,118,277,"King George Public School",20071010
057,NIPISSING,3,12,2,57,41,"North Bay",038, ,0,0,0,115,257,"École St. Paul",20071010
057,NIPISSING,6,23,2,78,74,"North Bay",039, ,1,1,0,185,349,"J.W. Trusler Public School",20071010
057,NIPISSING,0,11,0,70,54,"North Bay",040, ,1,1,0,137,284,"St. Alexander Separate School",20071010
057,NIPISSING,5,19,0,64,39,"North Bay",041, ,2,0,0,129,336,"École St. Paul",20071010
057,NIPISSING,4,8,0,64,41,"North Bay",042, ,0,0,0,117,326,"J.W. Trusler Public School",20071010
057,NIPISSING,9,23,4,63,67,"North Bay",043, ,1,0,0,167,335,"École St. Paul",20071010
057,NIPISSING,7,24,1,98,39,"North Bay",044, ,0,1,0,170,314,"King George Public School",20071010
057,NIPISSING,6,22,1,118,57,"North Bay",045, ,0,2,0,206,383,"St. Alexander Separate School",20071010
057,NIPISSING,..........................NO POLL HELD........................,,,,,"North Bay",046s, ,0,0,0,0,0,"",20071010
057,NIPISSING,2,10,3,43,52,"North Bay",047, ,0,1,0,111,250,"St. Alexander Separate School",20071010
057,NIPISSING,0,1,0,7,10,"North Bay",048s, ,0,1,0,19,26,"North Bay General Hospital-McLaren Site",20071010
057,NIPISSING,17,20,0,65,28,"North Bay",049, ,0,0,0,130,307,"King George Public School",20071010
057,NIPISSING,2,18,2,54,42,"North Bay",050, ,1,0,0,119,308,"Sacred Heart School",20071010
057,NIPISSING,4,10,1,39,31,"North Bay",051, ,0,0,0,85,254,"St. Hubert Separate School",20071010
057,NIPISSING,5,21,1,28,32,"North Bay",052, ,1,0,0,88,272,"St. Hubert Separate School",20071010
057,NIPISSING,3,16,0,34,46,"North Bay",053, ,0,0,0,99,284,"St. Hubert Separate School",20071010
057,NIPISSING,9,15,1,61,51,"North Bay",054, ,2,0,0,139,314,"Mother St. Bride School",20071010
057,NIPISSING,5,16,0,33,26,"North Bay",055, ,0,0,0,80,260,"Mother St. Bride School",20071010
057,NIPISSING,5,15,0,19,20,"North Bay",056, ,0,1,0,60,179,"North Bay City Hall",20071010
057,NIPISSING,9,40,1,86,43,"North Bay",057, ,0,0,2,181,453,"Mother St. Bride School",20071010
057,NIPISSING,1,10,1,43,34,"North Bay",058, ,0,0,0,89,259,"St. Hubert Separate School",20071010
057,NIPISSING,4,15,1,51,25,"North Bay",060, ,1,0,0,97,275,"North Bay City Hall",20071010
057,NIPISSING,3,37,4,48,56,"North Bay",061, ,1,0,0,149,282,"École Ste. Anne",20071010
057,NIPISSING,7,16,3,72,56,"North Bay",062, ,0,2,0,156,344,"Sacred Heart School",20071010
057,NIPISSING,3,22,1,50,45,"North Bay",063, ,3,0,0,124,308,"Centennial Public School",20071010
057,NIPISSING,5,27,2,42,40,"North Bay",064, ,0,1,0,117,314,"Mother St. Bride School",20071010
057,NIPISSING,10,26,0,37,37,"North Bay",065, ,0,0,0,110,303,"Mother St. Bride School",20071010
057,NIPISSING,4,15,0,26,54,"North Bay",066, ,0,1,0,100,273,"Centennial Public School",20071010
057,NIPISSING,5,25,0,41,30,"North Bay",067, ,0,1,0,102,227,"North Bay City Hall",20071010
057,NIPISSING,3,17,0,46,74,"North Bay",068, ,0,0,0,140,346,"Centennial Public School",20071010
057,NIPISSING,0,0,1,31,0,"North Bay",069s, ,0,0,0,32,38,"Sisters of the Assumption",20071010
057,NIPISSING,8,16,0,41,40,"North Bay",070, ,0,0,0,105,265,"École St. Vincent",20071010
057,NIPISSING,4,24,2,57,56,"North Bay",071, ,0,1,1,145,309,"École Ste. Anne",20071010
057,NIPISSING,0,22,1,80,31,"North Bay",072, ,0,0,0,134,246,"École St. Vincent",20071010
057,NIPISSING,5,13,0,61,35,"North Bay",073, ,2,0,0,116,334,"École St. Vincent",20071010
057,NIPISSING,1,28,0,68,63,"North Bay",074, ,0,1,0,161,323,"École Ste. Anne",20071010
057,NIPISSING,6,25,4,62,38,"North Bay",075, ,0,0,1,136,311,"Centennial Public School",20071010
057,NIPISSING,4,18,1,52,25,"North Bay",076, ,2,0,0,102,282,"École St. Vincent",20071010
057,NIPISSING,7,27,0,51,60,"North Bay",077, ,0,0,1,146,343,"Dr. MacDougall Public School",20071010
057,NIPISSING,6,30,0,53,27,"North Bay",078, ,0,0,0,116,294,"The Elks Club",20071010
057,NIPISSING,1,12,1,21,26,"North Bay",079s, ,0,0,0,61,64,"The Barclay House",20071010
057,NIPISSING,2,33,0,87,87,"North Bay",080, ,1,0,0,210,357,"E.T. Carmichael Public School",20071010
057,NIPISSING,3,32,1,58,51,"North Bay",081, ,1,1,0,147,289,"E.T. Carmichael Public School",20071010
057,NIPISSING,2,19,0,49,39,"North Bay",082, ,1,0,0,110,239,"The Elks Club",20071010
057,NIPISSING,6,26,1,44,50,"North Bay",083, ,0,0,0,127,327,"École St. Vincent",20071010
057,NIPISSING,3,11,2,27,22,"North Bay",084s, ,3,2,0,70,226,"Cassellholme",20071010
057,NIPISSING,3,29,0,46,58,"North Bay",085, ,0,0,0,136,309,"Dr. MacDougall Public School",20071010
057,NIPISSING,9,15,0,81,97,"North Bay",086, ,0,0,0,202,380,"E.T. Carmichael Public School",20071010
057,NIPISSING,11,31,2,134,107,"North Bay",087, ,0,0,0,285,449,"Vincent Massey Public School",20071010
057,NIPISSING,5,11,2,49,50,"North Bay",088, ,0,0,0,117,311,"The Elks Club",20071010
057,NIPISSING,3,26,0,89,96,"North Bay",089, ,0,1,0,215,360,"The Elks Club",20071010
057,NIPISSING,0,15,0,50,62,"North Bay",090, ,1,0,0,128,294,"The Elks Club",20071010
057,NIPISSING,2,19,0,63,54,"North Bay",091, ,0,1,0,139,352,"E.W. Norman Public School",20071010
057,NIPISSING,2,23,0,106,79,"North Bay",092, ,1,2,0,213,387,"W.J. Fricker Public School",20071010
057,NIPISSING,10,33,0,108,86,"North Bay",093, ,3,0,0,240,418,"W.J. Fricker Public School",20071010
057,NIPISSING,0,13,0,89,67,"North Bay",094, ,1,0,0,170,359,"The Elks Club",20071010
057,NIPISSING,13,21,0,154,104,"North Bay",095, ,1,1,0,294,456,"Vincent Massey Public School",20071010
057,NIPISSING,10,19,1,48,64,"North Bay",096, ,1,0,0,143,278,"W.J. Fricker Public School",20071010
057,NIPISSING,6,23,3,95,95,"North Bay",097, ,0,0,0,222,438,"W.J. Fricker Public School",20071010
057,NIPISSING,5,31,0,55,55,"North Bay",098, ,0,1,0,147,292,"E.W. Norman Public School",20071010
057,NIPISSING,2,30,1,57,57,"North Bay",099, ,0,0,0,147,401,"John XXIII Separate School",20071010
057,NIPISSING,5,34,0,42,51,"North Bay",100, ,0,1,0,133,325,"E.W. Norman Public School",20071010
057,NIPISSING,5,60,6,74,78,"North Bay",101, ,0,0,0,223,593,"E.W. Norman Public School",20071010
057,NIPISSING,12,17,0,122,95,"North Bay",102, ,2,0,2,250,430,"John XXIII Separate School",20071010
057,NIPISSING,9,21,0,110,75,"North Bay",103, ,0,1,0,216,382,"John XXIII Separate School",20071010
057,NIPISSING,7,21,0,105,75,"North Bay",104, ,0,1,1,210,406,"John XXIII Separate School",20071010
057,NIPISSING,4,15,0,71,88,"North Bay",105, ,0,0,0,178,318,"The Harbour",20071010
