ED_CODE,ED_NAME,BLAIND,GALT,RINALDI,SMITH TORRIE,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
058,NORTHUMBERLAND--QUINTE WEST,37,50,49,24,"Campbellford",001, ,0,0,0,160,257,"Stanwood Church",20071010
058,NORTHUMBERLAND--QUINTE WEST,9,41,39,10,"Trent River",002, ,1,0,0,100,315,"Sentinel Orange Hall",20071010
058,NORTHUMBERLAND--QUINTE WEST,18,54,50,17,"Trent River",003, ,1,0,0,140,465,"Sentinel Orange Hall",20071010
058,NORTHUMBERLAND--QUINTE WEST,38,71,84,28,"Trent River",004, ,0,0,0,221,488,"Sentinel Orange Hall",20071010
058,NORTHUMBERLAND--QUINTE WEST,33,67,82,16,"Campbellford",005, ,0,1,1,200,442,"St. John's United Church",20071010
058,NORTHUMBERLAND--QUINTE WEST,23,50,61,11,"Campbellford",006, ,0,0,0,145,338,"St. John's United Church",20071010
058,NORTHUMBERLAND--QUINTE WEST,16,35,50,16,"Campbellford",007, ,0,0,0,117,304,"Campbellford District High School",20071010
058,NORTHUMBERLAND--QUINTE WEST,42,73,59,25,"Campbellford",008, ,0,0,0,199,424,"St. John's United Church",20071010
058,NORTHUMBERLAND--QUINTE WEST,..........................NO POLL HELD........................,,,,"Campbellford",009s, ,0,0,0,0,5,"",20071010
058,NORTHUMBERLAND--QUINTE WEST,26,57,56,12,"Campbellford",010, ,0,0,0,151,307,"Campbellford District High School",20071010
058,NORTHUMBERLAND--QUINTE WEST,9,21,19,1,"Campbellford",011s, ,0,0,0,50,65,"Campbellford Memorial Multicare Lodge",20071010
058,NORTHUMBERLAND--QUINTE WEST,25,54,78,14,"Campbellford",012, ,1,0,0,172,402,"Campbellford District High School",20071010
058,NORTHUMBERLAND--QUINTE WEST,30,53,60,23,"Hastings",013, ,1,1,0,168,353,"Hastings Public School",20071010
058,NORTHUMBERLAND--QUINTE WEST,22,64,55,14,"Hastings",014, ,0,0,0,155,283,"Hastings Civic Center",20071010
058,NORTHUMBERLAND--QUINTE WEST,15,37,40,7,"Hastings",015, ,0,0,0,99,232,"Hastings Civic Center",20071010
058,NORTHUMBERLAND--QUINTE WEST,21,93,98,48,"Hastings",016, ,0,0,0,260,550,"Hastings Civic Center",20071010
058,NORTHUMBERLAND--QUINTE WEST,28,43,54,21,"Campbellford",017, ,0,0,0,146,312,"Campbellford Baptist Church",20071010
058,NORTHUMBERLAND--QUINTE WEST,5,13,17,4,"Campbellford",018s, ,0,0,0,39,53,"Island Park Retirement Suites",20071010
058,NORTHUMBERLAND--QUINTE WEST,17,21,45,7,"Campbellford",019, ,0,1,0,91,270,"Campbellford District High School",20071010
058,NORTHUMBERLAND--QUINTE WEST,..........................NO POLL HELD........................,,,,"Campbellford",020s, ,0,0,0,0,9,"",20071010
058,NORTHUMBERLAND--QUINTE WEST,25,44,43,13,"Campbellford",021, ,1,0,0,126,261,"Campbellford District High School",20071010
058,NORTHUMBERLAND--QUINTE WEST,2,8,6,0,"Campbellford",022s, ,0,0,0,16,18,"Burnbrae Gardens",20071010
058,NORTHUMBERLAND--QUINTE WEST,23,70,46,13,"Trent River",023, ,0,2,0,154,464,"Sentinel Orange Hall",20071010
058,NORTHUMBERLAND--QUINTE WEST,23,88,92,34,"Stirling",024, ,0,0,0,237,438,"River Valley Community Centre",20071010
058,NORTHUMBERLAND--QUINTE WEST,27,83,75,20,"Stirling",025, ,1,1,0,207,469,"River Valley Community Centre",20071010
058,NORTHUMBERLAND--QUINTE WEST,29,56,70,11,"Campbellford",026, ,0,0,0,166,384,"Campbellford Baptist Church",20071010
058,NORTHUMBERLAND--QUINTE WEST,31,85,60,24,"Campbellford",027, ,0,1,0,201,479,"Campbellford District High School",20071010
058,NORTHUMBERLAND--QUINTE WEST,13,52,61,11,"Stirling",028, ,0,0,0,137,312,"River Valley Community Centre",20071010
058,NORTHUMBERLAND--QUINTE WEST,26,75,85,17,"Hastings",029, ,0,0,0,203,394,"Hastings Civic Center",20071010
058,NORTHUMBERLAND--QUINTE WEST,43,58,89,27,"Warkworth",030, ,1,0,0,218,472,"Percy Centennial Public School",20071010
058,NORTHUMBERLAND--QUINTE WEST,43,97,104,14,"Trenton",031, ,0,0,0,258,622,"Frankford Public School",20071010
058,NORTHUMBERLAND--QUINTE WEST,27,73,92,23,"Trenton",032, ,0,0,0,215,491,"Batawa Community Centre",20071010
058,NORTHUMBERLAND--QUINTE WEST,20,64,69,17,"Stirling",033, ,0,0,0,170,405,"River Valley Community Centre",20071010
058,NORTHUMBERLAND--QUINTE WEST,23,89,75,36,"Roseneath",034, ,0,0,0,223,471,"Roseneath Centennial Public School",20071010
058,NORTHUMBERLAND--QUINTE WEST,29,79,39,23,"Frankford",035, ,0,0,0,170,415,"Stockdale Public School",20071010
058,NORTHUMBERLAND--QUINTE WEST,33,87,109,32,"Frankford",036, ,2,0,0,263,566,"Stockdale Public School",20071010
058,NORTHUMBERLAND--QUINTE WEST,18,54,61,15,"Trenton",037, ,0,0,0,148,288,"Frankford Public School",20071010
058,NORTHUMBERLAND--QUINTE WEST,15,80,53,10,"Trenton",038, ,1,0,0,159,314,"Frankford Public School",20071010
058,NORTHUMBERLAND--QUINTE WEST,20,42,45,12,"Trenton",039, ,0,1,0,120,279,"Frankford Public School",20071010
058,NORTHUMBERLAND--QUINTE WEST,26,74,85,7,"Trenton",040, ,1,1,0,194,408,"Batawa Community Centre",20071010
058,NORTHUMBERLAND--QUINTE WEST,36,129,117,20,"Belleville",041, ,1,1,0,304,507,"Centennial Hall",20071010
058,NORTHUMBERLAND--QUINTE WEST,23,76,133,18,"Belleville",042, ,1,0,0,251,470,"Centennial Hall",20071010
058,NORTHUMBERLAND--QUINTE WEST,36,58,72,32,"Warkworth",043, ,1,0,0,199,425,"Percy Centennial Public School",20071010
058,NORTHUMBERLAND--QUINTE WEST,21,41,92,36,"Warkworth",044, ,6,0,0,196,331,"Percy Centennial Public School",20071010
