ED_CODE,ED_NAME,BANNON,HAGAN,JACZEK,NAGY,RANSOM,REDMOND,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
059,OAK RIDGES--MARKHAM,68,17,61,13,0,2,"Newmarket",001, ,0,0,0,161,314,"Ontario SPCA",20071010
059,OAK RIDGES--MARKHAM,93,5,72,10,0,0,"Newmarket",002, ,0,1,0,181,386,"Ontario SPCA",20071010
059,OAK RIDGES--MARKHAM,95,11,73,27,0,2,"Newmarket",003, ,0,0,1,209,454,"Ontario SPCA",20071010
059,OAK RIDGES--MARKHAM,118,5,44,9,2,0,"Whitchurch-Stouffville",004, ,0,0,0,178,375,"Ballantrae Community Centre",20071010
059,OAK RIDGES--MARKHAM,55,5,58,12,0,1,"Whitchurch-Stouffville",005, ,0,0,0,131,219,"Ballantrae Golf & Country Club Recreation Centre",20071010
059,OAK RIDGES--MARKHAM,54,3,51,10,0,2,"Whitchurch-Stouffville",006, ,3,2,0,125,183,"Ballantrae Golf & Country Club Recreation Centre",20071010
059,OAK RIDGES--MARKHAM,..........................NO POLL HELD........................,,,,,,"Whitchurch-Stouffville",007, ,0,0,0,0,0,"",20071010
059,OAK RIDGES--MARKHAM,116,2,73,4,0,5,"Whitchurch-Stouffville",008, ,1,1,2,204,280,"Ballantrae Golf & Country Club Recreation Centre",20071010
059,OAK RIDGES--MARKHAM,..........................NO POLL HELD........................,,,,,,"Whitchurch-Stouffville",009, ,0,0,0,0,0,"",20071010
059,OAK RIDGES--MARKHAM,127,7,88,8,1,1,"Whitchurch-Stouffville",010, ,0,0,0,232,329,"Ballantrae Golf & Country Club Recreation Centre",20071010
059,OAK RIDGES--MARKHAM,102,5,83,1,4,0,"Whitchurch-Stouffville",011, ,0,0,0,195,293,"Ballantrae Golf & Country Club Recreation Centre",20071010
059,OAK RIDGES--MARKHAM,94,3,60,11,1,0,"Whitchurch-Stouffville",012, ,0,0,0,169,329,"Ballantrae Community Centre",20071010
059,OAK RIDGES--MARKHAM,..........................NO POLL HELD........................,,,,,,"Whitchurch-Stouffville",013, ,0,0,0,0,0,"",20071010
059,OAK RIDGES--MARKHAM,73,9,63,14,0,3,"Whitchurch-Stouffville",014, ,0,0,0,162,318,"Ballantrae Community Centre",20071010
059,OAK RIDGES--MARKHAM,102,9,70,31,4,3,"Whitchurch-Stouffville",015, ,0,1,0,220,361,"Ballantrae Public School",20071010
059,OAK RIDGES--MARKHAM,83,20,58,20,1,0,"Whitchurch-Stouffville",016, ,0,0,0,182,337,"Ballantrae Public School",20071010
059,OAK RIDGES--MARKHAM,63,12,54,17,0,0,"Whitchurch-Stouffville",017, ,0,3,0,149,328,"Ballantrae Public School",20071010
059,OAK RIDGES--MARKHAM,113,18,80,18,3,0,"Whitchurch-Stouffville",018, ,0,0,0,232,439,"Ballantrae Community Centre",20071010
059,OAK RIDGES--MARKHAM,72,24,56,25,1,0,"Whitchurch-Stouffville",019, ,0,0,0,178,376,"Ballantrae Public School",20071010
059,OAK RIDGES--MARKHAM,117,16,75,23,1,0,"Kettleby",020, ,1,1,0,234,412,"Kettleby Public School",20071010
059,OAK RIDGES--MARKHAM,80,15,67,11,1,0,"Whitchurch-Stouffville",021, ,0,1,0,175,383,"Whitchurch Highlands Public School",20071010
059,OAK RIDGES--MARKHAM,107,9,56,27,0,1,"Whitchurch-Stouffville",022, ,1,0,0,201,376,"Whitchurch Highlands Public School",20071010
059,OAK RIDGES--MARKHAM,72,18,60,9,2,7,"Whitchurch-Stouffville",023, ,1,0,0,169,362,"Ballantrae Public School",20071010
059,OAK RIDGES--MARKHAM,106,5,81,11,2,0,"Kettleby",024, ,0,0,0,205,425,"Kettleby Pottageville Lions Community Hall",20071010
059,OAK RIDGES--MARKHAM,4,3,2,2,3,0,"Whitchurch-Stouffville",025s, ,1,0,1,16,112,"Specialty Care Bloomington Cove",20071010
059,OAK RIDGES--MARKHAM,93,7,63,22,3,0,"Whitchurch-Stouffville",026, ,0,0,0,188,368,"Sleepy Hollow Golf & Country Club",20071010
059,OAK RIDGES--MARKHAM,79,16,82,23,0,3,"Schomberg",027, ,3,0,0,206,373,"Schomberg Public School",20071010
059,OAK RIDGES--MARKHAM,56,10,45,23,4,1,"Kettleby",028, ,0,0,0,139,271,"Kettleby Pottageville Lions Community Hall",20071010
059,OAK RIDGES--MARKHAM,64,21,77,11,2,1,"Whitchurch-Stouffville",029, ,0,0,1,177,392,"Whitchurch Highlands Public School",20071010
059,OAK RIDGES--MARKHAM,85,9,56,11,1,1,"Whitchurch-Stouffville",030, ,2,0,1,166,363,"Whitchurch Highlands Public School",20071010
