ED_CODE,ED_NAME,BYERS,CRAWFORD,FLYNN,SCHAFFER,TOTEDA,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
060,OAKVILLE,86,21,98,15,3,"Oakville",001, ,0,0,0,223,500,"St. Luke Separate School",20071010
060,OAKVILLE,80,5,138,12,1,"Oakville",002, ,0,0,0,236,575,"St. Marguerite d'Youville",20071010
060,OAKVILLE,75,15,137,18,0,"Oakville",003, ,0,0,0,245,462,"St. Luke Separate School",20071010
060,OAKVILLE,82,6,85,11,2,"Oakville",004, ,2,0,0,188,416,"St. Marguerite d'Youville",20071010
060,OAKVILLE,100,9,97,16,0,"Oakville",005, ,4,1,0,227,479,"St. Marguerite d'Youville",20071010
060,OAKVILLE,78,14,114,9,1,"Oakville",006, ,1,0,0,217,447,"St. Luke Separate School",20071010
060,OAKVILLE,47,18,116,3,1,"Oakville",007, ,0,0,0,185,398,"St. Luke Separate School",20071010
060,OAKVILLE,109,19,150,11,1,"Oakville",008, ,1,0,0,291,541,"St. Luke Separate School",20071010
060,OAKVILLE,53,13,98,14,0,"Oakville",009, ,0,0,0,178,367,"St. Luke Separate School",20071010
060,OAKVILLE,76,13,156,21,4,"Oakville",010, ,0,1,0,271,477,"John Knox Christian School",20071010
060,OAKVILLE,96,12,129,11,1,"Oakville",011, ,0,0,0,249,521,"John Knox Christian School",20071010
060,OAKVILLE,96,11,145,9,1,"Oakville",012, ,1,0,0,263,481,"John Knox Christian School",20071010
060,OAKVILLE,68,6,77,13,2,"Oakville",013, ,1,2,0,169,403,"Iroquois Ridge Community Centre",20071010
060,OAKVILLE,62,7,77,12,1,"Oakville",014, ,0,1,0,160,346,"Iroquois Ridge Community Centre",20071010
060,OAKVILLE,85,9,125,4,0,"Oakville",015, ,0,0,0,223,430,"Iroquois Ridge Community Centre",20071010
060,OAKVILLE,101,8,113,19,1,"Oakville",016, ,0,0,0,242,387,"St. Marguerite d'Youville",20071010
060,OAKVILLE,87,4,105,18,0,"Oakville",017, ,2,0,0,216,388,"St. Marguerite d'Youville",20071010
