ED_CODE,ED_NAME,KEMP,OUELLETTE,RYAN,STREUTKER,TEMPLER,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
061,OSHAWA,20,118,58,0,84,"Oshawa",001, ,0,0,0,280,594,"Camp Samac Council Hall",20071010
061,OSHAWA,15,133,58,1,94,"Oshawa",002, ,1,2,0,304,551,"Camp Samac Council Hall",20071010
061,OSHAWA,13,69,52,3,63,"Oshawa",003, ,0,0,0,200,412,"Camp Samac Council Hall",20071010
061,OSHAWA,4,84,34,2,54,"Oshawa",004A, ,0,0,0,178,329,"Norman G. Powers Public School",20071010
061,OSHAWA,11,73,30,1,61,"Oshawa",004B, ,1,0,0,177,330,"Norman G. Powers Public School",20071010
061,OSHAWA,11,101,44,2,42,"Oshawa",005, ,0,0,1,201,339,"Camp Samac Council Hall",20071010
061,OSHAWA,10,89,54,2,53,"Oshawa",006, ,1,0,0,209,412,"Kedron Public School",20071010
061,OSHAWA,5,71,43,3,36,"Oshawa",007, ,1,0,0,159,330,"Kedron Public School",20071010
061,OSHAWA,16,81,51,0,54,"Oshawa",008, ,0,1,0,203,376,"Kedron Public School",20071010
061,OSHAWA,0,16,10,1,11,"Oshawa",009s, ,3,0,1,42,172,"The Wynfield Long Term Care",20071010
061,OSHAWA,17,114,72,2,69,"Oshawa",010, ,3,0,0,277,578,"Legends Centre",20071010
061,OSHAWA,9,78,26,0,51,"Oshawa",011, ,1,0,0,165,347,"Sherwood Public School",20071010
061,OSHAWA,9,105,33,3,43,"Oshawa",012, ,12,1,0,206,428,"Legends Centre",20071010
061,OSHAWA,9,107,28,2,58,"Oshawa",013, ,1,1,1,207,378,"Norman G. Powers Public School",20071010
061,OSHAWA,7,56,40,0,35,"Oshawa",014, ,0,1,0,139,302,"Norman G. Powers Public School",20071010
061,OSHAWA,6,74,24,3,58,"Oshawa",015, ,0,0,0,165,363,"Norman G. Powers Public School",20071010
061,OSHAWA,13,36,43,0,34,"Oshawa",016, ,0,0,0,126,371,"Father Joseph Venini Catholic School",20071010
061,OSHAWA,5,72,56,0,48,"Oshawa",017, ,0,1,0,182,376,"Sherwood Public School",20071010
061,OSHAWA,9,61,61,0,41,"Oshawa",018, ,1,0,0,173,363,"Sherwood Public School",20071010
061,OSHAWA,7,117,37,0,82,"Oshawa",019, ,0,0,0,243,469,"Legends Centre",20071010
061,OSHAWA,12,70,26,1,50,"Oshawa",020, ,0,0,0,159,343,"St. Joseph Catholic School",20071010
061,OSHAWA,8,46,34,1,24,"Oshawa",021, ,1,0,0,114,284,"Father Joseph Venini Catholic School",20071010
061,OSHAWA,24,109,89,3,66,"Oshawa",022, ,0,0,0,291,560,"Father Joseph Venini Catholic School",20071010
061,OSHAWA,7,46,34,0,19,"Oshawa",023, ,0,0,0,106,347,"Father Joseph Venini Catholic School",20071010
061,OSHAWA,7,32,44,1,29,"Oshawa",024, ,1,0,0,114,389,"Father Joseph Venini Catholic School",20071010
061,OSHAWA,7,36,53,0,21,"Oshawa",025, ,0,0,0,117,303,"Father Joseph Venini Catholic School",20071010
061,OSHAWA,15,89,87,2,42,"Oshawa",026, ,0,0,0,235,594,"Oshawa Public Library - Northview Branch",20071010
061,OSHAWA,7,66,46,0,31,"Oshawa",027, ,0,0,0,150,303,"Oshawa Public Library - Northview Branch",20071010
061,OSHAWA,19,103,49,0,57,"Oshawa",028, ,0,0,1,229,419,"St. Joseph Catholic School",20071010
061,OSHAWA,18,86,32,1,47,"Oshawa",029, ,0,0,0,184,339,"St. Joseph Catholic School",20071010
061,OSHAWA,9,107,28,1,43,"Oshawa",030, ,0,0,0,188,370,"Pierre Elliott Trudeau Public School",20071010
061,OSHAWA,11,78,57,0,57,"Oshawa",031, ,1,0,0,204,401,"Pierre Elliott Trudeau Public School",20071010
061,OSHAWA,16,92,37,2,26,"Oshawa",032, ,0,0,0,173,340,"Pierre Elliott Trudeau Public School",20071010
061,OSHAWA,8,84,30,0,39,"Oshawa",033, ,0,0,0,161,314,"Pierre Elliott Trudeau Public School",20071010
061,OSHAWA,13,139,56,1,66,"Oshawa",034, ,0,0,0,275,512,"Pierre Elliott Trudeau Public School",20071010
061,OSHAWA,10,36,46,1,23,"Oshawa",035, ,1,0,0,117,411,"Northview Community Centre",20071010
061,OSHAWA,..........................NO POLL HELD........................,,,,,"Oshawa",036, ,0,0,0,0,0,"",20071010
061,OSHAWA,7,27,47,1,21,"Oshawa",037, ,0,0,1,104,267,"Northview Community Centre",20071010
061,OSHAWA,..........................NO POLL HELD........................,,,,,"Oshawa",038, ,0,0,0,0,0,"",20071010
061,OSHAWA,7,22,32,1,26,"Oshawa",039, ,1,0,0,89,231,"Northview Community Centre",20071010
061,OSHAWA,10,62,62,0,47,"Oshawa",040, ,0,0,0,181,392,"Northview Community Centre",20071010
061,OSHAWA,13,107,63,1,56,"Oshawa",041, ,1,1,0,242,408,"Beau Valley Public School",20071010
061,OSHAWA,1,22,26,1,9,"Oshawa",042, ,0,0,1,60,216,"St. Joseph Catholic School",20071010
061,OSHAWA,9,68,32,0,44,"Oshawa",043, ,0,0,0,153,385,"St. Joseph Catholic School",20071010
061,OSHAWA,3,59,55,1,30,"Oshawa",044, ,1,0,0,149,362,"St. Joseph Catholic School",20071010
061,OSHAWA,27,72,51,1,41,"Oshawa",045, ,2,2,0,196,380,"Gordon B. Attersley Public School",20071010
061,OSHAWA,16,84,51,0,56,"Oshawa",046, ,0,0,0,207,463,"Pierre Elliott Trudeau Public School",20071010
061,OSHAWA,17,75,48,0,39,"Oshawa",047, ,1,0,0,180,412,"Pierre Elliott Trudeau Public School",20071010
061,OSHAWA,3,18,28,0,12,"Oshawa",048, ,0,0,0,61,227,"Beau Valley Public School",20071010
061,OSHAWA,16,84,60,4,35,"Oshawa",049, ,0,1,0,200,370,"Beau Valley Public School",20071010
061,OSHAWA,9,81,45,1,34,"Oshawa",050, ,1,0,0,171,316,"Northview Community Centre",20071010
061,OSHAWA,7,109,44,1,68,"Oshawa",051, ,0,0,0,229,395,"Beau Valley Public School",20071010
061,OSHAWA,16,105,55,1,39,"Oshawa",052, ,3,2,0,221,433,"Beau Valley Public School",20071010
061,OSHAWA,10,77,63,1,45,"Oshawa",053, ,1,0,0,197,400,"Beau Valley Public School",20071010
061,OSHAWA,9,63,25,0,38,"Oshawa",054, ,1,0,0,136,292,"Gordon B. Attersley Public School",20071010
061,OSHAWA,6,75,14,0,43,"Oshawa",055, ,0,0,1,139,285,"Gordon B. Attersley Public School",20071010
061,OSHAWA,10,58,66,1,46,"Oshawa",056, ,0,1,0,182,375,"Gordon B. Attersley Public School",20071010
061,OSHAWA,8,32,42,0,11,"Oshawa",057, ,1,1,0,95,252,"Gordon B. Attersley Public School",20071010
061,OSHAWA,15,59,59,2,42,"Oshawa",058, ,1,0,0,178,412,"United Pentecostal Church",20071010
061,OSHAWA,10,86,60,0,31,"Oshawa",059, ,2,1,0,190,403,"Gordon B. Attersley Public School",20071010
061,OSHAWA,11,31,61,0,34,"Oshawa",060, ,0,0,0,137,390,"Harmony Heights Public School",20071010
