ED_CODE,ED_NAME,EVELEIGH,LAXTON,MORAN,MORISSETTE,MURRAY,NAQVI,RYAN,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
062,OTTAWA CENTRE,0,13,2,27,34,58,1,"Ottawa",001, ,0,0,0,135,355,"Knox Presbyterian Church (Geneva Hall)",20071010
062,OTTAWA CENTRE,0,15,1,18,30,36,1,"Ottawa",002, ,0,0,0,101,252,"Dominion Chalmers United Church",20071010
062,OTTAWA CENTRE,1,16,1,15,30,31,0,"Ottawa",003, ,0,0,0,94,187,"Knox Presbyterian Church (Geneva Hall)",20071010
062,OTTAWA CENTRE,0,12,1,16,42,30,1,"Ottawa",004, ,0,0,0,102,187,"Knox Presbyterian Church (Geneva Hall)",20071010
062,OTTAWA CENTRE,0,14,0,28,46,38,1,"Ottawa",005, ,1,0,0,128,256,"St. Theresa Parish",20071010
062,OTTAWA CENTRE,1,16,1,23,35,34,0,"Ottawa",006, ,1,0,0,111,230,"St. Theresa Parish",20071010
062,OTTAWA CENTRE,0,18,0,19,23,68,1,"Ottawa",007, ,2,0,0,131,219,"St. Theresa Parish",20071010
062,OTTAWA CENTRE,2,8,3,30,30,80,0,"Ottawa",008, ,0,0,0,153,267,"Christ Church Cathedral",20071010
062,OTTAWA CENTRE,0,18,2,24,57,47,0,"Ottawa",009, ,0,0,0,148,274,"Centennial Public School",20071010
062,OTTAWA CENTRE,0,26,2,34,73,85,4,"Ottawa",010, ,2,0,0,226,489,"Centretown Community Health Centre",20071010
062,OTTAWA CENTRE,1,14,0,14,24,34,0,"Ottawa",011, ,0,0,0,87,256,"Dominion Chalmers United Church",20071010
062,OTTAWA CENTRE,1,9,3,11,51,22,1,"Ottawa",012, ,0,1,0,99,252,"Dominion Chalmers United Church",20071010
062,OTTAWA CENTRE,0,15,0,24,23,35,0,"Ottawa",013, ,0,0,0,97,179,"Dominion Chalmers United Church",20071010
062,OTTAWA CENTRE,0,0,8,6,43,27,0,"Ottawa",014, ,0,0,0,84,186,"Dominion Chalmers United Church",20071010
062,OTTAWA CENTRE,1,10,1,8,30,32,0,"Ottawa",015, ,0,1,0,83,182,"Dominion Chalmers United Church",20071010
062,OTTAWA CENTRE,1,20,0,7,38,52,0,"Ottawa",016, ,0,0,0,118,218,"Dominion Chalmers United Church",20071010
062,OTTAWA CENTRE,0,14,0,17,29,28,0,"Ottawa",017, ,1,0,0,89,210,"Elgin Street Public School",20071010
062,OTTAWA CENTRE,0,10,1,10,45,28,0,"Ottawa",018, ,0,0,0,94,179,"Elgin Street Public School",20071010
062,OTTAWA CENTRE,1,25,0,47,61,76,1,"Ottawa",019, ,1,0,0,212,398,"Knox Presbyterian Church (Geneva Hall)",20071010
062,OTTAWA CENTRE,2,20,1,17,22,27,1,"Ottawa",020, ,0,0,0,90,165,"Knox Presbyterian Church (Geneva Hall)",20071010
062,OTTAWA CENTRE,0,6,0,13,28,21,0,"Ottawa",021, ,1,0,0,69,165,"Elgin Street Public School",20071010
