ED_CODE,ED_NAME,BRISSON,D'ANDREA,FORD,MACDONALD,MCGUINTY,RAYMOND,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
064,OTTAWA SOUTH,5,15,14,3,59,44,"Ottawa",001A, ,0,1,0,141,249,"Cecil Morrison Field House",20071010
064,OTTAWA SOUTH,3,10,19,3,71,39,"Ottawa",001B, ,1,0,0,146,252,"Cecil Morrison Field House",20071010
064,OTTAWA SOUTH,7,8,7,4,64,41,"Ottawa",002, ,1,0,0,132,312,"Senhor Santo Cristo Church Hall",20071010
064,OTTAWA SOUTH,0,21,27,10,95,57,"Ottawa",003, ,1,1,0,212,431,"Riverview Alternative Public School",20071010
064,OTTAWA SOUTH,1,24,29,2,100,53,"Ottawa",004, ,1,0,0,210,384,"Riverview Alternative Public School",20071010
064,OTTAWA SOUTH,1,21,24,8,94,59,"Ottawa",005, ,0,1,1,209,338,"Riverview Alternative Public School",20071010
064,OTTAWA SOUTH,3,9,20,0,92,30,"Ottawa",006, ,0,1,0,155,358,"Riverview Alternative Public School",20071010
064,OTTAWA SOUTH,2,45,26,0,124,59,"Ottawa",007, ,0,0,0,256,379,"Riverview Alternative Public School",20071010
064,OTTAWA SOUTH,..........................NO POLL HELD........................,,,,,,"Ottawa",008, ,0,0,0,0,0,"",20071010
064,OTTAWA SOUTH,0,20,21,7,122,68,"Ottawa",009, ,1,2,0,241,404,"Dempsey Community Centre",20071010
064,OTTAWA SOUTH,1,27,25,3,93,61,"Ottawa",010, ,0,0,0,210,413,"Dempsey Community Centre",20071010
064,OTTAWA SOUTH,2,7,8,0,63,55,"Ottawa",011, ,1,0,0,136,308,"Dempsey Community Centre",20071010
064,OTTAWA SOUTH,1,15,9,1,93,52,"Ottawa",012, ,0,1,0,172,413,"Daly Co-operative",20071010
064,OTTAWA SOUTH,1,8,21,2,85,24,"Ottawa",013, ,0,0,0,141,233,"Pleasant Park Public School",20071010
064,OTTAWA SOUTH,0,2,0,0,6,7,"Ottawa",014s, ,0,1,0,16,17,"Ottawa Hospital/L'Hôpital d'Ottawa",20071010
064,OTTAWA SOUTH,0,1,3,0,60,40,"Ottawa",015s, ,0,3,0,107,155,"Alta Vista Manor",20071010
064,OTTAWA SOUTH,0,18,25,4,93,52,"Ottawa",016, ,2,0,0,194,329,"Emmanuel United Church",20071010
064,OTTAWA SOUTH,2,10,5,3,44,41,"Ottawa",017s, ,3,0,4,112,301,"Perley and Rideau Veterans' Health Centre",20071010
064,OTTAWA SOUTH,2,27,17,4,110,60,"Ottawa",018A, ,0,0,0,220,322,"St. Aidan's Anglican Church",20071010
064,OTTAWA SOUTH,..........................NO POLL HELD........................,,,,,,"Ottawa",018B, ,0,0,0,0,0,"",20071010
064,OTTAWA SOUTH,3,34,14,10,108,38,"Ottawa",019, ,3,2,0,212,508,"Dempsey Community Centre",20071010
064,OTTAWA SOUTH,0,19,11,3,79,62,"Ottawa",020, ,1,0,0,175,377,"St. Aidan's Anglican Church",20071010
064,OTTAWA SOUTH,3,24,13,5,114,64,"Ottawa",021A, ,0,0,0,223,446,"Daly Co-operative",20071010
064,OTTAWA SOUTH,..........................NO POLL HELD........................,,,,,,"Ottawa",021B, ,0,0,0,0,0,"",20071010
064,OTTAWA SOUTH,0,26,38,3,122,68,"Ottawa",022, ,1,0,0,258,483,"Rideau Park United Church",20071010
064,OTTAWA SOUTH,1,16,24,0,92,54,"Ottawa",023, ,1,3,0,191,325,"Pleasant Park Public School",20071010
064,OTTAWA SOUTH,0,20,21,2,110,53,"Ottawa",024, ,1,1,0,208,334,"Pleasant Park Public School",20071010
064,OTTAWA SOUTH,1,10,15,5,83,69,"Ottawa",025, ,0,1,0,184,310,"Emmanuel United Church",20071010
064,OTTAWA SOUTH,1,16,19,5,117,82,"Ottawa",026, ,1,0,0,241,415,"Emmanuel United Church",20071010
064,OTTAWA SOUTH,1,16,8,1,64,43,"Ottawa",027, ,1,1,0,135,251,"Emmanuel United Church",20071010
064,OTTAWA SOUTH,1,16,24,2,91,52,"Ottawa",028, ,0,0,0,186,322,"St. Aidan's Anglican Church",20071010
064,OTTAWA SOUTH,2,13,18,1,83,53,"Ottawa",029, ,4,2,0,176,291,"St. Aidan's Anglican Church",20071010
064,OTTAWA SOUTH,2,14,16,3,99,83,"Ottawa",030, ,1,0,0,218,424,"Hawthorne Public School",20071010
064,OTTAWA SOUTH,6,16,6,3,114,54,"Ottawa",031, ,1,1,0,201,445,"St. Luke Elementary School",20071010
064,OTTAWA SOUTH,1,14,8,5,83,49,"Ottawa",032, ,1,0,0,161,412,"Daly Co-operative",20071010
064,OTTAWA SOUTH,2,20,10,5,96,54,"Ottawa",033A, ,2,0,0,189,449,"St. Luke Elementary School",20071010
064,OTTAWA SOUTH,..........................NO POLL HELD........................,,,,,,"Ottawa",033B, ,0,0,0,0,0,"",20071010
064,OTTAWA SOUTH,0,15,13,3,73,56,"Ottawa",034, ,0,1,0,161,236,"The Dorchester Apartments",20071010
064,OTTAWA SOUTH,0,14,23,4,141,41,"Ottawa",035, ,0,0,0,223,397,"Rideau Park United Church",20071010
064,OTTAWA SOUTH,1,9,29,5,113,53,"Ottawa",036, ,0,0,0,210,321,"Rideau Park United Church",20071010
064,OTTAWA SOUTH,0,7,32,5,106,50,"Ottawa",037, ,1,0,0,201,334,"Rideau Park United Church",20071010
064,OTTAWA SOUTH,1,29,41,1,136,72,"Ottawa",038, ,0,1,0,281,423,"Rideau Park United Church",20071010
064,OTTAWA SOUTH,1,22,14,1,146,58,"Ottawa",039, ,4,0,0,246,386,"Pleasant Park Public School",20071010
064,OTTAWA SOUTH,0,16,24,2,121,61,"Ottawa",040, ,0,0,0,224,367,"Pleasant Park Public School",20071010
064,OTTAWA SOUTH,1,22,31,5,117,62,"Ottawa",041A, ,1,0,0,239,431,"Canterbury Recreational Complex",20071010
064,OTTAWA SOUTH,..........................NO POLL HELD........................,,,,,,"Ottawa",041B, ,0,0,0,0,0,"",20071010
064,OTTAWA SOUTH,0,21,16,1,101,57,"Ottawa",042, ,3,2,0,201,397,"Canterbury Recreational Complex",20071010
064,OTTAWA SOUTH,1,20,16,0,101,92,"Ottawa",043, ,2,0,0,232,436,"Hawthorne Public School",20071010
064,OTTAWA SOUTH,1,26,11,3,76,53,"Ottawa",044, ,0,1,0,171,369,"Hawthorne Public School",20071010
064,OTTAWA SOUTH,1,13,13,4,97,62,"Ottawa",045, ,1,2,0,193,408,"St. Luke Elementary School",20071010
064,OTTAWA SOUTH,2,24,12,4,101,43,"Ottawa",046, ,0,0,0,186,330,"St. Luke Elementary School",20071010
064,OTTAWA SOUTH,1,12,27,1,105,73,"Ottawa",047, ,0,0,1,220,416,"St. Thomas More Catholic School",20071010
064,OTTAWA SOUTH,2,14,14,3,85,51,"Ottawa",048, ,1,0,0,170,307,"St. Timothy's Presbyterian Church",20071010
064,OTTAWA SOUTH,2,36,40,3,97,47,"Ottawa",049, ,1,0,0,226,354,"St. Timothy's Presbyterian Church",20071010
064,OTTAWA SOUTH,2,15,28,2,124,40,"Ottawa",050, ,0,1,0,212,329,"Rideau Park United Church",20071010
064,OTTAWA SOUTH,1,17,27,1,132,60,"Ottawa",051, ,5,0,0,243,384,"St. Thomas the Apostle Church",20071010
064,OTTAWA SOUTH,1,11,14,7,129,55,"Ottawa",052, ,0,1,0,218,363,"Ottawa Mennonite Church",20071010
064,OTTAWA SOUTH,2,15,23,1,151,77,"Ottawa",053, ,1,0,0,270,414,"Ottawa Mennonite Church",20071010
064,OTTAWA SOUTH,0,19,22,4,136,66,"Ottawa",054, ,1,0,0,248,426,"Ottawa Mennonite Church",20071010
064,OTTAWA SOUTH,1,23,22,4,111,55,"Ottawa",055, ,0,0,0,216,399,"Canterbury Recreational Complex",20071010
064,OTTAWA SOUTH,1,8,21,3,100,59,"Ottawa",056, ,0,0,0,192,350,"Canterbury Recreational Complex",20071010
064,OTTAWA SOUTH,1,15,6,3,75,58,"Ottawa",057, ,0,0,0,158,316,"Robert Bateman Public School",20071010
064,OTTAWA SOUTH,1,21,17,8,87,41,"Ottawa",058A, ,1,0,0,176,394,"École Lamoureux",20071010
064,OTTAWA SOUTH,..........................NO POLL HELD........................,,,,,,"Ottawa",058B, ,0,0,0,0,0,"",20071010
064,OTTAWA SOUTH,1,4,3,1,12,15,"Ottawa",059s, ,1,0,0,37,53,"Billingswood Manor",20071010
064,OTTAWA SOUTH,4,18,12,1,49,18,"Ottawa",060, ,0,0,0,102,264,"École Lamoureux",20071010
064,OTTAWA SOUTH,1,1,1,1,21,14,"Ottawa",061s, ,0,0,0,39,73,"Billings Lodge",20071010
064,OTTAWA SOUTH,0,26,27,0,97,55,"Ottawa",062, ,1,0,0,206,361,"St. Timothy's Presbyterian Church",20071010
064,OTTAWA SOUTH,1,33,17,1,102,44,"Ottawa",063, ,0,0,0,198,322,"St. Timothy's Presbyterian Church",20071010
064,OTTAWA SOUTH,1,16,27,7,112,46,"Ottawa",064, ,0,0,1,210,322,"St. Timothy's Presbyterian Church",20071010
064,OTTAWA SOUTH,0,15,34,1,101,50,"Ottawa",065, ,0,2,0,203,339,"St. Thomas the Apostle Church",20071010
064,OTTAWA SOUTH,2,23,20,3,84,37,"Ottawa",066A, ,0,0,0,169,297,"St. Thomas the Apostle Church",20071010
064,OTTAWA SOUTH,..........................NO POLL HELD........................,,,,,,"Ottawa",066B, ,0,0,0,0,0,"",20071010
064,OTTAWA SOUTH,2,6,21,4,110,48,"Ottawa",067, ,1,2,0,194,310,"Featherston Drive Public School",20071010
064,OTTAWA SOUTH,2,7,7,5,118,53,"Ottawa",068, ,0,1,0,193,326,"Featherston Drive Public School",20071010
064,OTTAWA SOUTH,1,21,23,2,101,63,"Ottawa",069, ,0,0,0,211,356,"Featherston Drive Public School",20071010
064,OTTAWA SOUTH,0,13,14,3,71,31,"Ottawa",070, ,1,0,0,133,290,"Featherston Drive Public School",20071010
064,OTTAWA SOUTH,1,12,36,4,102,62,"Ottawa",071, ,2,0,0,219,379,"Featherston Drive Public School",20071010
064,OTTAWA SOUTH,3,20,20,4,109,54,"Ottawa",072A, ,5,0,0,215,428,"St. Thomas More Catholic School",20071010
064,OTTAWA SOUTH,..........................NO POLL HELD........................,,,,,,"Ottawa",072B, ,0,0,0,0,0,"",20071010
064,OTTAWA SOUTH,0,21,16,6,85,32,"Ottawa",073, ,0,0,0,160,317,"École Lamoureux",20071010
064,OTTAWA SOUTH,2,14,6,2,48,34,"Ottawa",074, ,0,0,0,106,261,"École Lamoureux",20071010
064,OTTAWA SOUTH,1,21,30,7,74,37,"Ottawa",075, ,0,0,0,170,370,"École Lamoureux",20071010
064,OTTAWA SOUTH,1,38,23,2,128,62,"Ottawa",076, ,3,0,0,257,481,"St. Timothy's Presbyterian Church",20071010
064,OTTAWA SOUTH,0,19,16,1,88,29,"Ottawa",077, ,2,0,0,155,309,"St. Thomas the Apostle Church",20071010
064,OTTAWA SOUTH,3,19,5,3,51,18,"Ottawa",078, ,3,0,0,102,236,"Heron Road Multi-Service Centre",20071010
064,OTTAWA SOUTH,3,17,3,2,46,21,"Ottawa",079, ,0,0,0,92,269,"Heron Road Multi-Service Centre",20071010
064,OTTAWA SOUTH,1,5,5,0,38,19,"Ottawa",080, ,0,1,0,69,214,"Heron Road Multi-Service Centre",20071010
064,OTTAWA SOUTH,0,18,2,5,34,6,"Ottawa",081, ,0,0,0,65,296,"Heron Road Multi-Service Centre",20071010
064,OTTAWA SOUTH,0,8,3,3,60,5,"Ottawa",082, ,0,1,1,81,325,"Heron Road Multi-Service Centre",20071010
064,OTTAWA SOUTH,2,10,14,4,84,35,"Ottawa",083, ,3,0,0,152,385,"Prince of Peace School",20071010
064,OTTAWA SOUTH,4,15,5,8,72,45,"Ottawa",084, ,3,1,0,153,266,"Senior Citizen's Lounge",20071010
064,OTTAWA SOUTH,1,18,11,2,49,28,"Ottawa",085, ,0,0,0,109,376,"Prince of Peace School",20071010
064,OTTAWA SOUTH,1,22,11,4,55,25,"Ottawa",086, ,3,1,0,122,377,"Prince of Peace School",20071010
064,OTTAWA SOUTH,0,27,12,4,82,28,"Ottawa",087, ,4,0,0,157,389,"Prince of Peace School",20071010
064,OTTAWA SOUTH,0,6,8,1,115,47,"Ottawa",088, ,3,1,0,181,369,"Greenboro Community Centre Communautaire",20071010
064,OTTAWA SOUTH,1,18,10,3,132,58,"Ottawa",089A, ,1,1,0,224,440,"Robert Bateman Public School",20071010
064,OTTAWA SOUTH,..........................NO POLL HELD........................,,,,,,"Ottawa",089B, ,0,0,0,0,0,"",20071010
064,OTTAWA SOUTH,1,14,10,5,97,58,"Ottawa",090A, ,0,0,0,185,402,"St. Thomas More Catholic School",20071010
064,OTTAWA SOUTH,..........................NO POLL HELD........................,,,,,,"Ottawa",090B, ,0,0,0,0,0,"",20071010
064,OTTAWA SOUTH,1,6,9,2,136,93,"Ottawa",091A, ,1,1,0,249,428,"St. Thomas More Catholic School",20071010
064,OTTAWA SOUTH,..........................NO POLL HELD........................,,,,,,"Ottawa",091B, ,0,0,0,0,0,"",20071010
064,OTTAWA SOUTH,1,19,17,2,94,59,"Ottawa",092, ,1,3,0,196,384,"St. Thomas More Catholic School",20071010
064,OTTAWA SOUTH,1,18,6,10,60,23,"Ottawa",093, ,2,0,0,120,363,"St. Thomas More Catholic School",20071010
064,OTTAWA SOUTH,1,16,16,2,115,75,"Ottawa",094, ,0,0,0,225,426,"St. Thomas More Catholic School",20071010
064,OTTAWA SOUTH,1,17,18,2,76,42,"Ottawa",095, ,0,0,0,156,263,"Holy Cross Parish Church",20071010
064,OTTAWA SOUTH,1,23,13,1,48,31,"Ottawa",096, ,0,0,0,117,295,"École Lamoureux",20071010
064,OTTAWA SOUTH,3,33,21,7,73,40,"Ottawa",097, ,1,0,0,178,338,"École Lamoureux",20071010
064,OTTAWA SOUTH,0,6,21,8,128,70,"Ottawa",098, ,0,0,0,233,396,"École Lamoureux",20071010
064,OTTAWA SOUTH,3,27,15,2,70,29,"Ottawa",099, ,0,0,0,146,347,"Jim Durrell Complex",20071010
064,OTTAWA SOUTH,1,19,17,3,68,61,"Ottawa",100A, ,3,1,0,173,345,"Jim Durrell Complex",20071010
064,OTTAWA SOUTH,..........................NO POLL HELD........................,,,,,,"Ottawa",100B, ,0,0,0,0,0,"",20071010
064,OTTAWA SOUTH,1,15,15,12,87,41,"Ottawa",101, ,2,0,0,173,370,"Jim Durrell Complex",20071010
064,OTTAWA SOUTH,..........................NO POLL HELD........................,,,,,,"Ottawa",102A, ,0,0,0,0,0,"",20071010
064,OTTAWA SOUTH,..........................NO POLL HELD........................,,,,,,"Ottawa",102B, ,0,0,0,0,0,"",20071010
064,OTTAWA SOUTH,..........................NO POLL HELD........................,,,,,,"Ottawa",102C, ,0,0,0,0,0,"",20071010
064,OTTAWA SOUTH,1,11,7,3,65,39,"Ottawa",102D, ,2,0,0,128,381,"Prince of Peace School",20071010
064,OTTAWA SOUTH,2,18,4,2,100,28,"Ottawa",103, ,0,0,0,154,431,"Greenboro Community Centre Communautaire",20071010
064,OTTAWA SOUTH,1,6,14,2,108,46,"Ottawa",104, ,2,0,0,179,366,"Gloucester Presbyterian Church",20071010
064,OTTAWA SOUTH,0,12,9,1,104,49,"Ottawa",105, ,0,0,0,175,398,"Gloucester Presbyterian Church",20071010
064,OTTAWA SOUTH,2,9,4,10,87,17,"Ottawa",106, ,0,0,0,129,340,"Robert Bateman Public School",20071010
064,OTTAWA SOUTH,2,19,13,1,58,30,"Ottawa",107, ,0,0,0,123,247,"Robert Bateman Public School",20071010
064,OTTAWA SOUTH,2,18,14,3,142,64,"Ottawa",108A, ,1,0,0,244,450,"Robert Bateman Public School",20071010
064,OTTAWA SOUTH,..........................NO POLL HELD........................,,,,,,"Ottawa",108B, ,0,0,0,0,0,"",20071010
064,OTTAWA SOUTH,0,11,16,3,117,62,"Ottawa",109, ,0,0,0,209,424,"Robert Bateman Public School",20071010
064,OTTAWA SOUTH,0,11,4,4,79,30,"Ottawa",110, ,2,0,0,130,330,"Robert Bateman Public School",20071010
064,OTTAWA SOUTH,3,14,5,5,116,51,"Ottawa",111, ,1,0,1,196,425,"Robert Bateman Public School",20071010
064,OTTAWA SOUTH,1,18,8,3,77,43,"Ottawa",112, ,0,0,0,150,399,"St. Thomas More Catholic School",20071010
064,OTTAWA SOUTH,2,6,3,3,56,14,"Ottawa",113s, ,0,0,0,84,181,"St. Patrick's Home",20071010
064,OTTAWA SOUTH,3,19,17,5,85,75,"Ottawa",114, ,2,0,0,206,378,"Holy Cross Parish Church",20071010
064,OTTAWA SOUTH,2,26,29,4,155,86,"Ottawa",115, ,1,0,0,303,489,"General Vanier Public School",20071010
064,OTTAWA SOUTH,2,20,16,7,79,69,"Ottawa",116, ,1,0,0,194,377,"Jim Durrell Complex",20071010
064,OTTAWA SOUTH,0,10,2,3,36,13,"Ottawa",117, ,0,0,0,64,220,"Jim Durrell Complex",20071010
064,OTTAWA SOUTH,1,14,5,3,34,59,"Ottawa",118, ,4,1,0,121,316,"Jim Durrell Complex",20071010
064,OTTAWA SOUTH,1,29,8,0,79,57,"Ottawa",119, ,1,0,0,175,343,"Greenboro Pavilion",20071010
064,OTTAWA SOUTH,1,12,6,4,79,51,"Ottawa",120, ,0,0,0,153,335,"Greenboro Pavilion",20071010
064,OTTAWA SOUTH,1,16,7,1,66,25,"Ottawa",121, ,3,0,1,120,346,"Greenboro Pavilion",20071010
064,OTTAWA SOUTH,1,13,13,3,82,47,"Ottawa",122, ,0,0,0,159,324,"Greenboro Community Centre Communautaire",20071010
064,OTTAWA SOUTH,1,29,18,3,56,42,"Ottawa",123, ,1,0,0,150,365,"Greenboro Community Centre Communautaire",20071010
064,OTTAWA SOUTH,1,19,9,4,86,41,"Ottawa",124, ,2,1,0,163,350,"Gloucester Presbyterian Church",20071010
064,OTTAWA SOUTH,1,18,10,4,64,43,"Ottawa",125, ,0,0,0,140,294,"Greenboro Community Centre Communautaire",20071010
064,OTTAWA SOUTH,..........................NO POLL HELD........................,,,,,,"Ottawa",126, ,0,0,0,0,0,"",20071010
064,OTTAWA SOUTH,2,15,11,4,63,81,"Ottawa",127, ,0,0,0,176,382,"Gloucester Presbyterian Church",20071010
064,OTTAWA SOUTH,1,12,16,2,134,53,"Ottawa",128, ,0,0,0,218,372,"Gloucester Presbyterian Church",20071010
064,OTTAWA SOUTH,1,13,17,1,93,85,"Ottawa",129, ,1,0,0,211,375,"Riverside United Church",20071010
064,OTTAWA SOUTH,3,15,30,2,92,61,"Ottawa",130, ,0,0,0,203,332,"Holy Cross Parish Church",20071010
064,OTTAWA SOUTH,1,22,40,5,112,56,"Ottawa",131, ,1,1,0,238,412,"Holy Cross Parish Church",20071010
064,OTTAWA SOUTH,2,14,22,6,99,46,"Ottawa",132, ,2,3,0,194,324,"Holy Cross Parish Church",20071010
064,OTTAWA SOUTH,1,15,18,8,109,80,"Ottawa",133, ,1,0,0,232,376,"General Vanier Public School",20071010
064,OTTAWA SOUTH,0,15,24,4,100,73,"Ottawa",134, ,1,1,0,218,378,"Fielding Drive Public School",20071010
064,OTTAWA SOUTH,0,15,23,4,105,54,"Ottawa",135, ,0,0,0,201,346,"Fielding Drive Public School",20071010
064,OTTAWA SOUTH,1,20,18,9,101,108,"Ottawa",136, ,1,1,0,259,429,"Dunlop Public School",20071010
064,OTTAWA SOUTH,0,16,29,0,107,67,"Ottawa",137, ,2,0,0,221,409,"Dunlop Public School",20071010
064,OTTAWA SOUTH,2,17,18,3,110,81,"Ottawa",138, ,0,1,1,233,422,"Greenboro Pavilion",20071010
064,OTTAWA SOUTH,1,25,8,2,83,62,"Ottawa",139, ,4,0,0,185,401,"Dunlop Public School",20071010
064,OTTAWA SOUTH,0,10,15,0,69,48,"Ottawa",140, ,1,3,0,146,412,"Dunlop Public School",20071010
064,OTTAWA SOUTH,2,23,10,2,88,44,"Ottawa",141, ,1,0,0,170,345,"Greenboro Community Centre Communautaire",20071010
064,OTTAWA SOUTH,0,18,7,2,117,44,"Ottawa",142, ,2,1,0,191,389,"Greenboro Community Centre Communautaire",20071010
064,OTTAWA SOUTH,1,12,9,1,48,33,"Ottawa",143, ,0,0,0,104,236,"Greenboro Community Centre Communautaire",20071010
064,OTTAWA SOUTH,2,12,12,4,90,42,"Ottawa",144, ,1,0,0,163,353,"Gloucester Presbyterian Church",20071010
064,OTTAWA SOUTH,1,19,11,8,90,77,"Ottawa",145, ,0,0,0,206,373,"St. Bernard Catholic School",20071010
064,OTTAWA SOUTH,0,19,20,5,111,57,"Ottawa",146, ,0,0,0,212,337,"Riverside United Church",20071010
064,OTTAWA SOUTH,3,14,28,7,118,96,"Ottawa",147, ,1,2,0,269,441,"Fielding Drive Public School",20071010
064,OTTAWA SOUTH,4,24,32,4,134,65,"Ottawa",148, ,0,0,1,264,420,"Fielding Drive Public School",20071010
064,OTTAWA SOUTH,..........................NO POLL HELD........................,,,,,,"Ottawa",149A, ,0,0,0,0,0,"",20071010
064,OTTAWA SOUTH,0,10,19,2,116,86,"Ottawa",149B, ,1,0,0,234,410,"R. Byrns Curry School",20071010
064,OTTAWA SOUTH,0,37,35,5,112,70,"Ottawa",150, ,1,0,0,260,466,"Dunlop Public School",20071010
064,OTTAWA SOUTH,2,23,13,4,69,35,"Ottawa",151, ,1,0,0,147,428,"Sawmill Creek Community Centre",20071010
064,OTTAWA SOUTH,2,1,2,0,22,18,"Ottawa",152s, ,0,0,0,45,59,"Hunt Club Manor",20071010
064,OTTAWA SOUTH,0,13,7,2,48,44,"Ottawa",153, ,1,0,0,115,255,"Dunlop Public School",20071010
064,OTTAWA SOUTH,1,18,10,3,78,52,"Ottawa",154, ,1,1,0,164,353,"Dunlop Public School",20071010
064,OTTAWA SOUTH,2,9,16,1,63,32,"Ottawa",155, ,1,0,0,124,327,"Dunlop Public School",20071010
