ED_CODE,ED_NAME,CIOPPA,DAGENAIS,LARTER,MEILLEUR,POOLE,POULIN,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
065,OTTAWA--VANIER,0,37,1,100,21,82,"Ottawa",001, ,0,0,0,241,406,"École élémentaire catholique La Vérendrye",20071010
065,OTTAWA--VANIER,3,16,4,92,28,69,"Ottawa",002, ,0,1,1,214,393,"Thomas D'Arcy McGee Catholic School",20071010
065,OTTAWA--VANIER,0,14,2,131,21,80,"Ottawa",003, ,0,0,0,248,404,"Robert Hopkins Public School",20071010
065,OTTAWA--VANIER,8,33,0,126,26,68,"Ottawa",004, ,0,1,0,262,423,"Robert Hopkins Public School",20071010
065,OTTAWA--VANIER,3,15,0,92,32,65,"Ottawa",005, ,0,0,0,207,330,"École élémentaire catholique La Vérendrye",20071010
065,OTTAWA--VANIER,4,25,3,105,14,94,"Ottawa",006, ,1,0,0,246,428,"École élémentaire catholique La Vérendrye",20071010
065,OTTAWA--VANIER,1,21,0,69,33,53,"Ottawa",007, ,0,0,0,177,402,"Manor Park Public School",20071010
065,OTTAWA--VANIER,2,24,1,130,24,73,"Ottawa",008, ,0,3,0,257,379,"Robert Hopkins Public School",20071010
065,OTTAWA--VANIER,1,18,0,116,23,71,"Ottawa",009, ,0,0,0,229,369,"Robert Hopkins Public School",20071010
065,OTTAWA--VANIER,2,29,2,108,14,78,"Ottawa",010, ,1,0,0,234,393,"École élémentaire catholique La Vérendrye",20071010
065,OTTAWA--VANIER,3,16,0,91,10,56,"Ottawa",011, ,1,1,0,178,304,"École élémentaire publique Séraphin-Marion",20071010
065,OTTAWA--VANIER,0,7,0,64,26,74,"Ottawa",012, ,0,0,0,171,347,"Rockcliffe Park Public School",20071010
065,OTTAWA--VANIER,4,27,0,86,29,85,"Ottawa",013, ,0,0,2,233,428,"Thomas D'Arcy McGee Catholic School",20071010
065,OTTAWA--VANIER,0,37,2,91,20,77,"Ottawa",014, ,1,0,0,228,371,"Thomas D'Arcy McGee Catholic School",20071010
065,OTTAWA--VANIER,1,10,0,69,7,45,"Ottawa",015, ,0,2,0,134,219,"École élémentaire publique Séraphin-Marion",20071010
065,OTTAWA--VANIER,7,35,1,83,18,56,"Ottawa",016, ,0,1,0,201,385,"École élémentaire publique Séraphin-Marion",20071010
065,OTTAWA--VANIER,3,24,0,76,11,38,"Ottawa",017, ,0,0,0,152,311,"École élémentaire publique Séraphin-Marion",20071010
065,OTTAWA--VANIER,1,39,0,105,29,48,"Ottawa",018, ,0,0,0,222,372,"Manor Park Public School",20071010
065,OTTAWA--VANIER,1,23,0,86,28,72,"Ottawa",019, ,0,0,0,210,356,"Manor Park Public School",20071010
065,OTTAWA--VANIER,3,25,0,90,15,36,"Ottawa",020, ,0,1,0,170,372,"Manor Park Public School",20071010
065,OTTAWA--VANIER,0,16,2,46,12,17,"Ottawa",021, ,0,0,0,93,207,"Manor Park Public School",20071010
065,OTTAWA--VANIER,..........................NO POLL HELD........................,,,,,,"Ottawa",022, ,0,0,0,0,0,"",20071010
065,OTTAWA--VANIER,0,23,3,42,10,30,"Ottawa",023, ,0,0,0,108,347,"CFB Rockcliffe",20071010
065,OTTAWA--VANIER,3,15,2,90,16,64,"Ottawa",024, ,0,0,0,190,360,"Le Phare Elementary School",20071010
065,OTTAWA--VANIER,6,26,0,71,9,55,"Ottawa",025, ,2,0,0,169,370,"Le Phare Elementary School",20071010
065,OTTAWA--VANIER,1,3,0,29,6,16,"Ottawa",026, ,0,0,0,55,103,"Le Phare Elementary School",20071010
065,OTTAWA--VANIER,4,23,2,55,10,29,"Ottawa",027, ,0,0,0,123,357,"Le Phare Elementary School",20071010
065,OTTAWA--VANIER,4,16,0,108,15,46,"Ottawa",028, ,0,0,1,190,379,"École élémentaire publique Séraphin-Marion",20071010
065,OTTAWA--VANIER,1,4,0,67,24,61,"Ottawa",029, ,0,1,0,158,353,"Rockcliffe Park Public School",20071010
065,OTTAWA--VANIER,0,6,0,77,28,45,"Ottawa",030, ,1,0,0,157,306,"Rockcliffe Park Public School",20071010
065,OTTAWA--VANIER,0,18,0,102,24,72,"Ottawa",031, ,0,1,0,217,365,"Manor Park Public School",20071010
065,OTTAWA--VANIER,0,38,0,70,14,21,"Ottawa",032, ,2,0,0,145,419,"Manor Park Public School",20071010
065,OTTAWA--VANIER,1,15,1,47,7,14,"Ottawa",033, ,0,0,0,85,198,"CFB Rockcliffe",20071010
065,OTTAWA--VANIER,1,10,2,42,7,8,"Ottawa",034, ,0,0,0,70,243,"CFB Rockcliffe",20071010
065,OTTAWA--VANIER,0,2,1,25,0,1,"Ottawa",035s, ,0,0,0,29,67,"Manoir Marochel",20071010
065,OTTAWA--VANIER,1,4,1,39,0,8,"Ottawa",036s, ,0,2,0,55,238,"Laurier Manor",20071010
065,OTTAWA--VANIER,2,7,3,36,1,17,"Ottawa",037s, ,0,1,0,67,108,"Rothwell Heights Lodge",20071010
065,OTTAWA--VANIER,4,5,1,105,21,64,"Ottawa",038, ,0,0,0,200,347,"Le Phare Elementary School",20071010
065,OTTAWA--VANIER,1,21,0,83,14,68,"Ottawa",039, ,0,0,0,187,370,"Le Phare Elementary School",20071010
065,OTTAWA--VANIER,1,9,0,82,13,20,"Ottawa",040, ,0,0,0,125,240,"Centre Communautaire Richelieu-Vanier",20071010
065,OTTAWA--VANIER,0,10,2,25,14,18,"Ottawa",041, ,0,0,0,69,235,"CFB Rockcliffe",20071010
