ED_CODE,ED_NAME,GAUTHIER,HAMILTON,HYDE,PACHECO,PATTON,WATSON,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
66,OTTAWA WEST--NEPEAN,0,13,7,1,35,44,Ottawa,1, ,1,0,0,101,232,Agudath Israel Congregation,20071010
66,OTTAWA WEST--NEPEAN,0,12,7,4,38,53,Ottawa,2, ,0,1,0,115,263,Agudath Israel Congregation,20071010
66,OTTAWA WEST--NEPEAN,0,32,25,0,43,110,Ottawa,3, ,0,0,0,210,368,Our Lady of Fatima School,20071010
66,OTTAWA WEST--NEPEAN,1,4,1,0,5,14,Ottawa,004s, ,0,0,0,25,29,Wymering Manor,20071010
66,OTTAWA WEST--NEPEAN,0,15,15,0,48,69,Ottawa,5, ,0,1,0,148,308,Agudath Israel Congregation,20071010
66,OTTAWA WEST--NEPEAN,0,12,14,0,44,67,Ottawa,6, ,1,1,0,139,325,Agudath Israel Congregation,20071010
66,OTTAWA WEST--NEPEAN,0,20,7,2,20,47,Ottawa,7, ,0,0,0,96,264,Our Lady of Fatima School,20071010
66,OTTAWA WEST--NEPEAN,2,24,14,3,30,93,Ottawa,8, ,0,1,0,167,314,Our Lady of Fatima School,20071010
66,OTTAWA WEST--NEPEAN,1,22,16,2,49,136,Ottawa,9, ,0,1,0,227,359,Our Lady of Fatima School,20071010
66,OTTAWA WEST--NEPEAN,1,31,21,1,63,128,Ottawa,10, ,0,0,0,245,402,Bromley Road Baptist Church,20071010
66,OTTAWA WEST--NEPEAN,0,17,12,0,62,61,Ottawa,11, ,0,0,0,152,326,Agudath Israel Congregation,20071010
66,OTTAWA WEST--NEPEAN,2,19,13,1,35,80,Ottawa,12, ,0,0,0,150,315,Carlington Recreation Centre,20071010
66,OTTAWA WEST--NEPEAN,0,8,0,1,5,18,Ottawa,13, ,0,0,0,32,101,Carlington Recreation Centre,20071010
66,OTTAWA WEST--NEPEAN,0,13,3,1,12,11,Ottawa,14, ,0,0,0,40,226,Carlington Recreation Centre,20071010
66,OTTAWA WEST--NEPEAN,0,7,3,0,13,28,Ottawa,15, ,0,0,0,51,197,Agudath Israel Congregation,20071010
