ED_CODE,ED_NAME,BENDER,COMEAU,HARDEMAN,JACKSON,MAYBERRY,VANDERHOEVEN,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
067,OXFORD,2,10,68,96,14,2,"Tavistock",001, ,0,0,0,192,438,"Tavistock Public School",20071010
067,OXFORD,1,2,19,9,1,1,"East Zorra-Tavistock",002s, ,0,2,0,35,95,"People Care",20071010
067,OXFORD,3,1,17,19,4,0,"East Zorra-Tavistock",003s, ,0,0,0,44,79,"The Maples Home for Seniors",20071010
067,OXFORD,2,1,24,10,0,0,"East Zorra-Tavistock",004s, ,0,0,1,38,81,"Bonnie Brae Health Care Centre",20071010
067,OXFORD,2,16,61,59,14,2,"Tavistock",005, ,0,0,1,155,368,"Tavistock Public School",20071010
067,OXFORD,0,20,84,75,9,0,"Tavistock",006, ,0,0,0,188,368,"Tavistock Public School",20071010
067,OXFORD,1,17,65,76,15,1,"Tavistock",007, ,2,3,0,180,396,"Tavistock Public School",20071010
067,OXFORD,3,21,100,49,9,1,"Plattsville",008, ,1,0,0,184,359,"Plattsville & District Public School",20071010
067,OXFORD,1,22,137,62,22,2,"Plattsville",009, ,0,0,0,246,448,"Plattsville & District Public School",20071010
067,OXFORD,4,8,96,28,14,2,"Tavistock",010, ,0,0,0,152,328,"Tavistock Public School",20071010
067,OXFORD,4,19,101,77,29,2,"Plattsville",011, ,1,1,1,235,469,"Plattsville & District Public School",20071010
067,OXFORD,2,10,64,80,11,4,"Tavistock",012, ,0,0,0,171,380,"Tavistock Public School",20071010
067,OXFORD,1,19,109,53,13,4,"Bright",013, ,0,0,1,200,391,"Bright Community Centre",20071010
067,OXFORD,3,20,117,66,18,2,"Bright",014, ,3,0,0,229,452,"Bright Community Centre",20071010
067,OXFORD,4,9,129,50,15,2,"Hickson",015, ,0,0,0,209,317,"Hickson United Church",20071010
067,OXFORD,4,19,75,39,18,2,"Drumbo",016, ,2,0,0,159,233,"Drumbo Agricultural Society Hall",20071010
067,OXFORD,1,22,94,86,21,0,"Drumbo",017, ,0,0,0,224,333,"Drumbo Agricultural Society Hall",20071010
067,OXFORD,0,24,106,94,22,4,"Lakeside",018, ,1,0,0,251,401,"Lakeside Resort Limited",20071010
067,OXFORD,1,11,102,87,13,8,"East Zorra-Tavistock",019, ,1,0,0,223,351,"Zorra Highland Park Public School",20071010
067,OXFORD,4,8,60,45,7,2,"Hickson",020, ,0,0,0,126,288,"Hickson United Church",20071010
067,OXFORD,4,25,142,94,15,1,"Innerkip",021, ,0,0,0,281,450,"Innerkip Community Centre",20071010
067,OXFORD,4,24,112,78,14,2,"Drumbo",022, ,1,0,0,235,473,"Drumbo Agricultural Society Hall",20071010
067,OXFORD,2,12,63,45,19,4,"Lakeside",023, ,0,1,0,146,289,"Lakeside Resort Limited",20071010
067,OXFORD,2,43,166,78,26,1,"Innerkip",024, ,1,0,0,317,566,"Innerkip Community Centre",20071010
067,OXFORD,1,20,75,53,17,2,"Lakeside",025, ,0,0,0,168,315,"Lakeside Resort Limited",20071010
067,OXFORD,3,34,135,75,15,3,"Hickson",026, ,0,0,0,265,506,"Hickson United Church",20071010
